index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
280,OTHER,T22,0,1,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
126,OTHER,T22,0,4,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
94,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
57,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
191,OTHER,T22,0,1,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
192,OTHER,T22,0,3,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
200,OTHER,T22,0,1,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
337,OTHER,T22,0,2,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
70,OTHER,T22,0,2,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
258,OTHER,T22,0,2,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
416,T27,T22,1,5,1,-1,-1,1,02T27@1,04T22@2,2,-1,-1,-1,2
413,T27,T22,1,25,33,-1,-1,1,02T27@1,04T22@2,2,-1,-1,-1,2
406,T35,T23,1,2,48,1,-1,1,07T35@3,09T23@4,12,1,-1,-1,4
408,T35,T23,1,3,50,1,-1,1,07T35@3,08T23@4,12,1,-1,-1,4
46,OTHER,T22,1,1,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
404,T35,T23,1,1,48,1,-1,1,07T35@3,09T23@4,12,1,-1,-1,4
35,OTHER,T22,1,1,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
412,T27,T22,1,5,1,-1,-1,1,02T27@1,04T22@2,2,-1,-1,-1,2
417,T27,T22,1,5,1,-1,-1,1,02T27@1,04T22@2,2,-1,-1,-1,2
352,T35,T23,1,6,49,1,-1,1,07T35@3,09T23@4,12,1,-1,-1,4
421,T22,T35,1,9,28,-1,-1,1,01T22@0,03T35@1,17,-1,-1,-1,1
239,OTHER,T22,1,1,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
402,T35,T23,1,4,54,1,-1,1,07T35@3,08T23@4,8,1,-1,-1,4
231,OTHER,T22,1,2,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
427,T22,T27,1,9,35,-1,-1,1,01T22@0,02T27@1,13,-1,-1,-1,1
229,OTHER,T22,1,2,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
430,T27,T22,1,5,1,-1,-1,1,02T27@1,04T22@2,2,-1,-1,-1,2
217,OTHER,T22,1,1,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
75,OTHER,T22,1,2,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
185,OTHER,T22,1,1,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
418,T27,T35,1,25,33,-1,-1,1,02T27@1,05T35@2,2,-1,-1,-1,2
426,T27,T22,1,5,1,-1,-1,1,02T27@1,04T22@2,2,-1,-1,-1,2
425,T22,T27,1,9,35,-1,-1,1,00T22@0,02T27@1,13,-1,-1,-1,1
281,OTHER,T22,1,1,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
355,T35,T23,1,6,45,1,-1,1,07T35@3,08T23@4,13,1,-1,-1,4
360,T35,T23,1,4,54,1,-1,1,07T35@3,09T23@4,7,1,-1,-1,4
339,OTHER,T22,1,1,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
369,T35,T23,1,2,54,1,-1,1,07T35@3,08T23@4,8,1,-1,-1,4
373,T35,T23,1,6,52,1,-1,1,07T35@3,08T23@4,11,1,-1,-1,4
20,OTHER,T22,1,3,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
303,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
22,OTHER,T22,1,1,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
119,OTHER,T22,1,1,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
391,T35,T23,1,2,45,1,-1,1,07T35@3,09T23@4,13,1,-1,-1,4
414,T22,T27,2,14,32,-1,-1,1,01T22@0,02T27@1,15,-1,-1,-1,1
434,T35,T23,2,4,52,2,-1,2,07T35@3,09T23@4,14,2,-1,-1,4
361,T22,T35,2,1,64,1,-1,1,04T22@2,07T35@3,17,2,-1,-1,3
276,OTHER,T22,2,3,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
208,OTHER,T22,2,4,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
82,OTHER,T22,2,2,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
450,T35,T23,2,3,50,2,-1,2,07T35@3,08T23@4,11,2,-1,-1,4
171,OTHER,T22,2,2,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
465,T35,T35,2,10,21,2,-1,2,05T35@2,07T35@3,17,2,-1,-1,3
165,OTHER,T22,2,1,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
471,T27,T22,2,5,2,-1,-1,2,02T27@1,04T22@2,9,-1,-1,-1,2
473,T27,T22,2,5,2,-1,-1,2,02T27@1,04T22@2,9,-1,-1,-1,2
474,T27,T22,2,5,2,-1,-1,2,02T27@1,04T22@2,9,-1,-1,-1,2
475,T35,T35,2,12,21,-1,-1,2,05T35@2,07T35@3,17,-1,-1,-1,3
476,T27,T22,2,5,2,-1,-1,2,02T27@1,04T22@2,9,-1,-1,-1,2
478,T27,T35,2,25,33,-1,-1,2,02T27@1,05T35@2,2,-1,-1,-1,2
479,T22,T35,2,547,19,-1,-1,2,00T22@0,03T35@1,2,-1,-1,-1,1
481,T27,T22,2,5,2,-1,-1,2,02T27@1,04T22@2,9,-1,-1,-1,2
