index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
154,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
30,OTHER,T29,0,3,10,0,-1,-1,SELLER,00T29@0,0,0,-1,-1,0
123,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
202,OTHER,T22,0,3,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
411,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
304,OTHER,T29,0,1,10,0,-1,-1,SELLER,00T29@0,0,0,-1,-1,0
217,OTHER,T29,0,2,10,0,-1,-1,SELLER,00T29@0,0,0,-1,-1,0
17,OTHER,T29,0,2,10,0,-1,-1,SELLER,00T29@0,0,0,-1,-1,0
298,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
163,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
382,OTHER,T22,1,1,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
51,OTHER,T22,1,1,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
520,T22,T35,1,5,15,1,-1,1,02T22@1,05T35@2,17,1,-1,-1,2
519,T35,T35,1,3,15,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
521,T22,T22,1,4,10,1,-1,1,01T22@0,02T22@1,17,1,-1,-1,1
526,T35,T35,1,5,15,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
527,T35,T35,1,3,15,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
515,T22,T22,1,4,11,1,-1,1,01T22@0,02T22@1,17,1,-1,-1,1
496,T35,T35,1,2,16,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
503,T35,T35,1,4,15,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
494,T35,T35,1,3,16,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
