index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
87,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
95,OTHER,T35,0,1,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
65,OTHER,T35,0,4,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
172,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
51,OTHER,T22,0,5,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
125,OTHER,T22,0,4,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
139,OTHER,T35,0,3,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
438,T35,T23,1,7,38,1,-1,1,06T35@3,08T23@4,15,1,-1,-1,4
469,T35,T37,1,1,14,-1,-1,1,03T35@1,05T37@2,17,-1,-1,-1,2
470,T35,T23,1,12,52,-1,-1,1,06T35@3,08T23@4,11,-1,-1,-1,4
473,T35,T37,1,1,14,-1,-1,1,03T35@1,05T37@2,17,-1,-1,-1,2
475,T37,T35,1,1,64,-1,-1,1,05T37@2,06T35@3,17,-1,-1,-1,3
477,T35,T37,1,1,14,-1,-1,1,03T35@1,05T37@2,17,-1,-1,-1,2
479,T35,T23,1,12,42,-1,-1,1,06T35@3,08T23@4,15,-1,-1,-1,4
480,T37,T23,1,4,86,-1,-1,1,05T37@2,07T23@3,8,-1,-1,-1,3
482,T23,T23,1,11,19,-1,-1,1,07T23@3,08T23@4,13,-1,-1,-1,4
467,T35,T12,1,10,13,-1,-1,1,03T35@1,04T12@2,17,-1,-1,-1,2
282,OTHER,T35,1,4,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
260,OTHER,T22,1,3,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
257,OTHER,T22,1,6,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
82,OTHER,T35,1,2,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
233,OTHER,T35,1,5,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
484,T22,T37,1,5,40,-1,-1,1,02T22@1,05T37@2,17,-1,-1,-1,2
463,T22,T22,1,9,25,-1,-1,1,01T22@0,02T22@1,17,-1,-1,-1,1
439,T35,T22,1,1,9,1,-1,1,00T35@0,02T22@1,17,1,-1,-1,1
420,T22,T22,1,1,9,1,-1,1,01T22@0,02T22@1,17,1,-1,-1,1
449,T23,T23,1,4,5,1,-1,1,07T23@3,08T23@4,13,1,-1,-1,4
450,T23,T23,1,7,24,1,-1,1,07T23@3,08T23@4,14,1,-1,-1,4
451,T35,T22,1,1,9,1,-1,1,00T35@0,02T22@1,17,1,-1,-1,1
442,T23,T23,1,7,1,1,-1,1,07T23@3,08T23@4,12,1,-1,-1,4
394,T35,T23,1,8,39,1,-1,1,06T35@3,08T23@4,16,1,-1,-1,4
460,T35,T37,1,1,14,-1,-1,1,03T35@1,05T37@2,17,-1,-1,-1,2
406,T23,T22,1,4,1,1,-1,1,07T23@3,09T22@4,8,1,-1,-1,4
431,T35,T22,1,2,27,1,-1,1,06T35@3,09T22@4,17,1,-1,-1,4
381,T35,T23,1,6,33,1,-1,1,06T35@3,08T23@4,16,1,-1,-1,4
444,T23,T22,1,1,10,1,-1,1,07T23@3,09T22@4,13,1,-1,-1,4
380,T35,T22,1,1,9,1,-1,1,00T35@0,02T22@1,17,1,-1,-1,1
407,T35,T23,1,6,46,1,-1,1,06T35@3,08T23@4,13,1,-1,-1,4
413,T35,T22,1,1,9,1,-1,1,00T35@0,02T22@1,17,1,-1,-1,1
178,OTHER,T35,2,2,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
541,T35,T37,2,1,14,-1,-1,2,03T35@1,05T37@2,17,-1,-1,-1,2
534,T37,T35,2,1,64,-1,-1,2,05T37@2,06T35@3,17,-1,-1,-1,3
530,T22,T35,2,29,17,-1,-1,2,01T22@0,03T35@1,2,-1,-1,-1,1
250,OTHER,T22,2,3,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
419,T23,T22,2,9,8,1,-1,1,07T23@3,09T22@4,13,2,-1,-1,4
