index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,trading_price_5,sold_quantity_5,unit_price_5,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,25.0,0,,37.0,0,,46.0,0,,58.0,0,,0.11,543034,0.0,0.0,11,0,0,63,0,0.0,253,316,49,0.0,0.0,0,0,49,200,1.5529432520270348,1.5529432520270348
1,49,0,0,0,10.0,20,10.0,18.0,0,,25.0,0,,37.0,0,,46.0,0,,58.0,0,,0.1,542834,0.0,0.0,12,0,0,33,0,0.0,22,55,29,454.0,51.0,36,13,29,200,7.019462397322059,8.572405649349092
2,29,0,0,0,10.0,20,10.0,18.391304347826086,1,36.0,25.0,0,,37.0,0,,46.0,0,,58.0,0,,0.1,542634,0.0,0.0,13,0,0,23,0,0.0,12,35,29,200.0,48.0,13,16,29,236,4.231406418606639,12.803812067955732
3,29,0,0,0,10.0,20,10.0,18.806603773584907,1,36.0,25.0,0,,37.0,0,,50.6,5,92.0,58.0,0,,0.08,542159,0.0,0.0,13,0,0,19,0,0.0,15,34,29,199.0,45.0,14,15,29,696,3.045074664056301,15.848886732012033
4,29,0,0,0,10.0,20,10.0,18.806603773584907,0,,25.0,0,,37.0,0,,53.1875,3,92.0,58.0,0,,0.13,541794,0.0,0.0,10,0,0,20,0,0.0,13,33,29,191.0,48.0,13,16,29,476,2.5968911349773407,18.44577786698937
5,29,0,0,0,10.0,20,10.0,19.66284860557769,2,36.0,25.0,0,,37.0,0,,53.1875,0,,58.0,6,58.0,0.13,541873,0.0,0.0,13,0,0,19,0,0.0,10,29,29,183.0,54.0,11,18,29,620,2.0473250970244408,20.49310296401381
6,29,0,0,0,10.0,20,10.0,20.102681455955203,1,36.0,25.0,0,,37.0,0,,53.1875,0,,58.00000000000001,10,58.0,0.13,541718,0.0,0.0,16,0,0,22,0,0.0,12,34,29,187.0,51.0,12,17,29,816,2.693737404420972,23.186840368434787
7,29,0,0,0,10.0,20,10.0,22.521775518899513,6,36.0,25.0,0,,37.0,0,,53.1875,0,,58.00000000000001,8,58.0,0.14,541368,0.0,0.0,17,0,0,24,0,0.0,7,31,29,195.0,45.0,14,15,29,880,3.4088603146374226,26.59570068307221
8,29,0,0,0,10.0,20,10.0,23.240870347409107,2,36.0,25.0,0,,37.0,0,,53.1875,0,,58.0,12,58.0,0.12,540868,0.0,0.0,18,0,0,22,0,0.0,9,31,29,187.0,51.0,12,17,29,968,2.34890597127378,28.94460665434599
9,29,0,0,0,10.000000000000002,20,10.0,25.167359454844902,6,36.0,25.0,0,,37.0,0,,53.1875,0,,58.0,12,58.0,0.13,540383,0.0,0.0,21,0,0,20,0,0.0,14,34,29,201.0,48.0,13,16,29,1112,7.5747007336467505,36.51930738799275
10,29,0,0,0,10.000000000000002,20,10.0,26.4960555024948,5,36.0,25.0,0,,37.0,0,,53.1875,0,,58.0,8,58.0,0.16,540029,0.0,0.0,16,0,0,18,0,0.0,15,33,29,198.0,48.0,13,16,29,844,8.965976784005761,45.4852841719985
11,29,0,0,0,10.000000000000002,20,10.0,28.19745103064972,8,36.0,25.0,0,,37.0,0,,53.1875,0,,58.00000000000001,12,58.0,0.14,539536,0.0,0.0,21,0,0,25,0,0.0,10,35,29,206.0,39.0,16,13,29,1184,8.188276512548327,53.67356068454682
12,29,0,0,0,10.000000000000002,20,10.0,28.386746062131948,1,36.0,25.0,0,,37.0,0,,53.1875,0,,58.0,12,58.0,0.15,539049,0.0,0.0,18,0,0,22,0,0.0,12,34,29,197.0,45.0,14,15,29,932,7.824584381654859,61.49814506620169
13,29,0,0,0,10.000000000000002,20,10.0,29.12774788673223,4,36.0,25.0,0,,37.0,0,,53.1875,0,,58.00000000000001,9,58.0,0.13,538679,0.0,0.0,16,0,0,22,0,0.0,14,36,28,214.0,36.0,17,12,28,866,11.527142168954015,73.0252872351557
14,28,0,0,0,10.000000000000002,20,10.0,29.798417984807788,4,36.0,25.0,0,,37.0,0,,53.1875,0,,58.0,14,58.0,0.12,538094,0.0,0.0,21,0,0,21,0,0.0,15,36,28,209.0,36.0,16,12,28,1156,10.743321795016527,83.76860903017223
15,28,0,0,0,10.000000000000002,20,10.0,30.405098183530477,4,36.0,25.0,0,,37.0,0,,53.1875,0,,58.00000000000001,8,58.0,0.14,537743,0.0,0.0,16,0,0,20,0,0.0,16,36,29,210.0,39.0,15,13,29,808,12.274795860052107,96.04340489022434
16,29,0,0,0,10.000000000000002,20,10.0,30.69349685134547,2,36.0,25.0,0,,37.0,0,,53.1875,0,,58.0,8,58.0,0.1,537388,0.0,0.0,15,0,0,25,0,0.0,12,37,28,212.0,33.0,18,11,28,736,7.161173904314637,103.20457879453896
17,28,0,0,0,10.000000000000002,20,10.0,31.23887513176421,4,36.0,25.0,0,,37.0,0,,53.1875,0,,57.99999999999999,7,58.0,0.1,537061,0.0,0.0,17,0,0,24,0,0.0,11,35,29,200.0,36.0,16,12,29,750,5.358936937525868,108.56351573206484
18,29,0,0,0,10.000000000000002,20,10.0,31.23887513176421,0,,25.0,0,,37.0,0,,53.1875,0,,57.99999999999999,0,,0.11,536861,0.0,0.0,10,0,0,19,0,0.0,14,33,29,200.0,48.0,13,16,29,200,11.881629625335336,120.4451453574002
19,29,0,0,0,10.000000000000002,20,10.0,31.496039884169036,2,36.0,25.0,0,,37.0,0,,57.2136929460581,5,92.0,57.99999999999999,0,,0.1,536386,0.0,0.0,13,0,0,25,0,0.0,12,37,29,217.0,36.0,17,12,29,732,11.838731534779072,132.28387689217925
20,29,0,0,0,10.000000000000002,20,10.0,31.978714307241102,4,36.0,25.0,0,,37.0,0,,60.80880529144274,5,92.0,57.99999999999999,0,,0.11,535911,0.0,0.0,14,0,0,23,0,0.0,16,39,28,236.0,39.0,16,13,28,804,17.529675785452127,149.81355267763138
21,28,0,0,0,10.000000000000002,20,10.0,32.58811492939382,6,36.0,25.0,0,,37.0,0,,60.80880529144274,0,,57.99999999999999,0,,0.09,535711,0.0,0.0,13,0,0,24,0,0.0,15,39,29,262.0,30.0,18,10,29,416,13.936459951102734,163.75001262873408
22,29,0,0,0,10.000000000000002,20,10.0,32.853058918748324,3,36.0,25.0,0,,37.0,0,,64.0216101520333,5,92.0,57.99999999999999,0,,0.1,535236,0.0,0.0,12,0,0,21,0,0.0,13,34,28,202.0,45.0,14,15,28,768,11.462867993861435,175.21288062259555
23,28,0,0,0,10.000000000000002,20,10.0,32.853058918748324,0,,25.0,0,,37.0,0,,64.0216101520333,0,,57.99999999999999,0,,0.1,535036,0.0,0.0,10,0,0,24,0,0.0,11,35,29,217.0,39.0,15,13,29,200,19.681761749088768,194.8946423716843
24,29,0,0,0,10.000000000000002,10,10.0,33.024228090476946,2,36.0,25.0,0,,37.0,0,,64.0216101520333,0,,57.99999999999999,0,,0.01,534936,0.0,0.0,4,0,0,19,0,0.0,16,35,29,199.0,57.0,14,15,29,172,14.691357070580125,209.58599944226444
25,29,0,0,0,10.000000000000002,20,10.0,33.27157041445615,3,36.0,25.0,0,,37.0,0,,64.64769579169258,1,92.0,57.99999999999999,0,,0.13,534681,0.0,0.0,12,0,0,28,0,0.0,11,39,29,224.0,33.0,18,11,29,400,19.062354946509004,228.6483543887734
26,29,0,0,0,10.000000000000002,20,10.0,33.570710306131986,4,36.0,25.0,0,,37.0,0,,66.83889182791171,7,79.42857142857143,57.99999999999999,0,,0.13,534074,0.0,0.0,15,0,0,25,0,0.0,7,32,29,186.0,51.0,12,17,29,900,3.9984161015599966,232.64677049033344
27,29,0,0,0,10.000000000000002,20,10.0,33.83451052402984,4,36.0,25.0,0,,37.0,0,,65.99214522162985,2,48.0,57.99999999999999,8,58.0,0.16,534159,0.0,0.0,17,0,0,23,0,0.0,12,35,29,233.0,42.0,15,14,29,904,12.729290647432208,245.37606113776562
28,29,0,0,0,10.000000000000002,10,10.0,33.95771853138146,2,36.0,25.0,0,,37.0,0,,57.49252261226433,15,34.8,57.99999999999999,1,58.0,0.08,533163,0.0,0.0,11,0,0,19,0,0.0,15,34,29,200.0,45.0,14,15,29,752,11.567379903048275,256.9434410408139
29,29,0,0,0,10.000000000000002,10,10.0,33.95771853138146,0,,25.0,0,,37.0,0,,57.49252261226433,0,,57.99999999999999,11,58.0,0.02,533329,0.0,0.0,10,0,0,24,0,0.0,13,37,29,215.0,45.0,14,15,29,738,27.29591190814972,284.23935294896364
30,29,0,0,0,10.000000000000002,20,10.0,33.95771853138146,0,,25.0,0,,37.0,0,,57.49252261226433,0,,57.99999999999998,6,58.0,0.1,533183,0.0,0.0,13,0,0,19,0,0.0,15,34,29,197.0,45.0,14,15,29,548,13.398216368630528,297.63756931759417
31,29,0,0,0,10.000000000000002,20,10.0,34.18695275849885,4,36.0,25.0,0,,37.0,0,,57.49252261226433,0,,57.99999999999999,8,58.0,0.11,533078,0.0,0.0,17,0,0,24,0,0.0,11,35,29,200.0,45.0,14,15,29,808,14.490247024223207,312.1278163418174
32,29,0,0,0,10.000000000000002,20,10.0,34.47267501549434,6,36.0,25.0,0,,37.0,0,,57.49252261226433,0,,57.99999999999998,10,58.0,0.13,532747,0.0,0.0,19,0,0,22,0,0.0,14,36,29,198.0,42.0,15,14,29,996,7.399235423654318,319.5270517654717
33,29,0,0,0,10.000000000000002,15,10.0,34.556904887973786,2,36.0,25.0,0,,37.0,0,,57.12418610869212,2,48.0,57.99999999999998,0,,0.06999999999999999,532487,0.0,0.0,8,0,0,19,0,0.0,14,33,29,205.0,45.0,14,15,29,318,20.144782645627856,339.67183441109955
34,29,0,0,0,10.000000000000002,9,10.0,34.556904887973786,0,,25.0,0,,37.0,0,,57.12418610869212,0,,57.99999999999999,5,58.0,0.01,532687,0.0,0.0,7,0,0,28,0,0.0,11,39,29,219.0,33.0,18,11,29,380,21.389523947611448,361.061358358711
