index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,trading_price_5,sold_quantity_5,unit_price_5,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,23.0,0,,32.0,0,,46.0,0,,59.0,0,,0.1,579726,0.0,0.0,11,0,0,46,0,0.0,555,601,138,0.0,0.0,0,0,138,200,2.4560158289968967,2.4560158289968967
1,138,0,0,0,10.0,20,10.0,15.0,0,,23.0,0,,32.0,0,,36.785714285714285,25,20.2,59.0,0,,0.16999999999999998,577819,0.0,0.0,15,0,0,46,0,0.0,51,97,84,1108.0,187.0,76,62,84,705,3.862982794642448,6.318998623639345
2,84,0,0,0,10.0,20,10.0,15.0,0,,23.0,0,,30.680851063829788,2,1.0,35.4277108433735,20,31.15,59.0,0,,0.16,576110,0.0,0.0,18,0,0,39,0,0.0,26,65,71,661.0,120.0,44,40,71,825,3.028182301670313,9.347180925309658
3,71,0,0,0,10.0,20,10.0,15.0,0,,23.0,0,,24.482871125611744,19,10.68421052631579,33.780235988200594,27,29.222222222222218,59.0,0,,0.13,573116,0.0,0.0,22,0,0,37,0,0.0,23,60,71,569.0,102.0,37,34,71,1192,3.9058733768761162,13.253054302185776
4,71,0,0,0,10.0,20,10.0,15.0,0,,23.0,0,,23.062285434036287,6,10.0,29.99187953970457,31,18.806451612903224,59.0,0,,0.21,570224,0.0,0.0,15,0,0,37,0,0.0,20,57,70,557.0,102.0,37,34,70,843,4.628919944167136,17.88197424635291
5,70,0,0,0,10.0,20,10.0,15.0,0,,23.0,0,,22.56933027185249,2,9.0,26.765155696001578,22,10.590909090909092,59.0,20,59.0,0.2,568470,0.0,0.0,26,0,0,39,0,0.0,19,58,74,548.0,105.0,35,35,74,1631,4.653039824217559,22.53501407057047
6,74,0,0,0,10.0,20,10.0,15.0,0,,23.0,0,,22.381057008245396,7,21.0,24.95562679999061,13,8.384615384615385,59.0,20,59.0,0.18,567728,0.0,0.0,26,0,0,23,0,0.0,36,59,76,560.0,111.0,37,37,76,1636,5.043603399768472,27.57861747033894
7,76,0,0,0,10.0,20,10.0,15.0,0,,23.0,0,,21.853436973576727,2,8.0,23.796822375629798,26,18.5,59.0,20,59.0,0.18,565716,0.0,0.0,26,0,0,14,0,0.0,49,63,73,567.0,108.0,40,36,73,1877,5.902992377057672,33.481609847396605
8,73,0,0,0,10.0,20,10.0,15.0,8,15.0,23.0,0,,21.232484027098465,2,6.0,22.735283816709682,25,17.2,59.0,20,59.0,0.18,563816,0.0,0.0,33,0,0,23,0,0.0,32,55,72,530.0,114.0,35,38,72,1942,6.557262532413006,40.03887237980962
9,72,0,0,0,10.000000000000002,20,10.0,15.062794348508634,16,15.25,23.8125,3,36.0,18.314649893583333,13,8.0,21.095148409185523,35,14.542857142857144,59.0,18,59.0,0.36,560214,0.0,0.0,39,0,0,22,0,0.0,34,56,69,537.0,108.0,36,36,69,2227,6.998794129118322,47.037666508927934
10,69,0,0,0,10.000000000000002,20,10.0,15.146946272769018,8,15.75,24.661504424778762,2,43.0,17.170964575648572,4,2.0,20.796923942501675,25,18.92,59.0,12,59.0,0.25,558202,0.0,0.0,29,0,0,29,0,0.0,32,61,70,536.0,96.0,37,32,70,1601,6.493430262431502,53.53109677135944
11,70,0,0,0,10.000000000000002,20,10.0,15.146946272769018,0,,27.55197206244864,8,42.25,17.867938788143068,6,23.83333333333333,20.380824776124577,6,9.0,59.0,17,59.0,0.23,557414,0.0,0.0,29,0,0,34,0,0.0,23,57,68,530.0,105.0,35,35,68,1738,6.73129335232079,60.26239012368024
12,68,0,0,0,10.000000000000002,20,10.0,15.146946272769018,0,,29.30620719515075,7,40.285714285714285,17.867938788143068,0,,24.600274048646522,60,35.36666666666667,59.00000000000001,18,59.0,0.2,553812,0.0,0.0,26,0,0,35,0,0.0,17,52,68,527.0,102.0,34,34,68,3666,6.680243641138077,66.94263376481831
13,68,0,0,0,10.000000000000002,20,10.0,15.146946272769018,0,,30.04392547573206,6,35.666666666666664,17.261429084447727,5,11.0,23.088048806783494,23,10.478260869565217,59.00000000000001,17,59.0,0.2,551924,0.0,0.0,27,0,0,38,0,0.0,20,58,70,509.0,99.0,35,33,70,1713,7.33388490229845,74.27651866711676
14,70,0,0,0,10.000000000000002,20,10.0,15.137586190423107,4,15.0,32.36820801736534,13,40.692307692307686,18.17580489069707,8,24.0,21.316437827222504,71,16.492957746478872,59.00000000000001,15,59.0,0.24,543911,0.0,0.0,33,0,0,39,0,0.0,21,60,70,543.0,99.0,37,33,70,3037,7.9583767894655475,82.23489545658231
15,70,0,0,0,10.000000000000002,20,10.0,15.05511016925652,12,14.666666666666664,32.85608765164374,8,36.125,18.17580489069707,0,,22.46236938610736,29,31.86206896551724,59.00000000000001,13,59.0,0.32,541412,0.0,0.0,36,0,0,36,0,0.0,18,54,68,532.0,105.0,35,35,68,2356,7.993973985314369,90.22886944189669
16,68,0,0,0,10.000000000000002,20,10.0,15.020073043255081,8,14.75,33.535151419201284,10,37.3,18.17580489069707,0,,22.32924353018331,6,17.0,59.00000000000002,12,59.0,0.28,540945,0.0,0.0,29,0,0,23,0,0.0,32,55,68,517.0,102.0,34,34,68,1501,8.123819066211581,98.35268850810827
17,68,0,0,0,10.000000000000002,20,10.0,15.050364910512618,2,16.0,34.44445023253697,10,39.8,17.969079131134887,1,7.0,22.273395337903107,16,21.5,59.00000000000001,19,59.0,0.22000000000000006,539637,0.0,0.0,30,0,0,34,0,0.0,22,56,68,504.0,99.0,35,33,68,2102,8.498860366642475,106.8515488747507
18,68,0,0,0,10.000000000000002,20,10.0,15.155671967583775,12,15.666666666666664,36.05900374623735,15,42.73333333333333,17.969079131134887,0,,22.033612265845537,8,15.625,59.0,16,59.0,0.32,538458,0.0,0.0,37,0,0,34,0,0.0,23,57,70,532.0,93.0,37,31,70,2098,8.153417896479366,115.00496677123009
19,70,0,0,0,10.000000000000002,20,10.0,15.166269699996304,8,15.25,36.04272578395428,3,35.666666666666664,17.969079131134887,0,,21.766473757390226,20,19.1,59.0,19,59.0,0.28,536905,0.0,0.0,31,0,0,35,0,0.0,21,56,68,533.0,105.0,35,35,68,1932,9.173707447946073,124.17867421917616
20,68,0,0,0,10.000000000000002,20,10.0,15.166269699996304,0,,36.04272578395428,0,,17.969079131134887,0,,21.929326185852997,31,22.967741935483872,59.0,13,59.0,0.19,534892,0.0,0.0,21,0,0,37,0,0.0,19,56,68,537.0,99.0,35,33,68,1679,8.952483372762801,133.13115759193894
21,68,0,0,0,10.000000000000002,20,10.0,15.166269699996304,0,,36.04272578395428,0,,17.969079131134887,0,,22.85962397143305,46,27.02173913043478,59.00000000000001,15,59.0,0.19,530432,0.0,0.0,22,0,0,36,0,0.0,23,59,68,527.0,93.0,37,31,68,2328,8.752592904493213,141.88375049643219
22,68,0,0,0,10.000000000000002,20,10.0,15.166269699996304,0,,36.04272578395428,0,,17.969079131134887,0,,22.751277624185253,42,22.16666666666667,59.0,17,59.0,0.19,526436,0.0,0.0,26,0,0,42,0,0.0,15,57,68,525.0,102.0,34,34,68,2134,8.73585163988173,150.61960213631392
23,68,0,0,0,10.000000000000002,20,10.0,15.166269699996304,0,,36.04272578395428,0,,16.325778182638974,6,3.0,22.63195514904025,14,20.571428571428573,58.99999999999999,16,59.0,0.2,525191,0.0,0.0,24,0,0,38,0,0.0,17,55,68,518.0,102.0,34,34,68,1450,3.0463758818805218,153.66597801819444
24,68,0,0,0,10.000000000000002,20,10.0,15.161237749038285,2,15.0,36.04272578395428,0,,16.325778182638974,0,,21.855700957718323,23,14.08695652173913,58.99999999999999,15,59.0,0.22000000000000006,523399,0.0,0.0,24,0,0,33,0,0.0,23,56,68,520.0,105.0,33,35,68,1439,10.24645959958434,163.91243761777878
25,68,0,0,0,10.000000000000002,20,10.0,15.146462695770182,6,15.0,36.04272578395428,0,,16.325778182638974,0,,22.657883439468414,14,35.714285714285715,58.99999999999997,15,59.0,0.26,522368,0.0,0.0,28,0,0,19,0,0.0,39,58,68,541.0,99.0,35,33,68,1675,10.113268898800015,174.02570651657882
26,68,0,0,0,10.000000000000002,20,10.0,15.174479988647208,2,16.0,36.53913261573796,5,43.0,16.325778182638974,0,,22.66701386595128,36,22.722222222222218,58.99999999999997,12,59.0,0.22000000000000006,519138,0.0,0.0,29,0,0,24,0,0.0,33,57,68,515.0,102.0,34,34,68,1973,9.554611101746561,183.5803176183253
27,68,0,0,0,10.000000000000002,20,10.0,15.284266111366556,14,15.714285714285715,36.686800154788656,1,46.0,16.325778182638974,0,,22.058950784188227,31,17.580645161290324,58.99999999999997,12,59.0,0.33,516593,0.0,0.0,32,0,0,29,0,0.0,28,57,66,536.0,102.0,34,34,66,1719,9.41501130349934,192.9953289218247
28,66,0,0,0,10.000000000000002,20,10.0,15.308938066723284,8,15.5,36.686800154788656,0,,16.325778182638974,0,,21.802593920639726,11,16.363636363636363,58.999999999999964,16,59.0,0.27,515635,0.0,0.0,26,0,0,30,0,0.0,24,54,66,516.0,96.0,34,32,66,1448,9.706678362563252,202.70200728438797
29,66,0,0,0,10.000000000000002,20,10.0,15.308938066723284,0,,37.74560663942082,12,42.833333333333336,16.325778182638974,0,,21.802593920639726,0,,58.999999999999964,18,59.0,0.2,515480,0.0,0.0,31,0,0,42,0,0.0,13,55,66,500.0,102.0,32,34,66,1776,11.224058756604789,213.92606604099274
30,66,0,0,0,10.000000000000002,19,10.0,15.308938066723284,0,,38.000696650941975,10,39.6,16.325778182638974,0,,19.574130720310922,49,9.571428571428571,58.99999999999997,16,59.0,0.2,511738,0.0,0.0,24,0,0,39,0,0.0,15,54,66,509.0,99.0,33,33,66,1999,3.644896438345313,217.57096247933802
31,66,0,0,0,10.000000000000002,20,10.0,15.308938066723284,0,,38.59986284699097,8,43.5,16.325778182638974,0,,21.088964824221033,60,27.2,58.99999999999999,13,59.0,0.2,507272,0.0,0.0,24,0,0,38,0,0.0,20,58,66,512.0,99.0,33,33,66,2947,11.89429567568004,229.4652581550181
32,66,0,0,0,10.000000000000002,20,10.0,15.308938066723284,0,,38.679775389026645,4,40.0,16.325778182638974,0,,21.06664808386536,1,15.0,58.99999999999997,6,59.0,0.2,506912,0.0,0.0,16,0,0,39,0,0.0,15,54,66,510.0,96.0,34,32,66,729,14.835097413510086,244.30035556852815
33,66,0,0,0,10.000000000000002,20,10.0,15.299426056919902,2,15.0,38.679775389026645,0,,16.325778182638974,0,,21.270370989899398,11,25.818181818181817,58.99999999999997,11,59.0,0.22000000000000006,505783,0.0,0.0,20,0,0,27,0,0.0,33,60,66,518.0,93.0,35,31,66,1163,15.223914310336113,259.52426987886435
34,66,0,0,0,10.000000000000002,20,10.0,15.271555932648544,6,15.0,38.997044984239174,4,44.0,16.325778182638974,0,,21.270370989899398,0,,58.99999999999997,11,59.0,0.26,505324,0.0,0.0,19,0,0,18,0,0.0,35,53,66,521.0,99.0,33,33,66,1115,7.977415345609188,267.5016852244735
35,66,0,0,0,10.000000000000002,11,10.0,15.359831379286055,8,16.0,38.997044984239174,0,,16.325778182638974,0,,19.585195376123213,60,13.1,58.99999999999998,15,59.0,0.2,499298,0.0,0.0,23,0,0,29,0,0.0,23,52,66,486.0,99.0,33,33,66,1909,23.354716191068288,290.85640141554177
36,66,0,0,0,10.000000000000002,14,10.0,15.41609013755597,16,15.625,38.74059634322046,2,31.0,16.325778182638974,0,,21.549966851185964,52,31.44230769230769,58.99999999999999,20,59.0,0.26,495576,0.0,0.0,29,0,0,27,0,0.0,29,56,66,509.0,93.0,35,31,66,3267,6.032209575176238,296.888610990718
37,66,0,0,0,10.000000000000002,13,10.0,15.42493758589326,8,15.5,38.74059634322046,0,,16.325778182638974,0,,21.393755991152247,13,18.0,58.99999999999998,14,59.0,0.18,495253,0.0,0.0,23,0,0,24,0,0.0,32,56,66,513.0,99.0,33,33,66,1314,25.882105449214574,322.77071643993264
38,66,0,0,0,10.000000000000002,20,10.0,15.42493758589326,0,,38.88714171239369,2,43.0,16.325778182638974,0,,20.22951551399553,46,13.5,58.99999999999999,18,59.0,0.2,491741,0.0,0.0,24,0,0,32,0,0.0,24,56,66,513.0,99.0,33,33,66,1969,26.238166948780414,349.008883388713
39,66,0,0,0,10.000000000000002,20,10.0,15.42493758589326,0,,39.09781329708285,10,40.2,16.325778182638974,0,,20.14100084987605,6,16.0,58.99999999999999,20,59.0,0.2,491477,0.0,0.0,27,0,0,22,0,0.0,31,53,66,497.0,102.0,32,34,66,1878,28.624444330111146,377.63332771882415
40,66,0,0,0,10.000000000000002,20,10.0,15.42493758589326,0,,39.93039318660863,10,44.6,16.325778182638974,0,,19.51053360539407,17,9.941176470588236,58.99999999999999,16,59.0,0.2,490477,0.0,0.0,31,0,0,15,0,0.0,42,57,66,534.0,93.0,35,31,66,1759,26.201087603345513,403.8344153221697
41,66,0,0,0,10.000000000000002,10,10.0,15.320542189592945,16,14.875,40.1898281592152,3,45.33333333333334,16.325778182638974,0,,19.361825739701988,5,12.0,58.99999999999999,13,59.0,0.29000000000000004,490246,0.0,0.0,24,0,0,22,0,0.0,32,54,66,514.0,99.0,33,33,66,1301,26.958213927224282,430.79262924939394
42,66,0,0,0,10.000000000000002,9,10.0,15.225440632934935,32,15.0,40.81738185868893,18,42.77777777777778,16.325778182638974,0,,18.535974160728603,61,15.459016393442626,58.99999999999999,16,59.0,0.3,486444,0.0,0.0,38,0,0,22,0,0.0,31,53,66,510.0,102.0,32,34,66,3227,8.725611431524158,439.5182406809181
43,66,0,0,0,10.000000000000002,10,10.0,15.193539914353726,16,15.0,40.95778587366912,9,42.0,16.325778182638974,0,,19.49961993201358,38,26.078947368421048,58.99999999999999,14,59.0,0.3,483957,0.0,0.0,29,0,0,29,0,0.0,23,52,66,498.0,96.0,34,32,66,2535,29.10140588134527,468.6196465622634
44,66,0,0,0,10.000000000000002,13,10.0,15.193539914353726,0,,40.7743152808262,11,39.63636363636363,21.01918013262897,7,54.0,19.11147160856742,53,17.150943396226413,58.99999999999998,13,59.0,0.18,479954,0.0,0.0,24,0,0,35,0,0.0,20,55,66,511.0,99.0,33,33,66,2620,31.32263522595167,499.94228178821504
45,66,0,0,0,10.000000000000002,10,10.0,15.193539914353726,0,,40.4279321187934,25,39.44000000000001,21.01918013262897,0,,18.297210536141925,64,14.625,58.99999999999998,18,59.0,0.1,474573,0.0,0.0,29,0,0,27,0,0.0,29,56,66,506.0,96.0,34,32,66,3084,32.179427172988646,532.1217089612037
46,66,0,0,0,10.000000000000002,13,10.0,15.193539914353726,0,,40.29360603954071,9,39.0,21.01918013262897,0,,17.93742283065884,29,14.0,58.99999999999999,20,59.0,0.1,472562,0.0,0.0,23,0,0,18,0,0.0,39,57,66,515.0,96.0,34,32,66,2067,30.84096901677549,562.9626779779793
47,66,0,0,0,10.000000000000002,20,10.0,15.2258657875123,12,15.5,40.52367856577101,8,43.0,21.658709157306248,1,54.0,18.23130441098996,6,33.5,58.99999999999999,16,59.0,0.32,471956,0.0,0.0,32,0,0,27,0,0.0,27,54,66,511.0,99.0,33,33,66,1929,34.478774849325426,597.4414528273046
48,66,0,0,0,10.000000000000002,20,10.0,15.211280965337613,26,15.153846153846152,40.511597651922884,2,40.0,21.658709157306248,0,,16.444051435433053,79,9.974683544303796,58.99999999999999,14,59.0,0.39,465538,0.0,0.0,38,0,0,26,0,0.0,27,53,66,504.0,96.0,34,32,66,2288,33.595542469993234,631.0369952972977
49,66,0,0,0,10.000000000000002,20,10.0,15.15517636652956,16,14.75,40.38443230611219,5,38.4,23.682933449613433,3,55.0,16.597501174198243,1,67.0,58.99999999999998,8,59.0,0.4,461534,0.0,0.0,27,0,0,29,1,17.818181818181817,25,54,66,503.0,96.0,34,32,66,1167,34.42573175020516,665.462727047503
50,66,0,0,0,10.000000000000002,8,10.0,15.15517636652956,0,,40.49834102146675,7,41.714285714285715,23.682933449613433,0,,15.917296307156189,40,10.875,58.99999999999998,17,59.0,0.13,458523,0.0,0.0,19,0,0,37,0,0.0,18,55,66,515.0,99.0,33,33,66,1810,35.47321127913892,700.9359383266418
51,66,0,0,0,10.000000000000002,12,10.0,15.15517636652956,0,,40.869571362388,10,43.6,23.682933449613433,0,,15.720500501254197,5,3.8,58.99999999999999,16,59.0,0.1,457424,0.0,0.0,22,0,0,22,0,0.0,34,56,66,516.0,90.0,36,30,66,1519,35.286689948290594,736.2226282749325
52,66,0,0,0,10.0,8,10.0,15.15517636652956,0,,40.20803574654692,18,37.444444444444436,23.682933449613433,0,,15.988170787825913,14,21.285714285714285,58.99999999999999,12,59.0,0.1,455827,0.0,0.0,24,0,0,21,0,0.0,36,57,66,517.0,96.0,34,32,66,1760,9.67698417417705,745.8996124491097
53,66,0,0,0,9.999999999999998,11,10.0,15.205398636250365,10,15.8,40.22648008332313,2,41.0,23.682933449613433,0,,16.331808360914792,15,22.33333333333333,58.99999999999997,15,59.0,0.2,453856,0.0,0.0,22,0,0,25,0,0.0,31,56,66,512.0,102.0,32,34,66,1570,35.088395496830344,780.9880079459399
