index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
95,OTHER,T20,0,2,10,0,-1,-1,SELLER,01T20@0,0,0,-1,-1,0
552,OTHER,T20,0,1,10,0,-1,-1,SELLER,00T20@0,0,0,-1,-1,0
142,OTHER,T20,0,3,10,0,-1,-1,SELLER,00T20@0,0,0,-1,-1,0
649,OTHER,T20,0,2,10,0,-1,-1,SELLER,01T20@0,0,0,-1,-1,0
206,OTHER,T20,0,2,10,0,-1,-1,SELLER,01T20@0,0,0,-1,-1,0
524,OTHER,T20,0,1,10,0,-1,-1,SELLER,01T20@0,0,0,-1,-1,0
479,OTHER,T20,0,3,10,0,-1,-1,SELLER,00T20@0,0,0,-1,-1,0
174,OTHER,T20,0,1,10,0,-1,-1,SELLER,01T20@0,0,0,-1,-1,0
102,OTHER,T20,0,1,10,0,-1,-1,SELLER,00T20@0,0,0,-1,-1,0
307,OTHER,T20,0,3,10,0,-1,-1,SELLER,01T20@0,0,0,-1,-1,0
92,OTHER,T20,0,1,10,0,-1,-1,SELLER,00T20@0,0,0,-1,-1,0
441,OTHER,T20,1,1,10,0,-1,-1,SELLER,01T20@0,0,1,-1,-1,0
492,OTHER,T20,1,1,10,0,-1,-1,SELLER,01T20@0,0,1,-1,-1,0
234,OTHER,T20,1,2,10,0,-1,-1,SELLER,01T20@0,0,1,-1,-1,0
185,OTHER,T20,1,1,10,0,-1,-1,SELLER,01T20@0,0,1,-1,-1,0
309,OTHER,T20,1,4,10,0,-1,-1,SELLER,01T20@0,0,1,-1,-1,0
676,OTHER,T20,1,2,10,0,-1,-1,SELLER,01T20@0,0,1,-1,-1,0
137,OTHER,T20,1,1,10,0,-1,-1,SELLER,01T20@0,0,1,-1,-1,0
470,OTHER,T20,1,3,10,0,-1,-1,SELLER,00T20@0,0,1,-1,-1,0
556,OTHER,T20,1,3,10,0,-1,-1,SELLER,01T20@0,0,1,-1,-1,0
450,OTHER,T20,1,2,10,0,-1,-1,SELLER,00T20@0,0,1,-1,-1,0
283,OTHER,T20,2,4,10,0,-1,-1,SELLER,00T20@0,0,2,-1,-1,0
202,OTHER,T20,2,4,10,0,-1,-1,SELLER,01T20@0,0,2,-1,-1,0
472,OTHER,T20,2,1,10,0,-1,-1,SELLER,01T20@0,0,2,-1,-1,0
706,OTHER,T20,2,2,10,0,-1,-1,SELLER,00T20@0,0,2,-1,-1,0
600,OTHER,T20,2,1,10,0,-1,-1,SELLER,00T20@0,0,2,-1,-1,0
567,OTHER,T20,2,2,10,0,-1,-1,SELLER,01T20@0,0,2,-1,-1,0
274,OTHER,T20,2,1,10,0,-1,-1,SELLER,00T20@0,0,2,-1,-1,0
149,OTHER,T20,2,1,10,0,-1,-1,SELLER,01T20@0,0,2,-1,-1,0
113,OTHER,T20,2,2,10,0,-1,-1,SELLER,01T20@0,0,2,-1,-1,0
210,OTHER,T20,2,1,10,0,-1,-1,SELLER,01T20@0,0,2,-1,-1,0
680,OTHER,T20,2,1,10,0,-1,-1,SELLER,00T20@0,0,2,-1,-1,0
832,OTHER,T20,3,4,10,0,-1,-1,SELLER,01T20@0,0,3,-1,-1,0
338,OTHER,T20,3,4,10,0,-1,-1,SELLER,01T20@0,0,3,-1,-1,0
575,OTHER,T20,3,1,10,0,-1,-1,SELLER,01T20@0,0,3,-1,-1,0
691,OTHER,T20,3,3,10,0,-1,-1,SELLER,00T20@0,0,3,-1,-1,0
413,OTHER,T20,3,1,10,0,-1,-1,SELLER,01T20@0,0,3,-1,-1,0
596,OTHER,T20,3,1,10,0,-1,-1,SELLER,01T20@0,0,3,-1,-1,0
211,OTHER,T20,3,1,10,0,-1,-1,SELLER,01T20@0,0,3,-1,-1,0
475,OTHER,T20,3,3,10,0,-1,-1,SELLER,00T20@0,0,3,-1,-1,0
269,OTHER,T20,3,1,10,0,-1,-1,SELLER,00T20@0,0,3,-1,-1,0
316,OTHER,T20,3,1,10,0,-1,-1,SELLER,00T20@0,0,3,-1,-1,0
528,T35,OTHER,4,2,41,0,-1,-1,06T35@3,BUYER,0,4,-1,-1,4
674,OTHER,T20,4,1,10,0,-1,-1,SELLER,00T20@0,0,4,-1,-1,0
719,OTHER,T20,4,1,10,0,-1,-1,SELLER,01T20@0,0,4,-1,-1,0
20,OTHER,T20,4,1,10,0,-1,-1,SELLER,01T20@0,0,4,-1,-1,0
66,T35,OTHER,4,1,41,0,-1,-1,07T35@3,BUYER,0,4,-1,-1,4
658,T35,OTHER,4,1,41,0,-1,-1,06T35@3,BUYER,0,4,-1,-1,4
219,OTHER,T20,4,1,10,0,-1,-1,SELLER,01T20@0,0,4,-1,-1,0
25,T35,OTHER,4,1,41,0,-1,-1,06T35@3,BUYER,0,4,-1,-1,4
671,T35,OTHER,4,2,41,0,-1,-1,07T35@3,BUYER,0,4,-1,-1,4
677,T35,OTHER,4,3,41,0,-1,-1,07T35@3,BUYER,0,4,-1,-1,4
362,T35,OTHER,4,2,41,0,-1,-1,06T35@3,BUYER,0,4,-1,-1,4
56,OTHER,T20,4,2,10,0,-1,-1,SELLER,01T20@0,0,4,-1,-1,0
607,OTHER,T20,4,2,10,0,-1,-1,SELLER,00T20@0,0,4,-1,-1,0
241,OTHER,T20,4,2,10,0,-1,-1,SELLER,00T20@0,0,4,-1,-1,0
322,T35,OTHER,4,2,41,0,-1,-1,07T35@3,BUYER,0,4,-1,-1,4
682,T35,OTHER,4,1,41,0,-1,-1,06T35@3,BUYER,0,4,-1,-1,4
40,T35,OTHER,4,2,41,0,-1,-1,06T35@3,BUYER,0,4,-1,-1,4
161,T35,OTHER,4,2,41,0,-1,-1,06T35@3,BUYER,0,4,-1,-1,4
714,OTHER,T20,4,1,10,0,-1,-1,SELLER,01T20@0,0,4,-1,-1,0
230,OTHER,T20,4,3,10,0,-1,-1,SELLER,01T20@0,0,4,-1,-1,0
562,T35,OTHER,4,1,41,0,-1,-1,07T35@3,BUYER,0,4,-1,-1,4
531,OTHER,T20,4,3,10,0,-1,-1,SELLER,00T20@0,0,4,-1,-1,0
634,OTHER,T20,4,3,10,0,-1,-1,SELLER,00T20@0,0,4,-1,-1,0
705,T35,OTHER,5,2,41,0,-1,-1,06T35@3,BUYER,0,5,-1,-1,4
535,OTHER,T20,5,1,10,0,-1,-1,SELLER,01T20@0,0,5,-1,-1,0
99,T35,OTHER,5,1,41,0,-1,-1,07T35@3,BUYER,0,5,-1,-1,4
74,T35,OTHER,5,1,41,0,-1,-1,06T35@3,BUYER,0,5,-1,-1,4
359,OTHER,T20,5,2,10,0,-1,-1,SELLER,01T20@0,0,5,-1,-1,0
160,T35,OTHER,5,1,41,0,-1,-1,07T35@3,BUYER,0,5,-1,-1,4
79,T35,OTHER,5,3,41,0,-1,-1,07T35@3,BUYER,0,5,-1,-1,4
177,OTHER,T20,5,5,10,0,-1,-1,SELLER,01T20@0,0,5,-1,-1,0
193,T35,OTHER,5,1,41,0,-1,-1,07T35@3,BUYER,0,5,-1,-1,4
246,T35,OTHER,5,3,41,0,-1,-1,06T35@3,BUYER,0,5,-1,-1,4
627,OTHER,T20,5,1,10,0,-1,-1,SELLER,01T20@0,0,5,-1,-1,0
29,T35,OTHER,5,1,41,0,-1,-1,07T35@3,BUYER,0,5,-1,-1,4
636,T35,OTHER,5,1,41,0,-1,-1,06T35@3,BUYER,0,5,-1,-1,4
332,T35,OTHER,5,3,41,0,-1,-1,07T35@3,BUYER,0,5,-1,-1,4
461,OTHER,T20,5,2,10,0,-1,-1,SELLER,00T20@0,0,5,-1,-1,0
355,OTHER,T20,5,1,10,0,-1,-1,SELLER,00T20@0,0,5,-1,-1,0
728,T35,OTHER,5,1,41,0,-1,-1,07T35@3,BUYER,0,5,-1,-1,4
170,OTHER,T20,5,2,10,0,-1,-1,SELLER,01T20@0,0,5,-1,-1,0
260,OTHER,T20,5,2,10,0,-1,-1,SELLER,00T20@0,0,5,-1,-1,0
678,T35,OTHER,5,1,41,0,-1,-1,07T35@3,BUYER,0,5,-1,-1,4
717,OTHER,T20,5,1,10,0,-1,-1,SELLER,00T20@0,0,5,-1,-1,0
788,T35,OTHER,5,1,41,0,-1,-1,07T35@3,BUYER,0,5,-1,-1,4
499,OTHER,T20,5,3,10,0,-1,-1,SELLER,00T20@0,0,5,-1,-1,0
97,T35,OTHER,6,1,41,0,-1,-1,07T35@3,BUYER,0,6,-1,-1,4
688,T35,OTHER,6,1,41,0,-1,-1,06T35@3,BUYER,0,6,-1,-1,4
182,T35,OTHER,6,2,41,0,-1,-1,07T35@3,BUYER,0,6,-1,-1,4
689,OTHER,T20,6,2,10,0,-1,-1,SELLER,01T20@0,0,6,-1,-1,0
753,T35,OTHER,6,1,41,0,-1,-1,06T35@3,BUYER,0,6,-1,-1,4
348,OTHER,T20,6,1,10,0,-1,-1,SELLER,00T20@0,0,6,-1,-1,0
106,T35,OTHER,6,2,41,0,-1,-1,06T35@3,BUYER,0,6,-1,-1,4
365,OTHER,T20,6,2,10,0,-1,-1,SELLER,00T20@0,0,6,-1,-1,0
