index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,trading_price_5,sold_quantity_5,unit_price_5,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,30.0,0,,41.0,0,,56.0,0,,61.0,0,,0.0,592184,0.0,0.0,8,0,0,35,0,0.0,243,278,152,0.0,0.0,0,0,152,200,0.9962326772511004,0.9962326772511004
1,152,0,0,0,10.0,20,10.0,18.6271186440678,14,11.0,27.77358490566038,8,15.25,41.85106382978724,2,61.0,56.0,0,,61.0,0,,0.24,591190,0.0,0.0,28,0,0,20,0,0.0,88,108,108,1656.0,690.0,92,60,108,598,7.271407809108496,8.267640486359596
2,108,0,0,0,10.0,20,10.0,18.350272232304896,2,11.0,27.076923076923073,3,16.0,41.85106382978724,0,,56.0,0,,61.0,0,,0.05,590940,0.0,0.0,11,0,0,2,0,0.0,34,36,116,378.0,453.0,21,87,116,270,2.758021304383874,11.02566179074347
3,116,0,0,0,10.0,20,10.0,17.677047078219456,5,11.0,26.393584207279453,3,16.0,42.715575620767495,2,61.0,51.27272727272727,10,30.0,61.0,0,,0.2,590075,0.0,0.0,16,0,0,2,0,0.0,36,38,108,363.0,427.0,21,95,108,725,2.9781604427844286,14.0038222335279
4,108,0,0,0,10.0,20,10.0,16.950372748544375,6,11.0,25.72685868240426,3,16.0,45.10725964682798,6,61.0,51.25581395348837,15,51.2,61.0,0,,0.28,588707,0.0,0.0,22,0,0,0,0,0.0,35,35,110,306.0,343.0,17,91,110,1448,2.961279399693012,16.96510163322091
5,110,0,0,0,10.0,20,10.0,16.71981812510776,2,11.0,26.753634251511542,9,31.555555555555557,42.44723025624964,13,34.0,52.81572481572481,3,83.0,61.0,20,61.0,0.29000000000000004,588936,0.0,0.0,24,0,0,1,0,0.0,30,31,110,273.0,340.0,16,94,110,2417,2.7516619209200144,19.716763554140925
6,110,0,0,0,10.0,20,10.0,16.37285484038271,3,11.0,28.618067154062217,15,34.333333333333336,43.88912811916441,4,61.5,52.81572481572481,0,,61.0,20,61.0,0.22000000000000006,588529,0.0,0.0,25,0,0,0,0,0.0,34,34,107,309.0,336.0,18,92,107,2214,3.8746883440762763,23.5914518982172
7,107,0,0,0,10.0,20,10.0,15.830257315726106,5,11.0,34.94147364205988,35,44.85714285714285,46.496451903328506,8,62.0,58.855839281772006,13,84.38461538461539,61.0,20,61.0,0.46,586708,0.0,0.0,37,0,0,1,0,0.0,32,33,104,288.0,363.0,16,91,104,4638,3.438897019252181,27.030348917469386
8,104,0,0,0,10.0,20,10.0,15.622769580836813,2,11.0,35.261146425940574,35,36.0,53.649837457372755,45,61.6,65.94281889125725,24,84.0,61.0,15,61.0,0.54,584201,0.0,0.0,37,0,0,4,0,0.0,32,36,90,324.0,378.0,18,86,90,7185,3.038483960554004,30.068832878023386
9,90,0,0,0,10.000000000000002,20,10.0,15.043759382021106,6,11.0,37.28761533184907,30,44.33333333333334,53.840674158180796,2,62.0,69.3139579301414,18,83.66666666666667,61.00000000000001,12,61.0,0.5800000000000001,582813,0.0,0.0,29,0,0,4,0,0.0,30,34,77,279.0,304.0,18,72,77,3958,2.5272645745426416,32.596097452566035
