index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,28.0,0,,44.0,0,,0.15,141380,0.0,0.0,11,0,0,0,0,0.0,295,295,58,0.0,0.0,0,0,58,200,0.8788632526993752,0.8788632526993752
1,58,0,0,0,10.0,20,10.0,16.857142857142858,4,4.0,21.559523809523807,39,14.128205128205128,44.0,0,,0.21666666666666667,139056,0.0,0.0,21,0,0,4,0,0.0,64,68,25,758.0,173.0,43,15,25,767,1.1169476248323915,1.995810877531767
2,25,0,0,0,10.0,20,10.0,12.437047756874096,25,4.64,20.3264192139738,16,14.5,44.0,0,,0.31666666666666665,137643,0.0,0.0,21,0,0,4,0,0.0,41,45,18,282.0,24.0,21,4,18,548,1.0651414599269629,3.0609523374587297
3,18,0,0,0,10.0,20,10.0,11.0299280212148,17,5.882352941176472,19.964661482159194,5,14.0,44.0,20,44.0,0.31666666666666665,136615,0.0,0.0,30,0,0,3,0,0.0,35,38,19,172.0,20.0,14,4,19,1250,0.4186643287539482,3.479616666212678
4,19,0,0,0,10.0,20,10.0,10.702373962845213,19,9.473684210526317,19.105820952868854,15,14.6,44.0,20,44.0,0.25,135112,0.0,0.0,32,0,0,6,0,0.0,34,40,14,201.0,20.0,15,4,14,1479,0.37356182746589184,3.85317849367857
5,14,0,0,0,10.0,20,10.0,9.447919441720368,40,6.9,18.919882390768784,4,15.0,43.99999999999999,20,44.0,0.2833333333333333,133493,0.0,0.0,30,0,0,2,0,0.0,29,31,12,112.0,30.0,9,5,12,1416,0.3084592241793871,4.161637717857957
6,12,0,0,0,10.0,20,10.0,11.619627009113517,42,17.261904761904766,19.04308296593216,28,19.392857142857142,43.99999999999999,20,44.0,0.3333333333333333,131624,0.0,0.0,38,0,0,0,0,0.0,28,28,13,85.0,41.0,6,6,13,2348,0.3743264805525541,4.535964198410512
7,13,0,0,0,10.0,20,10.0,12.042918312195056,10,17.8,19.537767517383536,17,22.352941176470583,43.99999999999999,20,44.0,0.3333333333333333,130522,0.0,0.0,29,0,0,2,0,0.0,31,33,14,133.0,25.0,8,5,14,1638,0.3724862243980169,4.908450422808529
8,14,0,0,0,10.0,20,10.0,12.353119636623433,12,15.75,19.329521946281787,4,14.0,43.99999999999999,20,44.0,0.31666666666666665,129748,0.0,0.0,26,0,0,5,0,0.0,32,37,13,159.0,9.0,11,3,13,1325,0.3314725831151009,5.239923005923629
9,13,0,0,0,10.000000000000002,20,10.0,12.4023593058116,19,12.73684210526316,20.101310393881523,11,26.818181818181817,43.99999999999999,20,44.0,0.3333333333333333,128725,0.0,0.0,33,0,0,2,0,0.0,29,31,11,110.0,26.0,8,5,11,1617,0.3008415047079325,5.540764510631561
10,11,0,0,0,10.000000000000002,20,10.0,11.906528348674286,42,10.333333333333334,21.28336925839902,51,23.509803921568626,44.0,20,44.0,0.26666666666666666,125671,0.0,0.0,39,0,0,0,0,0.0,25,25,11,74.0,27.0,6,5,11,2713,0.2510105147957802,5.7917750254273415
11,11,0,0,0,10.000000000000002,20,10.0,13.732601078299904,45,20.133333333333333,21.708073624308206,11,26.818181818181817,44.0,20,44.0,0.3,123907,0.0,0.0,26,0,0,2,0,0.0,30,32,10,136.0,6.0,9,2,10,2281,0.3025117050856352,6.0942867305129775
12,10,0,0,0,10.000000000000002,20,10.0,13.666802130168412,42,13.38095238095238,23.574259789710304,30,31.6,44.0,20,44.0,0.3333333333333333,121790,0.0,0.0,37,0,0,2,0,0.0,28,30,12,116.0,3.0,9,1,12,2590,0.25444362312555313,6.34873035363853
13,12,0,0,0,10.000000000000002,20,10.0,13.578238098609042,5,10.0,23.69298282038716,13,25.0,44.0,20,44.0,0.3333333333333333,120844,0.0,0.0,28,0,0,0,0,0.0,31,31,15,98.0,32.0,7,5,15,1455,0.298082884401083,6.646813238039613
14,15,0,0,0,10.000000000000002,20,10.0,11.913524587630668,56,6.375,24.16958543858357,12,29.75,44.0,20,44.0,0.31666666666666665,118115,0.0,0.0,36,0,0,3,0,0.0,31,34,13,171.0,9.0,12,3,13,1794,0.3119637668132782,6.958777004852892
15,13,0,0,0,10.000000000000002,20,10.0,12.117215673544226,22,14.136363636363635,24.799201624429394,22,28.72727272727273,44.0,20,44.0,0.3,117047,0.0,0.0,29,0,0,0,0,0.0,32,32,7,117.0,20.0,9,4,7,2023,0.26620958372950554,7.2249865885823965
16,7,0,0,0,10.000000000000002,20,10.0,11.7659748680869,9,3.333333333333333,26.626947478061535,16,43.0,44.0,20,44.0,0.25,116245,0.0,0.0,28,0,0,0,0,0.0,27,27,9,75.0,6.0,5,2,9,1798,0.31971972249448305,7.544706311076879
17,9,0,0,0,10.000000000000002,20,10.0,12.007131960069687,21,14.333333333333336,26.15998938321921,6,15.0,44.0,20,44.0,0.26666666666666666,115215,0.0,0.0,30,0,0,0,0,0.0,29,29,14,61.0,29.0,5,4,14,1471,0.2829431127756834,7.827649423852563
18,14,0,0,0,10.000000000000002,20,10.0,11.453718193453295,14,3.5,26.23726418720903,11,27.181818181818183,44.0,20,44.0,0.3333333333333333,114105,0.0,0.0,28,0,0,0,0,0.0,32,32,11,157.0,35.0,10,4,11,1428,0.26318784058094025,8.090837264433503
19,11,0,0,0,10.000000000000002,20,10.0,11.253458250982682,11,7.727272727272727,27.35589652060679,10,42.0,44.0,20,44.0,0.3333333333333333,113493,0.0,0.0,28,0,0,1,0,0.0,32,33,10,120.0,22.0,8,3,10,1585,0.4184430334717035,8.509280297905207
20,10,0,0,0,10.000000000000002,20,10.0,10.199370547048716,26,2.730769230769231,26.669483456171342,18,21.83333333333333,44.0,20,44.0,0.3333333333333333,111923,0.0,0.0,31,0,0,0,0,0.0,26,26,12,90.0,18.0,7,3,12,1544,0.25584809854626656,8.765128396451473
21,12,0,0,0,10.000000000000002,20,10.0,10.453665588667887,24,12.458333333333336,26.23835892487039,5,15.0,44.00000000000001,20,44.0,0.3333333333333333,110837,0.0,0.0,33,0,0,1,0,0.0,34,35,12,102.0,37.0,8,4,12,1454,0.2579196225851774,9.02304801903665
22,12,0,0,0,10.000000000000002,20,10.0,10.8347175678649,37,12.810810810810812,28.230285704760767,19,41.0,44.00000000000001,20,44.0,0.3333333333333333,110004,0.0,0.0,29,0,0,2,0,0.0,31,33,9,148.0,19.0,9,3,9,2333,0.2489451859146357,9.271993204951288
23,9,0,0,0,10.000000000000002,20,10.0,10.690045959991377,20,9.2,27.979836081535684,13,25.538461538461537,44.00000000000001,20,44.0,0.2833333333333333,108902,0.0,0.0,28,0,0,0,0,0.0,28,28,13,90.0,22.0,6,3,13,1596,0.27058458141982555,9.542577786371114
24,13,0,0,0,10.000000000000002,20,10.0,11.374722963244658,26,16.73076923076923,27.979836081535684,0,,44.00000000000001,20,44.0,0.31666666666666665,107901,0.0,0.0,28,0,0,0,0,0.0,32,32,13,128.0,28.0,9,4,13,1515,0.32796059362590313,9.870538379997017
25,13,0,0,0,10.000000000000002,20,10.0,11.27105395351362,31,10.580645161290322,28.036489607994014,24,28.33333333333333,44.00000000000001,20,44.0,0.31666666666666665,106345,0.0,0.0,31,0,0,1,0,0.0,31,32,12,148.0,22.0,9,4,12,2088,0.3393504060804844,10.209888786077501
26,12,0,0,0,10.000000000000002,20,10.0,11.930860130665383,29,16.793103448275865,28.033969191216244,10,28.0,44.00000000000001,20,44.0,0.26666666666666666,105319,0.0,0.0,31,0,0,0,0,0.0,33,33,12,113.0,20.0,8,4,12,1847,0.3027736395597458,10.512662425637243
27,12,0,0,0,10.000000000000002,20,10.0,11.832445374277064,3,4.666666666666667,28.796994511080843,7,43.0,44.0,20,44.0,0.3333333333333333,104712,0.0,0.0,25,0,0,0,0,0.0,32,32,12,120.0,12.0,8,4,12,1395,0.21718600392341614,10.72984842956066
28,12,0,0,0,10.000000000000002,20,10.0,12.010254414223285,55,12.654545454545454,29.643659234427496,27,33.51851851851852,43.99999999999999,20,44.0,0.3333333333333333,102700,0.0,0.0,36,0,0,0,0,0.0,28,28,14,92.0,38.0,6,6,14,2681,0.2244733665138483,10.95432179607451
29,14,0,0,0,10.000000000000002,20,10.0,12.581332074525035,16,20.75,29.643659234427496,0,,43.99999999999999,20,44.0,0.3333333333333333,101903,0.0,0.0,25,0,0,0,0,0.0,30,30,11,141.0,20.0,9,5,11,1412,0.2459267433732748,11.200248539447783
30,11,0,0,0,10.000000000000002,20,10.0,13.417304193437516,33,19.0,28.60294208384305,10,14.5,43.99999999999999,20,44.0,0.3333333333333333,100528,0.0,0.0,33,0,0,0,0,0.0,30,30,8,97.0,24.0,7,4,8,1852,0.2077925894409418,11.408041128888724
31,8,0,0,0,10.000000000000002,20,10.0,12.227661632630989,32,3.75,27.50663527207084,11,14.454545454545455,43.99999999999999,20,44.0,0.3333333333333333,98929,0.0,0.0,32,0,0,0,0,0.0,31,31,8,77.0,15.0,5,3,8,1359,0.527295894920826,11.935337023809552
32,8,0,0,0,10.000000000000002,20,10.0,12.242057485041848,15,12.466666666666667,27.712572072525987,15,29.466666666666665,43.99999999999999,20,44.0,0.3333333333333333,97980,0.0,0.0,32,0,0,0,0,0.0,31,31,9,104.0,6.0,6,2,9,1709,0.28813534788787365,12.223472371697426
33,9,0,0,0,10.000000000000002,20,10.0,12.914124751873514,19,20.84210526315789,27.733326777923196,10,28.0,43.99999999999999,20,44.0,0.3333333333333333,97103,0.0,0.0,24,0,0,2,0,0.0,27,29,10,105.0,6.0,7,2,10,1756,0.2743739541620016,12.497846325859427
34,10,0,0,0,10.000000000000002,20,10.0,13.120291027410646,24,15.0,29.27497817157032,14,43.0,43.99999999999999,20,44.0,0.3333333333333333,96228,0.0,0.0,33,0,0,0,0,0.0,30,30,8,108.0,6.0,8,2,8,2042,0.21533953212201595,12.713185857981445
35,8,0,0,0,10.0,20,10.0,13.961866687047458,24,21.625,29.405767295246314,14,30.57142857142857,43.99999999999999,20,44.0,0.3333333333333333,95175,0.0,0.0,30,0,0,0,0,0.0,28,28,11,90.0,19.0,6,2,11,2027,0.26368746906518936,12.976873327046633
36,11,0,0,0,10.0,20,10.0,14.587247731558294,40,18.0,31.748081287540284,26,43.0,43.99999999999999,20,44.0,0.3333333333333333,93874,0.0,0.0,30,0,0,0,0,0.0,30,30,10,118.0,19.0,8,3,10,2918,0.26201311685144896,13.238886443898082
37,10,0,0,0,10.0,20,10.0,15.116282523242722,26,19.846153846153847,32.216328852913016,25,34.76,43.99999999999999,20,44.0,0.3333333333333333,70012,0.0,0.0,24,0,0,0,6,814.1666666666665,28,28,12,99.0,21.0,7,3,12,2345,0.23083528876304624,13.469721732661128
38,12,1,5,1,10.0,11,10.0,15.00862085113207,5,10.0,32.00780239877365,23,30.695652173913047,43.99999999999999,20,44.0,0.3333333333333333,92279,0.0,0.125,22,0,0,0,5,8307.0,22,22,9,109.0,31.0,8,4,9,1746,0.2587774228304625,13.72849915549159
39,9,2,0,0,10.0,6,10.0,15.119730145546145,2,27.0,32.36021920582179,5,43.0,43.99999999999998,20,44.0,0.3333333333333333,91869,0.0,0.125,19,0,0,0,9,17858.3,21,21,8,93.0,9.0,6,3,8,1209,0.21556976065039635,13.944068916141989
40,8,0,0,0,10.0,14,10.0,15.91130399020988,20,23.6,31.957452340133386,11,26.818181818181817,43.99999999999998,20,44.0,0.3333333333333333,91177,0.0,0.125,26,0,0,0,3,4569.1,20,20,7,90.0,9.0,5,3,7,1787,0.1915439646691084,14.135612880811095
41,7,0,0,0,10.0,12,10.0,15.791178221453151,4,10.0,32.3401703981496,29,34.13793103448276,43.99999999999999,20,44.0,0.3333333333333333,90369,0.0,0.125,22,0,0,0,5,9552.3,25,25,4,72.0,9.0,4,3,4,2030,0.1731362547725439,14.308749135583641
42,4,1,0,0,10.0,8,10.0,16.460807205461897,16,23.875,32.986825138301185,12,41.0,43.99999999999999,20,44.0,0.3333333333333333,89942,0.0,0.125,19,0,0,0,6,10175.95,20,20,7,39.0,3.0,3,1,7,1834,0.1830600593239069,14.491809194907546
43,7,1,0,0,10.0,11,10.0,16.9339743894675,19,21.263157894736842,31.67696139190854,11,14.454545454545455,43.99999999999999,20,44.0,0.3333333333333333,88938,0.0,0.125,22,0,0,1,6,12043.9,23,24,4,90.0,6.0,5,2,4,1553,0.1794763971120119,14.671285592019556
44,4,0,0,0,10.0,9,10.0,17.13434773371149,24,18.58333333333333,31.10216202846044,5,15.0,43.99999999999999,20,44.0,0.3333333333333333,87957,0.0,0.125,23,0,0,0,8,16196.9,19,19,6,36.0,6.0,2,2,6,1491,0.13724389299750328,14.808529485017061
45,6,0,0,0,10.0,7,10.0,17.063295774289582,10,15.8,30.47136947916954,5,14.0,43.99999999999999,20,44.0,0.3333333333333333,87365,0.0,0.125,22,0,0,0,8,14536.5,21,21,5,72.0,6.0,4,2,5,1178,0.17019338347017765,14.97872286848724
46,5,0,0,0,10.0,13,10.0,17.403945833260885,6,27.0,29.269036873540877,10,14.6,43.99999999999999,20,44.0,0.3333333333333333,86515,0.0,0.125,21,0,0,0,5,9967.4,21,21,3,72.0,3.0,4,1,3,1318,0.15324784256517887,15.131970711052418
47,3,0,0,0,10.0,9,10.0,17.937606610060595,17,22.882352941176467,32.04372198344334,31,42.67741935483871,43.99999999999999,20,44.0,0.3333333333333333,86018,0.0,0.125,23,0,0,0,6,10383.500000000002,18,18,6,36.0,3.0,2,1,6,2682,0.17768987827003002,15.309660589322448
48,6,0,0,0,10.0,8,10.0,18.137833220155443,4,26.0,32.234876665800506,18,33.666666666666664,43.99999999999999,20,44.0,0.3333333333333333,85389,0.0,0.125,20,0,0,0,6,9138.2,16,16,6,72.0,6.0,4,2,6,1670,0.1986751314252615,15.508335720747711
49,6,0,0,0,10.000000000000002,7,10.0,18.127295434001105,12,18.0,32.08120079738812,14,30.57142857142857,43.99999999999999,20,44.0,0.3333333333333333,84768,0.0,0.125,18,0,0,2,7,11837.35,14,16,5,90.0,3.0,5,1,5,1594,0.1907432321459055,15.699078952893615
50,5,0,0,0,10.0,11,10.0,18.562645504069067,8,26.25,32.61424355942901,7,43.0,43.99999999999999,20,44.0,0.3333333333333333,84313,0.0,0.125,20,0,0,0,4,4570.1,15,15,5,72.0,3.0,4,1,5,1501,0.1769002005457878,15.875979153439404
51,5,0,0,0,10.0,7,10.0,19.26458233688421,14,26.0,31.311516280447783,10,14.5,43.99999999999999,20,44.0,0.3333333333333333,83516,0.0,0.125,21,0,0,1,0,0.0,3,4,6,72.0,3.0,4,1,6,1459,0.2046408075839281,16.08061996102333
52,6,0,0,0,10.0,5,10.0,20.201904110317685,34,23.882352941176467,32.138804018962304,25,36.28,43.99999999999999,20,44.0,0.26666666666666666,82286,0.0,0.125,21,0,0,0,0,0.0,3,3,6,54.0,9.0,3,3,6,2649,0.17317978292703629,16.253799743950367
53,6,0,0,0,10.000000000000002,8,10.0,20.46211383847029,6,27.0,33.56865553160649,26,41.0,44.0,20,44.0,0.3,80741,0.0,0.125,17,0,0,0,2,1.6579558652729385,3,3,6,54.0,9.0,3,3,6,1122,0.13559402525424954,16.389393769204613
54,6,0,0,0,10.000000000000002,14,10.0,20.46211383847029,0,,32.34500114453287,10,14.6,44.00000000000001,20,44.0,0.3333333333333333,70969,0.0,0.125,21,0,0,0,2,114.8968253968254,4,4,6,72.0,6.0,4,2,6,1020,0.1507075373083353,16.540101306512955
55,6,0,11,1,10.000000000000002,9,10.0,20.84853068739004,10,26.3,32.34500114453287,0,,44.00000000000001,6,44.0,0.3333333333333333,82101,0.0,0.25,13,0,0,0,9,68.5170731707317,3,3,5,54.0,9.0,3,3,5,916,0.1039416566491127,16.644042963162065
