,balance,assets,bankrupt,agent_id,step
0,17668.0,153.0,False,00T26@0,0.0
1,17937.0,221.5543783575014,False,00T26@0,5.0
2,18317.0,185.2340371845383,False,00T26@0,10.0
3,18491.0,289.2594112111673,False,00T26@0,15.0
4,18658.0,438.2617010706426,False,00T26@0,20.0
5,18702.0,689.6758763389606,False,00T26@0,25.0
6,19283.0,646.761687834938,False,00T26@0,30.0
7,19589.0,1056.905045316389,False,00T26@0,35.0
8,20005.0,1188.8793869029485,False,00T26@0,40.0
9,20639.0,1226.885170342474,False,00T26@0,45.0
10,20975.0,1258.615184809366,False,00T26@0,50.0
11,21448.0,1256.6062319620994,False,00T26@0,55.0
12,21415.0,1967.486378022016,False,00T26@0,60.0
13,17678.0,136.0,False,01T06@0,0.0
14,18118.0,57.69664864295493,False,01T06@0,5.0
15,18233.0,0.0,False,01T06@0,10.0
16,18233.0,0.0,False,01T06@0,15.0
17,18233.0,0.0,False,01T06@0,20.0
18,18233.0,0.0,False,01T06@0,25.0
19,18233.0,0.0,False,01T06@0,30.0
20,18233.0,0.0,False,01T06@0,35.0
21,18233.0,0.0,False,01T06@0,40.0
22,18233.0,0.0,False,01T06@0,45.0
23,18233.0,0.0,False,01T06@0,50.0
24,18233.0,0.0,False,01T06@0,55.0
25,18233.0,0.0,False,01T06@0,60.0
26,25138.0,0.0,False,02T22@1,0.0
27,24934.0,443.423460113349,False,02T22@1,5.0
28,23905.0,1026.2177767783062,False,02T22@1,10.0
29,23662.0,694.800548589131,False,02T22@1,15.0
30,24807.0,771.6850414525497,False,02T22@1,20.0
31,25534.0,695.1386748214877,False,02T22@1,25.0
32,25861.0,838.0265617165383,False,02T22@1,30.0
33,23407.0,722.4353045763739,False,02T22@1,35.0
34,22166.0,152.9696557458213,False,02T22@1,40.0
35,15699.0,529.7937062092267,False,02T22@1,45.0
36,11861.0,543.9521476632772,False,02T22@1,50.0
37,12850.0,545.4120734550975,False,02T22@1,55.0
38,12452.0,1100.4205826140096,False,02T22@1,60.0
39,25138.0,0.0,False,03T23@1,0.0
40,16270.0,480.80540535795774,False,03T23@1,5.0
41,2117.0,802.680827799666,False,03T23@1,10.0
42,-6081.0,1160.4385530801096,False,03T23@1,15.0
43,-17088.75,1160.0243583725246,True,03T23@1,20.0
44,-17088.75,1123.231897550122,True,03T23@1,25.0
45,-17088.75,1198.4113627529734,True,03T23@1,30.0
46,-17088.75,1293.9003570986501,True,03T23@1,35.0
47,-17088.75,1314.0245855243115,True,03T23@1,40.0
48,-17088.75,1368.9958166352833,True,03T23@1,45.0
49,-17088.75,1290.5551973388147,True,03T23@1,50.0
50,-17088.75,1277.7320781968178,True,03T23@1,55.0
51,-17088.75,1331.4144397138025,True,03T23@1,60.0
52,39510.0,0.0,False,04T22@2,0.0
53,39462.0,1760.240679472322,False,04T22@2,5.0
54,36002.0,5942.310390459008,False,04T22@2,10.0
55,33260.0,9551.040556251764,False,04T22@2,15.0
56,33066.0,11167.746799680272,False,04T22@2,20.0
57,33652.0,11823.09365694882,False,04T22@2,25.0
58,33954.0,12375.4916243578,False,04T22@2,30.0
59,30608.0,16805.529568645612,False,04T22@2,35.0
60,26922.0,21166.11763595,False,04T22@2,40.0
61,24884.0,23919.526089758467,False,04T22@2,45.0
62,22762.0,26215.349221021774,False,04T22@2,50.0
63,22621.0,26757.11078383841,False,04T22@2,55.0
64,24715.0,24906.323441077297,False,04T22@2,60.0
65,39510.0,0.0,False,05T35@2,0.0
66,38365.0,1170.4813589446444,False,05T35@2,5.0
67,33123.0,6494.572457327018,False,05T35@2,10.0
68,27633.0,11625.846552011486,False,05T35@2,15.0
69,24404.0,15209.058673397893,False,05T35@2,20.0
70,21786.0,17468.476989127845,False,05T35@2,25.0
71,19775.0,19463.19027277169,False,05T35@2,30.0
72,14851.0,26007.670964749457,False,05T35@2,35.0
73,12279.0,28987.74976383314,False,05T35@2,40.0
74,5306.0,36146.890278078536,False,05T35@2,45.0
75,109.0,40736.65968742669,False,05T35@2,50.0
76,-45992.0,42845.523678208905,True,05T35@2,55.0
77,-45992.0,41737.38066914566,True,05T35@2,60.0
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
