index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,trading_price_5,sold_quantity_5,unit_price_5,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,22.0,0,,35.0,0,,40.0,0,,54.0,0,,0.1,544318,0.0,0.0,10,0,0,0,0,0.0,420,420,112,0.0,0.0,0,0,112,200,2.0029503107070923,2.0029503107070923
1,112,0,0,0,10.0,20,10.0,14.019230769230768,7,1.2857142857142858,18.821428571428573,11,5.8181818181818175,30.49090909090909,10,10.2,38.77049180327869,16,35.3125,54.0,0,,0.37,542364,0.0,0.0,25,0,0,9,0,0.0,91,100,70,1197.0,307.0,81,31,70,940,2.9994457960128784,5.002396106719972
2,70,0,0,0,10.0,20,10.0,11.727112676056338,10,1.0,18.591439688715955,1,7.0,22.62649006622517,26,7.653846153846153,37.93888166449935,22,35.86363636363637,54.0,0,,0.32,538964,0.0,0.0,25,0,0,3,0,0.0,55,58,45,415.0,149.0,36,34,45,1205,1.4190636109560728,6.421459717676044
3,45,0,0,0,10.0,20,10.0,11.395046329294367,5,8.0,18.44488658973339,4,16.75,19.728259712613088,26,12.153846153846152,37.800147765053566,12,37.0,54.0,0,,0.26,536705,0.0,0.0,22,0,0,0,0,0.0,43,43,44,230.0,83.0,23,22,44,1067,1.036807544529438,7.4582672622054815
4,44,0,0,0,10.0,20,10.0,10.161704382306693,8,2.375,19.798271508340157,11,25.363636363636363,18.388648672449477,29,14.482758620689655,38.015462487096094,17,38.941176470588225,54.0,0,,0.34,534679,0.0,0.0,24,0,0,5,0,0.0,36,41,44,235.0,90.0,21,23,44,1580,1.239598512649536,8.697865774855018
5,44,0,0,0,10.0,20,10.0,9.337903704602184,10,5.0,16.239128430716722,34,10.941176470588236,20.43835910601864,24,29.16666666666667,37.763832793404866,11,35.90909090909091,54.0,20,54.0,0.4,531179,0.0,0.0,34,0,0,3,0,0.0,44,47,32,267.0,57.0,25,19,32,2797,0.734601678326726,9.432467453181744
6,32,0,0,0,10.0,20,10.0,16.793131275642843,89,21.516853932584272,16.29698856832683,2,18.5,23.512345424010665,29,35.55172413793103,38.072115849044884,34,38.8235294117647,54.0,20,54.0,0.4,527079,0.0,0.0,43,0,0,3,0,0.0,38,41,34,168.0,39.0,19,13,34,5583,0.6081631872802973,10.04063064046204
7,34,0,0,0,10.0,20,10.0,18.115289174745726,78,20.33333333333333,18.929785177195086,31,24.903225806451612,24.231980021025706,33,27.03030303030303,38.17152443325661,9,39.333333333333336,54.0,20,54.0,0.4,521846,0.0,0.0,43,0,0,2,0,0.0,40,42,30,170.0,51.0,17,17,30,4884,0.5589463282376528,10.599576968699694
8,30,0,0,0,10.0,20,10.0,18.825469858889047,20,25.5,19.29806162235923,45,20.044444444444444,24.44532957598319,27,25.592592592592588,37.164676353944785,15,30.266666666666666,54.0,20,54.0,0.4,519171,0.0,0.0,38,0,0,3,0,0.0,27,30,25,129.0,70.0,11,19,25,3837,0.5222737230360508,11.121850691735744
9,25,0,0,0,10.000000000000002,20,10.0,18.769476822073468,76,18.63157894736842,17.138119741668163,49,11.734693877551019,24.51236623413692,9,25.66666666666667,37.233249148702825,16,37.6875,54.0,20,54.0,0.4,513887,0.0,0.0,34,0,0,1,0,0.0,36,37,30,149.0,47.0,12,13,30,4105,1.0364956744015217,12.158346366137266
10,30,0,0,0,10.000000000000002,20,10.0,18.750400032582213,46,18.65217391304348,19.008911191743604,12,43.08333333333334,24.60241553522707,46,24.89130434782609,40.65694524849775,23,57.0,54.0,20,54.0,0.4,509760,0.0,0.0,44,0,0,0,0,0.0,37,37,27,181.0,94.0,15,15,27,5111,0.6711627431213856,12.829509109258652
11,27,0,0,0,10.000000000000002,20,10.0,21.02895324667013,102,26.715686274509807,19.72926566098488,7,35.142857142857146,23.05577265152504,26,12.692307692307693,39.445427414852375,13,28.30769230769231,53.99999999999999,20,54.0,0.4,502772,0.0,0.0,36,0,0,1,0,0.0,35,36,29,185.0,45.0,14,13,29,4949,0.5963703114539385,13.42587942071259
12,29,0,0,0,10.000000000000002,20,10.0,19.94956985136477,32,9.125,21.15463839339315,38,26.447368421052627,23.734838268293963,24,28.83333333333333,44.1578225494544,38,58.94736842105264,53.99999999999999,20,54.0,0.4,498993,0.0,0.0,34,0,0,0,0,0.0,38,38,29,174.0,51.0,15,14,29,5509,0.6188434660434723,14.044722886756064
13,29,0,0,0,10.000000000000002,20,10.0,20.273506624565197,26,24.23076923076923,22.825419355248087,19,37.0,24.72621490460313,8,47.5,43.16831490578859,30,38.5,53.99999999999999,20,54.0,0.4,495880,0.0,0.0,35,0,0,1,0,0.0,37,38,28,190.0,53.0,16,13,28,4148,0.6326940804719925,14.677416967228055
14,28,0,0,0,10.000000000000002,20,10.0,21.056577854192213,50,25.9,24.05835859239048,18,35.166666666666664,25.86219345321126,15,38.93333333333333,42.35806564007303,17,35.0,54.00000000000001,20,54.0,0.4,493139,0.0,0.0,36,0,0,0,0,0.0,37,37,21,202.0,39.0,15,13,21,4387,0.5952282510697842,15.27264521829784
15,21,0,0,0,10.000000000000002,20,10.0,21.45308549545318,15,30.0,27.43040431719321,33,44.0,25.670262216572084,20,24.05,43.158184362905494,29,47.41379310344828,54.00000000000001,20,54.0,0.4,489949,0.0,0.0,34,0,0,0,0,0.0,33,33,23,124.0,33.0,10,11,23,5038,0.4618394430726767,15.734484661370516
16,23,0,0,0,10.000000000000002,20,10.0,22.49218940654074,52,28.57692307692308,26.51596795595639,7,3.571428571428572,25.96979176990619,30,27.66666666666667,42.65374645327324,11,35.09090909090909,54.0,20,54.0,0.4,486007,0.0,0.0,38,0,0,0,0,0.0,34,34,27,123.0,48.0,12,11,27,4007,0.5961145609617233,16.33059922233224
17,27,0,0,0,10.000000000000002,20,10.0,22.35232439701846,11,18.272727272727273,25.331768637155648,8,1.0,25.78563078272605,18,23.944444444444446,44.52683869517806,35,53.0,54.00000000000001,20,54.0,0.4,483275,0.0,0.0,36,0,0,2,0,0.0,37,39,24,185.0,45.0,16,11,24,3775,0.5296628996729851,16.860262122005224
18,24,0,0,0,10.000000000000002,20,10.0,22.70586279239437,53,24.698113207547173,25.53079599269061,4,33.25,25.95008432404495,6,30.83333333333333,45.62281173803236,31,51.774193548387096,54.00000000000001,20,54.0,0.35,480270,0.0,0.0,38,0,0,0,0,0.0,31,31,24,123.0,63.0,10,14,24,4512,0.5258773230016232,17.386139445006847
19,24,0,0,0,10.000000000000002,20,10.0,22.315451229476565,43,19.44186046511628,26.672795137119746,17,36.29411764705883,26.59252472546316,11,36.27272727272727,45.86375331590368,18,48.33333333333334,54.00000000000001,20,54.0,0.28,477847,0.0,0.0,37,0,0,0,0,0.0,37,37,23,162.0,66.0,12,12,23,4002,0.5391014348715544,17.925240879878398
20,23,0,0,0,10.000000000000002,20,10.0,22.83808132127765,50,26.22,27.060023284810647,36,28.61111111111112,27.534204836255817,6,52.5,47.56138966829174,10,78.5,54.00000000000002,20,54.0,0.4,475421,0.0,0.0,38,0,0,1,0,0.0,33,34,22,184.0,45.0,13,10,22,4721,0.5415090322494507,18.46674991212785
21,22,0,0,0,10.000000000000002,20,10.0,23.086291988966657,18,27.722222222222218,26.293313632182056,8,10.75,29.40005489083113,12,52.5,48.72031005333189,9,71.0,54.00000000000002,20,54.0,0.35,474430,0.0,0.0,29,0,0,1,0,0.0,36,37,20,171.0,24.0,14,8,20,3134,0.5222019962966442,18.988951908424497
22,20,0,0,0,10.000000000000002,20,10.0,22.55272538212971,87,20.59770114942529,26.25086412362184,2,23.0,29.09688997320727,29,27.58620689655172,49.951427769743155,14,64.35714285714286,54.00000000000002,20,54.0,0.31,469732,0.0,0.0,37,0,0,0,0,0.0,34,34,22,130.0,24.0,12,8,22,4819,0.8146578166633844,19.803609725087878
23,22,0,0,0,10.000000000000002,20,10.0,22.499331303154307,1,3.0,27.94758988222471,18,41.111111111111114,29.14264872960021,13,29.69230769230769,50.02284225837305,25,50.48,54.00000000000002,20,54.0,0.3,467745,0.0,0.0,33,0,0,0,0,0.0,35,35,18,177.0,27.0,13,9,18,3671,0.4503228273242712,20.253932552412152
24,18,0,0,0,10.000000000000002,20,10.0,22.88646261956316,14,32.0,32.67687243183702,65,43.0,30.455685390033423,9,52.66666666666666,49.91526444981918,1,32.0,54.00000000000002,20,54.0,0.31,466084,0.0,0.0,29,0,0,1,0,0.0,29,30,22,115.0,27.0,9,9,22,5029,0.5479760225862265,20.80190857499838
25,22,0,0,0,10.000000000000002,20,10.0,22.7946158375672,37,22.027027027027025,31.87462952561044,5,2.0,30.91230234623825,3,53.0,50.85070212906232,7,71.0,54.00000000000002,20,54.0,0.35,464778,0.0,0.0,27,0,0,0,0,0.0,34,34,20,164.0,27.0,13,9,20,2761,0.4721346162259578,21.274043191224337
26,20,0,0,0,10.000000000000002,20,10.0,23.094195686406504,60,24.65,31.71357429538371,1,4.0,31.43082881101603,9,39.111111111111114,52.03198384244028,8,73.0,54.00000000000002,20,54.0,0.31,462346,0.0,0.0,33,0,0,0,0,0.0,31,31,20,121.0,30.0,10,10,20,3699,0.4274180606007576,21.701461251825094
27,20,0,0,0,10.000000000000002,20,10.0,23.94745736539535,64,28.40625,30.37809181233854,8,4.375,30.357667050841687,32,26.0625,52.553021556418855,3,76.0,54.00000000000001,20,54.0,0.37,458092,0.0,0.0,37,0,0,0,0,0.0,35,35,19,150.0,24.0,12,8,19,4195,0.4795284233987331,22.180989675223827
28,19,0,0,0,10.000000000000002,20,10.0,23.853459862199394,2,7.0,30.20033076060829,1,4.0,31.833760417947946,22,41.5,52.553021556418855,0,,54.00000000000001,20,54.0,0.31,456847,0.0,0.0,31,0,0,1,0,0.0,35,36,18,160.0,18.0,13,6,18,2211,0.4007903840392828,22.58178005926311
29,18,0,0,0,10.000000000000002,20,10.0,23.378066787178522,51,20.352941176470583,29.036963415591373,10,13.5,32.631372324922445,6,52.5,52.314639289338615,21,50.904761904761905,54.00000000000001,20,54.0,0.37,454481,0.0,0.0,35,0,0,1,0,0.0,31,32,19,119.0,34.0,10,8,19,3837,0.3753603342920542,22.957140393555164
30,19,0,0,0,10.000000000000002,20,10.0,23.2978092632518,34,22.5,31.164214712206626,68,35.20588235294117,33.84330271554337,10,50.8,51.77405451836835,6,40.0,54.0,20,54.0,0.4,452580,0.0,0.0,39,0,0,0,0,0.0,35,35,25,126.0,40.0,10,9,25,5187,0.5343787353485823,23.49151912890375
