index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,30.0,0,,38.0,0,,0.16666666666666666,323658,0.0,0.0,10,0,0,18,0,0.0,574,592,116,0.0,0.0,0,0,116,200,2.7642945665866137,2.7642945665866137
1,116,0,0,0,10.0,20,10.0,17.0,0,,22.526881720430108,48,15.520833333333336,38.0,0,,0.16666666666666666,320228,0.0,0.0,18,0,0,17,0,0.0,62,79,56,1159.0,181.0,61,55,56,945,3.3850040826946497,6.1492986492812625
2,56,0,0,0,10.0,20,10.0,15.065573770491802,16,9.625,22.526881720430108,0,,38.0,0,,0.16666666666666666,319636,0.0,0.0,10,0,0,5,0,0.0,35,40,29,456.0,144.0,24,32,29,354,1.7254984602332115,7.874797109514475
3,29,0,0,0,10.0,20,10.0,14.653650254668932,4,9.0,21.599799398194584,16,16.75,38.0,20,38.0,0.18333333333333332,318422,0.0,0.0,21,0,0,3,0,0.0,23,26,31,209.0,99.0,11,18,31,1264,1.5289019308984282,9.403699040412905
4,31,0,0,0,10.0,20,10.0,13.6917133767611,13,9.76923076923077,21.089334548769365,9,16.0,38.0,20,38.0,0.18333333333333332,317295,0.0,0.0,20,0,0,6,0,0.0,23,29,26,250.0,51.0,14,17,26,1231,1.5043347366154194,10.908033777028322
5,26,0,0,0,10.0,20,10.0,11.660380947205393,51,9.294117647058824,20.57016871557477,9,15.444444444444445,38.0,20,38.0,0.2,314897,0.0,0.0,24,0,0,4,0,0.0,22,26,28,171.0,83.0,9,17,28,1573,0.4065193720161915,11.314553149044515
6,28,0,0,0,10.0,20,10.0,14.757539311293993,32,24.375,20.371619603502943,4,16.0,38.0,20,38.0,0.16666666666666666,314271,0.0,0.0,20,0,0,3,0,0.0,27,30,27,209.0,115.0,11,17,27,1804,1.8348908945918083,13.149444043636322
7,27,0,0,0,10.0,20,10.0,14.28086351282789,44,13.0,20.07645319817875,6,16.0,38.0,20,38.0,0.21666666666666667,312824,0.0,0.0,25,0,0,4,0,0.0,23,27,27,190.0,99.0,10,17,27,1628,2.027142932638526,15.176586976274848
8,27,0,0,0,10.0,20,10.0,13.000089811233973,38,8.078947368421053,19.266308495562253,18,15.666666666666664,38.0,20,38.0,0.21666666666666667,310548,0.0,0.0,24,0,0,4,0,0.0,22,26,31,190.0,67.0,10,17,31,1549,1.853901743888855,17.030488720163707
9,31,0,0,0,10.000000000000002,20,10.0,14.547080662848272,49,19.775510204081638,18.723619606868752,15,15.533333333333333,37.99999999999999,20,38.0,0.18333333333333332,309153,0.0,0.0,25,0,0,8,0,0.0,26,34,29,252.0,64.0,15,16,29,2162,2.2449940815567966,19.2754828017205
10,29,0,0,0,10.000000000000002,20,10.0,15.092303144369787,40,17.725,18.139596481891772,16,14.75,38.0,20,38.0,0.2,307363,0.0,0.0,26,0,0,7,0,0.0,22,29,24,228.0,147.0,12,17,24,1905,2.1346710082143545,21.41015380993485
11,24,0,0,0,10.000000000000002,20,10.0,15.157783393733663,27,15.666666666666664,17.82588160052822,13,15.461538461538463,37.99999999999999,20,38.0,0.16666666666666666,305950,0.0,0.0,22,0,0,5,0,0.0,25,30,24,193.0,87.0,11,13,24,1584,2.2714976891875267,23.68165149912238
12,24,0,0,0,10.000000000000002,20,10.0,14.85534136932667,59,13.762711864406779,17.587470630339972,15,16.0,38.00000000000001,20,38.0,0.21666666666666667,303440,0.0,0.0,24,0,0,5,0,0.0,25,30,21,193.0,119.0,11,13,21,2012,2.2429135516285896,25.92456505075097
13,21,0,0,0,10.000000000000002,20,10.0,14.036035914063186,102,12.068627450980392,17.587470630339972,0,,38.0,20,38.0,0.26666666666666666,299874,0.0,0.0,25,0,0,5,0,0.0,22,27,20,171.0,132.0,9,12,20,2191,2.8311953619122505,28.755760412663218
14,20,0,0,0,10.000000000000002,20,10.0,13.719354863696244,61,12.098360655737705,17.042702562080677,31,15.225806451612904,38.00000000000001,20,38.0,0.16666666666666666,296226,0.0,0.0,25,0,0,1,0,0.0,25,26,27,152.0,132.0,8,12,27,2170,2.297447707504034,31.053208120167252
15,27,0,0,0,10.000000000000002,20,10.0,13.58171516899047,9,8.444444444444445,17.273884793349414,33,18.12121212121212,38.00000000000001,20,38.0,0.16666666666666666,294013,0.0,0.0,22,0,0,5,0,0.0,23,28,29,209.0,96.0,11,16,29,1634,2.356338383629918,33.40954650379717
16,29,0,0,0,10.000000000000002,20,10.0,13.58171516899047,0,,16.712476624951822,39,14.717948717948715,38.00000000000001,20,38.0,0.16666666666666666,291246,0.0,0.0,21,0,0,7,0,0.0,21,28,29,196.0,131.0,12,17,29,1534,2.381561610847712,35.791108114644885
17,29,0,0,0,10.000000000000002,20,10.0,14.335382314967944,21,25.476190476190478,16.513423862166974,23,15.130434782608695,38.00000000000001,20,38.0,0.16666666666666666,289680,0.0,0.0,22,0,0,7,0,0.0,25,32,28,247.0,112.0,13,16,28,1843,2.4775237385183573,38.26863185316324
