index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,33.0,0,,44.0,0,,59.0,0,,0.0,1016128,0.0,0.0,11,0,0,345,0,0.0,1325,1670,44,0.0,0.0,0,0,44,200,1.7225113213062286,1.7225113213062286
1,44,0,0,0,10.0,20,10.0,17.641509433962266,8,10.0,33.0,0,,36.714285714285715,25,23.6,59.0,0,,0.275,1014286,0.0,0.0,25,0,0,8,0,0.0,48,56,29,630.0,140.0,35,9,29,870,65.31306509301065,67.03557641431689
2,29,0,0,0,10.0,20,10.0,17.484599589322382,1,10.0,35.41509433962264,8,49.0,32.57608695652174,29,23.58620689655172,59.0,0,,0.2625,1012005,0.0,0.0,18,0,0,10,0,0.0,27,37,25,306.0,112.0,17,12,25,1286,44.52181921899319,111.55739563331007
3,25,0,0,0,10.0,20,10.0,17.317644434530443,1,10.0,36.46615087040619,4,49.0,28.27110157367668,57,22.017543859649123,59.0,0,,0.2625,1007426,0.0,0.0,19,0,0,7,0,0.0,27,34,26,234.0,111.0,13,12,26,1661,45.56223877519369,157.11963440850374
4,26,0,0,0,10.0,20,10.0,16.972040522351048,2,10.0,38.304969741426746,8,49.0,26.798132096203155,38,21.921052631578952,59.0,20,59.0,0.275,1005639,0.0,0.0,31,0,0,7,0,0.0,28,35,26,234.0,114.0,13,13,26,2625,40.554928548634045,197.67456295713782
5,26,0,0,0,10.0,20,10.0,16.463284710415124,3,10.0,39.11097085366543,4,49.0,25.772736389253808,52,22.865384615384613,59.0,20,59.0,0.2875,1002419,0.0,0.0,33,0,0,2,0,0.0,34,36,25,252.0,100.0,14,12,25,2795,72.37312347628176,270.0476864334196
6,25,0,0,0,10.0,20,10.0,16.131843305837496,2,10.0,39.87505529338817,4,49.0,24.991408038006057,88,23.397727272727273,59.0,20,59.0,0.275,994229,0.0,0.0,34,0,0,2,0,0.0,33,35,25,216.0,103.0,12,13,25,3655,80.88992018438876,350.9376066178084
7,25,0,0,0,10.0,20,10.0,15.801294295245107,2,10.0,40.59650358344549,4,49.0,24.61682873643123,70,23.32857142857143,59.0,10,59.0,0.275,989172,0.0,0.0,26,0,0,2,0,0.0,32,34,26,198.0,120.0,11,14,26,2639,63.84232002310454,414.77992664091283
8,26,0,0,0,10.0,20,10.0,15.473452971413096,2,10.0,41.92704351901094,8,49.5,24.272892994624748,41,21.92682926829268,59.0,10,59.0,0.275,986453,0.0,0.0,31,0,0,3,0,0.0,32,35,25,252.0,98.0,14,12,25,2105,47.4633350558579,462.2432616967708
9,25,0,0,0,10.000000000000002,20,10.0,15.473452971413096,0,,42.46924213308464,4,49.0,24.14399686937698,50,23.4,59.0,10,59.0,0.25,983336,0.0,0.0,26,0,0,3,0,0.0,30,33,25,216.0,103.0,12,13,25,2156,81.77337707951666,544.0166387762874
10,25,0,0,0,10.000000000000002,20,10.0,15.150075413922028,2,10.0,43.49260789482703,8,49.5,23.79207145209527,95,22.663157894736838,59.0,10,59.0,0.275,974582,0.0,0.0,26,0,0,10,0,0.0,27,37,25,216.0,103.0,12,13,25,3359,80.74109761044383,624.7577363867313
11,25,0,0,0,10.000000000000002,20,10.0,14.688414375573972,3,10.0,44.32891851747034,8,49.5,23.73830116107203,56,23.392857142857146,58.99999999999999,10,59.0,0.2875,970713,0.0,0.0,31,0,0,8,0,0.0,28,36,24,234.0,84.0,13,12,24,2526,61.42177726328373,686.179513650015
12,24,0,0,0,10.000000000000002,20,10.0,14.396482690191712,2,10.0,45.27138299940629,12,49.33333333333334,23.734376029316202,2,23.0,59.0,10,59.0,0.275,970557,0.0,0.0,23,0,0,7,0,0.0,26,33,23,180.0,106.0,10,14,23,1448,75.74699862860143,761.9265122786163
13,23,0,0,0,10.000000000000002,20,10.0,14.1119938757849,2,10.0,45.974272492740496,12,49.33333333333334,23.74251193343079,34,23.823529411764714,59.0,10,59.0,0.275,968536,0.0,0.0,26,0,0,3,0,0.0,31,34,25,180.0,103.0,10,13,25,2212,80.05767166242003,841.9841839410366
14,25,0,0,0,10.000000000000002,20,10.0,13.83617989095186,2,10.0,46.21674069235907,4,50.0,23.68504856074761,69,23.405797101449274,59.0,9,59.0,0.275,963464,0.0,0.0,28,0,0,4,0,0.0,30,34,24,216.0,103.0,12,13,24,2566,83.13248877599834,925.1166727170347
15,24,0,0,0,10.000000000000002,20,10.0,13.57010590618989,2,10.0,46.60431046285275,8,49.5,23.615844214445662,62,23.20967741935484,59.0,10,59.0,0.275,958712,0.0,0.0,29,0,0,2,0,0.0,32,34,25,216.0,98.0,12,12,25,2645,49.806775009259574,974.9234477262944
16,25,0,0,0,10.000000000000002,20,10.0,13.314659464686859,2,10.0,46.94007132226017,8,49.5,23.575252580643816,34,23.117647058823533,58.99999999999999,11,59.0,0.275,956804,0.0,0.0,26,0,0,6,0,0.0,29,35,23,216.0,103.0,12,13,23,2051,66.9422621075064,1041.8657098338008
17,23,0,0,0,10.000000000000002,20,10.0,12.961493901135741,3,10.0,47.064736637788286,4,49.0,23.476115408016305,74,22.97297297297297,59.0,10,59.0,0.2875,950355,0.0,0.0,28,0,0,5,0,0.0,25,30,25,180.0,101.0,10,13,25,2716,50.75399920158089,1092.6197090353817
18,25,0,0,0,10.000000000000002,20,10.0,12.849064985065358,1,10.0,47.18667137974893,4,49.0,23.37342172050353,47,22.489361702127663,59.0,9,59.0,0.2625,947553,0.0,0.0,24,0,0,5,0,0.0,29,34,25,198.0,121.0,11,14,25,1994,67.9466593246907,1160.5663683600724
19,25,0,0,0,10.000000000000002,20,10.0,12.733750580743962,1,10.0,47.69275465521046,16,49.5,23.383746350075434,49,23.469387755102037,59.0,11,59.0,0.2625,943844,0.0,0.0,30,0,0,2,0,0.0,30,32,26,198.0,120.0,11,14,26,2801,69.34785935655236,1229.9142277166247
20,26,0,0,0,10.000000000000002,20,10.0,12.616100269425381,1,10.0,47.94572534245971,12,49.33333333333334,23.2330320838033,72,22.375,58.99999999999999,9,59.0,0.2625,937182,0.0,0.0,30,0,0,8,0,0.0,28,36,23,270.0,82.0,15,11,23,2944,77.13817926682532,1307.05240698345
21,23,0,0,0,10.000000000000002,20,10.0,12.496712400195856,1,10.0,48.10505494437773,8,49.5,23.226992291556577,60,23.18333333333333,59.0,11,59.0,0.2625,932512,0.0,0.0,25,0,0,9,0,0.0,24,33,25,180.0,103.0,10,13,25,2646,81.55946970358491,1388.611876687035
22,25,0,0,0,10.000000000000002,20,10.0,12.167060491030053,3,10.0,48.207157883971824,4,50.0,23.18197794744618,11,21.363636363636363,59.0,10,59.0,0.2875,932103,0.0,0.0,23,0,0,4,0,0.0,30,34,24,216.0,103.0,12,13,24,1255,68.44324491173029,1457.0551215987653
23,24,0,0,0,10.000000000000002,20,10.0,11.973997145010605,2,10.0,48.378628427108424,12,49.33333333333334,23.241848253999446,35,23.942857142857147,59.0,7,59.0,0.275,929446,0.0,0.0,23,0,0,5,0,0.0,28,33,24,198.0,87.0,11,13,24,2063,65.08256091177465,1522.1376825105401
24,24,0,0,0,10.000000000000002,20,10.0,11.718786145504911,3,10.0,48.411798457028674,4,49.0,23.208065259148288,65,23.0,59.0,12,59.0,0.2875,923681,0.0,0.0,27,0,0,15,0,0.0,19,34,23,198.0,87.0,11,13,23,2629,65.2743576169014,1587.412040127441
25,23,0,0,0,10.000000000000002,20,10.0,11.442496898172289,4,10.0,48.44473315717644,4,49.0,23.181436345656987,78,23.038461538461537,59.0,11,59.0,0.3,917509,0.0,0.0,32,0,0,6,0,0.0,24,30,25,180.0,101.0,10,13,25,2882,53.80421421676874,1641.2162543442098
26,25,0,0,0,10.000000000000002,20,10.0,11.324237537124391,2,10.0,48.53582471250695,4,50.0,23.133836139386773,32,22.46875,58.99999999999999,10,59.0,0.275,915619,0.0,0.0,25,0,0,2,0,0.0,29,31,26,180.0,139.0,10,15,26,1729,68.79266842268407,1710.0089227668939
27,26,0,0,0,10.000000000000002,20,10.0,11.16504842291308,3,10.0,48.72053942798983,12,49.66666666666666,23.200559772068807,51,23.764705882352942,58.99999999999999,10,59.0,0.2875,912068,0.0,0.0,31,0,0,5,0,0.0,32,37,23,270.0,81.0,15,11,23,2628,72.87606756389141,1782.8849903307855
28,23,0,0,0,10.000000000000002,20,10.0,11.069788217497651,2,10.0,48.750703005994424,8,49.0,23.198834543349466,44,23.181818181818183,58.99999999999999,9,59.0,0.275,908344,0.0,0.0,25,0,0,3,0,0.0,26,29,23,198.0,83.0,11,12,23,2163,47.62672458030284,1830.5117149110886
29,23,0,0,0,10.000000000000002,20,10.0,11.023304595923973,1,10.0,48.830941685905685,8,49.5,23.186424882594434,34,23.029411764705888,58.99999999999999,11,59.0,0.2625,906389,0.0,0.0,24,0,0,4,0,0.0,27,31,25,180.0,103.0,10,13,25,2038,76.90089098736644,1907.4126058984548
30,25,0,0,0,10.000000000000002,20,10.0,10.933196704085576,2,10.0,48.89658580808013,4,50.0,22.98257069368627,48,21.20833333333333,59.0,10,59.0,0.275,903130,0.0,0.0,30,0,0,5,0,0.0,31,36,25,216.0,103.0,12,13,25,2028,58.33508025668562,1965.7476861551404
31,25,0,0,0,10.000000000000002,20,10.0,10.889673959136083,1,10.0,49.017997773001404,12,49.66666666666666,23.035445082012743,80,23.3125,59.00000000000001,10,59.0,0.2625,896631,0.0,0.0,29,0,0,4,0,0.0,27,31,25,216.0,100.0,12,13,25,3261,46.646946417167776,2012.394632572308
32,25,0,0,0,10.000000000000002,20,10.0,10.806126409417908,2,10.0,49.06840240067438,8,49.5,23.09863902962554,67,23.52238805970149,59.00000000000001,8,59.0,0.275,890954,0.0,0.0,26,0,0,9,0,0.0,23,32,25,216.0,103.0,12,13,25,2664,75.57413071021438,2087.9687632825226
33,25,0,0,0,10.000000000000002,20,10.0,10.697031607051851,3,10.0,49.061281891969465,8,49.0,23.223083956491532,77,23.97402597402597,59.00000000000001,11,59.0,0.2875,884882,0.0,0.0,29,0,0,11,0,0.0,22,33,26,198.0,121.0,11,14,26,3117,82.46148471161723,2170.43024799414
34,26,0,0,0,10.000000000000002,20,10.0,10.663761864263444,1,10.0,49.10676492485872,8,49.5,23.197004620964236,29,22.75862068965517,59.0,11,59.0,0.2625,883115,0.0,0.0,23,0,0,6,0,0.0,30,36,25,252.0,99.0,14,12,25,1915,64.32499404251575,2234.7552420366555
35,25,0,0,0,10.0,20,10.0,10.600109444312054,2,10.0,49.18925563721895,12,49.66666666666666,23.19469973415328,62,23.177419354838708,59.0,10,59.0,0.275,878528,0.0,0.0,26,0,0,9,0,0.0,24,33,25,216.0,101.0,12,13,25,2843,53.61378101445735,2288.369023051113
36,25,0,0,0,10.0,20,10.0,10.542323942245016,2,10.0,49.23120634217475,4,50.0,23.258227425898728,46,23.91304347826087,59.0,10,59.0,0.275,875873,0.0,0.0,23,0,0,11,0,0.0,24,35,24,234.0,85.0,13,12,24,2110,75.7647183034569,2364.13374135457
37,24,0,0,0,10.0,20,10.0,10.489908321182227,2,10.0,49.25892630458914,8,49.5,23.3099674622682,38,23.947368421052627,59.0,10,59.0,0.275,873633,0.0,0.0,25,0,0,11,0,0.0,19,30,25,180.0,105.0,10,14,25,2116,64.40311773307621,2428.536859087646
38,25,0,0,0,10.0,20,10.0,10.442399517622516,2,10.0,49.25892630458914,0,,23.17309699359691,54,22.01851851851852,59.0,10,59.0,0.275,869754,0.0,0.0,29,0,0,9,0,0.0,27,36,24,234.0,85.0,13,12,24,1999,79.3015731461346,2507.838432233781
39,24,0,0,0,10.0,20,10.0,10.39936769870725,2,10.0,49.26983954257081,12,49.33333333333334,23.25046157300857,50,23.96,59.0,9,59.0,0.275,866187,0.0,0.0,27,0,0,5,0,0.0,26,31,25,180.0,105.0,10,14,25,2541,64.4793539121747,2572.3177861459553
40,25,0,0,0,9.999999999999998,20,10.0,10.34365585223682,3,10.0,49.29239462826578,8,49.5,23.2666306260784,21,23.619047619047624,59.00000000000001,10,59.0,0.2875,865080,0.0,0.0,28,0,0,4,0,0.0,29,33,23,216.0,103.0,12,13,23,1712,75.45759475044906,2647.7753808964044
41,23,0,0,0,9.999999999999998,20,10.0,10.311470533450068,2,10.0,49.34494157148092,12,49.66666666666666,23.259465829843677,62,23.20967741935484,59.0,11,59.0,0.275,860619,0.0,0.0,25,0,0,2,0,0.0,29,31,22,216.0,66.0,12,11,22,2904,65.8414738047868,2713.616854701191
42,22,0,0,0,9.999999999999998,20,10.0,10.269416554049501,3,10.0,49.359548310625655,8,49.5,23.29136221171045,75,23.48,59.0,8,59.0,0.2875,854763,0.0,0.0,27,0,0,8,0,0.0,21,29,25,144.0,104.0,8,14,25,2859,64.11696881987154,2777.733823521063
43,25,0,0,0,9.999999999999998,20,10.0,10.234271298448984,3,10.0,49.420231702777976,8,50.0,23.303863424228872,17,23.64705882352941,59.0,11,59.0,0.2875,853924,0.0,0.0,23,0,0,6,0,0.0,27,33,24,216.0,103.0,12,13,24,1681,72.20586640015243,2849.939689921215
44,24,0,0,0,9.999999999999998,20,10.0,10.223474223836627,1,10.0,49.399217149689505,4,49.0,23.253408155081573,63,22.904761904761905,59.00000000000001,11,59.0,0.2625,849178,0.0,0.0,22,0,0,6,0,0.0,24,30,25,180.0,103.0,10,14,25,2498,50.06324991956353,2900.0029398407787
45,25,0,0,0,10.0,20,10.0,10.223474223836627,0,,49.4308415310398,4,50.0,23.272337246235885,90,23.36666666666667,59.00000000000001,9,59.0,0.25,840772,0.0,0.0,27,0,0,12,0,0.0,25,37,25,216.0,103.0,12,13,25,3034,83.78989956341684,2983.7928394041955
46,25,0,0,0,10.0,20,10.0,10.202712863220695,2,10.0,49.43808412312325,8,49.5,23.306184864886518,64,23.5625,59.00000000000001,11,59.0,0.275,836079,0.0,0.0,29,0,0,12,0,0.0,24,36,25,216.0,103.0,12,13,25,2773,82.74586628191173,3066.5387056861077
