index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,24.0,0,,37.0,0,,0.15,203050,0.0,0.0,13,0,0,76,0,0.0,598,674,110,0.0,0.0,0,0,110,200,1.7199094872921703,1.7199094872921703
1,110,0,0,0,10.0,20,10.0,16.78846153846154,7,9.0,18.066666666666666,45,12.133333333333333,37.0,0,,0.45,200338,0.0,0.0,19,0,0,8,0,0.0,70,78,77,1083.0,367.0,57,53,77,809,1.6178074143826962,3.3377169016748667
2,77,0,0,0,10.0,20,10.0,13.148106904231627,43,9.186046511627907,16.695327102803738,26,12.423076923076925,37.0,0,,0.43333333333333335,197490,0.0,0.0,22,0,0,6,0,0.0,49,55,54,601.0,254.0,35,42,54,918,1.0364586263895037,4.37417552806437
3,54,0,0,0,10.0,20,10.0,12.655291170945524,15,10.0,15.999656061908855,20,12.65,37.0,20,37.0,0.3666666666666667,196521,0.0,0.0,26,0,0,4,0,0.0,35,39,47,367.0,155.0,21,33,47,1343,0.7090326678007841,5.083208195865153
4,47,0,0,0,10.0,20,10.0,13.374506473576783,48,14.666666666666664,15.40614422074276,20,12.3,37.0,16,37.0,0.4166666666666667,194711,0.0,0.0,24,0,0,5,0,0.0,33,38,44,307.0,128.0,17,30,44,1742,0.7050119340419769,5.788220129907131
5,44,0,0,0,10.0,20,10.0,13.484510011396036,51,13.745098039215687,14.875684543126752,28,12.75,37.0,15,37.0,0.43333333333333335,192403,0.0,0.0,29,0,0,6,0,0.0,36,42,45,310.0,117.0,18,26,45,1813,0.951343696564436,6.739563826471567
6,45,0,0,0,10.0,20,10.0,13.280486590119741,59,12.745762711864407,14.51973662665517,21,12.38095238095238,37.0,13,37.0,0.43333333333333335,190021,0.0,0.0,27,0,0,8,0,0.0,35,43,43,278.0,139.0,18,27,43,1693,0.7279151063412428,7.46747893281281
7,43,0,0,0,10.0,20,10.0,13.561277903358324,41,14.878048780487804,15.63114054393109,25,21.52,37.0,15,37.0,0.5,188052,0.0,0.0,27,0,0,8,0,0.0,31,39,35,287.0,173.0,16,27,35,1903,0.7571334037929773,8.224612336605787
8,35,0,0,0,10.0,20,10.0,17.523372230438675,115,24.756521739130434,18.379041366454857,49,26.3265306122449,37.0,14,37.0,0.4833333333333333,182712,0.0,0.0,35,0,0,7,0,0.0,29,36,39,231.0,161.0,13,22,39,4855,0.6610501483082771,8.885662484914064
9,39,0,0,0,10.000000000000002,20,10.0,17.268899569839608,9,9.0,21.81047476658684,58,31.96551724137931,36.99999999999999,17,37.0,0.5,181735,0.0,0.0,27,0,0,8,0,0.0,31,39,41,256.0,145.0,16,23,41,2764,1.69827850908041,10.583940993994474
