index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,14.0,0,,21.0,0,,33.0,0,,0.13333333333333333,299928,0.0,0.0,8,0,0,88,0,0.0,955,1043,144,0.0,0.0,0,0,144,200,24.232610572129488,24.232610572129488
1,144,0,0,0,10.0,20,10.0,14.0,0,,18.3015873015873,18,11.555555555555555,33.0,0,,0.16666666666666666,299206,0.0,0.0,16,0,0,7,0,0.0,153,160,127,2574.0,18.0,143,1,127,408,23.757305448874828,47.989916021004326
2,127,0,0,0,10.0,20,10.0,10.841463414634148,37,7.0,15.770544290288155,37,11.891891891891891,33.0,0,,0.16666666666666666,296877,0.0,0.0,19,0,0,3,0,0.0,82,85,12,1223.0,192.0,68,59,12,899,3.540424471721053,51.530340492725365
3,12,0,0,0,10.0,20,10.0,10.235607675906184,20,8.0,13.239762898445536,81,10.604938271604937,33.0,20,33.0,0.16666666666666666,292756,0.0,0.0,27,0,0,0,0,0.0,25,25,13,180.0,36.0,10,2,13,1879,1.4063941314816475,52.93673462420702
4,13,0,0,0,10.0,20,10.0,9.095466934442689,55,7.345454545454547,12.410809147968063,69,10.623188405797102,33.0,20,33.0,0.16666666666666666,288055,0.0,0.0,28,0,0,0,0,0.0,26,26,16,180.0,54.0,10,3,16,1997,1.6696110386401417,54.606345662847154
5,16,0,0,0,10.0,20,10.0,8.762758545215776,39,7.6923076923076925,12.122418807530599,37,10.594594594594595,33.0,20,33.0,0.16666666666666666,285470,0.0,0.0,25,0,0,0,0,0.0,28,28,18,216.0,72.0,12,4,18,1552,1.7285591885447502,56.334904851391904
6,18,0,0,0,10.0,20,10.0,9.473840443155805,10,20.0,11.948144456839746,28,10.642857142857142,33.0,20,33.0,0.16666666666666666,284211,0.0,0.0,21,0,0,2,0,0.0,30,32,16,270.0,54.0,15,3,16,1358,1.887082079425454,58.221986930817366
7,16,0,0,0,10.0,20,10.0,10.044811152759976,40,12.075,11.668772899575393,49,10.448979591836734,33.0,20,33.0,0.16666666666666666,281586,0.0,0.0,24,0,0,2,0,0.0,29,31,14,234.0,54.0,13,3,14,1855,1.749698843806982,59.97168577462435
8,14,0,0,0,10.0,20,10.0,12.86642861047019,103,17.359223300970875,11.543857070966684,47,10.914893617021274,33.0,20,33.0,0.11666666666666665,278422,0.0,0.0,32,0,0,2,0,0.0,26,28,12,198.0,54.0,11,3,12,3161,1.7942736018449068,61.76595937646925
9,12,0,0,0,10.000000000000002,20,10.0,13.038233553362346,71,13.619718309859154,11.363360700278426,47,10.382978723404257,32.99999999999999,20,33.0,0.16666666666666666,274857,0.0,0.0,26,0,0,1,0,0.0,26,27,10,180.0,36.0,10,2,10,2315,1.3188377656042576,63.084797142073505
