index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
294,OTHER,T35,0,1,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
239,OTHER,T35,0,1,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
267,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
407,OTHER,T37,0,3,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
107,OTHER,T37,0,1,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
181,OTHER,T37,0,2,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
499,OTHER,T35,0,5,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
280,OTHER,T37,0,5,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
335,OTHER,T37,1,3,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
601,T36,T36,1,4,12,1,-1,1,02T36@1,04T36@2,17,1,-1,-1,2
657,T23,T36,1,9,3,1,-1,1,06T23@3,08T36@4,9,1,-1,-1,4
656,T23,T36,1,5,4,1,-1,1,06T23@3,08T36@4,11,1,-1,-1,4
689,T35,T37,1,1,8,-1,-1,1,01T35@0,03T37@1,17,-1,-1,-1,1
609,T36,T35,1,2,58,1,-1,1,04T36@2,07T35@3,17,1,-1,-1,3
86,OTHER,T37,1,1,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
612,T22,T35,1,2,58,1,-1,1,05T22@2,07T35@3,17,1,-1,-1,3
688,T35,T37,1,2,8,-1,-1,1,01T35@0,03T37@1,17,-1,-1,-1,1
621,T35,T36,1,1,8,1,-1,1,01T35@0,02T36@1,17,1,-1,-1,1
634,T23,T36,1,5,4,1,-1,1,06T23@3,08T36@4,10,1,-1,-1,4
691,T23,T37,1,4,6,-1,-1,1,06T23@3,09T37@4,12,-1,-1,-1,4
662,T35,T36,1,1,8,1,-1,1,01T35@0,02T36@1,17,1,-1,-1,1
697,T37,T37,1,1,8,-1,-1,1,00T37@0,03T37@1,17,-1,-1,-1,1
643,T35,T36,1,1,8,1,-1,1,01T35@0,02T36@1,17,1,-1,-1,1
700,T35,T37,1,1,26,-1,-1,1,07T35@3,09T37@4,17,-1,-1,-1,4
704,T37,T36,1,10,22,-1,-1,1,00T37@0,02T36@1,17,-1,-1,-1,1
