index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,28.0,0,,38.0,0,,51.0,0,,0.0125,268382,0.0,0.0,5,0,0,11,0,0.0,168,179,54,0.0,0.0,0,0,54,200,1.4368931576609612,1.4368931576609612
1,54,0,0,0,10.0,20,10.0,16.3,5,1.0,27.125,3,14.0,36.448979591836725,4,19.0,51.0,0,,0.025,267786,0.0,0.0,9,0,0,7,0,0.0,26,33,22,391.0,348.0,23,31,22,323,1.1025459263473751,2.539439084008336
2,22,0,0,0,10.0,20,10.0,13.284482758620689,13,2.8461538461538463,27.125,0,,36.448979591836725,0,,51.0,0,,0.0875,267255,0.0,0.0,8,0,0,1,0,0.0,16,17,24,129.0,130.0,8,14,24,237,0.6899315640330315,3.2293706480413675
3,24,0,0,0,10.0,20,10.0,13.053571428571427,1,1.0,26.33766233766233,3,15.0,36.448979591836725,0,,51.0,0,,0.1,266999,0.0,0.0,7,0,0,0,0,0.0,17,17,22,142.0,136.0,8,16,22,246,0.6866357550024986,3.916006403043866
4,22,0,0,0,10.0,20,10.0,13.053571428571427,0,,28.12623443537998,5,43.0,37.050847457627114,9,40.0,51.0,20,51.0,0.05,266117,0.0,0.0,12,0,0,0,0,0.0,17,17,21,144.0,132.0,8,14,21,1795,0.6851968020200729,4.601203205063938
5,21,0,0,0,10.0,20,10.0,12.637676886792455,3,6.0,26.9828840207308,4,15.0,40.329814846859314,10,56.0,51.0,20,51.0,0.0625,265199,0.0,0.0,13,0,0,0,0,0.0,17,17,20,141.0,128.0,8,13,20,1858,0.6984109114855528,5.299614116549493
6,20,0,0,0,10.0,20,10.0,12.181140730823754,5,8.0,28.711481594999327,5,43.0,42.85681572624212,10,56.0,50.99999999999999,20,51.0,0.175,264191,0.0,0.0,13,0,0,0,0,0.0,18,18,20,136.0,125.0,8,12,20,2035,1.2995620276778936,6.5991761442273855
7,20,0,0,0,10.0,20,10.0,12.181140730823754,0,,30.2414057316965,5,43.0,47.17039125156696,25,56.8,50.99999999999999,13,51.0,0.025,262994,0.0,0.0,13,0,0,2,0,0.0,17,19,21,158.0,123.0,9,11,21,2498,0.7566094417124987,7.355785585939884
8,21,0,0,0,10.0,20,10.0,10.469836126098468,9,1.7777777777777777,30.2414057316965,0,,46.86356872825034,49,46.40816326530612,51.0,20,51.0,0.025,258314,0.0,0.0,21,0,0,4,0,0.0,15,19,20,180.0,120.0,11,10,20,3510,0.8056537937372923,8.161439379677175
9,20,0,0,0,10.000000000000002,20,10.0,9.873444641669336,5,4.0,30.2414057316965,0,,48.044133668080704,15,56.66666666666666,50.99999999999999,14,51.0,0.15,257117,0.0,0.0,13,0,0,4,0,0.0,18,22,20,182.0,114.0,12,8,20,1784,0.7430498879402876,8.904489267617462
10,20,0,0,0,10.000000000000002,20,10.0,9.873444641669336,0,,31.38527656095082,5,41.0,49.47575160532934,20,57.5,50.99999999999999,12,51.0,0.1875,256195,0.0,0.0,13,0,0,2,0,0.0,17,19,19,141.0,122.0,9,11,19,2167,0.6325833480805159,9.53707261569798
11,19,0,0,0,10.000000000000002,20,10.0,9.201435037429356,4,1.0,32.612414939852556,5,43.0,49.167173668542226,40,48.25,50.99999999999999,14,51.0,0.07500000000000001,253252,0.0,0.0,17,0,0,1,0,0.0,17,18,19,139.0,122.0,8,11,19,3063,0.6584178283810616,10.19549044407904
12,19,0,0,0,10.000000000000002,20,10.0,8.562447330405254,6,3.5,33.703731656622764,5,43.0,47.67363950970621,35,41.57142857142857,51.0,20,51.0,0.0375,250556,0.0,0.0,16,0,0,0,0,0.0,18,18,20,142.0,122.0,8,11,20,2911,0.6652398612350225,10.860730305314064
13,20,0,0,0,10.000000000000002,20,10.0,8.562447330405254,0,,34.46641655534065,5,41.0,48.400177153064305,44,51.04545454545455,51.0,15,51.0,0.0375,246553,0.0,0.0,19,0,0,1,0,0.0,18,19,20,180.0,117.0,11,9,20,3416,0.6834855042397976,11.544215809553863
14,20,0,0,0,10.000000000000002,20,10.0,8.562447330405254,0,,35.8865209296079,10,42.0,48.97365899854723,15,56.0,51.0,12,51.0,0.0625,245185,0.0,0.0,12,0,0,0,0,0.0,18,18,21,136.0,125.0,8,12,21,2072,0.6874447856098413,12.231660595163705
15,21,0,0,0,10.000000000000002,20,10.0,7.8949820710302365,8,3.875,36.945231850540274,10,42.0,50.126300456647215,30,57.0,51.0,16,51.0,0.125,242321,0.0,0.0,18,0,0,3,0,0.0,19,22,21,167.0,117.0,12,9,21,3177,0.719884229823947,12.95154482498765
16,21,0,0,0,10.000000000000002,20,10.0,7.544486084802491,5,4.0,37.47663062196684,5,43.0,51.0721674053747,30,57.0,51.0,20,51.0,0.0375,240233,0.0,0.0,18,0,0,2,0,0.0,17,19,18,142.0,125.0,9,12,18,3165,0.618038471788168,13.569583296775818
17,18,0,0,0,10.000000000000002,20,10.0,7.544486084802491,0,,37.96739534136046,5,43.0,51.179116969854185,28,51.92857142857143,51.00000000000001,15,51.0,0.125,237954,0.0,0.0,15,0,0,1,0,0.0,16,17,18,156.0,117.0,9,9,18,2634,0.6327412296086551,14.202324526384473
18,18,0,0,0,10.000000000000002,20,10.0,6.5371972311693485,10,1.5,38.63233932143022,10,42.0,51.87019085055044,42,55.19047619047619,51.0,20,51.0,0.0625,234491,0.0,0.0,23,0,0,1,0,0.0,18,19,20,158.0,117.0,9,9,20,3973,0.6591669954359531,14.861491521820426
19,20,0,0,0,10.000000000000002,20,10.0,6.062685044151897,10,3.5,38.63233932143022,0,,50.99972565701561,37,45.83783783783784,51.0,12,51.0,0.07500000000000001,231222,0.0,0.0,16,0,0,3,0,0.0,17,20,22,159.0,120.0,10,10,22,2543,0.7885699924081564,15.650061514228582
20,22,0,0,0,10.000000000000002,20,10.0,6.062685044151897,0,,38.99886941030756,5,43.0,51.60576540809685,25,57.2,51.0,20,51.0,0.025,229694,0.0,0.0,15,0,0,5,0,0.0,15,20,19,146.0,124.0,10,12,19,2865,0.7767529767006636,16.426814490929242
21,19,0,0,0,10.000000000000002,20,10.0,6.062685044151897,0,,38.99886941030756,0,,51.40505482332999,40,50.25,51.00000000000001,14,51.0,0.2125,226236,0.0,0.0,17,0,0,3,0,0.0,15,18,19,144.0,105.0,9,10,19,2924,0.8025994505733252,17.22941394150257
22,19,0,0,0,10.000000000000002,20,10.0,5.4910688963881675,8,1.375,39.34012838589583,5,43.0,51.90798848682806,25,56.8,51.0,15,51.0,0.075,225020,0.0,0.0,17,0,0,0,0,0.0,18,18,20,143.0,122.0,8,11,20,2611,0.7079991865903139,17.93741312809289
23,20,0,0,0,10.000000000000002,20,10.0,5.4910688963881675,0,,39.656941282153646,5,43.0,50.96808744056318,36,44.66666666666666,51.0,20,51.0,0.075,222190,0.0,0.0,16,0,0,3,0,0.0,14,17,19,140.0,110.0,8,12,19,3043,0.6080150362104177,18.545428164303306
24,19,0,0,0,10.000000000000002,20,10.0,5.374661804954691,5,4.0,39.774785089353045,5,41.0,51.46257957908197,25,56.4,51.0,20,51.0,0.05,220211,0.0,0.0,16,0,0,2,0,0.0,15,17,19,140.0,122.0,8,11,19,2855,0.6136900912970304,19.159118255600333
25,19,0,0,0,10.000000000000002,20,10.0,5.317113889603838,1,2.0,39.774785089353045,0,,51.677910442378,10,57.0,51.0,20,51.0,0.1125,219424,0.0,0.0,12,0,0,0,0,0.0,18,18,18,137.0,123.0,8,11,18,1792,0.6507202126085758,19.80983846820891
26,18,0,0,0,10.000000000000002,20,10.0,5.317113889603838,0,,39.88362298620224,5,41.0,52.3957872811534,35,57.14285714285714,50.99999999999999,20,51.0,0.2,216780,0.0,0.0,18,0,0,2,0,0.0,17,19,19,156.0,117.0,9,9,19,3425,0.687716830521822,20.49755529873073
27,19,0,0,0,10.000000000000002,20,10.0,4.850045047121114,9,2.1111111111111107,40.1635826664604,5,43.0,53.01826553266878,40,56.75,50.99999999999999,20,51.0,0.175,214258,0.0,0.0,21,0,0,3,0,0.0,15,18,19,157.0,117.0,10,9,19,3724,0.6192010045051575,21.116756303235892
28,19,0,0,0,10.000000000000002,20,10.0,4.652940847294215,3,1.0,40.1635826664604,0,,53.371159210528994,30,56.33333333333334,50.99999999999999,20,51.0,0.1,212765,0.0,0.0,15,0,0,4,0,0.0,16,20,20,158.0,117.0,10,9,20,2913,1.288878608494997,22.405634911730886
29,20,0,0,0,10.000000000000002,20,10.0,4.5560106798804405,2,2.0,40.469184428478016,10,42.0,52.230817317322206,40,45.0,50.99999999999999,20,51.0,0.0875,209826,0.0,0.0,17,0,0,4,0,0.0,15,19,18,147.0,123.0,9,11,18,3444,0.8865447863936424,23.29217969812453
30,18,0,0,0,10.000000000000002,20,10.0,4.589352412058973,4,5.0,40.708065833568824,10,42.0,52.146616963031825,29,51.379310344827594,50.99999999999999,20,51.0,0.075,207446,0.0,0.0,19,0,0,1,0,0.0,18,19,20,159.0,117.0,9,9,20,3150,0.6035134848207235,23.89569318294525
31,20,0,0,0,10.000000000000002,20,10.0,4.746526550317848,10,5.5,40.73135558161332,5,41.0,51.857062946934604,25,48.8,50.99999999999999,20,51.0,0.0875,205336,0.0,0.0,18,0,0,0,0,0.0,19,19,22,159.0,123.0,9,11,22,2700,0.6313132401555777,24.52700642310083
32,22,0,0,0,10.000000000000002,20,10.0,4.4187171441352024,5,1.0,40.916077690993795,5,43.0,51.700156360897324,24,50.0,50.99999999999999,20,51.0,0.1875,203519,0.0,0.0,17,0,0,4,0,0.0,16,20,19,139.0,125.0,10,12,19,2640,0.5983806680887938,25.125387091189623
33,19,0,0,0,10.000000000000002,20,10.0,4.4187171441352024,0,,40.92304031907382,5,41.0,50.76302798597749,44,45.31818181818182,50.99999999999999,20,51.0,0.0625,200827,0.0,0.0,16,0,0,1,0,0.0,17,18,18,138.0,122.0,8,11,18,3419,0.5323122125118971,25.65769930370152
34,18,0,0,0,10.000000000000002,20,10.0,4.1158026658931055,5,1.0,40.92304031907382,0,,50.069861497316424,42,45.61904761904761,50.99999999999999,20,51.0,0.05,197253,0.0,0.0,19,0,0,1,0,0.0,18,19,18,158.0,117.0,9,9,18,3141,0.6280081588774921,26.285707462579012
35,18,0,0,0,10.0,20,10.0,4.105423732160149,5,4.0,40.92304031907382,0,,50.5878534592294,25,56.4,50.99999999999999,20,51.0,0.0625,195295,0.0,0.0,16,0,0,0,0,0.0,19,19,19,153.0,117.0,9,9,19,2650,0.6170058846473694,26.902713347226378
36,19,0,0,0,10.0,20,10.0,4.105423732160149,0,,41.09068755390946,10,42.0,50.773288700592396,22,53.09090909090909,50.99999999999999,20,51.0,0.1,193379,0.0,0.0,17,0,0,1,0,0.0,19,20,19,164.0,117.0,10,9,19,2808,0.6189816687256098,27.521695015951988
37,19,0,0,0,10.0,20,10.0,4.3190116062695605,4,7.0,41.09068755390946,0,,51.20680434392767,20,57.0,50.99999999999999,20,51.0,0.0875,192066,0.0,0.0,13,0,0,1,0,0.0,14,15,22,157.0,117.0,10,9,22,2388,0.6185401361435652,28.140235152095556
38,22,0,0,0,10.0,20,10.0,4.227689938488652,2,2.0,41.083469008395625,5,41.0,51.56014895517256,44,53.63636363636363,50.99999999999999,20,51.0,0.0,188400,0.0,0.0,21,0,0,1,0,0.0,13,14,20,141.0,129.0,9,13,20,3789,0.6181109752506018,28.758346127346158
39,20,0,0,0,10.0,20,10.0,3.6967130142614515,9,1.0,41.076686671050204,5,41.0,51.33470821011427,37,49.67567567567568,50.99999999999999,20,51.0,0.125,184656,0.0,0.0,21,0,0,1,0,0.0,15,16,21,165.0,117.0,11,9,21,3272,0.6129596028476954,29.371305730193853
40,21,0,0,0,9.999999999999998,20,10.0,3.6967130142614515,0,,41.21790777105645,10,42.0,51.78510952991933,25,56.8,51.0,8,51.0,0.0375,182686,0.0,0.0,14,0,0,1,0,0.0,15,16,21,170.0,120.0,11,10,21,2448,0.7019106410443783,30.07321637123823
41,21,0,0,0,9.999999999999998,20,10.0,3.816858011501437,5,5.0,41.35747692897839,5,43.0,51.237528618038944,40,47.5,51.0,20,51.0,0.05,179400,0.0,0.0,18,0,0,1,0,0.0,8,9,18,141.0,124.0,9,12,18,3360,0.5436531025916338,30.616869473829865
42,18,0,0,0,9.999999999999998,20,10.0,3.76298367758326,10,3.5,41.32885970908267,5,41.0,51.55022168509339,38,53.868421052631575,51.00000000000001,20,51.0,0.025,175952,0.0,0.0,21,0,0,0,0,0.0,9,9,23,158.0,117.0,9,9,23,3507,0.6761561241000891,31.293025597929955
43,23,0,0,0,9.999999999999998,20,10.0,3.9265987331982215,9,4.888888888888889,41.301997583180935,5,41.0,51.671154444337404,45,52.444444444444436,51.00000000000001,10,51.0,0.0625,171693,0.0,0.0,19,0,0,2,0,0.0,8,10,21,150.0,128.0,10,13,21,3319,0.5905561167746782,31.883581714704636
44,21,0,0,0,9.999999999999998,20,10.0,3.9265987331982215,0,,41.409231993087026,10,42.0,51.60790239159332,18,50.555555555555564,50.99999999999999,10,51.0,0.0375,169916,0.0,0.0,13,0,0,0,0,0.0,8,8,19,139.0,129.0,8,13,19,2040,0.5638819765299559,32.44746369123459
45,19,0,0,0,10.0,20,10.0,3.9265987331982215,0,,41.409231993087026,0,,52.27006773883942,40,57.0,51.0,20,51.0,0.0625,166672,0.0,0.0,18,0,0,0,0,0.0,8,8,19,144.0,123.0,8,11,19,3500,0.5595870148390532,33.00705070607364
46,19,0,0,0,10.0,20,10.0,3.9265987331982215,0,,41.53432749014978,5,43.0,52.62602363983361,25,56.8,51.0,15,51.0,0.0625,164888,0.0,0.0,15,0,0,0,0,0.0,8,8,20,142.0,123.0,8,11,20,2600,0.5357769392430782,33.54282764531672
47,20,0,0,0,10.0,20,10.0,3.7941531481733968,3,1.3333333333333333,41.491391638479435,5,41.0,52.944233356737854,20,57.5,51.0,20,51.0,0.025,163297,0.0,0.0,15,0,0,0,0,0.0,8,8,19,141.0,125.0,8,12,19,2579,0.5570257883518934,34.099853433668606
48,19,0,0,0,10.0,20,10.0,3.5527184539144017,5,1.0,41.45111465047685,5,41.0,53.48977876269719,40,57.25,51.0,15,51.0,0.075,159598,0.0,0.0,19,0,0,0,0,0.0,9,9,21,154.0,120.0,9,10,21,3465,0.6417749710381031,34.74162840470672
49,21,0,0,0,10.0,20,10.0,3.6553442863981767,1,9.0,41.58040092514196,5,43.0,53.892109724305676,40,56.75,50.99999999999999,12,51.0,0.05,156081,0.0,0.0,18,0,0,1,0,0.0,7,8,18,121.0,114.0,8,13,18,3306,0.4524707645177841,35.1940991692245
50,18,0,0,0,10.0,20,10.0,3.5888260526122053,2,2.0,41.646054328171616,10,42.0,54.05943237065298,20,56.5,50.99999999999999,17,51.0,0.1625,154501,0.0,0.0,16,0,0,0,0,0.0,7,7,17,118.0,93.0,7,11,17,2621,0.4085239134728909,35.60262308269739
