index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,22.0,0,,32.0,0,,43.0,0,,57.0,0,,0.0125,753986,0.0,0.0,5,0,0,109,0,0.0,441,550,34,0.0,0.0,0,0,34,200,0.9528127759695052,0.9528127759695052
1,34,0,0,0,10.0,20,10.0,19.048387096774192,17,11.235294117647056,32.0,0,,34.671232876712324,28,21.285714285714285,57.0,0,,0.25,751573,0.0,0.0,14,0,0,3,0,0.0,29,32,26,396.0,186.0,22,12,26,987,2.3085491564124823,3.261361932381988
2,26,0,0,0,10.0,20,10.0,17.585755813953487,13,11.307692307692307,32.0,0,,33.354883081155435,7,21.0,57.0,0,,0.325,750653,0.0,0.0,9,0,0,4,0,0.0,20,24,28,234.0,204.0,13,13,28,494,2.1886649876832958,5.450026920065284
3,28,0,0,0,10.0,20,10.0,15.687246963562751,27,11.333333333333336,32.0,0,,32.22674656135095,8,23.0,57.0,0,,0.3,749169,0.0,0.0,12,0,0,7,0,0.0,18,25,30,252.0,222.0,14,14,30,690,4.5177337136119595,9.967760633677244
4,30,0,0,0,10.0,20,10.0,15.470421508209062,5,12.0,32.0,0,,27.33379806103782,58,21.75862068965517,57.0,20,57.0,0.3125,744567,0.0,0.0,20,0,0,5,0,0.0,23,28,26,324.0,186.0,18,12,26,2662,1.391042936593294,11.358803570270537
5,26,0,0,0,10.0,20,10.0,14.171982079749695,37,11.486486486486484,33.5,5,47.0,26.913307346559588,12,23.0,57.0,20,57.0,0.3,742876,0.0,0.0,21,0,0,2,0,0.0,21,23,28,234.0,204.0,13,13,28,2276,1.4996219761669636,12.858425546437502
6,28,0,0,0,10.0,20,10.0,13.790149644292756,19,11.73684210526316,36.13636363636363,10,48.0,25.774340772171076,32,21.8125,57.0,20,57.0,0.275,740711,0.0,0.0,20,0,0,1,0,0.0,24,25,25,270.0,204.0,15,13,25,2741,4.1143770441412935,16.972802590578794
7,25,0,0,0,10.0,20,10.0,13.349264752159653,26,11.5,40.0503355704698,25,47.8,25.369052191691427,17,22.294117647058826,57.0,7,57.0,0.2875,738832,0.0,0.0,20,0,0,1,0,0.0,24,25,26,252.0,168.0,14,11,26,2472,5.25880790874362,22.231610499322414
8,26,0,0,0,10.0,20,10.0,13.208689566421066,10,11.5,41.87679494543365,20,48.0,24.80102865271419,27,22.037037037037038,56.99999999999999,11,57.0,0.2875,737164,0.0,0.0,18,0,0,2,0,0.0,23,25,27,252.0,171.0,14,12,27,2497,1.3895105961710217,23.62112109549344
9,27,0,0,0,10.000000000000002,20,10.0,12.819097515359562,38,11.605263157894735,43.572269140246426,30,48.0,24.647496538465127,6,21.0,56.99999999999999,8,57.0,0.2875,735043,0.0,0.0,23,0,0,1,0,0.0,23,24,27,252.0,174.0,14,13,27,2663,4.432288456708194,28.05340955220163
10,27,0,0,0,10.000000000000002,20,10.0,12.603810055663926,27,11.481481481481481,44.4349974083854,25,47.8,24.39653030741628,14,22.0,56.99999999999999,14,57.0,0.3,732783,0.0,0.0,21,0,0,4,0,0.0,19,23,27,234.0,177.0,13,14,27,2811,4.027483342215419,32.080892894417055
11,27,0,0,0,10.000000000000002,20,10.0,12.486230472545364,18,11.5,45.32839946041376,35,48.14285714285714,24.2634550891198,14,23.0,56.99999999999999,6,57.0,0.275,730036,0.0,0.0,20,0,0,1,0,0.0,24,25,29,252.0,174.0,14,13,29,2756,4.727921335026622,36.808814229443676
12,29,0,0,0,10.000000000000002,20,10.0,12.342393187535839,23,11.391304347826088,45.50045329315315,15,47.0,24.06772906766684,13,22.07692307692308,57.0,12,57.0,0.3,728325,0.0,0.0,19,0,0,3,0,0.0,22,25,28,252.0,195.0,14,15,28,2138,4.49698450602591,41.30579873546958
13,28,0,0,0,10.000000000000002,20,10.0,12.221251264058305,23,11.391304347826088,45.903694413186976,30,47.66666666666666,23.926031435858413,20,23.0,57.0,7,57.0,0.2875,725277,0.0,0.0,21,0,0,3,0,0.0,21,24,29,234.0,210.0,13,15,29,2751,1.3925427924841642,42.698341527953744
14,29,0,0,0,10.000000000000002,20,10.0,12.143000589864714,19,11.473684210526313,46.06892747925967,15,47.66666666666666,23.61621676690557,26,22.0,57.0,13,57.0,0.2875,723127,0.0,0.0,19,0,0,3,0,0.0,22,25,29,270.0,207.0,15,14,29,2446,4.677496161311866,47.375837689265616
15,29,0,0,0,10.000000000000002,20,10.0,12.053308275494949,31,11.580645161290322,46.36264742427927,35,47.57142857142857,23.273064087629873,29,21.551724137931036,56.99999999999999,9,57.0,0.2875,718447,0.0,0.0,28,0,0,2,0,0.0,22,24,30,252.0,225.0,14,15,30,3362,7.569063367322088,54.9449010565877
16,30,0,0,0,10.000000000000002,20,10.0,12.001720873084574,14,11.357142857142858,46.629336895467965,35,47.85714285714285,22.910653335518287,57,21.91228070175439,57.0,10,57.0,0.275,712479,0.0,0.0,27,0,0,4,0,0.0,24,28,26,324.0,186.0,18,12,26,3853,6.601836796849966,61.546737853437655
17,26,0,0,0,10.000000000000002,20,10.0,11.948647761218979,19,11.473684210526313,46.724942142815856,25,47.4,22.860653240224053,17,22.294117647058826,57.0,11,57.0,0.2875,710371,0.0,0.0,21,0,0,3,0,0.0,19,22,28,234.0,204.0,13,13,28,2609,5.342067925259472,66.88880577869713
