index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,24.0,0,,35.0,0,,47.0,0,,0.25,488092,0.0,0.0,9,0,0,70,0,0.0,659,729,386,0.0,0.0,0,0,386,200,124.13574850186707,124.13574850186707
1,386,0,0,0,10.0,20,10.0,18.0,0,,24.0,0,,35.0,0,,47.0,0,,0.2375,487892,0.0,0.0,11,0,0,275,0,0.0,120,395,161,7263.0,190.0,376,10,161,200,28.815254338085648,152.95100283995268
2,161,0,0,0,10.0,20,10.0,18.0,0,,17.035714285714285,67,12.35820895522388,35.0,0,,47.0,0,,0.4625,485101,0.0,0.0,14,0,0,28,0,0.0,65,93,39,1365.0,1141.0,73,88,39,1028,10.10602306574583,163.05702590569854
3,39,0,0,0,10.0,20,10.0,20.098360655737704,16,26.0,14.783582089552233,60,11.0,35.0,0,,47.0,0,,0.375,482681,0.0,0.0,14,0,0,10,0,0.0,37,47,58,362.0,168.0,28,11,58,1276,2.2282622456550603,165.2852881513536
4,58,0,0,0,10.0,20,10.0,21.297532656023225,14,26.0,13.555352627142456,140,12.285714285714285,35.0,0,,47.0,20,47.0,0.3625,473744,0.0,0.0,26,0,0,15,0,0.0,42,57,63,684.0,191.0,37,21,63,3224,2.886194661259651,168.17148281261325
5,63,0,0,0,10.0,20,10.0,22.648661073439836,25,26.0,13.252036871191105,110,12.545454545454545,35.0,0,,47.0,20,47.0,0.5,467355,0.0,0.0,26,0,0,14,0,0.0,41,55,61,613.0,221.0,35,28,61,3170,2.4960572049021716,170.66754001751542
6,61,0,0,0,10.0,20,10.0,23.833918869805885,29,27.03448275862069,12.909861550810596,80,11.5,35.0,0,,47.0,19,47.0,0.375,463543,0.0,0.0,23,0,0,15,0,0.0,36,51,65,587.0,212.0,33,28,65,2797,2.498000865802169,173.16554088331762
7,65,0,0,0,10.0,20,10.0,24.83816284256177,37,27.459459459459463,12.836779796803322,80,12.5,35.0,0,,46.99999999999999,17,47.0,0.375,459746,0.0,0.0,25,0,0,18,0,0.0,34,52,61,629.0,224.0,36,29,61,3015,2.6316983513534065,175.79723923467097
8,61,0,0,0,10.0,20,10.0,25.572138997313342,66,26.90909090909091,12.69841042025934,80,12.0,32.0,9,17.0,47.0,16,47.0,0.375,455282,0.0,0.0,28,0,0,19,0,0.0,33,52,45,598.0,238.0,34,27,45,3841,2.3842630796134467,178.18150231428444
9,45,0,0,0,10.000000000000002,20,10.0,25.86317489862536,108,26.31481481481481,12.51239958348401,80,11.5,31.616613418530356,14,30.285714285714285,47.0,14,47.0,0.5,447972,0.0,0.0,28,0,0,22,0,0.0,28,50,31,605.0,180.0,33,12,31,5044,2.122055841609836,180.30355815589428
