index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,31.0,0,,43.0,0,,0.18333333333333332,523618,0.0,0.0,11,0,0,92,0,0.0,738,830,104,0.0,0.0,0,0,104,200,14.009351905435324,14.009351905435324
1,104,0,0,0,10.0,20,10.0,20.0,0,,23.463157894736838,50,16.68,43.0,0,,0.16666666666666666,520927,0.0,0.0,17,0,0,6,0,0.0,114,120,96,1800.0,72.0,100,4,96,1034,11.914405483752489,25.92375738918781
2,96,0,0,0,10.0,20,10.0,15.769230769230768,33,10.0,19.832463768115947,87,16.264367816091955,43.0,0,,0.2,513890,0.0,0.0,25,0,0,15,0,0.0,60,75,24,1008.0,225.0,56,40,24,1945,3.826563641428947,29.75032103061676
3,24,0,0,0,10.0,20,10.0,13.798521256931608,38,10.157894736842103,19.22969455511288,33,16.393939393939394,43.0,20,43.0,0.2333333333333333,510340,0.0,0.0,27,0,0,5,0,0.0,30,35,23,306.0,66.0,17,7,23,1987,3.242143359035253,32.992464389652014
4,23,0,0,0,10.0,20,10.0,12.94627721997653,56,11.464285714285715,18.326706559783226,52,15.384615384615385,43.0,20,43.0,0.21666666666666667,504971,0.0,0.0,25,0,0,5,0,0.0,32,37,15,309.0,60.0,18,5,15,2502,1.9709059968590736,34.963370386511095
5,15,0,0,0,10.0,20,10.0,13.33283515939848,56,14.285714285714285,18.013433355312227,32,16.0625,43.0,16,43.0,0.21666666666666667,501401,0.0,0.0,26,0,0,1,0,0.0,31,32,19,234.0,21.0,13,2,19,2202,2.4909795243293047,37.45434991084039
6,19,0,0,0,10.0,20,10.0,12.909966618615536,35,10.8,17.603872939923136,65,16.292307692307688,43.0,14,43.0,0.21666666666666667,496352,0.0,0.0,26,0,0,4,0,0.0,30,34,19,270.0,42.0,15,4,19,2239,2.6441318113356833,40.09848172217608
7,19,0,0,0,10.0,20,10.0,16.53710242572532,85,24.588235294117645,17.354825746469437,26,15.0,43.0,15,43.0,0.2,494022,0.0,0.0,29,0,0,6,0,0.0,30,36,23,240.0,42.0,15,4,23,3325,1.9209665469825268,42.0194482691586
8,23,0,0,0,10.0,20,10.0,17.448762047626094,79,20.29113924050633,16.953355145531066,81,15.74074074074074,42.99999999999999,13,43.0,0.2,486296,0.0,0.0,35,0,0,2,0,0.0,33,35,25,288.0,66.0,16,7,25,3637,2.2889478113502264,44.30839608050882
9,25,0,0,0,10.000000000000002,20,10.0,17.867042740626225,11,29.0,16.947258237336616,23,16.869565217391305,43.0,17,43.0,0.2,484896,0.0,0.0,23,0,0,5,0,0.0,30,35,26,270.0,90.0,15,10,26,1638,1.7894859444350004,46.09788202494383
