index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
49,OTHER,T07,0,3,10,0,-1,-1,SELLER,00T07@0,0,0,-1,-1,0
70,OTHER,T13,0,6,10,-1,-1,-1,SELLER,01T13@0,0,-1,-1,-1,0
24,OTHER,T07,0,3,10,0,-1,-1,SELLER,00T07@0,0,0,-1,-1,0
19,OTHER,T13,0,3,10,0,-1,-1,SELLER,01T13@0,0,0,-1,-1,0
13,OTHER,T07,0,3,10,0,-1,-1,SELLER,00T07@0,0,0,-1,-1,0
15,OTHER,T13,0,2,10,0,-1,-1,SELLER,01T13@0,0,0,-1,-1,0
143,T13,T22,1,3,1,-1,-1,1,01T13@0,03T22@1,2,-1,-1,-1,1
142,T13,T22,1,10,29,-1,-1,1,04T13@2,07T22@3,2,-1,-1,-1,3
57,OTHER,T07,1,6,10,-1,-1,-1,SELLER,00T07@0,0,-1,-1,-1,0
23,OTHER,T13,1,2,10,0,-1,-1,SELLER,01T13@0,0,1,-1,-1,0
144,T13,T22,1,10,13,-1,-1,1,01T13@0,03T22@1,2,-1,-1,-1,1
136,T13,T22,1,3,1,-1,-1,1,01T13@0,03T22@1,2,-1,-1,-1,1
151,T13,T07,1,10,13,-1,-1,1,01T13@0,02T07@1,2,-1,-1,-1,1
135,T13,T07,1,3,1,-1,-1,1,01T13@0,02T07@1,2,-1,-1,-1,1
134,T22,T07,1,4,10,-1,-1,1,03T22@1,05T07@2,18,-1,-1,-1,2
35,OTHER,T13,1,4,10,0,-1,-1,SELLER,01T13@0,0,1,-1,-1,0
12,OTHER,T07,1,1,10,0,-1,-1,SELLER,00T07@0,0,1,-1,-1,0
132,T13,T22,1,3,1,-1,-1,1,01T13@0,03T22@1,2,-1,-1,-1,1
130,T22,T07,1,4,11,-1,-1,1,03T22@1,05T07@2,18,-1,-1,-1,2
127,T13,T22,1,3,1,-1,-1,1,01T13@0,03T22@1,2,-1,-1,-1,1
126,T13,T07,1,3,1,-1,-1,1,01T13@0,02T07@1,2,-1,-1,-1,1
5,OTHER,T07,1,4,10,0,-1,-1,SELLER,00T07@0,0,1,-1,-1,0
46,OTHER,T07,1,3,10,0,-1,-1,SELLER,00T07@0,0,1,-1,-1,0
138,T13,T07,1,3,1,-1,-1,1,01T13@0,02T07@1,2,-1,-1,-1,1
31,OTHER,T13,2,5,10,0,-1,-1,SELLER,01T13@0,0,2,-1,-1,0
93,OTHER,T07,2,4,10,-1,-1,-1,SELLER,00T07@0,0,-1,-1,-1,0
169,T13,T22,2,3,1,-1,-1,2,01T13@0,03T22@1,2,-1,-1,-1,1
48,OTHER,T13,2,2,10,0,-1,-1,SELLER,01T13@0,0,2,-1,-1,0
137,T13,T22,2,10,13,-1,-1,1,01T13@0,03T22@1,2,-1,-1,-1,1
171,T13,T07,2,3,1,-1,-1,2,01T13@0,02T07@1,2,-1,-1,-1,1
8,OTHER,T13,2,4,10,0,-1,-1,SELLER,01T13@0,0,2,-1,-1,0
168,T13,T22,2,3,1,-1,-1,2,04T13@2,07T22@3,2,-1,-1,-1,3
165,T13,T22,2,3,1,-1,-1,2,01T13@0,03T22@1,2,-1,-1,-1,1
164,T13,T07,2,3,1,-1,-1,2,01T13@0,02T07@1,2,-1,-1,-1,1
