index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,23.0,0,,30.0,0,,45.0,0,,51.0,0,,0.125,361418,0.0,0.0,10,0,0,77,0,0.0,820,897,98,0.0,0,0,0,98,200,52.01551625132561,52.01551625132561
1,98,0,0,2,10.0,20,10.0,23.0,0,,30.0,0,,4.413793103448277,535,1.0,51.0,0,,0.125,258579,0.0,0.2,77,0,0,1,16,16.0,120,121,3,1633.0,0,98,0,3,735,3.795518020167947,55.81103427149355
2,3,0,0,0,10.0,20,10.0,23.0,0,,30.0,0,,4.413793103448277,0,,51.0,0,,0.125,258379,0.0,0.2,12,0,0,0,1,1.0,22,22,1,44.0,0,3,0,1,200,0.518833352252841,56.329867623746395
3,1,0,0,0,10.0,20,10.0,23.0,0,,30.0,0,,4.413793103448277,0,,51.0,0,,0.125,258179,0.0,0.2,11,0,0,0,0,0.0,23,23,1,10.0,0,1,0,1,200,0.4987638331949711,56.828631456941366
4,1,0,0,0,10.0,20,10.0,23.0,0,,30.0,0,,4.413793103448277,0,,51.0,20,51.0,0.125,257580,0.0,0.2,18,0,0,0,3,3.0,21,21,1,10.0,0,1,0,1,1220,0.5235575381666422,57.352188995108
5,1,0,0,0,10.0,20,10.0,29.04545454545455,21,42.0,30.0,0,,4.413793103448277,0,,51.0,20,51.0,0.25,256985,0.0,0.2,23,0,0,0,2,2.0,22,22,1,9.0,0,1,0,1,2102,0.5474463254213333,57.89963532052935
6,1,0,0,0,10.0,20,10.0,31.48847262247839,10,46.0,30.0,0,,4.413793103448277,0,,50.99999999999999,20,51.0,0.25,256384,0.0,0.2,21,0,0,0,0,0.0,19,19,1,10.0,0,1,0,1,1680,0.4532838370651007,58.352919157594435
7,1,0,0,0,10.0,20,10.0,36.084239688077155,35,44.28571428571429,30.0,0,,4.413793103448277,0,,50.99999999999999,20,51.0,0.25,255794,0.0,0.2,21,0,0,0,0,0.0,22,22,1,8.0,0,1,0,1,2770,0.40933105535805225,58.7622502129525
8,1,0,0,0,10.0,20,10.0,38.54801480542179,29,46.0,30.0,0,,4.413793103448277,0,,51.0,20,51.0,0.25,254776,0.0,0.2,23,0,0,0,0,0.0,21,21,1,9.0,0,1,0,1,2554,0.4588949512690306,59.22114516422153
9,1,0,0,0,10.000000000000002,20,10.0,40.16024532499371,29,46.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.25,253579,0.0,0.2,25,0,0,0,0,0.0,20,20,1,14.0,0,1,0,1,2554,0.4409988969564438,59.66214406117797
10,1,0,0,0,10.000000000000002,20,10.0,40.767476262704974,14,46.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.25,252874,0.0,0.2,23,0,0,0,1,1.0,19,19,1,15.0,0,1,0,1,1864,0.4627052154392004,60.12484927661718
11,1,0,0,0,10.000000000000002,20,10.0,41.27444894039708,13,46.0,30.0,0,,4.413793103448277,0,,51.0,20,51.0,0.25,252157,0.0,0.2,22,0,0,0,0,0.0,22,22,1,15.0,0,1,0,1,1818,0.4308322034776211,60.55568148009478
12,1,0,0,0,10.000000000000002,20,10.0,41.27444894039708,0,,30.0,0,,4.413793103448277,0,,51.0,20,51.0,0.25,251566,0.0,0.2,18,0,0,0,1,1.0,21,21,1,10.0,0,1,0,1,1220,0.5328217372298241,61.08850321732462
13,1,0,0,0,10.000000000000002,20,10.0,41.635848258020665,10,46.0,30.0,0,,4.413793103448277,0,,51.0,20,51.0,0.25,250973,0.0,0.2,23,0,0,0,0,0.0,22,22,1,16.0,0,1,0,1,1680,0.5325787030160427,61.62108192034065
14,1,0,0,0,10.000000000000002,20,10.0,42.008906740963226,11,46.0,30.0,0,,4.413793103448277,0,,51.0,20,51.0,0.25,250369,0.0,0.2,21,0,0,0,0,0.0,22,22,1,17.0,0,1,0,1,1726,0.42139221355319023,62.042474133893855
15,1,0,0,0,10.000000000000002,20,10.0,42.00800786088609,13,42.0,30.0,0,,4.413793103448277,0,,51.0,20,51.0,0.25,249774,0.0,0.2,22,0,0,0,0,0.0,20,20,1,14.0,0,1,0,1,1766,0.5223133713006973,62.56478750519455
16,1,0,0,0,10.000000000000002,20,10.0,42.00720044086935,13,42.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.25,249177,0.0,0.2,20,0,0,0,0,0.0,22,22,1,14.0,0,1,0,1,1766,0.5690401867032051,63.13382769189776
17,1,0,0,0,10.000000000000002,20,10.0,42.0064750326905,13,42.0,30.0,0,,4.413793103448277,0,,51.00000000000002,20,51.0,0.25,248543,0.0,0.2,21,0,0,0,0,0.0,21,21,1,18.0,0,1,0,1,1766,0.480563972145319,63.614391664043076
18,1,0,0,0,10.000000000000002,20,10.0,41.683036263228615,14,39.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.25,247832,0.0,0.2,25,0,0,0,0,0.0,20,20,1,15.0,0,1,0,1,1766,0.6606983169913292,64.2750899810344
19,1,0,0,0,10.000000000000002,20,10.0,41.433686058253095,12,39.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.25,247190,0.0,0.2,21,0,0,0,0,0.0,23,23,1,15.0,0,1,0,1,1688,0.4953791107982397,64.77046909183264
20,1,0,0,0,10.000000000000002,20,10.0,41.55779062055724,10,43.0,30.0,0,,4.413793103448277,0,,51.00000000000002,20,51.0,0.25,246609,0.0,0.2,21,0,0,0,0,0.0,21,21,1,17.0,0,1,0,1,1650,0.5907778739929199,65.36124696582557
21,1,0,0,0,10.000000000000002,20,10.0,41.745086062623045,5,46.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.25,246007,0.0,0.2,23,0,0,0,0,0.0,19,19,1,14.0,0,1,0,1,1450,0.4298890586942434,65.7911360245198
22,1,0,0,0,10.000000000000002,20,10.0,41.83259027573524,8,43.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.25,245407,0.0,0.2,22,0,0,0,0,0.0,22,22,1,12.0,0,1,0,1,1564,0.4600598271936178,66.25119585171342
23,1,0,0,0,10.000000000000002,20,10.0,41.83259027573524,0,,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.25,244800,0.0,0.2,22,0,0,0,0,0.0,20,20,1,12.0,0,1,0,1,1220,0.4821642599999905,66.73336011171341
24,1,0,0,0,10.000000000000002,20,10.0,41.83259027573524,0,,30.0,0,,4.413793103448277,0,,51.0,20,51.0,0.25,244202,0.0,0.2,20,0,0,0,0,0.0,20,20,1,12.0,0,1,0,1,1220,0.5999444331973791,67.33330454491079
25,1,0,0,0,10.000000000000002,20,10.0,41.83259027573524,0,,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.25,243619,0.0,0.2,19,0,0,0,0,0.0,22,22,1,12.0,0,1,0,1,1220,0.5587528161704539,67.89205736108124
26,1,0,0,0,10.000000000000002,20,10.0,41.91342115730173,4,44.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.25,243022,0.0,0.2,23,0,0,0,0,0.0,23,23,1,12.0,0,1,0,1,1396,0.2472184505313635,68.1392758116126
27,1,0,0,0,10.000000000000002,20,10.0,41.428089973094856,16,38.5,30.0,0,,4.413793103448277,0,,51.0,20,51.0,0.25,242431,0.0,0.2,24,0,0,0,0,0.0,20,20,1,10.0,0,1,0,1,1836,0.2348345760256052,68.37411038763821
28,1,0,0,0,10.000000000000002,20,10.0,41.48290251424581,3,43.33333333333334,30.0,0,,4.413793103448277,0,,51.0,20,51.0,0.25,241829,0.0,0.2,21,0,0,0,0,0.0,20,20,1,10.0,0,1,0,1,1350,0.21063238009810448,68.58474276773632
29,1,0,0,0,10.000000000000002,20,10.0,41.3036595016723,6,38.5,30.0,0,,4.413793103448277,0,,51.0,20,51.0,0.25,241182,0.0,0.2,23,0,0,0,0,0.0,21,21,1,10.0,0,1,0,1,1451,0.2080999966710806,68.7928427644074
30,1,0,0,0,10.000000000000002,20,10.0,41.355344313488295,1,46.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.25,240592,0.0,0.2,21,0,0,0,0,0.0,19,19,1,10.0,0,1,0,1,1266,0.194176372140646,68.98701913654804
31,1,0,0,0,10.000000000000002,8,10.0,41.41145375755304,1,46.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.1875,240125,0.0,0.2,14,0,0,0,0,0.0,22,22,1,10.0,0,1,0,1,1146,0.19535201229155064,69.1823711488396
32,1,0,0,0,10.000000000000002,8,10.0,41.47222868032834,1,46.0,30.0,0,,4.413793103448277,0,,51.00000000000002,20,51.0,0.125,239652,0.0,0.2,16,0,0,0,0,0.0,23,23,1,10.0,0,1,0,1,1146,0.17844331823289394,69.3608144670725
33,1,0,0,0,10.000000000000004,12,10.0,41.53789558152094,1,46.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.125,239141,0.0,0.2,17,0,0,0,0,0.0,22,22,1,10.0,0,1,0,1,1186,0.1766222044825554,69.53743667155504
34,1,0,0,0,10.000000000000002,7,10.0,41.608660264664174,1,46.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.05,238639,0.0,0.2,13,0,0,0,0,0.0,21,21,1,10.0,0,1,0,1,1136,0.18366288393735888,69.7210995554924
35,1,0,0,0,10.000000000000002,10,10.0,41.68470081290083,1,46.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.0125,238160,0.0,0.2,16,0,0,0,0,0.0,22,22,1,10.0,0,1,0,1,1166,0.18168665282428265,69.90278620831668
36,1,0,0,0,10.000000000000002,12,10.0,41.76616001145442,1,46.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.0125,237670,0.0,0.2,16,0,0,0,0,0.0,20,20,1,10.0,0,1,0,1,1186,0.18507497012615204,70.08786117844284
37,1,0,0,0,10.0,12,10.0,41.85313739879698,1,46.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.0125,237154,0.0,0.2,20,0,0,0,0,0.0,23,23,1,10.0,0,1,0,1,1186,0.18411766178905964,70.2719788402319
38,1,0,0,0,10.0,8,10.0,41.94568119360476,1,46.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.0125,236668,0.0,0.2,17,0,0,0,0,0.0,21,21,1,10.0,0,1,0,1,1146,0.1944224089384079,70.46640124917029
39,1,0,0,0,10.0,15,10.0,42.043780409854214,1,46.0,30.0,0,,4.413793103448277,0,,51.0,20,51.0,0.0125,236130,0.0,0.2,17,0,0,0,0,0.0,21,21,1,10.0,0,1,0,1,1216,0.2136574722826481,70.68005872145295
40,1,0,0,0,10.0,9,10.0,42.14735753194532,1,46.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.0125,235664,0.0,0.2,14,0,0,0,0,0.0,21,21,1,10.0,0,1,0,1,1156,0.17417927645146847,70.85423799790442
41,1,0,0,0,10.000000000000002,10,10.0,42.25626216836749,1,46.0,30.0,0,,4.413793103448277,0,,51.0,20,51.0,0.0125,235144,0.0,0.2,15,0,0,0,0,0.0,23,23,1,10.0,0,1,0,1,1166,0.4523874744772911,71.30662547238171
42,1,0,0,0,10.000000000000002,11,10.0,42.37026612824425,1,46.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.0125,234649,0.0,0.2,15,0,0,0,0,0.0,23,23,1,12.0,0,1,0,1,1176,0.3867568280547857,71.6933823004365
43,1,0,0,0,10.000000000000002,10,10.0,42.48906036235546,1,46.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.0125,234163,0.0,0.2,14,0,0,0,0,0.0,22,22,1,12.0,0,1,0,1,1166,0.5019255783408879,72.19530787877737
44,1,0,0,0,10.0,10,10.0,42.6122541725048,1,46.0,30.0,0,,4.413793103448277,0,,51.0,20,51.0,0.0125,233673,0.0,0.2,15,0,0,0,0,0.0,22,22,1,12.0,0,1,0,1,1166,0.3618257362395525,72.55713361501694
45,1,0,0,0,10.0,10,10.0,42.73937701654517,1,46.0,30.0,0,,4.413793103448277,0,,50.99999999999999,20,51.0,0.0125,233163,0.0,0.2,17,0,0,0,0,0.0,22,22,1,11.0,0,1,0,1,1166,0.3806173782795668,72.9377509932965
46,1,0,0,0,10.000000000000002,20,10.0,42.869883121028565,1,46.0,30.0,0,,4.413793103448277,0,,50.99999999999999,20,51.0,0.1375,232559,0.0,0.2,24,0,0,0,0,0.0,10,10,1,12.0,0,1,0,1,1266,0.34819890186190605,73.28594989515841
47,1,0,0,0,10.000000000000002,20,10.0,43.00315896409968,1,46.0,30.0,0,,4.413793103448277,0,,51.0,20,51.0,0.125,231949,0.0,0.2,22,0,0,0,0,0.0,11,11,1,21.0,0,1,0,1,1266,0.3843160383403301,73.67026593349874
48,1,0,0,0,10.000000000000004,20,10.0,43.138533517754716,1,46.0,30.0,0,,4.413793103448277,0,,51.0,20,51.0,0.1375,231348,0.0,0.2,23,0,0,0,0,0.0,13,13,1,21.0,0,1,0,1,1266,0.4898066353052855,74.16007256880404
49,1,0,0,0,10.000000000000004,20,10.0,43.275290955316194,1,46.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.1125,230753,0.0,0.2,21,0,0,0,0,0.0,12,12,1,21.0,0,1,0,1,1266,0.3703379984945059,74.53041056729853
50,1,0,0,0,10.000000000000004,20,10.0,43.412685354419786,1,46.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.1125,230158,0.0,0.2,22,0,0,0,0,0.0,1,1,1,21.0,0,1,0,1,1266,0.5179089959710836,75.04831956326963
51,1,0,0,0,10.000000000000002,20,10.0,43.549956776377925,1,46.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.1,229564,0.0,0.2,19,0,0,0,0,0.0,1,1,1,21.0,0,1,0,1,1266,0.4621634390205145,75.51048300229013
52,1,0,0,0,10.000000000000002,20,10.0,42.40596321549954,1,23.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.1125,228954,0.0,0.2,22,0,0,0,0,0.0,1,1,1,21.0,0,1,0,1,1243,0.3499157410115004,75.86039874330162
53,1,0,0,0,10.000000000000002,20,10.0,41.275541696332716,1,23.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.1375,228372,0.0,0.2,21,0,0,0,0,0.0,1,1,1,21.0,0,1,0,1,1243,0.34779565408825874,76.20819439738989
54,1,0,0,0,10.000000000000004,20,10.0,40.16458769164027,1,23.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.125,227781,0.0,0.2,20,0,0,0,0,0.0,1,1,1,21.0,0,1,0,1,1243,0.5029878132045269,76.71118221059443
55,1,0,0,0,10.000000000000004,20,10.0,39.07858444931324,1,23.0,30.0,0,,4.413793103448277,0,,51.00000000000002,20,51.0,0.1375,227167,0.0,0.2,19,0,0,0,0,0.0,1,1,1,21.0,0,1,0,1,1243,0.4868241995573044,77.19800641015172
56,1,0,0,0,10.000000000000002,20,10.0,38.022502722740754,1,23.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.1375,226558,0.0,0.2,22,0,0,0,0,0.0,1,1,1,21.0,0,1,0,1,1243,0.4430367946624756,77.64104320481421
57,1,0,0,0,10.0,20,10.0,37.00072214248385,1,23.0,30.0,0,,4.413793103448277,0,,51.00000000000001,20,51.0,0.1375,225955,0.0,0.2,21,0,0,0,0,0.0,1,1,1,21.0,0,1,0,1,1243,0.4647732358425856,78.10581644065678
