index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,22.0,0,,35.0,0,,48.0,0,,0.26666666666666666,304904,0.0,0.0,10,0,0,287,0,0.0,523,810,142,0.0,0.0,0,0,142,200,14.558130376040936,14.558130376040936
1,142,0,0,0,10.0,20,10.0,19.53448275862069,13,11.0,29.20289855072464,24,18.33333333333333,48.0,0,,0.6333333333333333,303360,0.0,0.0,16,0,0,19,0,0.0,79,98,82,1458.0,858.0,81,61,82,783,8.425761943683026,22.983892319723964
2,82,0,0,0,10.0,20,10.0,19.53448275862069,0,,24.40421631530706,47,18.063829787234038,48.0,0,,0.36666666666666653,299586,0.0,0.0,13,0,0,8,0,0.0,29,37,43,279.0,250.0,18,64,43,1049,3.207035314291716,26.19092763401568
3,43,0,0,0,10.0,20,10.0,21.602493074792246,20,27.0,23.429296841380502,18,18.11111111111111,48.0,10,48.0,0.5,298306,0.0,0.0,19,0,0,8,0,0.0,22,30,39,243.0,133.0,16,27,39,1546,3.358634982258081,29.54956261627376
4,39,0,0,0,10.0,20,10.0,22.30220055013753,15,25.33333333333333,23.419936716543532,19,23.36842105263158,48.0,11,48.0,0.45,297111,0.0,0.0,19,0,0,8,0,0.0,21,29,37,237.0,112.0,14,25,37,1552,3.023470936343074,32.573033552616835
5,37,0,0,0,10.0,20,10.0,25.35111098036909,30,32.666666666666664,22.334635922453923,26,17.69230769230769,48.0,13,48.0,0.5,295182,0.0,0.0,17,0,0,9,0,0.0,26,35,37,204.0,112.0,13,24,37,2264,3.386016054078937,35.95904960669577
6,37,0,0,0,10.0,20,10.0,27.57088496615713,46,32.0,21.796618807477238,47,20.382978723404253,48.0,6,48.0,0.3666666666666667,291419,0.0,0.0,22,0,0,8,0,0.0,24,32,31,207.0,128.0,14,23,31,2918,2.145299945026636,38.10434955172241
7,31,0,0,0,10.0,20,10.0,29.911571038687377,116,32.413793103448285,22.51154068150312,26,26.73076923076923,48.0,11,48.0,0.5499999999999999,285134,0.0,0.0,28,0,0,8,0,0.0,24,32,30,258.0,60.0,16,15,30,5183,3.2237074486911297,41.32805700041354
8,30,0,0,0,10.0,20,10.0,30.49959874402065,42,33.52380952380953,22.326179602938527,9,19.0,48.00000000000001,10,48.0,0.4833333333333333,283184,0.0,0.0,18,0,0,9,0,0.0,18,27,31,135.0,120.0,10,20,31,2259,2.216969126835465,43.545026127249
9,31,0,0,0,10.000000000000002,20,10.0,31.14612707760159,136,32.25,21.56604564581385,40,18.65,48.0,13,48.0,0.43333333333333335,275408,0.0,0.0,29,0,0,8,0,0.0,25,33,29,204.0,129.0,13,18,29,5956,2.5944241955876346,46.13945032283664
