index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
236,OTHER,T35,0,3,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
207,OTHER,T35,0,1,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
206,OTHER,T20,0,1,10,0,-1,-1,SELLER,00T20@0,0,0,-1,-1,0
258,OTHER,T20,0,4,10,0,-1,-1,SELLER,00T20@0,0,0,-1,-1,0
266,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
291,OTHER,T20,0,3,10,0,-1,-1,SELLER,00T20@0,0,0,-1,-1,0
154,OTHER,T35,0,4,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
100,OTHER,T20,0,2,10,0,-1,-1,SELLER,00T20@0,0,0,-1,-1,0
110,OTHER,T20,1,1,10,0,-1,-1,SELLER,00T20@0,0,1,-1,-1,0
511,T23,T12,1,10,5,-1,-1,1,03T23@1,05T12@2,14,-1,-1,-1,2
509,T37,T12,1,6,11,-1,-1,1,02T37@1,05T12@2,17,-1,-1,-1,2
508,T37,T41,1,1,33,-1,-1,1,02T37@1,04T41@2,17,-1,-1,-1,2
504,T37,T12,1,6,11,-1,-1,1,02T37@1,05T12@2,17,-1,-1,-1,2
500,T35,T37,1,1,8,-1,-1,1,01T35@0,02T37@1,17,-1,-1,-1,1
499,T35,T37,1,1,8,-1,-1,1,01T35@0,02T37@1,17,-1,-1,-1,1
498,T37,T12,1,10,12,-1,-1,1,02T37@1,05T12@2,17,-1,-1,-1,2
468,T23,T12,1,3,2,1,-1,1,03T23@1,05T12@2,13,1,-1,-1,2
486,T23,T41,1,2,2,1,-1,1,03T23@1,04T41@2,11,1,-1,-1,2
480,T23,T12,1,2,1,1,-1,1,03T23@1,05T12@2,2,1,-1,-1,2
512,T35,T37,1,2,8,-1,-1,1,01T35@0,02T37@1,17,-1,-1,-1,1
127,OTHER,T35,1,3,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
139,OTHER,T35,1,2,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
312,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
187,OTHER,T20,1,1,10,0,-1,-1,SELLER,00T20@0,0,1,-1,-1,0
203,OTHER,T20,1,3,10,0,-1,-1,SELLER,00T20@0,0,1,-1,-1,0
497,T23,T12,1,1,1,1,-1,1,03T23@1,05T12@2,8,1,-1,-1,2
36,OTHER,T20,1,3,10,0,-1,-1,SELLER,00T20@0,0,1,-1,-1,0
223,OTHER,T35,1,3,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
27,OTHER,T20,1,3,10,0,-1,-1,SELLER,00T20@0,0,1,-1,-1,0
539,T35,T23,2,2,15,2,-1,2,01T35@0,03T23@1,9,2,-1,-1,1
220,OTHER,T20,2,3,10,0,-1,-1,SELLER,00T20@0,0,2,-1,-1,0
286,OTHER,T20,2,3,10,0,-1,-1,SELLER,00T20@0,0,2,-1,-1,0
195,OTHER,T35,2,2,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
540,T23,T12,2,1,6,2,-1,2,03T23@1,05T12@2,13,2,-1,-1,2
11,OTHER,T35,2,2,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
519,T23,T41,2,3,3,2,-1,2,03T23@1,04T41@2,16,2,-1,-1,2
517,T23,T41,2,2,2,2,-1,2,03T23@1,04T41@2,17,2,-1,-1,2
58,OTHER,T35,2,5,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
492,T23,T41,2,5,1,1,-1,1,03T23@1,04T41@2,7,2,-1,-1,2
94,OTHER,T35,2,2,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
217,OTHER,T35,2,2,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
505,T23,T12,2,10,1,-1,-1,1,03T23@1,05T12@2,8,-1,-1,-1,2
502,T37,T12,2,10,12,-1,-1,1,02T37@1,05T12@2,17,-1,-1,-1,2
235,OTHER,T35,2,1,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
299,OTHER,T35,3,3,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
557,T35,T23,3,10,15,3,-1,3,01T35@0,03T23@1,11,3,-1,-1,1
173,OTHER,T20,3,3,10,0,-1,-1,SELLER,00T20@0,0,3,-1,-1,0
169,T41,OTHER,3,3,29,0,-1,-1,04T41@2,BUYER,0,3,-1,-1,3
163,T41,OTHER,3,2,29,0,-1,-1,04T41@2,BUYER,0,3,-1,-1,3
350,T12,OTHER,3,2,29,-1,-1,-1,05T12@2,BUYER,0,-1,-1,-1,3
