index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,23.0,0,,32.0,0,,0.2833333333333333,224446,0.0,0.0,5,0,0,40,0,0.0,280,320,122,0.0,0.0,0,0,122,200,4.424899984151125,4.424899984151125
1,122,0,0,0,10.0,20,10.0,16.82608695652174,1,9.0,20.278688524590162,16,12.625,32.0,0,,0.5,223714,0.0,0.0,14,0,0,15,0,0.0,66,81,81,1278.0,633.0,71,51,81,411,4.511119462549686,8.93601944670081
2,81,0,0,0,10.0,20,10.0,18.416342412451364,10,25.0,16.873663751214767,48,12.979166666666664,32.0,0,,0.5,221124,0.0,0.0,12,0,0,8,0,0.0,22,30,54,315.0,219.0,20,61,54,1073,2.4455907642841344,11.381610210984945
3,54,0,0,0,10.0,20,10.0,19.680384998340525,14,23.857142857142854,14.963854627003494,59,11.966101694915256,32.0,20,32.0,0.5166666666666667,217839,0.0,0.0,20,0,0,3,0,0.0,30,33,51,358.0,120.0,23,31,51,1880,1.954749716445804,13.336359927430749
4,51,0,0,0,10.0,20,10.0,21.107779226423293,24,24.33333333333333,13.81681084924199,90,12.077777777777778,32.0,17,32.0,0.5166666666666667,211006,0.0,0.0,22,0,0,2,0,0.0,24,26,48,273.0,130.0,16,35,48,2415,2.316715788096189,15.653075715526938
5,48,0,0,0,10.0,20,10.0,21.825519185649704,26,23.76923076923077,14.074598792841847,33,15.666666666666664,32.0,12,32.0,0.5333333333333333,209700,0.0,0.0,16,0,0,1,0,0.0,27,28,46,272.0,119.0,18,30,46,1719,1.7658221703022718,17.41889788582921
6,46,0,0,0,10.0,20,10.0,21.813042692087244,37,21.783783783783782,13.736985499073016,42,12.023809523809524,32.0,11,32.0,0.6666666666666666,207678,0.0,0.0,16,0,0,0,0,0.0,27,27,43,306.0,144.0,17,29,43,1863,1.6141357477754354,19.03303363360465
7,43,0,0,0,10.0,20,10.0,21.815198090945763,50,21.82,14.215337272965266,89,15.449438202247196,32.0,16,32.0,0.6666666666666666,202120,0.0,0.0,25,0,0,0,0,0.0,28,28,41,291.0,148.0,17,26,41,3178,1.6919754557311537,20.725009089335803
8,41,0,0,0,10.0,20,10.0,19.584294674348772,48,12.833333333333336,15.720737284588797,117,19.41025641025641,32.0,14,32.0,0.6,194825,0.0,0.0,24,0,0,5,0,0.0,24,29,42,327.0,141.0,19,22,42,3535,2.4441006015986204,23.16910969093442
9,42,0,0,0,10.000000000000002,20,10.0,19.791751148427387,10,23.4,15.822907225494655,108,16.16666666666667,32.0,15,32.0,0.6166666666666667,187937,0.0,0.0,24,0,0,3,0,0.0,26,29,46,294.0,132.0,18,24,46,2660,2.0507227182388306,25.21983240917325
10,46,0,0,0,10.000000000000002,20,10.0,20.496074409925228,23,25.56521739130435,17.59654853096007,187,21.62032085561497,32.0,16,32.0,0.6333333333333333,173773,0.0,0.0,29,0,0,4,0,0.0,25,29,41,282.0,104.0,19,27,41,5343,1.7087339796125889,26.92856638878584
11,41,0,0,1,10.000000000000002,20,10.0,20.93571946638629,56,22.267857142857146,18.031950628462038,15,34.0,32.0,13,32.0,0.6666666666666666,177114,0.0,0.125,14,0,0,0,17,382.1558818958818,24,24,43,255.0,100.0,15,26,43,1775,2.429011933505535,29.35757832229137
