index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,trading_price_5,sold_quantity_5,unit_price_5,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,14.0,0,,22.0,0,,34.0,0,,49.0,0,,66.0,0,,0.16999999999999998,353890,0.0,0.0,10,0,0,239,0,0.0,432,671,116,0.0,0.0,0,0,116,200,3.4702518340200186,3.4702518340200186
1,116,0,0,0,10.0,20,10.0,13.192307692307693,7,8.0,20.166666666666668,9,11.0,31.58490566037736,8,18.0,49.0,0,,66.0,0,,0.4400000000000001,353128,0.0,0.0,19,0,0,34,0,0.0,61,95,105,1318.0,549.0,73,43,105,499,2.7211818005889654,6.191433634608984
2,105,0,0,0,10.0,20,10.0,12.278169014084506,10,8.0,19.796641791044774,5,16.2,30.61121856866538,4,19.0,49.0,0,,66.0,0,,0.38,352764,0.0,0.0,16,0,0,25,0,0.0,20,45,93,381.0,427.0,22,83,93,437,2.082162603735924,8.273596238344908
3,93,0,0,0,10.0,20,10.0,11.496400523560206,10,7.5,19.568971759594493,7,18.0,30.61121856866538,0,,49.0,0,,66.0,0,,0.37,352564,0.0,0.0,16,0,0,20,0,0.0,27,47,82,345.0,358.0,23,70,82,401,2.37693015858531,10.650526396930216
4,82,0,0,0,10.0,20,10.0,13.791572557876904,30,18.0,19.83379998422588,1,33.0,30.61121856866538,0,,49.0,0,,66.0,0,,0.39,352296,0.0,0.0,13,0,0,17,0,0.0,22,39,79,306.0,295.0,17,65,79,773,2.0125615932047367,12.663087990134954
5,79,0,0,0,10.0,20,10.0,13.374948470809938,5,7.0,20.38648613478184,2,33.0,30.61121856866538,0,,49.5,1,72.0,66.0,10,66.0,0.37,351852,0.0,0.0,19,0,0,14,0,0.0,21,35,82,219.0,311.0,13,66,82,1033,1.9773228876292703,14.640410877764225
6,82,0,0,0,10.0,20,10.0,15.750151395250745,89,17.707865168539325,21.703687931234693,5,33.0,30.61121856866538,0,,49.5,0,,66.0,13,66.0,0.45,350380,0.0,0.0,30,0,0,19,0,0.0,18,37,71,255.0,254.0,15,67,71,2799,2.5028849467635155,17.14329582452774
7,71,0,0,0,10.0,20,10.0,16.630686922610742,37,20.10810810810811,21.959886817470867,1,33.0,30.61121856866538,0,,49.5,0,,66.0,8,66.0,0.41,349762,0.0,0.0,18,0,0,13,0,0.0,21,34,62,200.0,251.0,12,59,62,1505,2.177561393007636,19.320857217535373
8,62,0,0,0,10.0,20,10.0,17.354554458412302,33,20.96969696969697,22.489607554273814,2,33.0,30.61121856866538,0,,49.5,0,,66.00000000000001,8,66.0,0.42,348910,0.0,0.0,19,0,0,21,0,0.0,21,42,53,297.0,199.0,19,43,53,1486,1.5398344323039057,20.860691649839282
9,53,0,0,0,10.000000000000002,20,10.0,17.736057978840297,30,20.0,23.267876679306177,3,33.0,30.61121856866538,0,,52.0323275862069,5,73.0,66.00000000000001,10,66.0,0.41,348365,0.0,0.0,27,0,0,12,0,0.0,23,35,45,215.0,209.0,12,41,45,1924,1.4266628045588732,22.287354454398155
10,45,0,0,0,10.000000000000002,20,10.0,18.256691466925183,41,20.634146341463413,29.478143580510878,89,32.02247191011236,33.05425471159338,6,52.0,52.0323275862069,0,,66.00000000000001,9,66.0,0.6599999999999999,346513,0.0,0.0,26,0,0,12,0,0.0,22,34,44,237.0,130.0,14,31,44,4802,3.558823607861996,25.846178062260147
11,44,0,0,0,10.000000000000002,20,10.0,18.935105280617798,67,21.01492537313433,29.895849698168412,40,31.075,33.05425471159338,0,,52.0323275862069,0,,66.00000000000001,11,66.0,0.6,344193,0.0,0.0,25,0,0,12,0,0.0,23,35,52,189.0,160.0,13,31,52,3577,0.9448135998100042,26.790991662070155
12,52,0,0,0,10.000000000000002,20,10.0,19.28896518115984,32,22.0,30.262511109329505,63,31.06349206349207,33.05425471159338,0,,52.0323275862069,0,,66.0,11,66.0,0.6,343282,0.0,0.0,19,0,0,16,0,0.0,20,36,56,198.0,228.0,11,41,56,3587,1.1759726200252771,27.96696428209543
13,56,0,0,0,10.000000000000002,20,10.0,19.695464149368576,44,22.0,30.62852909401841,81,31.444444444444446,33.05425471159338,0,,52.0323275862069,0,,66.0,10,66.0,0.6,340665,0.0,0.0,23,0,0,12,0,0.0,19,31,57,180.0,252.0,10,46,57,4375,1.3691326584666967,29.33609694056213
14,57,0,0,0,10.000000000000002,20,10.0,19.427820777846662,39,17.615384615384613,30.36361229936945,23,27.65217391304348,33.05425471159338,0,,52.0323275862069,0,,66.0,10,66.0,0.6,339528,0.0,0.0,25,0,0,19,0,0.0,21,40,62,264.0,254.0,17,40,62,2183,1.5828517787158491,30.918948719277978
15,62,0,0,0,10.000000000000002,20,10.0,19.55338422825292,14,22.0,30.36361229936945,0,,33.05425471159338,0,,52.0323275862069,0,,65.99999999999999,11,66.0,0.6,339030,0.0,0.0,18,0,0,17,0,0.0,22,39,58,291.0,284.0,17,45,58,1234,2.0931904911994934,33.012139210477464
16,58,0,0,0,10.000000000000002,20,10.0,19.537740019684115,54,19.462962962962962,30.36361229936945,0,,33.05425471159338,0,,52.0323275862069,0,,65.99999999999999,7,66.0,0.5900000000000001,338387,0.0,0.0,18,0,0,22,0,0.0,17,39,54,279.0,249.0,16,42,54,1713,1.6645542960613966,34.676693506538875
17,54,0,0,0,10.000000000000002,20,10.0,19.537740019684115,0,,30.36361229936945,0,,33.05425471159338,0,,52.0323275862069,0,,65.99999999999999,8,66.0,0.6,338006,0.0,0.0,15,0,0,14,0,0.0,21,35,62,270.0,262.0,15,39,62,728,1.9378349855542183,36.61452849209309
18,62,0,0,0,10.000000000000002,20,10.0,19.601568300338773,45,20.0,29.937638838447157,31,26.741935483870968,34.86630831914609,5,52.0,52.0323275862069,0,,66.0,12,66.0,0.63,337270,0.0,0.0,26,0,0,16,0,0.0,19,35,64,254.0,223.0,15,47,64,2981,1.4602409284561872,38.07476942054927
19,64,0,0,0,10.000000000000002,20,10.0,19.837347812269968,44,21.40909090909091,29.78534364065001,46,29.0,34.86630831914609,0,,52.0323275862069,0,,66.0,11,66.0,0.5900000000000001,336145,0.0,0.0,23,0,0,11,0,0.0,22,33,76,217.0,299.0,12,52,76,3202,1.2501491997390983,39.324918620288365
