index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
21,OTHER,T22,0,3,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
27,OTHER,T21,0,1,10,-1,-1,-1,SELLER,00T21@0,0,-1,-1,-1,0
13,OTHER,T21,0,4,10,0,-1,-1,SELLER,00T21@0,0,0,-1,-1,0
30,OTHER,T21,0,1,10,-1,-1,-1,SELLER,00T21@0,0,-1,-1,-1,0
31,OTHER,T21,0,1,10,-1,-1,-1,SELLER,00T21@0,0,-1,-1,-1,0
23,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
10,OTHER,T22,0,3,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
4,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
3,OTHER,T22,0,4,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
2,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
64,T21,T22,1,5,1,-1,-1,1,00T21@0,03T22@1,2,-1,-1,-1,1
71,T21,T22,1,5,1,-1,-1,1,00T21@0,03T22@1,2,-1,-1,-1,1
72,T21,T22,1,5,1,-1,-1,1,00T21@0,03T22@1,2,-1,-1,-1,1
62,T21,T22,1,5,1,-1,-1,1,00T21@0,03T22@1,2,-1,-1,-1,1
73,T22,T22,1,9,28,-1,-1,1,01T22@0,03T22@1,17,-1,-1,-1,1
28,OTHER,T21,1,1,10,-1,-1,-1,SELLER,00T21@0,0,-1,-1,-1,0
61,T21,T22,1,25,19,-1,-1,1,00T21@0,03T22@1,2,-1,-1,-1,1
26,OTHER,T21,1,3,10,0,-1,-1,SELLER,00T21@0,0,1,-1,-1,0
75,T22,T35,1,5,40,-1,-1,1,03T22@1,05T35@2,17,-1,-1,-1,2
76,T21,T35,1,25,19,-1,-1,1,00T21@0,02T35@1,2,-1,-1,-1,1
63,T21,T22,1,5,1,-1,-1,1,00T21@0,03T22@1,2,-1,-1,-1,1
22,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
0,OTHER,T21,1,1,10,0,-1,-1,SELLER,00T21@0,0,1,-1,-1,0
20,OTHER,T21,1,1,10,0,-1,-1,SELLER,00T21@0,0,1,-1,-1,0
5,OTHER,T21,1,5,10,0,-1,-1,SELLER,00T21@0,0,1,-1,-1,0
6,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
43,T35,T41,1,10,15,1,-1,1,02T35@1,04T41@2,17,1,-1,-1,2
14,OTHER,T21,1,2,10,0,-1,-1,SELLER,00T21@0,0,1,-1,-1,0
9,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
19,OTHER,T21,1,1,10,0,-1,-1,SELLER,00T21@0,0,1,-1,-1,0
