index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,trading_price_5,sold_quantity_5,unit_price_5,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,21.0,0,,30.0,0,,38.0,0,,48.0,0,,0.09,300814,0.0,0.0,9,0,0,38,0,0.0,435,473,59,0.0,0.0,0,0,59,200,0.937974551692605,0.937974551692605
1,59,0,0,0,10.0,20,10.0,16.363636363636363,10,9.0,21.0,0,,30.0,0,,38.0,0,,48.0,0,,0.2,300374,0.0,0.0,10,0,0,35,0,0.0,26,61,54,828.0,69.0,46,13,54,290,0.8706568218767643,1.808631373569369
2,54,0,0,0,10.0,20,10.0,14.82706766917293,17,10.352941176470589,21.0,0,,30.0,0,,38.0,0,,48.0,0,,0.22000000000000006,299707,0.0,0.0,13,0,0,27,0,0.0,27,54,53,651.0,45.0,39,15,53,376,0.6792386062443256,2.487869979813695
3,53,0,0,0,10.0,20,10.0,13.602932193036047,22,10.272727272727273,21.0,0,,30.0,0,,38.0,0,,48.0,0,,0.26,299040,0.0,0.0,12,0,0,25,0,0.0,28,53,56,666.0,48.0,37,16,56,426,1.0702618770301342,3.5581318568438287
4,56,0,0,0,10.0,20,10.0,15.21304201032171,30,19.166666666666668,21.0,2,21.0,30.0,0,,38.0,0,,48.0,0,,0.27,298436,0.0,0.0,16,0,0,20,0,0.0,36,56,56,709.0,63.0,40,16,56,817,0.7223583981394768,4.280490254983306
5,56,0,0,0,10.0,20,10.0,15.795286612991786,26,17.884615384615387,21.0,1,21.0,30.0,0,,38.0,0,,48.0,20,48.0,0.26,297446,0.0,0.0,24,0,0,19,0,0.0,36,55,52,720.0,48.0,40,16,52,1646,0.7414906043559313,5.021980859339237
6,52,0,0,0,10.0,20,10.0,14.738861167871061,29,10.827586206896553,21.0,2,21.0,30.085106382978722,2,32.0,38.0,0,,48.0,20,48.0,0.27,295951,0.0,0.0,25,0,0,26,0,0.0,28,54,47,648.0,63.0,36,16,47,1580,0.7030212543904781,5.725002113729715
7,47,0,0,0,10.0,20,10.0,16.199274737139106,54,19.51851851851852,21.046649406386305,6,21.33333333333333,30.085106382978722,0,,38.0,0,,48.00000000000001,20,48.0,0.29,294603,0.0,0.0,26,0,0,21,0,0.0,28,49,47,615.0,36.0,35,12,47,2342,0.6462317761033773,6.371233889833093
8,47,0,0,0,10.0,20,10.0,16.431866606517108,88,16.852272727272727,21.089231831342445,4,21.5,29.99136069114471,4,29.0,38.0,0,,48.00000000000001,20,48.0,0.30999999999999994,290459,0.0,0.0,32,0,0,10,0,0.0,39,49,46,612.0,39.0,34,13,46,2845,0.8478946052491665,7.219128495082259
9,46,0,0,0,10.000000000000002,20,10.0,16.053751096379422,20,11.85,21.122272748089035,6,21.33333333333333,29.992448080553807,6,30.0,37.91836734693877,4,37.0,48.00000000000001,20,48.0,0.37,289331,0.0,0.0,29,0,0,14,0,0.0,35,49,48,612.0,36.0,34,12,48,1853,0.7073148936033249,7.926443388685584
10,48,0,0,0,10.000000000000002,20,10.0,16.480094388821932,75,17.72,21.19344400866885,6,21.66666666666667,30.10729070185056,10,30.6,37.92814371257485,6,38.0,48.00000000000001,20,48.0,0.36,286157,0.0,0.0,34,0,0,18,0,0.0,32,50,44,612.0,42.0,34,14,44,3153,0.6729213315993547,8.599364720284939
11,44,0,0,0,10.000000000000002,20,10.0,16.49153060311795,2,18.0,21.350652152053566,10,22.0,30.199745741530272,8,30.75,37.974740272968006,4,38.5,48.0,20,48.0,0.39,285486,0.0,0.0,27,0,0,19,0,0.0,30,49,46,576.0,36.0,32,12,46,1816,0.7477144934237003,9.347079213708641
12,46,0,0,0,10.000000000000002,20,10.0,17.57773165770781,47,23.106382978723406,21.386993427878828,6,21.66666666666667,30.35677162919841,6,31.66666666666667,37.97776050696479,6,38.0,48.0,20,48.0,0.34,284315,0.0,0.0,28,0,0,22,0,0.0,28,50,45,594.0,39.0,33,13,45,2794,0.6747875921428204,10.021866805851461
13,45,0,0,0,10.000000000000002,20,10.0,18.025557304705746,25,22.64,21.3892770041332,10,21.4,30.330835937036127,10,30.2,38.02025104296125,4,38.5,48.0,20,48.0,0.42,283399,0.0,0.0,30,0,0,21,0,0.0,30,51,46,648.0,27.0,36,9,46,2396,0.6331967953592539,10.655063601210713
14,46,0,0,0,10.000000000000002,20,10.0,18.098500282687112,35,18.62857142857143,21.3484874844447,6,21.0,30.271047803033557,12,30.0,37.85861812369033,6,36.66666666666666,48.00000000000001,20,48.0,0.4300000000000001,282012,0.0,0.0,35,0,0,21,0,0.0,28,49,48,612.0,36.0,34,12,48,2518,0.8031408078968525,11.458204409107564
15,48,0,0,0,10.000000000000002,20,10.0,17.90397615227279,14,14.285714285714285,21.388419470280343,5,21.8,30.27673066039829,6,30.33333333333333,37.84800311919451,10,37.8,48.0,20,48.0,0.41,281079,0.0,0.0,33,0,0,23,0,0.0,28,51,48,630.0,39.0,35,13,48,2029,0.671716395765543,12.129920804873107
16,48,0,0,0,10.000000000000002,20,10.0,18.28209659056008,27,21.740740740740737,21.301680161760984,8,20.75,30.34330415411702,6,31.0,37.81273494897122,12,37.66666666666666,48.0,20,48.0,0.38,280279,0.0,0.0,33,0,0,23,0,0.0,27,50,42,612.0,42.0,34,14,42,2551,0.6338453628122807,12.76376616768539
