index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,21.0,0,,26.0,0,,0.2833333333333333,241724,0.0,0.0,13,0,0,230,0,0.0,768,998,152,0.0,0.0,0,0,152,200,6.776124011725187,6.776124011725187
1,152,0,0,0,10.0,20,10.0,15.0,0,,19.49056603773585,8,11.0,26.0,0,,0.3666666666666667,241294,0.0,0.0,18,0,0,12,0,0.0,94,106,95,1512.0,849.0,84,68,95,288,7.287407383322716,14.063531395047905
2,95,0,0,0,10.0,20,10.0,15.0,0,,18.018739352640548,11,11.636363636363635,26.0,0,,0.36666666666666653,240782,0.0,0.0,14,0,0,4,0,0.0,41,45,48,384.0,311.0,23,72,48,328,2.6732975412160163,16.73682893626392
3,48,0,0,0,10.0,20,10.0,17.227272727272727,21,22.0,17.95626906872003,16,17.75,26.0,20,26.0,0.35000000000000003,240138,0.0,0.0,28,0,0,4,0,0.0,39,43,45,318.0,150.0,21,27,45,1466,2.4934261366724972,19.230255072936412
4,45,0,0,0,10.0,20,10.0,17.91541755888651,34,19.11764705882353,16.80562760872714,14,11.714285714285715,26.0,20,26.0,0.5166666666666667,239414,0.0,0.0,29,0,0,2,0,0.0,32,34,43,189.0,149.0,13,32,43,1534,2.2483717277646065,21.478626800701022
5,43,0,0,0,10.0,20,10.0,18.19883875880449,21,19.33333333333333,15.67481790051585,36,13.527777777777779,26.0,16,26.0,0.6666666666666666,237841,0.0,0.0,33,0,0,1,0,0.0,37,38,42,239.0,124.0,15,28,42,1509,2.3998436015099287,23.87847040221095
6,42,0,0,0,10.0,20,10.0,19.028209147548388,56,20.428571428571427,16.342647304362508,30,18.433333333333334,26.0,13,26.0,0.65,236462,0.0,0.0,28,0,0,2,0,0.0,36,38,46,255.0,142.0,15,27,46,2235,2.791435157880187,26.669905560091138
7,46,0,0,0,10.0,20,10.0,19.72133319323266,32,22.65625,19.186183391954845,96,22.48958333333333,26.0,10,26.0,0.6666666666666666,233212,0.0,0.0,31,0,0,2,0,0.0,36,38,41,291.0,146.0,17,29,41,3344,2.636072468012572,29.30597802810371
8,41,0,0,0,10.0,20,10.0,20.12222115865304,21,23.0,20.111701920145133,46,23.869565217391305,26.0,16,26.0,0.6666666666666666,231993,0.0,0.0,29,0,0,5,0,0.0,36,41,33,300.0,138.0,20,21,33,2197,2.0336518362164497,31.33962986432016
9,33,0,0,0,10.000000000000002,20,10.0,20.29708360256907,10,23.0,20.22868556255496,59,20.644067796610173,25.999999999999996,18,26.0,0.6333333333333333,230115,0.0,0.0,30,0,0,1,0,0.0,36,37,34,255.0,64.0,15,18,34,2116,1.6569952070713043,32.99662507139146
10,34,0,0,0,10.000000000000002,20,10.0,21.15256183598595,74,22.864864864864863,20.85057159095196,129,22.01550387596899,25.999999999999996,13,26.0,0.6333333333333333,223625,0.0,0.0,34,0,0,1,0,0.0,33,34,33,198.0,114.0,11,23,33,5070,1.7862601038068533,34.782885175198324
11,33,0,0,0,10.000000000000002,20,10.0,21.45182471229816,69,22.318840579710145,19.302071856995585,121,15.03305785123967,25.999999999999996,15,26.0,0.6666666666666666,213866,0.0,0.0,43,0,0,0,0,0.0,34,34,33,219.0,75.0,13,20,33,3949,2.573603998869657,37.35648917406797
12,33,0,0,0,10.000000000000002,20,10.0,21.582788099565825,52,22.19230769230769,20.382873643204807,104,24.634615384615387,25.999999999999996,14,26.0,0.6666666666666666,209291,0.0,0.0,40,0,0,1,0,0.0,34,35,28,216.0,91.0,12,21,28,4280,1.5269387289881706,38.88342790305615
13,28,0,0,0,10.000000000000002,20,10.0,21.732361359542452,47,22.574468085106385,19.668673912890366,79,15.49367088607595,25.999999999999996,14,26.0,0.6666666666666666,204250,0.0,0.0,26,0,0,0,0,0.0,32,32,35,165.0,67.0,10,18,35,2849,1.6985410824418068,40.58196898549795
14,35,0,0,0,10.000000000000002,20,10.0,21.861036459663246,51,22.568627450980397,21.591713011820765,169,27.130177514792894,25.999999999999996,12,26.0,0.6333333333333333,195472,0.0,0.0,35,0,0,1,0,0.0,39,40,32,255.0,90.0,15,20,32,6248,2.1506080497056246,42.732577035203576
15,32,0,0,0,10.000000000000002,20,10.0,21.924828662234745,27,22.62962962962963,21.497926677827525,73,20.73972602739726,25.999999999999996,16,26.0,0.6666666666666666,192709,0.0,0.0,29,0,0,1,0,0.0,33,34,34,216.0,120.0,12,20,34,2741,2.112986767664552,44.845563802868135
16,34,0,0,0,10.000000000000002,20,10.0,21.611307192529626,70,20.3,21.370625199970146,62,20.145161290322577,26.0,13,26.0,0.6666666666666666,189322,0.0,0.0,31,0,0,1,0,0.0,35,36,29,201.0,127.0,12,22,29,3208,1.7924554441124199,46.63801924698054
17,29,0,0,0,10.000000000000002,20,10.0,21.742447843004914,42,22.761904761904763,21.970172075064163,84,26.202380952380953,26.0,15,26.0,0.6666666666666666,185171,0.0,0.0,30,0,0,0,0,0.0,33,33,31,216.0,110.0,12,17,31,3747,1.7005355842411518,48.33855483122171
18,31,0,0,0,10.000000000000002,20,10.0,21.23817016294495,64,18.625,21.785295338920985,11,11.545454545454545,26.0,14,26.0,0.6666666666666666,183677,0.0,0.0,29,0,0,0,0,0.0,37,37,29,288.0,120.0,16,15,29,1883,1.890927391126752,50.22948222234845
19,29,0,0,0,10.000000000000002,20,10.0,20.682455987064827,98,18.663265306122447,21.919736874469574,38,23.894736842105264,26.0,16,26.0,0.6666666666666666,180754,0.0,0.0,32,0,0,1,0,0.0,32,33,25,201.0,96.0,12,17,25,3353,1.7399514149874449,51.969433637335904
20,25,0,0,0,10.000000000000002,20,10.0,20.83484114463852,38,22.47368421052632,22.245658351955964,33,27.54545454545455,26.0,16,26.0,0.6666666666666666,179592,0.0,0.0,29,0,0,1,0,0.0,33,34,21,234.0,51.0,13,12,21,2379,1.6184514705091717,53.58788510784507
21,21,0,0,0,10.000000000000002,20,10.0,20.482568040693568,22,14.045454545454545,21.40549932435696,56,13.714285714285715,26.0,16,26.0,0.6666666666666666,177213,0.0,0.0,30,0,0,0,0,0.0,34,34,27,201.0,41.0,12,9,27,1693,1.9937583673745396,55.581643475219614
22,27,0,0,0,10.000000000000002,20,10.0,20.907724363949228,111,22.369369369369373,21.711752782164425,65,24.123076923076926,26.0,16,26.0,0.6666666666666666,171257,0.0,0.0,43,0,0,1,0,0.0,33,34,32,186.0,60.0,12,15,32,4667,1.8130019791424277,57.39464545436204
23,32,0,0,0,10.000000000000002,20,10.0,21.01009216370712,61,21.754098360655735,22.598896570874228,111,26.74774774774775,26.0,16,26.0,0.6666666666666666,165622,0.0,0.0,30,0,0,0,0,0.0,29,29,31,180.0,111.0,10,22,31,4912,1.7240215484052896,59.118667002767324
24,31,0,0,0,10.000000000000002,20,10.0,21.01803055467849,22,21.181818181818183,22.59933486485804,73,22.602739726027398,26.0,14,26.0,0.6666666666666666,162922,0.0,0.0,26,0,0,0,0,0.0,35,35,30,255.0,93.0,15,16,30,2680,1.5212923642247915,60.63995936699212
25,30,0,0,0,10.000000000000002,20,10.0,21.268646466578954,62,23.0,22.46042957218901,50,20.86,26.0,15,26.0,0.6666666666666666,159841,0.0,0.0,30,0,0,3,2,2.9217391304347826,34,37,29,288.0,72.0,16,14,29,2599,1.8119712304323912,62.45193059742451
26,29,0,0,1,10.000000000000002,20,10.0,21.252931793432733,63,21.142857142857142,22.503861563196512,7,26.0,26.0,17,26.0,0.6666666666666666,160464,0.0,0.125,24,0,0,5,11,307.2063360881543,29,34,23,201.0,81.0,12,17,23,1476,1.387261064723134,63.839191662147634
27,23,0,0,0,10.000000000000002,20,10.0,21.304996610964363,34,22.0,22.86541751539882,27,29.740740740740737,26.0,9,26.0,0.6666666666666666,159519,0.0,0.125,24,0,0,4,8,743.6394744546919,25,29,18,183.0,66.0,11,12,18,1985,1.297582359984517,65.13677402213216
28,18,0,0,0,10.000000000000002,20,10.0,21.335275127596546,20,22.0,23.067434013420865,11,32.0,26.0,12,26.0,0.6666666666666666,159188,0.0,0.125,20,0,0,10,9,611.3354142447494,19,29,19,114.0,60.0,8,10,19,1304,1.3478143401443958,66.48458836227654
