,balance,assets,bankrupt,agent_id,step
0,15319.0,120.0,False,00T24@0,0.0
1,14749.0,690.0,False,00T24@0,5.0
2,14299.0,1140.0000000000002,False,00T24@0,10.0
3,13789.0,1650.0000000000002,False,00T24@0,15.0
4,13709.0,1730.0000000000002,False,00T24@0,20.0
5,13489.0,1950.0000000000007,False,00T24@0,25.0
6,13059.0,2380.0000000000005,False,00T24@0,30.0
7,12589.0,2850.0000000000005,False,00T24@0,35.0
8,12009.0,3430.0000000000005,False,00T24@0,40.0
9,11589.0,3850.0,False,00T24@0,45.0
10,11339.0,4100.0,False,00T24@0,50.0
11,15359.0,80.0,False,01T35@0,0.0
12,13431.0,510.0,False,01T35@0,5.0
13,12881.0,1060.0000000000002,False,01T35@0,10.0
14,12391.0,1550.0000000000002,False,01T35@0,15.0
15,11901.0,2040.0000000000007,False,01T35@0,20.0
16,11391.0,2550.0000000000005,False,01T35@0,25.0
17,10821.0,3120.0000000000005,False,01T35@0,30.0
18,10291.0,3650.0000000000014,False,01T35@0,35.0
19,9871.0,4070.0000000000014,False,01T35@0,40.0
20,9291.0,4650.0,False,01T35@0,45.0
21,8941.0,5000.0,False,01T35@0,50.0
22,23116.0,0.0,False,02T40@1,0.0
23,22789.0,1340.813460830648,False,02T40@1,5.0
24,25523.0,0.0,False,02T40@1,10.0
25,25873.0,0.0,False,02T40@1,15.0
26,26358.0,0.0,False,02T40@1,20.0
27,26358.0,0.0,False,02T40@1,25.0
28,26598.0,0.0,False,02T40@1,30.0
29,26958.0,0.0,False,02T40@1,35.0
30,27078.0,0.0,False,02T40@1,40.0
31,27438.0,0.0,False,02T40@1,45.0
32,27918.0,0.0,False,02T40@1,50.0
33,23116.0,0.0,False,03T24@1,0.0
34,22766.0,0.0,False,03T24@1,5.0
35,22766.0,0.0,False,03T24@1,10.0
36,22766.0,0.0,False,03T24@1,15.0
37,22416.0,0.0,False,03T24@1,20.0
38,21716.0,0.0,False,03T24@1,25.0
39,21016.0,0.0,False,03T24@1,30.0
40,20666.0,0.0,False,03T24@1,35.0
41,20141.0,0.0,False,03T24@1,40.0
42,19616.0,0.0,False,03T24@1,45.0
43,19616.0,0.0,False,03T24@1,50.0
44,30921.0,0.0,False,04T40@2,0.0
45,30891.0,391.1090573012939,False,04T40@2,5.0
46,31584.0,1411.423211645225,False,04T40@2,10.0
47,32592.0,2422.0491392697845,False,04T40@2,15.0
48,35259.0,2029.4831907394187,False,04T40@2,20.0
49,38248.0,859.117823530577,False,04T40@2,25.0
50,39986.0,576.6460225101904,False,04T40@2,30.0
51,40662.0,652.9625122024262,False,04T40@2,35.0
52,42340.0,364.02942297008246,False,04T40@2,40.0
53,43647.0,218.58753153919673,False,04T40@2,45.0
54,44413.0,0.0,False,04T40@2,50.0
55,30921.0,0.0,False,05T24@2,0.0
56,30681.0,0.0,False,05T24@2,5.0
57,30081.0,408.1923555294865,False,05T24@2,10.0
58,28581.0,1589.8801812671065,False,05T24@2,15.0
59,27081.0,2658.4614852325194,False,05T24@2,20.0
60,27081.0,2209.4612280159536,False,05T24@2,25.0
61,26481.0,2278.682242944065,False,05T24@2,30.0
62,25581.0,2850.496966666908,False,05T24@2,35.0
63,25281.0,2590.433995538885,False,05T24@2,40.0
64,24335.0,3107.7159089369397,False,05T24@2,45.0
65,23135.0,4724.903080696537,False,05T24@2,50.0
66,37611.0,0.0,False,06T40@3,0.0
67,37135.0,500.0,False,06T40@3,5.0
68,35440.0,1761.5654509966282,False,06T40@3,10.0
69,36060.0,849.9999999999999,False,06T40@3,15.0
70,36814.0,0.0,False,06T40@3,20.0
71,36450.0,0.0,False,06T40@3,25.0
72,35497.0,0.0,False,06T40@3,30.0
73,35028.0,0.0,False,06T40@3,35.0
74,35028.0,0.0,False,06T40@3,40.0
75,34789.0,0.0,False,06T40@3,45.0
76,34255.0,0.0,False,06T40@3,50.0
77,37611.0,0.0,False,07T23@3,0.0
78,37235.0,78.22181146025878,False,07T23@3,5.0
79,33192.0,2975.1925029312592,False,07T23@3,10.0
80,28586.0,6511.402362644467,False,07T23@3,15.0
81,23788.0,10569.523058183835,False,07T23@3,20.0
82,19717.0,13674.29202452835,False,07T23@3,25.0
83,17119.0,15497.361854961367,False,07T23@3,30.0
84,15122.0,16251.511414815945,False,07T23@3,35.0
85,11876.0,18638.306456068218,False,07T23@3,40.0
86,9211.0,19964.327880579967,False,07T23@3,45.0
87,6369.0,22171.217478049286,False,07T23@3,50.0
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,
109,,,,,
