index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
23,OTHER,T37,0,1,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
25,OTHER,T37,0,2,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
34,OTHER,T37,0,1,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
12,OTHER,T22,0,3,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
11,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
7,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
16,OTHER,T37,0,3,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
5,OTHER,T37,0,2,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
4,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
1,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
6,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
29,OTHER,T22,1,5,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
28,OTHER,T37,1,2,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
27,OTHER,T37,1,2,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
26,OTHER,T37,1,2,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
24,OTHER,T37,1,1,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
21,OTHER,T22,1,1,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
81,T37,T22,1,5,11,-1,-1,1,00T37@0,03T22@1,17,-1,-1,-1,1
77,T22,T35,1,3,52,-1,-1,1,03T22@1,05T35@2,17,-1,-1,-1,2
17,OTHER,T22,1,1,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
31,OTHER,T37,1,2,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
15,OTHER,T22,1,1,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
66,T22,T22,1,4,11,1,-1,1,01T22@0,03T22@1,17,1,-1,-1,1
42,T22,T22,1,4,11,1,-1,1,01T22@0,03T22@1,17,1,-1,-1,1
18,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
32,OTHER,T37,1,1,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
35,OTHER,T37,2,4,10,0,-1,-1,SELLER,00T37@0,0,2,-1,-1,0
57,T34,T35,2,4,69,1,-1,1,04T34@2,07T35@3,17,2,-1,-1,3
119,T37,T35,2,24,22,-1,-1,2,00T37@0,02T35@1,2,-1,-1,-1,1
69,T22,T34,2,5,19,1,-1,1,03T22@1,04T34@2,17,2,-1,-1,2
60,T22,T22,2,4,12,1,-1,1,01T22@0,03T22@1,17,2,-1,-1,1
62,T34,T35,2,1,71,1,-1,1,04T34@2,06T35@3,17,2,-1,-1,3
33,OTHER,T22,2,2,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
47,T35,T34,2,5,19,1,-1,1,02T35@1,04T34@2,17,2,-1,-1,2
22,OTHER,T37,2,2,10,0,-1,-1,SELLER,00T37@0,0,2,-1,-1,0
20,OTHER,T22,2,1,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
19,OTHER,T22,2,2,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
13,OTHER,T22,2,1,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
10,OTHER,T37,2,1,10,0,-1,-1,SELLER,00T37@0,0,2,-1,-1,0
9,OTHER,T22,2,2,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
3,OTHER,T37,2,4,10,0,-1,-1,SELLER,00T37@0,0,2,-1,-1,0
2,OTHER,T22,2,1,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
105,T34,T35,3,1,71,2,-1,2,04T34@2,06T35@3,17,3,-1,-1,3
76,T22,T35,3,15,32,-1,-1,1,01T22@0,02T35@1,17,-1,-1,-1,1
86,T37,T22,3,10,34,-1,-1,1,00T37@0,03T22@1,17,-1,-1,-1,1
94,T35,T34,3,5,19,2,-1,2,02T35@1,04T34@2,17,3,-1,-1,2
84,T37,T35,3,15,32,-1,-1,1,00T37@0,02T35@1,17,-1,-1,-1,1
0,OTHER,T37,3,2,10,0,-1,-1,SELLER,00T37@0,0,3,-1,-1,0
103,T34,T35,3,1,71,2,-1,2,04T34@2,07T35@3,17,3,-1,-1,3
38,OTHER,T22,3,2,10,-1,-1,-1,SELLER,01T22@0,0,-1,-1,-1,0
41,OTHER,T22,3,2,10,-1,-1,-1,SELLER,01T22@0,0,-1,-1,-1,0
39,OTHER,T22,3,2,10,-1,-1,-1,SELLER,01T22@0,0,-1,-1,-1,0
37,OTHER,T22,3,2,10,-1,-1,-1,SELLER,01T22@0,0,-1,-1,-1,0
36,OTHER,T22,3,3,10,-1,-1,-1,SELLER,01T22@0,0,-1,-1,-1,0
30,OTHER,T37,3,1,10,0,-1,-1,SELLER,00T37@0,0,3,-1,-1,0
40,OTHER,T22,3,2,10,-1,-1,-1,SELLER,01T22@0,0,-1,-1,-1,0
8,OTHER,T37,3,3,10,0,-1,-1,SELLER,00T37@0,0,3,-1,-1,0
14,OTHER,T37,3,1,10,0,-1,-1,SELLER,00T37@0,0,3,-1,-1,0
85,OTHER,T37,4,4,10,-1,-1,-1,SELLER,00T37@0,0,-1,-1,-1,0
87,OTHER,T37,4,2,10,-1,-1,-1,SELLER,00T37@0,0,-1,-1,-1,0
83,OTHER,T37,4,3,10,-1,-1,-1,SELLER,00T37@0,0,-1,-1,-1,0
70,T35,OTHER,4,1,62,1,-1,-1,06T35@3,BUYER,0,4,-1,-1,4
88,OTHER,T37,4,1,10,-1,-1,-1,SELLER,00T37@0,0,-1,-1,-1,0
79,OTHER,T37,4,1,10,-1,-1,-1,SELLER,00T37@0,0,-1,-1,-1,0
89,T22,T22,4,5,12,-1,-1,1,01T22@0,03T22@1,17,-1,-1,-1,1
145,T35,T34,4,1,17,4,-1,4,02T35@1,04T34@2,17,4,-1,-1,2
72,T22,T35,4,10,32,1,-1,1,01T22@0,02T35@1,17,4,-1,-1,1
101,T22,T35,4,10,34,2,-1,2,01T22@0,02T35@1,17,4,-1,-1,1
71,T35,OTHER,4,2,62,1,-1,-1,07T35@3,BUYER,0,4,-1,-1,4
82,OTHER,T37,4,1,10,-1,-1,-1,SELLER,00T37@0,0,-1,-1,-1,0
49,OTHER,T22,4,2,10,1,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
67,T35,OTHER,4,3,62,1,-1,-1,06T35@3,BUYER,0,4,-1,-1,4
50,T35,OTHER,4,1,62,1,-1,-1,06T35@3,BUYER,0,4,-1,-1,4
52,T35,OTHER,4,1,62,1,-1,-1,07T35@3,BUYER,0,4,-1,-1,4
135,T35,T34,4,5,19,3,-1,3,02T35@1,04T34@2,17,4,-1,-1,2
55,T35,OTHER,4,3,62,1,-1,-1,07T35@3,BUYER,0,4,-1,-1,4
130,T34,T35,4,1,71,3,-1,3,04T34@2,06T35@3,17,4,-1,-1,3
58,T35,OTHER,4,2,62,1,-1,-1,07T35@3,BUYER,0,4,-1,-1,4
59,OTHER,T22,4,4,10,1,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
44,T35,OTHER,4,2,62,1,-1,-1,06T35@3,BUYER,0,4,-1,-1,4
54,T35,OTHER,4,2,62,1,-1,-1,07T35@3,BUYER,0,4,-1,-1,4
61,T35,OTHER,4,3,62,1,-1,-1,06T35@3,BUYER,0,4,-1,-1,4
65,OTHER,T22,4,2,10,1,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
159,T22,T35,4,14,22,-1,-1,4,01T22@0,02T35@1,2,-1,-1,-1,1
128,T34,T35,4,4,69,3,-1,3,04T34@2,07T35@3,17,4,-1,-1,3
106,T35,OTHER,5,2,62,2,-1,-1,06T35@3,BUYER,0,5,-1,-1,4
107,T35,OTHER,5,4,62,2,-1,-1,06T35@3,BUYER,0,5,-1,-1,4
108,OTHER,T22,5,2,10,2,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
109,T35,OTHER,5,1,62,2,-1,-1,07T35@3,BUYER,0,5,-1,-1,4
110,T35,OTHER,5,2,62,2,-1,-1,06T35@3,BUYER,0,5,-1,-1,4
112,T35,OTHER,5,1,62,2,-1,-1,07T35@3,BUYER,0,5,-1,-1,4
146,T34,T35,5,1,71,4,-1,4,04T34@2,07T35@3,17,5,-1,-1,3
113,T35,OTHER,5,1,62,2,-1,-1,07T35@3,BUYER,0,5,-1,-1,4
114,T35,OTHER,5,1,62,2,-1,-1,06T35@3,BUYER,0,5,-1,-1,4
115,OTHER,T22,5,1,10,2,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
116,OTHER,T37,5,1,10,-1,-1,-1,SELLER,00T37@0,0,-1,-1,-1,0
121,OTHER,T37,5,1,10,-1,-1,-1,SELLER,00T37@0,0,-1,-1,-1,0
120,OTHER,T37,5,1,10,-1,-1,-1,SELLER,00T37@0,0,-1,-1,-1,0
122,OTHER,T37,5,4,10,-1,-1,-1,SELLER,00T37@0,0,-1,-1,-1,0
123,OTHER,T37,5,1,10,-1,-1,-1,SELLER,00T37@0,0,-1,-1,-1,0
157,T34,T35,5,4,69,4,-1,4,04T34@2,06T35@3,17,5,-1,-1,3
118,OTHER,T37,5,2,10,-1,-1,-1,SELLER,00T37@0,0,-1,-1,-1,0
117,OTHER,T37,5,2,10,-1,-1,-1,SELLER,00T37@0,0,-1,-1,-1,0
139,T22,T35,5,10,34,3,-1,3,01T22@0,02T35@1,17,5,-1,-1,1
97,OTHER,T22,5,2,10,2,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
102,OTHER,T22,5,2,10,2,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
100,T35,OTHER,5,2,62,2,-1,-1,07T35@3,BUYER,0,5,-1,-1,4
99,OTHER,T22,5,1,10,2,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
