index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
38,OTHER,T23,0,1,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
238,OTHER,T23,0,4,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
25,OTHER,T41,0,3,10,0,-1,-1,SELLER,00T41@0,0,0,-1,-1,0
193,OTHER,T23,0,2,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
199,OTHER,T41,0,1,10,0,-1,-1,SELLER,00T41@0,0,0,-1,-1,0
117,OTHER,T41,0,1,10,0,-1,-1,SELLER,00T41@0,0,0,-1,-1,0
83,OTHER,T41,0,3,10,0,-1,-1,SELLER,00T41@0,0,0,-1,-1,0
110,OTHER,T23,0,1,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
519,OTHER,T23,0,1,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
115,OTHER,T23,0,1,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
146,OTHER,T23,0,2,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
612,T35,T37,1,1,19,-1,-1,1,04T35@2,06T37@3,17,-1,-1,-1,3
127,OTHER,T23,1,1,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
565,T35,T35,1,9,21,1,-1,1,05T35@2,07T35@3,17,1,-1,-1,3
514,OTHER,T23,1,1,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
613,T35,T37,1,5,19,-1,-1,1,04T35@2,06T37@3,17,-1,-1,-1,3
553,T35,T35,1,4,19,1,-1,1,04T35@2,07T35@3,17,1,-1,-1,3
576,T35,T35,1,1,20,1,-1,1,05T35@2,07T35@3,17,1,-1,-1,3
389,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
284,OTHER,T41,1,2,10,0,-1,-1,SELLER,00T41@0,0,1,-1,-1,0
558,T35,T35,1,2,19,1,-1,1,04T35@2,07T35@3,17,1,-1,-1,3
594,T35,T35,1,2,19,1,-1,1,05T35@2,07T35@3,17,1,-1,-1,3
616,T35,T37,1,4,19,-1,-1,1,04T35@2,06T37@3,17,-1,-1,-1,3
609,T35,T35,1,3,19,1,-1,1,05T35@2,07T35@3,17,1,-1,-1,3
56,OTHER,T41,1,1,10,0,-1,-1,SELLER,00T41@0,0,1,-1,-1,0
547,T23,T22,1,5,2,1,-1,1,01T23@0,03T22@1,11,1,-1,-1,1
586,T35,T35,1,1,20,1,-1,1,04T35@2,07T35@3,17,1,-1,-1,3
560,T35,T35,1,2,19,1,-1,1,05T35@2,07T35@3,17,1,-1,-1,3
509,OTHER,T41,1,1,10,0,-1,-1,SELLER,00T41@0,0,1,-1,-1,0
164,OTHER,T23,1,3,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
495,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
91,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
329,OTHER,T41,1,2,10,0,-1,-1,SELLER,00T41@0,0,1,-1,-1,0
103,OTHER,T41,1,1,10,0,-1,-1,SELLER,00T41@0,0,1,-1,-1,0
535,T23,T22,1,5,1,1,-1,1,01T23@0,03T22@1,9,1,-1,-1,1
393,OTHER,T41,1,2,10,0,-1,-1,SELLER,00T41@0,0,1,-1,-1,0
618,T35,T37,1,1,19,-1,-1,1,05T35@2,06T37@3,17,-1,-1,-1,3
570,T35,T35,1,9,21,1,-1,1,04T35@2,07T35@3,17,1,-1,-1,3
531,T23,T22,1,4,1,1,-1,1,01T23@0,03T22@1,10,1,-1,-1,1
520,T35,T35,1,1,19,1,-1,1,04T35@2,07T35@3,17,1,-1,-1,3
542,T35,T35,1,5,19,1,-1,1,05T35@2,07T35@3,17,1,-1,-1,3
527,T35,T35,1,1,19,1,-1,1,04T35@2,07T35@3,17,1,-1,-1,3
563,T23,T22,2,5,4,1,-1,1,01T23@0,03T22@1,14,2,-1,-1,1
388,OTHER,T23,2,1,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
584,T35,T37,2,5,20,1,-1,1,05T35@2,06T37@3,17,2,-1,-1,3
544,T35,T35,2,9,21,1,-1,1,04T35@2,07T35@3,17,2,-1,-1,3
640,T23,T22,2,5,3,2,-1,2,01T23@0,03T22@1,12,2,-1,-1,1
596,T35,T35,2,1,20,1,-1,1,05T35@2,07T35@3,17,2,-1,-1,3
160,OTHER,T23,2,3,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
656,T23,T35,2,1,3,2,-1,2,02T23@1,05T35@2,12,2,-1,-1,2
657,T23,T35,2,9,1,2,-1,2,02T23@1,05T35@2,8,2,-1,-1,2
653,T35,T35,2,4,19,2,-1,2,05T35@2,07T35@3,17,2,-1,-1,3
100,OTHER,T23,2,1,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
648,T23,T35,2,6,10,2,-1,2,02T23@1,05T35@2,16,2,-1,-1,2
664,T23,T22,2,5,2,2,-1,2,01T23@0,03T22@1,10,2,-1,-1,1
226,OTHER,T41,2,1,10,0,-1,-1,SELLER,00T41@0,0,2,-1,-1,0
299,OTHER,T41,2,2,10,0,-1,-1,SELLER,00T41@0,0,2,-1,-1,0
627,T23,T35,2,9,6,2,-1,2,02T23@1,05T35@2,13,2,-1,-1,2
129,OTHER,T23,2,4,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
26,OTHER,T23,2,1,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
24,OTHER,T23,2,1,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
190,OTHER,T41,2,1,10,0,-1,-1,SELLER,00T41@0,0,2,-1,-1,0
51,OTHER,T41,2,1,10,0,-1,-1,SELLER,00T41@0,0,2,-1,-1,0
577,T35,T35,2,1,20,1,-1,1,05T35@2,07T35@3,17,2,-1,-1,3
662,T23,T35,2,1,9,2,-1,2,02T23@1,04T35@2,16,2,-1,-1,2
304,OTHER,T41,2,4,10,0,-1,-1,SELLER,00T41@0,0,2,-1,-1,0
736,T23,T23,3,13,14,-1,-1,3,01T23@0,02T23@1,10,-1,-1,-1,1
493,OTHER,T41,3,4,10,0,-1,-1,SELLER,00T41@0,0,3,-1,-1,0
413,OTHER,T23,3,1,10,0,-1,-1,SELLER,01T23@0,0,3,-1,-1,0
590,T35,T35,3,9,21,1,-1,1,04T35@2,07T35@3,17,3,-1,-1,3
739,T35,T37,3,12,21,-1,-1,3,04T35@2,06T37@3,17,-1,-1,-1,3
145,OTHER,T41,3,1,10,0,-1,-1,SELLER,00T41@0,0,3,-1,-1,0
628,T23,T35,3,1,2,2,-1,2,02T23@1,04T35@2,11,3,-1,-1,2
316,OTHER,T41,3,1,10,0,-1,-1,SELLER,00T41@0,0,3,-1,-1,0
