index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
179,OTHER,T23,0,3,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
148,OTHER,T23,0,2,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
79,OTHER,T23,0,3,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
153,OTHER,T23,0,2,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
411,OTHER,T23,0,5,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
133,OTHER,T23,0,2,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
368,OTHER,T23,0,1,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
188,OTHER,T23,0,2,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
525,OTHER,T23,1,4,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
605,T35,T23,1,6,23,1,-1,1,03T35@1,05T23@2,10,1,-1,-1,2
383,OTHER,T23,1,4,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
406,OTHER,T23,1,6,10,0,-1,-1,SELLER,00T23@0,0,1,-1,-1,0
646,T23,T41,1,5,1,1,-1,1,00T23@0,02T41@1,10,1,-1,-1,1
597,T23,T41,1,5,2,1,-1,1,00T23@0,02T41@1,14,1,-1,-1,1
618,T35,T23,1,10,21,1,-1,1,03T35@1,05T23@2,13,1,-1,-1,2
619,T35,T23,1,10,22,1,-1,1,03T35@1,05T23@2,11,1,-1,-1,2
609,T35,T23,1,6,24,1,-1,1,03T35@1,05T23@2,8,1,-1,-1,2
44,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
651,T35,T23,1,5,24,1,-1,1,03T35@1,05T23@2,10,1,-1,-1,2
282,OTHER,T23,1,1,10,0,-1,-1,SELLER,00T23@0,0,1,-1,-1,0
599,T23,T41,1,4,2,1,-1,1,01T23@0,02T41@1,11,1,-1,-1,1
635,T35,T23,1,7,21,1,-1,1,03T35@1,05T23@2,13,1,-1,-1,2
604,T23,T41,1,4,3,1,-1,1,00T23@0,02T41@1,14,1,-1,-1,1
431,OTHER,T23,1,1,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
643,T35,T23,1,3,23,1,-1,1,03T35@1,05T23@2,11,1,-1,-1,2
258,OTHER,T23,1,2,10,0,-1,-1,SELLER,00T23@0,0,1,-1,-1,0
654,T35,T23,1,12,23,-1,-1,1,03T35@1,05T23@2,10,-1,-1,-1,2
711,T23,T35,2,22,4,-1,-1,2,01T23@0,03T35@1,14,-1,-1,-1,1
353,OTHER,T23,2,1,10,0,-1,-1,SELLER,00T23@0,0,2,-1,-1,0
616,T35,T23,2,10,22,1,-1,1,03T35@1,05T23@2,11,2,-1,-1,2
