index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,27.0,0,,44.0,0,,0.16666666666666666,209060,0.0,0.0,7,0,0,0,0,0.0,310,310,0,0,0,0,0,0,200,0.7145444918423891,0.7145444918423891
1,0,0,0,0,10.0,20,10.0,18.0,0,,27.0,0,,44.0,0,,0.16666666666666666,208860,0.0,0.0,8,0,0,0,0,0.0,14,14,0,0,0,0,0,0,200,0.07379686087369919,0.7883413527160883
2,0,0,0,0,10.0,20,10.0,18.0,0,,27.0,0,,44.0,0,,0.16666666666666666,208660,0.0,0.0,7,0,0,0,0,0.0,14,14,0,0,0,0,0,0,200,0.07274388708174229,0.8610852397978306
3,0,0,0,0,10.0,20,10.0,18.0,0,,27.0,0,,44.0,20,44.0,0.16666666666666666,208151,0.0,0.0,14,0,0,0,0,0.0,14,14,0,0,0,0,0,0,1080,0.07188369333744049,0.9329689331352712
4,0,0,0,0,10.0,20,10.0,18.0,0,,27.0,0,,44.0,20,44.0,0.16666666666666666,207612,0.0,0.0,15,0,0,0,0,0.0,14,14,0,0,0,0,0,0,1080,0.0838695839047432,1.0168385170400145
5,0,0,0,0,10.0,20,10.0,18.0,0,,27.0,0,,43.99999999999999,20,44.0,0.16666666666666666,207067,0.0,0.0,15,0,0,0,0,0.0,13,13,0,0,0,0,0,0,1080,0.0947080198675394,1.1115465369075537
6,0,0,0,0,10.0,20,10.0,18.0,0,,27.0,0,,43.99999999999999,20,44.0,0.15,206528,0.0,0.0,16,0,0,0,0,0.0,15,15,0,0,0,0,0,0,1080,0.09478724002838136,1.206333776935935
7,0,0,0,0,10.0,20,10.0,18.0,0,,27.0,0,,43.99999999999999,20,44.0,0.15,205995,0.0,0.0,14,0,0,0,0,0.0,12,12,0,0,0,0,0,0,1080,0.07045869901776314,1.2767924759536982
8,0,0,0,0,10.0,20,10.0,18.0,0,,27.0,0,,43.99999999999999,20,44.0,0.16666666666666666,205481,0.0,0.0,15,0,0,0,0,0.0,14,14,0,0,0,0,0,0,1080,0.06087058596313,1.3376630619168282
9,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,27.0,0,,43.99999999999999,20,44.0,0.16666666666666666,204960,0.0,0.0,12,0,0,0,0,0.0,15,15,0,0,0,0,0,0,1080,0.061592847108840935,1.3992559090256689
10,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,27.0,0,,44.0,20,44.0,0.16666666666666666,204447,0.0,0.0,14,0,0,0,0,0.0,13,13,0,0,0,0,0,0,1080,0.058112997561693185,1.4573689065873623
11,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,27.0,0,,44.0,20,44.0,0.13333333333333333,203950,0.0,0.0,13,0,0,0,0,0.0,14,14,0,0,0,0,0,0,1080,0.05642805248498916,1.5137969590723517
12,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,27.0,0,,44.0,20,44.0,0.16666666666666666,203430,0.0,0.0,13,0,0,0,0,0.0,13,13,0,0,0,0,0,0,1080,0.07899235188961029,1.5927893109619615
13,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,27.0,0,,44.0,20,44.0,0.13333333333333333,202906,0.0,0.0,12,0,0,0,0,0.0,14,14,0,0,0,0,0,0,1080,0.06373408809304237,1.656523399055004
14,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,27.0,0,,44.0,20,44.0,0.16666666666666666,202404,0.0,0.0,13,0,0,0,0,0.0,13,13,0,0,0,0,0,0,1080,0.07898343354463577,1.73550683259964
15,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,27.0,0,,44.0,20,44.0,0.16666666666666666,201813,0.0,0.0,14,0,0,0,0,0.0,14,14,0,0,0,0,0,0,1080,0.05121426843106747,1.7867211010307074
16,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,27.0,0,,44.0,20,44.0,0.16666666666666666,201303,0.0,0.0,14,0,0,0,0,0.0,15,15,0,0,0,0,0,0,1080,0.04891623370349407,1.8356373347342012
17,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,27.0,0,,44.0,20,44.0,0.16666666666666666,200806,0.0,0.0,12,0,0,0,0,0.0,16,16,0,0,0,0,0,0,1080,0.05028170719742775,1.8859190419316287
18,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,27.0,0,,44.0,20,44.0,0.16666666666666666,200294,0.0,0.0,13,0,0,0,0,0.0,14,14,0,0,0,0,0,0,1080,0.04723587818443775,1.933154920116067
19,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,27.0,0,,44.0,20,44.0,0.16666666666666666,199773,0.0,0.0,14,0,0,0,0,0.0,15,15,0,0,0,0,0,0,1080,0.04479577951133251,1.9779506996273997
20,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,27.0,0,,44.0,20,44.0,0.16666666666666666,199262,0.0,0.0,14,0,0,0,0,0.0,14,14,0,0,0,0,0,0,1080,0.040216941386461265,2.0181676410138607
21,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,27.0,0,,44.00000000000001,20,44.0,0.16666666666666666,198760,0.0,0.0,13,0,0,0,0,0.0,14,14,0,0,0,0,0,0,1080,0.040774308145046234,2.058941949158907
22,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,27.0,0,,44.00000000000001,20,44.0,0.16666666666666666,198267,0.0,0.0,14,0,0,0,0,0.0,14,14,0,0,0,0,0,0,1080,0.033797333016991615,2.0927392821758986
23,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,27.0,0,,44.00000000000001,20,44.0,0.16666666666666666,197728,0.0,0.0,14,0,0,0,0,0.0,14,14,0,0,0,0,0,0,1080,0.036885799840092666,2.1296250820159908
24,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,27.0,0,,44.00000000000001,20,44.0,0.16666666666666666,197205,0.0,0.0,14,0,0,0,0,0.0,14,14,0,0,0,0,0,0,1080,0.03654365614056587,2.1661687381565566
25,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,27.0,0,,44.00000000000001,20,44.0,0.16666666666666666,196688,0.0,0.0,14,0,0,0,0,0.0,14,14,0,0,0,0,0,0,1080,0.03368150815367699,2.1998502463102336
26,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,27.0,0,,44.00000000000001,20,44.0,0.16666666666666666,196142,0.0,0.0,14,0,0,0,0,0.0,13,13,0,0,0,0,0,0,1080,0.032840488478541374,2.2326907347887754
27,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,27.0,0,,44.0,20,44.0,0.16666666666666666,195623,0.0,0.0,14,0,0,0,0,0.0,14,14,0,0,0,0,0,0,1080,0.04051867686212063,2.273209411650896
28,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,27.0,0,,43.99999999999999,20,44.0,0.16666666666666666,195111,0.0,0.0,13,0,0,0,0,0.0,14,14,0,0,0,0,0,0,1080,0.03924192301928997,2.312451334670186
29,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,27.0,0,,43.99999999999999,20,44.0,0.16666666666666666,194599,0.0,0.0,15,0,0,0,0,0.0,12,12,0,0,0,0,0,0,1080,0.032226258888840675,2.3446775935590267
30,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,27.0,0,,43.99999999999999,20,44.0,0.16666666666666666,194071,0.0,0.0,12,0,0,0,0,0.0,14,14,0,0,0,0,0,0,1080,0.04040136188268662,2.3850789554417133
