index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,21.0,0,,34.0,0,,43.0,0,,0.2125,249758,0.0,0.0,10,0,0,96,0,0.0,315,411,86,0.0,0.0,0,0,86,200,3.5789741463959217,3.5789741463959217
1,86,0,0,0,10.0,20,10.0,15.0,0,,21.0,0,,29.75,43,25.30232558139535,43.0,0,,0.375,247187,0.0,0.0,24,0,0,17,0,0.0,86,103,48,1229.0,90.0,81,5,48,1288,2.4763725046068434,6.055346651002765
2,48,0,0,0,10.0,20,10.0,16.375,11,22.0,20.1,5,12.0,29.2967032967033,30,28.1,43.0,0,,0.375,245354,0.0,0.0,17,0,0,6,0,0.0,60,66,35,807.0,36.0,46,2,35,1345,1.541484231129289,7.5968308821320525
3,35,0,0,0,10.0,20,10.0,17.52839116719243,13,22.0,16.743421052631582,31,11.870967741935484,29.079824010056573,29,28.344827586206893,43.0,0,,0.3375,242758,0.0,0.0,27,0,0,5,0,0.0,45,50,32,501.0,33.0,29,6,32,1676,1.3582430239766836,8.955073906108739
4,32,0,0,0,10.0,20,10.0,18.195198329853863,10,22.0,12.479881974248926,118,10.008474576271187,29.469436233108105,37,30.675675675675677,43.0,10,43.0,0.35,235147,0.0,0.0,31,0,0,6,0,0.0,43,49,32,505.0,24.0,29,3,32,3166,1.3177397213876247,10.272813627496364
5,32,0,0,0,10.0,20,10.0,18.781750147153627,11,22.0,12.086569049401195,46,10.652173913043477,29.286045489605193,42,28.690476190476193,43.0,11,43.0,0.3625,231090,0.0,0.0,42,0,0,2,0,0.0,51,53,26,522.0,6.0,30,2,26,2610,1.4768053162842991,11.74961894378066
6,26,0,0,0,10.0,20,10.0,19.323552874566488,13,22.0,11.70699256500015,75,10.733333333333333,29.621304645376593,55,30.600000000000005,43.0,6,43.0,0.375,224161,0.0,0.0,41,0,0,7,0,0.0,36,43,28,416.0,6.0,24,2,28,3232,1.1902862656861544,12.939905209466815
7,28,0,0,0,10.0,20,10.0,20.82997498591663,57,22.66666666666667,11.603281844587274,48,11.083333333333336,29.28802411455431,37,27.540540540540537,43.0,9,43.0,0.375,220126,0.0,0.0,37,0,0,12,0,0.0,34,46,24,456.0,6.0,26,2,24,3430,1.149340366944671,14.089245576411484
8,24,0,0,0,10.0,20,10.0,21.776675606978134,102,22.83333333333333,11.499463758178766,56,11.017857142857142,28.95998667103555,45,27.444444444444446,43.0,6,43.0,0.375,213835,0.0,0.0,36,0,0,12,0,0.0,31,43,24,407.0,0.0,24,0,24,4639,1.172467105090618,15.261712681502106
9,24,0,0,0,10.000000000000002,20,10.0,21.94652202779481,56,22.535714285714285,11.534680613318212,43,11.767441860465114,29.12566918958301,58,29.77586206896552,43.00000000000001,8,43.0,0.375,207433,0.0,0.0,35,0,0,10,0,0.0,34,44,24,400.0,0.0,24,0,24,4039,1.0397409591823816,16.301453640684485
