index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
1,OTHER,T24,0,2,10,0,-1,-1,SELLER,01T24@0,0,0,-1,-1,0
5,OTHER,T40,0,4,10,0,-1,-1,SELLER,00T40@0,0,0,-1,-1,0
6,OTHER,T24,0,4,10,0,-1,-1,SELLER,01T24@0,0,0,-1,-1,0
8,OTHER,T24,0,3,10,0,-1,-1,SELLER,01T24@0,0,0,-1,-1,0
10,OTHER,T24,0,4,10,0,-1,-1,SELLER,01T24@0,0,0,-1,-1,0
11,OTHER,T40,0,2,10,0,-1,-1,SELLER,00T40@0,0,0,-1,-1,0
12,OTHER,T24,0,1,10,0,-1,-1,SELLER,01T24@0,0,0,-1,-1,0
0,OTHER,T24,1,2,10,0,-1,-1,SELLER,01T24@0,0,1,-1,-1,0
35,T24,T37,1,5,1,-1,-1,1,05T24@1,08T37@2,2,-1,-1,-1,2
34,T24,T37,1,5,1,-1,-1,1,09T24@2,11T37@3,2,-1,-1,-1,3
33,T40,T37,1,5,1,-1,-1,1,07T40@2,11T37@3,2,-1,-1,-1,3
30,T40,T37,1,5,1,-1,-1,1,06T40@1,08T37@2,2,-1,-1,-1,2
14,OTHER,T40,1,4,10,0,-1,-1,SELLER,00T40@0,0,1,-1,-1,0
29,T37,T37,1,2,19,-1,-1,1,08T37@2,11T37@3,17,-1,-1,-1,3
9,OTHER,T24,1,1,10,0,-1,-1,SELLER,01T24@0,0,1,-1,-1,0
13,OTHER,T40,1,3,10,0,-1,-1,SELLER,00T40@0,0,1,-1,-1,0
2,OTHER,T40,1,2,10,0,-1,-1,SELLER,00T40@0,0,1,-1,-1,0
4,OTHER,T24,1,4,10,0,-1,-1,SELLER,01T24@0,0,1,-1,-1,0
7,OTHER,T24,1,4,10,0,-1,-1,SELLER,01T24@0,0,1,-1,-1,0
19,OTHER,T40,2,4,10,-1,-1,-1,SELLER,00T40@0,0,-1,-1,-1,0
15,OTHER,T24,2,2,10,-1,-1,-1,SELLER,01T24@0,0,-1,-1,-1,0
16,OTHER,T24,2,5,10,-1,-1,-1,SELLER,01T24@0,0,-1,-1,-1,0
3,OTHER,T40,2,5,10,0,-1,-1,SELLER,00T40@0,0,2,-1,-1,0
18,OTHER,T40,2,1,10,-1,-1,-1,SELLER,00T40@0,0,-1,-1,-1,0
31,T37,T37,2,4,46,-1,-1,1,03T37@1,08T37@2,17,-1,-1,-1,2
17,OTHER,T24,2,3,10,-1,-1,-1,SELLER,01T24@0,0,-1,-1,-1,0
26,OTHER,T40,3,6,10,1,-1,-1,SELLER,00T40@0,0,3,-1,-1,0
21,OTHER,T24,3,5,10,1,-1,-1,SELLER,01T24@0,0,3,-1,-1,0
22,OTHER,T24,3,1,10,1,-1,-1,SELLER,01T24@0,0,3,-1,-1,0
23,OTHER,T40,3,1,10,1,-1,-1,SELLER,00T40@0,0,3,-1,-1,0
24,OTHER,T24,3,2,10,1,-1,-1,SELLER,01T24@0,0,3,-1,-1,0
20,OTHER,T40,3,2,10,1,-1,-1,SELLER,00T40@0,0,3,-1,-1,0
27,OTHER,T24,3,3,10,1,-1,-1,SELLER,01T24@0,0,3,-1,-1,0
28,T37,T37,4,5,58,1,-1,1,08T37@2,11T37@3,17,4,-1,-1,3
38,T37,OTHER,4,4,55,2,-1,-1,11T37@3,BUYER,0,4,-1,-1,4
39,T37,OTHER,4,3,55,2,-1,-1,11T37@3,BUYER,0,4,-1,-1,4
40,T37,OTHER,4,2,55,2,-1,-1,11T37@3,BUYER,0,4,-1,-1,4
41,T20,OTHER,4,1,55,2,-1,-1,10T20@3,BUYER,0,4,-1,-1,4
42,T20,OTHER,4,3,55,2,-1,-1,10T20@3,BUYER,0,4,-1,-1,4
43,T20,OTHER,4,4,55,2,-1,-1,10T20@3,BUYER,0,4,-1,-1,4
44,T20,OTHER,4,3,55,2,-1,-1,10T20@3,BUYER,0,4,-1,-1,4
50,T20,OTHER,5,2,55,3,-1,-1,10T20@3,BUYER,0,5,-1,-1,4
49,T37,OTHER,5,4,55,3,-1,-1,11T37@3,BUYER,0,5,-1,-1,4
25,T37,T37,5,2,20,1,-1,1,08T37@2,11T37@3,17,5,-1,-1,3
48,T37,OTHER,5,5,55,3,-1,-1,11T37@3,BUYER,0,5,-1,-1,4
45,T20,OTHER,5,3,55,3,-1,-1,10T20@3,BUYER,0,5,-1,-1,4
46,T20,OTHER,5,5,55,3,-1,-1,10T20@3,BUYER,0,5,-1,-1,4
47,T37,OTHER,5,1,55,3,-1,-1,11T37@3,BUYER,0,5,-1,-1,4
55,T20,OTHER,6,3,55,4,-1,-1,10T20@3,BUYER,0,6,-1,-1,4
56,T37,OTHER,6,3,55,-1,-1,-1,11T37@3,BUYER,0,-1,-1,-1,4
54,T20,OTHER,6,2,55,4,-1,-1,10T20@3,BUYER,0,6,-1,-1,4
53,T37,OTHER,6,1,55,4,-1,-1,11T37@3,BUYER,0,6,-1,-1,4
58,T37,OTHER,6,4,55,-1,-1,-1,11T37@3,BUYER,0,-1,-1,-1,4
51,T37,T40,6,5,62,-1,-1,3,03T37@1,07T40@2,2,-1,-1,-1,2
57,T37,OTHER,6,3,55,-1,-1,-1,11T37@3,BUYER,0,-1,-1,-1,4
52,T20,OTHER,6,4,55,4,-1,-1,10T20@3,BUYER,0,6,-1,-1,4
60,T20,OTHER,7,3,55,5,-1,-1,10T20@3,BUYER,0,7,-1,-1,4
62,T37,OTHER,7,5,55,5,-1,-1,11T37@3,BUYER,0,7,-1,-1,4
61,T20,OTHER,7,5,55,5,-1,-1,10T20@3,BUYER,0,7,-1,-1,4
32,T37,T24,7,5,62,-1,-1,1,03T37@1,09T24@2,2,-1,-1,-1,2
37,T37,T37,7,4,47,-1,-1,1,03T37@1,08T37@2,17,-1,-1,-1,2
36,T37,T40,7,5,62,-1,-1,1,03T37@1,07T40@2,2,-1,-1,-1,2
63,T37,OTHER,7,2,55,5,-1,-1,11T37@3,BUYER,0,7,-1,-1,4
59,T20,OTHER,7,3,55,5,-1,-1,10T20@3,BUYER,0,7,-1,-1,4
64,T20,OTHER,7,2,55,5,-1,-1,10T20@3,BUYER,0,7,-1,-1,4
