index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
29,OTHER,T23,0,4,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
58,OTHER,T23,0,3,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
72,OTHER,T23,0,4,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
94,OTHER,T23,0,5,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
38,OTHER,T23,0,4,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
59,OTHER,T23,1,4,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
65,OTHER,T23,1,4,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
18,OTHER,T23,1,3,10,0,-1,-1,SELLER,00T23@0,0,1,-1,-1,0
114,T23,T36,1,5,4,1,-1,1,00T23@0,02T36@1,13,1,-1,-1,1
13,OTHER,T23,1,3,10,0,-1,-1,SELLER,00T23@0,0,1,-1,-1,0
116,T23,T36,1,5,5,1,-1,1,00T23@0,02T36@1,15,1,-1,-1,1
145,T36,T22,1,1,33,-1,-1,1,02T36@1,05T22@2,17,-1,-1,-1,2
10,OTHER,T23,1,6,10,0,-1,-1,SELLER,00T23@0,0,1,-1,-1,0
119,T23,T41,1,2,2,1,-1,1,03T23@1,04T41@2,13,1,-1,-1,2
122,T23,T36,1,5,4,1,-1,1,01T23@0,02T36@1,14,1,-1,-1,1
148,T23,T22,1,11,3,-1,-1,1,03T23@1,05T22@2,11,-1,-1,-1,2
127,T23,T22,1,7,1,1,-1,1,03T23@1,05T22@2,10,1,-1,-1,2
137,T23,T36,1,5,3,1,-1,1,00T23@0,02T36@1,12,1,-1,-1,1
144,T36,T41,1,1,33,-1,-1,1,02T36@1,04T41@2,17,-1,-1,-1,2
132,T23,T22,1,5,6,1,-1,1,03T23@1,05T22@2,15,1,-1,-1,2
40,OTHER,T23,2,6,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
57,OTHER,T23,2,7,10,0,-1,-1,SELLER,00T23@0,0,2,-1,-1,0
133,T23,T41,2,1,3,1,-1,1,03T23@1,04T41@2,13,2,-1,-1,2
170,T23,T36,2,2,2,2,-1,2,00T23@0,02T36@1,14,2,-1,-1,1
152,T23,T36,2,4,7,2,-1,2,00T23@0,02T36@1,16,2,-1,-1,1
168,T23,T22,2,1,6,2,-1,2,03T23@1,05T22@2,16,2,-1,-1,2
