index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,16,10.0,23.0,0,,32.0,0,,43.0,0,,0.1,209910,0.0,0.0,9,0,0,253,0,0.0,331,584,32,0.0,0.0,0,0,32,160,0.276820320636034,0.276820320636034
1,32,0,0,0,10.0,14,10.0,21.705882352941174,6,12.0,32.0,0,,43.0,0,,0.13333333333333333,209652,0.0,0.0,15,0,0,13,0,0.0,25,38,26,288.0,168.0,16,16,26,212,1.0249376632273195,1.3017579838633535
2,26,0,0,0,10.0,19,10.0,21.498933901918978,1,12.0,32.0,0,,43.0,0,,0.15,209434,0.0,0.0,11,0,0,9,0,0.0,22,31,23,144.0,144.0,8,18,23,202,0.6904236897826195,1.9921816736459728
3,23,0,0,0,10.0,15,10.0,21.279102059708396,1,12.0,32.0,0,,43.0,20,43.0,0.1,208937,0.0,0.0,19,0,0,12,0,0.0,16,28,24,126.0,119.0,7,16,24,1022,0.7334501724690199,2.725631846114993
4,24,0,0,0,9.999999999999998,9,10.0,21.279102059708396,0,,32.0,0,,43.0,15,43.0,0.0,208637,0.0,0.0,12,0,0,4,0,0.0,21,25,20,108.0,125.0,6,18,20,735,0.5108665209263563,3.2364983670413494
5,20,0,0,0,9.999999999999996,13,10.0,21.664947838334648,3,26.66666666666667,29.272727272727273,10,17.0,43.0,15,43.0,0.21666666666666667,208195,0.0,0.0,19,0,0,8,0,0.0,23,31,23,129.0,96.0,8,12,23,1025,0.5478547587990761,3.7843531258404255
6,23,0,0,0,9.999999999999996,9,10.0,21.415208229436093,1,12.0,32.25210084033613,10,47.0,42.99999999999999,10,43.0,0.18333333333333332,208226,0.0,0.0,12,0,0,12,0,0.0,20,32,16,138.0,93.0,11,12,16,1002,0.8462605699896812,4.630613695830107
7,16,0,0,0,9.999999999999996,12,10.0,23.138693462050878,7,31.714285714285715,34.572777340676645,10,47.0,42.99999999999999,10,43.0,0.2833333333333333,207856,0.0,0.0,17,0,0,13,0,0.0,18,31,11,132.0,111.0,9,7,11,1242,0.6190967727452517,5.249710468575358
8,11,0,0,0,9.999999999999996,9,10.0,23.138693462050878,0,,37.293302860308884,15,47.66666666666666,43.0,10,43.0,0.25,207867,0.0,0.0,13,0,0,13,0,0.0,16,29,6,93.0,45.0,6,5,6,1235,0.4990405943244696,5.748751062899827
9,6,0,0,0,9.999999999999996,12,10.0,24.16405481899565,39,25.153846153846153,40.49632123577605,32,47.0,43.0,10,43.0,0.4166666666666667,205475,0.0,0.0,20,0,0,7,0,0.0,17,24,7,54.0,39.0,3,3,7,3035,0.2279508225619793,5.976701885461807
10,7,0,0,0,9.999999999999996,11,10.0,24.277664560009466,33,24.51515151515152,41.66070813363423,49,43.734693877551024,42.99999999999999,10,43.0,0.5,202492,0.0,0.0,24,0,0,9,0,0.0,17,26,9,72.0,54.0,4,3,9,3492,0.2195735704153776,6.196275455877185
11,9,0,0,0,9.999999999999996,6,10.0,23.995179074428428,15,22.266666666666666,41.29262728606174,21,39.142857142857146,42.99999999999999,10,43.0,0.5,202008,0.0,0.0,15,0,0,14,0,0.0,11,25,12,90.0,72.0,5,4,12,1646,0.3044487927109003,6.500724248588085
12,12,0,0,0,9.999999999999998,8,10.0,23.75064330579228,2,12.0,42.26801852537538,22,48.0,42.99999999999999,10,43.0,0.5,201823,0.0,0.0,14,0,0,22,0,0.0,6,28,13,111.0,76.0,7,5,13,1590,0.6087680421769619,7.109492290765048
13,13,0,0,0,10.0,10,10.0,23.619050007317416,1,12.0,39.63313229484205,47,32.0,43.0,10,43.0,0.5,200719,0.0,0.0,13,0,0,25,0,0.0,6,31,15,108.0,80.0,6,7,15,2046,0.4914254564791918,7.600917747244239
14,15,0,0,0,10.0,9,10.0,23.619050007317416,0,,39.63313229484205,0,,43.0,10,43.0,0.4833333333333333,201059,0.0,0.0,11,0,0,14,0,0.0,13,27,17,126.0,99.0,7,8,17,520,0.5618212670087814,8.162739014253019
15,17,0,0,0,10.0,16,10.0,23.619050007317416,0,,40.26874528042093,12,49.0,43.0,10,43.0,0.3333333333333333,201329,0.0,0.0,16,0,0,16,0,0.0,17,33,15,129.0,101.0,8,9,15,1178,0.5875745359808207,8.750313550233841
16,15,0,0,0,10.000000000000002,6,10.0,23.619050007317416,0,,40.26874528042093,0,,43.00000000000001,10,43.0,0.3333333333333333,201699,0.0,0.0,9,0,0,6,0,0.0,23,29,17,126.0,98.0,7,8,17,490,0.5426789727061987,9.29299252294004
