index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,34.0,0,,50.0,0,,0.3,308578,0.0,0.0,11,0,0,141,0,0.0,292,433,62,0.0,0.0,0,0,62,200,1.4559658002108335,1.4559658002108335
1,62,0,0,0,10.0,20,10.0,21.0,0,,32.59574468085106,2,1.0,50.0,0,,0.3666666666666667,308296,0.0,0.0,11,0,0,8,0,0.0,15,23,34,9.0,177.0,3,59,34,202,6.337393771857022,7.793359572067858
2,34,0,0,0,10.0,20,10.0,21.0,0,,29.866090712742977,4,1.0,50.0,0,,0.4333333333333333,307932,0.0,0.0,11,0,0,6,0,0.0,20,26,34,12.0,90.0,4,30,34,204,4.867193434387445,12.660553006455302
3,34,0,0,0,10.0,20,10.0,21.0,0,,27.33785855047077,4,1.0,50.0,13,50.0,0.45,307272,0.0,0.0,18,0,0,7,0,0.0,17,24,36,12.0,90.0,4,30,36,854,6.61753948032856,19.278092486783862
4,36,0,0,0,10.0,20,10.0,21.0,0,,25.002061947098866,4,1.0,50.0,5,50.0,0.36666666666666653,306851,0.0,0.0,15,0,0,8,0,0.0,17,25,36,12.0,96.0,4,32,36,454,8.274776928126812,27.552869414910674
5,36,0,0,0,10.0,14,10.0,21.893617021276604,2,42.0,21.91118351158014,6,1.0,50.0,7,50.0,0.4666666666666667,306362,0.0,0.0,16,0,0,9,0,0.0,15,24,34,12.0,96.0,4,32,34,580,10.024831967428328,37.577701382339
6,34,0,0,0,10.0,20,10.0,22.801354401805874,2,42.0,20.09018442559156,4,1.0,49.99999999999999,4,50.0,0.45,305953,0.0,0.0,16,0,0,6,0,0.0,20,26,36,12.0,90.0,4,30,36,488,11.666823845356705,49.2445252276957
7,36,0,0,0,10.0,20,10.0,24.551857761568268,4,42.0,18.40600729328111,4,1.0,49.99999999999999,6,50.0,0.4333333333333333,305506,0.0,0.0,18,0,0,12,0,0.0,12,24,34,12.0,96.0,4,32,34,672,13.040147315710785,62.284672543406494
8,34,0,0,0,10.0,20,10.0,26.15691189660328,4,42.0,16.85211032629026,4,1.0,49.99999999999999,5,50.0,0.45,305079,0.0,0.0,17,0,0,13,0,0.0,11,24,34,12.0,90.0,4,30,34,622,14.530075004324315,76.8147475477308
9,34,0,0,0,10.0,20,10.0,26.927214735977174,2,42.0,15.421591019155624,4,1.0,50.0,4,50.0,0.43333333333333335,304671,0.0,0.0,15,0,0,5,0,0.0,20,25,34,12.0,90.0,4,30,34,488,16.718474205583338,93.53322175331414
10,34,0,0,0,10.000000000000002,20,10.0,27.699757542240466,2,42.0,14.107338980832866,4,1.0,50.0,4,50.0,0.4666666666666666,304258,0.0,0.0,16,0,0,2,0,0.0,19,21,36,12.0,90.0,4,30,36,488,17.47914408147335,111.01236583478749
11,36,0,0,0,10.0,20,10.0,28.470263279771252,2,42.0,12.902167030333517,4,1.0,49.99999999999999,7,50.0,0.4166666666666667,303795,0.0,0.0,16,0,0,3,0,0.0,22,25,36,12.0,96.0,4,32,36,638,18.88316294550896,129.89552878029644
12,36,0,0,0,10.0,20,10.0,29.234499826804978,2,42.0,11.798921080304195,4,1.0,49.99999999999999,5,50.0,0.43333333333333335,303362,0.0,0.0,16,0,0,8,0,0.0,15,23,34,12.0,96.0,4,32,34,538,20.219608455896374,150.11513723619282
13,34,0,0,0,10.0,20,10.0,29.988372176597014,2,42.0,10.790569998622065,4,1.0,50.0,5,50.0,0.45,302930,0.0,0.0,18,0,0,7,0,0.0,16,23,34,12.0,90.0,4,30,34,538,21.5583030320704,171.67344026826322
14,34,0,0,0,10.0,20,10.0,31.381839391571642,4,42.0,9.870277084719516,4,1.0,50.0,4,50.0,0.45,302521,0.0,0.0,15,0,0,9,0,0.0,15,24,34,12.0,90.0,4,30,34,572,22.707826606929306,194.38126687519244
15,34,0,0,0,10.0,20,10.0,33.10222253082662,6,42.0,9.430050975013168,2,1.0,50.0,6,50.0,0.4000000000000001,302157,0.0,0.0,15,0,0,8,0,0.0,13,21,36,9.0,93.0,3,31,36,754,23.54372121579945,217.924988090992
16,36,0,0,0,10.0,20,10.0,33.60593691417964,2,42.0,8.98948121832016,2,1.0,50.0,5,50.0,0.36666666666666653,301810,0.0,0.0,16,0,0,8,0,0.0,18,26,34,9.0,99.0,3,33,34,536,23.92785507440567,241.85284316539764
17,34,0,0,0,10.000000000000002,20,10.0,34.10268883261097,2,42.0,8.551004345877411,2,1.0,50.0,5,50.0,0.3333333333333333,301465,0.0,0.0,16,0,0,9,0,0.0,12,21,34,6.0,96.0,2,32,34,536,24.891771961003545,266.7446151264012
18,34,0,0,0,10.000000000000002,20,10.0,34.10268883261097,0,,8.117010841757514,2,1.0,49.99999999999999,4,50.0,0.4,301133,0.0,0.0,14,0,0,4,0,0.0,20,24,36,9.0,93.0,3,31,36,402,27.5055761449039,294.25019127130514
19,36,0,0,0,10.000000000000002,20,10.0,35.02054815930128,4,42.0,7.310961667387668,4,1.0,49.99999999999999,6,50.0,0.4000000000000001,300684,0.0,0.0,18,0,0,10,0,0.0,14,24,34,12.0,96.0,4,32,34,672,28.371358381584287,322.62154965288937
20,34,0,0,0,10.000000000000002,20,10.0,36.15312883850996,6,42.0,6.937379438322513,2,1.0,49.99999999999999,5,50.0,0.4166666666666667,300339,0.0,0.0,17,0,0,12,0,0.0,8,20,34,6.0,96.0,2,32,34,704,29.57038286887109,352.19193252176046
21,34,0,0,0,10.000000000000002,20,10.0,36.78052374877296,4,42.0,6.247138546464134,4,1.0,49.99999999999999,5,50.0,0.4666666666666666,299918,0.0,0.0,16,0,0,13,0,0.0,10,23,34,9.0,93.0,3,31,34,622,30.39204204455018,382.5839745663106
22,34,0,0,0,10.000000000000002,20,10.0,37.33653511375222,4,42.0,5.646896553313921,4,1.0,49.99999999999999,5,50.0,0.43333333333333335,299499,0.0,0.0,16,0,0,16,0,0.0,10,26,34,12.0,90.0,4,30,34,622,31.44006766751409,414.0240422338248
23,34,0,0,0,10.000000000000002,20,10.0,37.83009554754281,4,42.0,5.369222379481116,2,1.0,49.99999999999999,4,50.0,0.38333333333333336,299171,0.0,0.0,15,0,0,18,0,0.0,5,23,34,9.0,93.0,3,31,34,570,33.199727034196265,447.223769268021
24,34,0,0,0,10.000000000000002,20,10.0,38.26885930101852,4,42.0,5.097192656047167,2,1.0,49.99999999999999,4,50.0,0.38333333333333336,299030,0.0,0.0,19,0,0,7,0,0.0,15,22,34,9.0,93.0,3,31,34,570,33.402586091309786,480.62635535933083
25,34,0,0,0,10.0,20,10.0,38.659416350318686,4,42.0,4.832094954183359,2,1.0,49.99999999999999,5,50.0,0.45,298998,0.0,0.0,16,0,0,11,0,0.0,12,23,34,9.0,93.0,3,31,34,620,34.20848507992923,514.8348404392599
26,34,0,0,0,10.0,8,10.0,38.84300436720898,2,42.0,4.35036933026423,4,1.0,49.99999999999999,14,50.0,0.3,299085,0.0,0.0,16,0,0,10,0,0.0,13,23,34,12.0,90.0,4,30,34,868,34.975745307281606,549.8105857465416
