index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,trading_price_5,sold_quantity_5,unit_price_5,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,28.0,0,,34.0,0,,42.0,0,,51.0,0,,0.1,584034,0.0,0.0,9,0,0,89,0,0.0,575,664,138,0.0,0.0,0,0,138,200,8.524206487461925,8.524206487461925
1,138,0,0,0,10.0,20,10.0,16.0,0,,24.74576271186441,14,14.285714285714285,30.660714285714285,11,17.0,31.612903225806452,17,4.117647058823529,51.0,0,,0.34,581814,0.0,0.0,22,0,0,9,0,0.0,93,102,85,1316.0,742.0,84,54,85,657,5.059875244274736,13.58408173173666
2,85,0,0,0,10.0,20,10.0,16.0,0,,22.948517940717636,11,14.272727272727273,30.44637223974764,13,29.615384615384613,25.17766497461929,23,9.565217391304346,51.0,0,,0.3,579186,0.0,0.0,21,0,0,4,0,0.0,58,62,59,618.0,254.0,44,41,59,962,2.3692978806793694,15.953379612416027
3,59,0,0,0,10.0,20,10.0,16.0,0,,20.97926717955405,19,15.0,30.59531129900077,21,31.0,19.973056197074676,33,8.787878787878787,51.0,0,,0.37,575396,0.0,0.0,21,0,0,8,0,0.0,45,53,50,535.0,126.0,34,25,50,1426,2.180129963904619,18.133509576320648
4,50,0,0,0,10.0,20,10.0,16.0,0,,19.759941661471874,16,14.5,31.184786478980232,14,34.142857142857146,18.75834993554436,43,16.11627906976744,51.0,0,,0.34,572103,0.0,0.0,26,0,0,7,0,0.0,37,44,48,362.0,146.0,25,25,48,1603,1.6576043646782637,19.791113940998915
5,48,0,0,0,10.0,20,10.0,16.724137931034484,42,17.5,18.96816203058795,13,14.307692307692307,31.24545071686603,22,31.45454545454545,20.972068277543787,72,24.75,51.0,20,51.0,0.39,565895,0.0,0.0,42,0,0,6,0,0.0,43,49,50,392.0,130.0,28,20,50,4615,1.5287438854575155,21.319857826456424
6,50,0,0,0,10.0,20,10.0,16.283316880552814,23,14.782608695652176,18.789808322686188,3,14.0,31.572497972210623,58,32.06896551724138,21.03014570847396,27,21.407407407407412,51.0,20,51.0,0.29,560400,0.0,0.0,36,0,0,6,0,0.0,39,45,46,407.0,141.0,28,22,46,4040,1.6917890198528769,23.011646846309304
7,46,0,0,0,10.0,20,10.0,16.58319153658356,44,17.204545454545453,16.837363369303908,44,13.5,32.434579960328854,43,35.06976744186046,19.77971126024384,51,15.31372549019608,50.99999999999999,20,51.0,0.4,552966,0.0,0.0,39,0,0,7,0,0.0,36,43,43,324.0,158.0,25,21,43,4860,1.3817814774811268,24.39342832379043
8,43,0,0,0,10.0,20,10.0,19.326437329309567,105,22.504761904761907,16.551936539885894,12,14.0,33.669171223701824,69,36.47826086956522,19.65724932433564,103,19.40776699029126,50.99999999999999,20,51.0,0.4,535644,0.0,0.0,48,0,0,2,0,0.0,40,42,42,350.0,146.0,24,19,42,8267,2.5063105151057243,26.899738838896155
9,42,0,0,0,10.000000000000002,20,10.0,20.430738564586946,76,23.394736842105264,15.751962957274305,69,14.507246376811596,32.871713374491954,53,29.811320754716984,21.143877988200348,10,63.0,51.0,17,51.0,0.4,527272,0.0,0.0,38,0,0,7,0,0.0,41,48,37,385.0,136.0,26,16,37,6056,1.2871497105807066,28.186888549476862
10,37,0,0,0,10.000000000000002,20,10.0,20.243751092764093,21,18.0,15.582958664653669,22,14.363636363636365,33.80942939083533,44,38.72727272727273,19.74473499473995,23,3.782608695652174,50.99999999999999,14,51.0,0.4,523319,0.0,0.0,31,0,0,6,0,0.0,33,39,43,279.0,136.0,20,17,43,3399,1.3661586251109838,29.55304717458785
11,43,0,0,0,10.000000000000002,20,10.0,20.540131695211574,17,24.823529411764714,15.511220725815804,15,14.733333333333333,35.03132245158056,59,40.15254237288136,20.506329849909857,60,23.766666666666666,50.99999999999999,13,51.0,0.39,515663,0.0,0.0,37,0,0,7,0,0.0,34,41,46,345.0,168.0,23,20,46,5301,1.3752465769648552,30.9282937515527
12,46,0,0,0,10.000000000000002,20,10.0,21.114200545911945,90,22.622222222222227,15.03794947206945,44,13.318181818181818,34.81743480262011,55,33.74545454545455,20.605255919372304,36,21.38888888888889,51.0,11,51.0,0.39,506012,0.0,0.0,40,0,0,9,0,0.0,32,41,42,357.0,190.0,23,23,42,6009,1.1705698408186436,32.098863592371345
13,42,0,0,0,10.000000000000002,20,10.0,21.299435307829715,32,23.0,14.994856789341235,18,14.555555555555555,34.80639311575647,76,34.76315789473685,20.53766402574388,1,1.0,51.0,13,51.0,0.4,500277,0.0,0.0,31,0,0,8,0,0.0,36,44,40,347.0,143.0,23,19,40,4504,1.1692065186798573,33.268070111051195
14,40,0,0,0,10.000000000000002,20,10.0,21.355522342001752,10,23.0,15.1931331949264,52,15.884615384615385,35.434360079265474,25,43.88,21.321326247188985,20,31.55,51.00000000000001,14,51.0,0.39,497021,0.0,0.0,25,0,0,2,0,0.0,34,36,41,284.0,139.0,19,21,41,3698,1.0944196954369545,34.36248980648816
15,41,0,0,0,10.000000000000002,20,10.0,21.234971539412356,140,21.0,15.162481696412339,15,14.733333333333333,35.193210190941684,59,33.864406779661024,22.035987674050034,62,24.951612903225808,51.00000000000002,16,51.0,0.38,481093,0.0,0.0,45,0,0,4,0,0.0,32,36,46,267.0,175.0,17,24,46,7722,1.1409618612378836,35.50345166772604
16,46,0,0,0,10.000000000000002,20,10.0,21.69781192746245,86,23.69767441860465,15.104820315640342,16,14.375,35.189146951397845,18,35.111111111111114,22.462711042180352,39,25.56410256410257,51.00000000000001,16,51.0,0.36,474633,0.0,0.0,37,0,0,5,0,0.0,34,39,39,348.0,152.0,22,24,39,4913,1.2292764950543642,36.7327281627804
17,39,0,0,0,10.000000000000002,20,10.0,21.90803069040028,28,25.0,14.921565099296755,25,13.48,35.448894242679955,20,39.7,21.488186323958594,16,3.8125,51.0,18,51.0,0.38,471329,0.0,0.0,35,0,0,4,0,0.0,31,35,39,230.0,137.0,17,22,39,3010,1.027222638949752,37.759950801730156
18,39,0,0,0,10.000000000000002,20,10.0,22.227947879910612,63,24.23809523809524,14.870076952331456,21,14.38095238095238,35.53027864423065,35,36.25714285714286,18.705496106593234,48,2.7291666666666665,50.99999999999999,15,51.0,0.4,462884,0.0,0.0,38,0,0,3,0,0.0,37,40,40,293.0,152.0,20,19,40,4194,1.2086432706564665,38.968594072386615
19,40,0,0,0,10.000000000000002,20,10.0,22.469663617055332,60,24.13333333333333,14.872644027044133,4,15.0,36.80873718055562,52,44.5,18.648197157985386,35,18.17142857142857,50.99999999999999,14,51.0,0.37,457050,0.0,0.0,36,0,0,4,0,0.0,32,36,42,300.0,151.0,18,22,42,5372,1.4679798353463411,40.43657390773296
20,42,0,0,0,10.000000000000002,20,10.0,22.527742992552408,10,25.0,14.846834489974215,15,14.533333333333333,37.09032035641656,6,52.5,18.29762558813887,30,14.866666666666667,50.99999999999999,14,51.0,0.4,454589,0.0,0.0,30,0,0,4,0,0.0,35,39,39,323.0,124.0,23,19,39,2143,1.1651475727558136,41.601721480488784
21,39,0,0,0,10.000000000000002,20,10.0,22.77442135198995,83,23.939759036144576,14.823000862222635,10,14.4,36.89419593582296,66,36.0,20.061341736599296,38,33.57894736842105,50.99999999999999,15,51.0,0.35,446147,0.0,0.0,38,0,0,7,0,0.0,31,38,42,303.0,114.0,20,19,42,6748,2.3659194093197584,43.96764088980853
22,42,0,0,0,10.000000000000002,20,10.0,22.868401512848333,47,23.723404255319146,14.809458003373793,9,14.555555555555555,37.16416444326431,60,38.65,20.30869624792371,12,26.41666666666667,50.99999999999999,16,51.0,0.34,441641,0.0,0.0,29,0,0,7,0,0.0,33,40,38,328.0,134.0,21,21,38,4898,1.1592680532485249,45.12690894305706
23,38,0,0,0,10.000000000000002,20,10.0,22.868401512848333,0,,14.755555438134275,22,14.363636363636365,37.090272498267176,77,36.753246753246756,19.504590052915372,28,11.535714285714285,50.99999999999999,12,51.0,0.39,435330,0.0,0.0,37,0,0,5,0,0.0,34,39,45,310.0,148.0,20,18,45,4281,1.131095489487052,46.258004432544105
24,45,0,0,0,10.000000000000002,20,10.0,23.071568931111397,45,25.0,14.719244513406446,18,14.388888888888891,37.45100302263398,31,41.935483870967744,18.371267228975306,42,10.952380952380953,50.99999999999999,14,51.0,0.4,430135,0.0,0.0,39,0,0,3,0,0.0,43,46,39,421.0,123.0,27,18,39,4058,1.0530124269425871,47.311016859486706
