index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,trading_price_5,sold_quantity_5,unit_price_5,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,29.0,0,,38.0,0,,47.0,0,,60.0,0,,0.0,1043572,0.0,0.0,7,0,0,0,0,0.0,845,845,24,0.0,0.0,0,0,24,200,0.6954457368701696,0.6954457368701696
1,24,0,0,0,10.0,20,10.0,18.0,0,,29.0,0,,33.25,15,19.0,47.0,0,,60.0,0,,0.1,1042536,0.0,0.0,12,0,0,16,0,0.0,23,39,29,335.0,0.0,24,0,29,485,34.24909465387464,34.944540390744805
2,29,0,0,0,10.0,20,10.0,18.0,0,,28.0625,3,14.0,33.25,0,,46.0,1,1.0,60.0,0,,0.1,1042175,0.0,0.0,9,0,0,6,0,0.0,27,33,30,278.0,33.0,18,11,30,243,71.30147776566446,106.24601815640926
3,30,0,0,0,10.0,20,10.0,17.166666666666668,9,13.0,27.060165975103732,5,18.4,31.862903225806452,8,22.5,44.93867924528302,1,1.0,60.0,0,,0.09,1041154,0.0,0.0,17,0,0,8,0,0.0,27,35,24,301.0,27.0,21,9,24,590,65.58527557738125,171.83129373379055
4,24,0,0,0,10.0,20,10.0,17.166666666666668,0,,25.67577966788173,6,15.666666666666664,29.355538922155684,11,16.636363636363637,35.81519933554817,10,1.0,60.0,0,,0.2,1039595,0.0,0.0,16,0,0,10,0,0.0,21,31,23,249.0,24.0,16,8,23,487,79.83067872934043,251.66197246313092
5,23,0,0,0,10.0,20,10.0,16.87126865671642,5,14.0,25.44084767395801,1,15.0,27.388287401574804,11,16.636363636363637,35.81519933554817,0,,60.0,20,60.0,0.1,1039107,0.0,0.0,21,0,0,9,0,0.0,23,32,20,250.0,18.0,17,6,20,1668,63.93033186532558,315.5923043284565
6,20,0,0,0,10.0,20,10.0,16.87126865671642,0,,25.44084767395801,0,,26.25834840017532,9,18.222222222222218,35.81519933554817,0,,60.0,20,60.0,0.1,1038237,0.0,0.0,18,0,0,14,0,0.0,13,27,23,189.0,24.0,12,8,23,1564,57.52093399129807,373.11323831975466
7,23,0,0,0,10.0,20,10.0,16.87126865671642,0,,23.477481973153118,9,14.555555555555555,24.40141162267261,10,12.2,35.81519933554817,0,,59.99999999999999,20,60.0,0.08,1036746,0.0,0.0,24,0,0,12,0,0.0,14,26,22,202.0,30.0,13,10,22,1653,6.603025006130338,379.71626332588494
8,22,0,0,0,10.0,20,10.0,16.87126865671642,0,,22.057864005711128,13,17.153846153846153,23.512565753779768,5,11.4,35.81519933554817,0,,60.0,20,60.0,0.05,1035308,0.0,0.0,23,0,0,12,0,0.0,14,26,21,192.0,27.0,13,9,21,1680,105.65710843540728,485.37337176129216
9,21,0,0,0,10.000000000000002,20,10.0,16.87126865671642,0,,20.477091636360853,5,4.0,23.512565753779768,0,,35.81519933554817,0,,60.0,20,60.0,0.0,1034473,0.0,0.0,17,0,0,13,0,0.0,13,26,20,190.0,27.0,12,9,20,1420,64.57840386778115,549.9517756290734
10,20,0,0,0,10.000000000000002,20,10.0,16.87126865671642,0,,18.66770433538536,12,10.916666666666664,23.540489814277358,4,24.0,35.81519933554817,0,,60.0,20,60.0,0.04,1033247,0.0,0.0,19,0,0,13,0,0.0,11,24,22,173.0,27.0,11,9,22,1627,122.01832829043268,671.9701039195062
11,22,0,0,0,10.000000000000002,20,10.0,16.87126865671642,0,,18.269925097284702,10,16.0,22.47583728621329,4,5.75,35.81519933554817,0,,59.99999999999999,20,60.0,0.04,1032077,0.0,0.0,21,0,0,13,0,0.0,15,28,22,204.0,27.0,13,9,22,1583,125.22634813562037,797.1964520551263
12,22,0,0,0,10.000000000000002,20,10.0,16.87126865671642,0,,17.988465501152152,1,1.0,21.199219065040197,4,2.0,35.81519933554817,0,,59.99999999999999,20,60.0,0.04,1031248,0.0,0.0,17,0,0,12,0,0.0,14,26,22,192.0,27.0,13,9,22,1409,8.062069030478598,805.258521085605
13,22,0,0,0,10.000000000000002,20,10.0,16.87126865671642,0,,17.988465501152152,0,,20.522990959306835,2,1.0,39.97133046500083,5,76.0,59.99999999999999,20,60.0,0.06999999999999999,1030245,0.0,0.0,16,0,0,12,0,0.0,15,27,24,208.0,27.0,13,9,24,1782,8.23447347804904,813.4929945636542
14,24,0,0,0,10.000000000000002,20,10.0,16.87126865671642,0,,16.66101835386348,5,2.0,19.179148756528694,7,8.857142857142858,43.684891238022985,5,76.0,60.0,20,60.0,0.06999999999999999,1029296,0.0,0.0,18,0,0,15,0,0.0,13,28,21,241.0,27.0,15,9,21,1852,19.3947577662766,832.8877523299308
