index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
421,OTHER,T35,0,3,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
292,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
458,OTHER,T35,0,4,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
272,OTHER,T35,0,1,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
61,OTHER,T35,0,2,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
354,OTHER,T35,0,4,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
17,OTHER,T35,0,4,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
443,OTHER,T35,1,2,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
660,T35,T37,1,1,22,-1,-1,1,05T35@2,07T37@3,17,-1,-1,-1,3
662,T35,T37,1,1,22,-1,-1,1,04T35@2,07T37@3,17,-1,-1,-1,3
157,OTHER,T35,1,3,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
622,T35,T38,1,1,43,1,-1,1,05T35@2,06T38@3,17,1,-1,-1,3
174,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
243,OTHER,T35,1,2,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
101,OTHER,T35,1,2,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
614,T35,T22,1,5,9,1,-1,1,00T35@0,03T22@1,17,1,-1,-1,1
630,T35,T22,1,5,9,1,-1,1,00T35@0,03T22@1,17,1,-1,-1,1
663,T35,T37,1,2,22,-1,-1,1,04T35@2,07T37@3,17,-1,-1,-1,3
646,T35,T38,1,10,23,-1,-1,1,04T35@2,06T38@3,17,-1,-1,-1,3
81,OTHER,T35,1,3,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
277,OTHER,T35,1,4,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
633,T35,T38,1,2,43,1,-1,1,04T35@2,06T38@3,17,1,-1,-1,3
629,T35,T38,1,2,22,1,-1,1,05T35@2,06T38@3,17,1,-1,-1,3
641,T35,T38,1,1,22,1,-1,1,05T35@2,06T38@3,17,1,-1,-1,3
151,OTHER,T35,1,3,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
627,T35,T38,1,1,43,1,-1,1,04T35@2,06T38@3,17,1,-1,-1,3
638,T35,T38,1,2,43,1,-1,1,05T35@2,06T38@3,17,1,-1,-1,3
62,OTHER,T35,2,2,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
675,T35,T22,2,5,9,2,-1,2,00T35@0,03T22@1,17,2,-1,-1,1
3,OTHER,T35,2,2,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
671,T35,T38,2,2,43,2,-1,2,04T35@2,06T38@3,17,2,-1,-1,3
670,T35,T38,2,2,43,2,-1,2,05T35@2,06T38@3,17,2,-1,-1,3
637,T35,T37,2,11,24,1,-1,1,05T35@2,07T37@3,17,2,-1,-1,3
