index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
188,OTHER,T22,0,5,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
43,OTHER,T36,0,2,10,0,-1,-1,SELLER,00T36@0,0,0,-1,-1,0
156,OTHER,T36,0,4,10,0,-1,-1,SELLER,00T36@0,0,0,-1,-1,0
208,OTHER,T22,0,4,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
155,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
17,OTHER,T36,0,4,10,0,-1,-1,SELLER,00T36@0,0,0,-1,-1,0
183,OTHER,T22,1,4,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
340,T35,T35,1,5,14,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
244,OTHER,T36,1,3,10,0,-1,-1,SELLER,00T36@0,0,1,-1,-1,0
384,T36,T22,1,9,28,-1,-1,1,00T36@0,02T22@1,17,-1,-1,-1,1
381,T22,T10,1,5,43,-1,-1,1,02T22@1,04T10@2,17,-1,-1,-1,2
372,T35,T35,1,6,14,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
38,OTHER,T22,1,4,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
351,T36,T22,1,1,10,1,-1,1,00T36@0,02T22@1,17,1,-1,-1,1
368,T35,T35,1,6,14,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
367,T35,T10,1,5,14,1,-1,1,03T35@1,04T10@2,17,1,-1,-1,2
362,T35,T35,1,8,14,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
236,OTHER,T36,1,6,10,0,-1,-1,SELLER,00T36@0,0,1,-1,-1,0
333,T35,T35,1,4,15,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
373,T35,T35,1,6,14,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
358,T22,T22,1,1,10,1,-1,1,01T22@0,02T22@1,17,1,-1,-1,1
316,T35,T35,1,9,14,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
148,OTHER,T36,1,3,10,0,-1,-1,SELLER,00T36@0,0,1,-1,-1,0
320,T35,T35,1,4,14,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
322,T22,T22,1,1,10,1,-1,1,01T22@0,02T22@1,17,1,-1,-1,1
126,OTHER,T36,2,4,10,0,-1,-1,SELLER,00T36@0,0,2,-1,-1,0
371,T35,T10,2,4,15,1,-1,1,03T35@1,04T10@2,17,2,-1,-1,2
421,T36,T35,2,9,28,-1,-1,2,00T36@0,03T35@1,17,-1,-1,-1,1
130,OTHER,T22,2,4,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
257,OTHER,T22,2,4,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
343,T35,T35,2,4,15,1,-1,1,03T35@1,05T35@2,17,2,-1,-1,2
382,T36,T35,2,17,30,-1,-1,1,00T36@0,03T35@1,17,-1,-1,-1,1
398,T35,T35,2,5,14,2,-1,2,03T35@1,05T35@2,17,2,-1,-1,2
418,T36,T35,2,30,19,-1,-1,2,00T36@0,03T35@1,2,-1,-1,-1,1
219,OTHER,T36,2,4,10,0,-1,-1,SELLER,00T36@0,0,2,-1,-1,0
334,T35,T35,2,11,16,1,-1,1,03T35@1,05T35@2,17,2,-1,-1,2
79,OTHER,T22,2,4,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
388,T22,T10,3,5,43,-1,-1,1,02T22@1,04T10@2,17,-1,-1,-1,2
419,T22,T35,3,17,30,-1,-1,2,01T22@0,03T35@1,17,-1,-1,-1,1
151,T35,OTHER,3,4,37,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
83,T35,OTHER,3,2,37,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
191,OTHER,T22,3,1,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
422,T22,T35,3,5,43,-1,-1,2,02T22@1,05T35@2,17,-1,-1,-1,2
391,T22,T35,3,17,30,-1,-1,1,01T22@0,03T35@1,17,-1,-1,-1,1
121,OTHER,T22,3,3,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
445,T35,T35,3,8,14,3,-1,3,03T35@1,05T35@2,17,3,-1,-1,2
365,T36,T35,3,10,28,1,-1,1,00T36@0,03T35@1,17,3,-1,-1,1
96,OTHER,T36,3,4,10,0,-1,-1,SELLER,00T36@0,0,3,-1,-1,0
152,T10,OTHER,3,5,37,0,-1,-1,04T10@2,BUYER,0,3,-1,-1,3
132,OTHER,T22,3,6,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
341,T35,T10,3,5,15,1,-1,1,03T35@1,04T10@2,17,3,-1,-1,2
335,T35,T35,3,5,15,1,-1,1,03T35@1,05T35@2,17,3,-1,-1,2
253,T10,OTHER,3,6,37,0,-1,-1,04T10@2,BUYER,0,3,-1,-1,3
354,T35,T35,3,6,15,1,-1,1,03T35@1,05T35@2,17,3,-1,-1,2
342,T35,T35,3,12,16,1,-1,1,03T35@1,05T35@2,17,3,-1,-1,2
13,T35,OTHER,3,3,37,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
230,OTHER,T22,3,3,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
268,OTHER,T36,3,3,10,0,-1,-1,SELLER,00T36@0,0,3,-1,-1,0
386,T22,T22,4,17,30,-1,-1,1,01T22@0,02T22@1,17,-1,-1,-1,1
182,T35,OTHER,4,1,37,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
178,OTHER,T36,4,3,10,0,-1,-1,SELLER,00T36@0,0,4,-1,-1,0
471,T22,T35,4,5,43,-1,-1,4,02T22@1,05T35@2,17,-1,-1,-1,2
323,T35,T10,4,5,15,1,-1,1,03T35@1,04T10@2,17,4,-1,-1,2
68,OTHER,T22,4,6,10,0,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
153,T35,OTHER,4,5,37,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
389,T22,T35,4,18,30,-1,-1,1,01T22@0,03T35@1,17,-1,-1,-1,1
10,T10,OTHER,4,3,37,0,-1,-1,04T10@2,BUYER,0,4,-1,-1,3
449,T22,T35,4,5,43,-1,-1,3,02T22@1,05T35@2,17,-1,-1,-1,2
443,T35,T10,4,7,14,3,-1,3,03T35@1,04T10@2,17,4,-1,-1,2
47,OTHER,T36,4,4,10,0,-1,-1,SELLER,00T36@0,0,4,-1,-1,0
138,T10,OTHER,4,3,37,0,-1,-1,04T10@2,BUYER,0,4,-1,-1,3
291,T10,OTHER,4,5,37,-1,-1,-1,04T10@2,BUYER,0,-1,-1,-1,3
321,T36,T22,4,10,28,1,-1,1,00T36@0,02T22@1,17,4,-1,-1,1
214,OTHER,T22,4,2,10,0,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
141,T35,OTHER,4,3,37,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
60,OTHER,T22,4,5,10,0,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
479,T35,T10,5,7,14,5,-1,5,03T35@1,04T10@2,17,5,-1,-1,2
48,OTHER,T22,5,3,10,0,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
123,T10,OTHER,5,2,37,0,-1,-1,04T10@2,BUYER,0,5,-1,-1,3
21,T35,OTHER,5,2,37,0,-1,-1,05T35@2,BUYER,0,5,-1,-1,3
313,T10,OTHER,5,3,37,-1,-1,-1,04T10@2,BUYER,0,-1,-1,-1,3
448,T22,T10,5,5,43,-1,-1,3,02T22@1,04T10@2,17,-1,-1,-1,2
254,OTHER,T36,5,2,10,0,-1,-1,SELLER,00T36@0,0,5,-1,-1,0
337,T35,T35,5,5,15,1,-1,1,03T35@1,05T35@2,17,5,-1,-1,2
50,OTHER,T36,5,6,10,0,-1,-1,SELLER,00T36@0,0,5,-1,-1,0
181,T35,OTHER,5,4,37,0,-1,-1,05T35@2,BUYER,0,5,-1,-1,3
376,T35,T10,5,6,15,1,-1,1,03T35@1,04T10@2,17,5,-1,-1,2
66,T35,OTHER,5,3,37,0,-1,-1,05T35@2,BUYER,0,5,-1,-1,3
390,T22,T22,5,17,30,-1,-1,1,01T22@0,02T22@1,17,-1,-1,-1,1
212,OTHER,T22,5,3,10,0,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
383,T22,T35,5,18,30,-1,-1,1,01T22@0,03T35@1,17,-1,-1,-1,1
387,T22,T10,5,5,43,-1,-1,1,02T22@1,04T10@2,17,-1,-1,-1,2
346,T36,T22,5,1,10,1,-1,1,00T36@0,02T22@1,17,5,-1,-1,1
44,OTHER,T36,5,3,10,0,-1,-1,SELLER,00T36@0,0,5,-1,-1,0
77,T10,OTHER,5,6,37,0,-1,-1,04T10@2,BUYER,0,5,-1,-1,3
220,OTHER,T22,5,3,10,0,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
353,T22,T35,6,11,28,1,-1,1,01T22@0,03T35@1,17,6,-1,-1,1
369,T22,T22,6,9,29,1,-1,1,01T22@0,02T22@1,17,6,-1,-1,1
319,T36,T22,6,12,28,1,-1,1,00T36@0,02T22@1,17,6,-1,-1,1
