index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
1202,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
1229,OTHER,T35,0,2,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
495,OTHER,T35,0,1,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
167,OTHER,T35,0,1,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
973,OTHER,T35,0,1,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
1122,OTHER,T35,0,1,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
822,OTHER,T35,0,3,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
462,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
616,OTHER,T35,0,3,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
592,OTHER,T35,0,2,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
589,OTHER,T35,0,1,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
1138,OTHER,T35,0,1,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
1483,T35,T37,1,1,15,-1,-1,1,05T35@2,06T37@3,17,-1,-1,-1,3
392,OTHER,T35,1,2,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
1485,T35,T37,1,1,15,-1,-1,1,04T35@2,06T37@3,17,-1,-1,-1,3
952,OTHER,T35,1,1,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
1182,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
413,OTHER,T35,1,3,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
1481,T35,T37,1,13,14,-1,-1,1,05T35@2,06T37@3,17,-1,-1,-1,3
1472,T35,T37,1,10,14,-1,-1,1,04T35@2,06T37@3,17,-1,-1,-1,3
1446,T35,T22,1,5,9,1,-1,1,01T35@0,03T22@1,17,1,-1,-1,1
943,OTHER,T35,1,1,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
337,OTHER,T35,1,2,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
494,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
168,OTHER,T35,1,2,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
1157,OTHER,T35,1,4,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
1452,T35,T22,1,5,9,1,-1,1,00T35@0,03T22@1,17,1,-1,-1,1
653,OTHER,T35,1,3,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
1508,T22,T35,2,1,11,2,-1,2,03T22@1,05T35@2,17,2,-1,-1,2
236,OTHER,T35,2,3,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
1038,OTHER,T35,2,1,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
1079,OTHER,T35,2,1,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
1525,T35,T37,2,10,14,-1,-1,2,05T35@2,06T37@3,17,-1,-1,-1,3
1504,T35,T06,2,10,21,2,-1,2,05T35@2,07T06@3,17,2,-1,-1,3
1511,T35,T35,2,1,11,2,-1,2,02T35@1,05T35@2,17,2,-1,-1,2
412,OTHER,T35,2,1,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
1494,T35,T22,2,5,9,2,-1,2,00T35@0,03T22@1,17,2,-1,-1,1
612,OTHER,T35,2,1,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
110,OTHER,T35,2,2,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
1454,T35,T37,2,11,14,1,-1,1,05T35@2,06T37@3,17,2,-1,-1,3
1460,T35,T22,2,5,9,1,-1,1,00T35@0,03T22@1,17,2,-1,-1,1
1496,T35,T22,2,5,9,2,-1,2,00T35@0,03T22@1,17,2,-1,-1,1
481,OTHER,T35,2,4,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
1206,OTHER,T35,2,1,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
1466,T35,T37,2,10,16,1,-1,1,05T35@2,06T37@3,17,2,-1,-1,3
789,OTHER,T35,2,2,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
26,OTHER,T35,2,3,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
1531,T35,T37,2,10,16,-1,-1,2,05T35@2,06T37@3,17,-1,-1,-1,3
741,OTHER,T35,2,1,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
1501,T35,T22,3,5,9,2,-1,2,00T35@0,03T22@1,17,3,-1,-1,1
1458,T35,T22,3,5,8,1,-1,1,00T35@0,03T22@1,17,3,-1,-1,1
1084,OTHER,T35,3,1,10,0,-1,-1,SELLER,00T35@0,0,3,-1,-1,0
1457,T22,T35,3,5,31,1,-1,1,03T22@1,04T35@2,17,3,-1,-1,2
1499,T35,T22,3,5,9,2,-1,2,00T35@0,03T22@1,17,3,-1,-1,1
1163,OTHER,T35,3,4,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
1465,T35,T22,3,5,8,1,-1,1,00T35@0,03T22@1,17,3,-1,-1,1
585,OTHER,T35,3,1,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
909,OTHER,T35,3,1,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
1548,T35,T22,3,5,9,3,-1,3,00T35@0,03T22@1,17,3,-1,-1,1
325,OTHER,T35,3,1,10,0,-1,-1,SELLER,00T35@0,0,3,-1,-1,0
1001,OTHER,T35,3,2,10,0,-1,-1,SELLER,00T35@0,0,3,-1,-1,0
770,OTHER,T35,3,1,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
212,OTHER,T35,3,2,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
1019,OTHER,T35,3,3,10,0,-1,-1,SELLER,00T35@0,0,3,-1,-1,0
1563,T35,T37,3,10,14,-1,-1,3,04T35@2,06T37@3,17,-1,-1,-1,3
560,OTHER,T35,3,2,10,0,-1,-1,SELLER,00T35@0,0,3,-1,-1,0
1552,T35,T22,3,5,9,3,-1,3,00T35@0,03T22@1,17,3,-1,-1,1
639,OTHER,T35,3,2,10,0,-1,-1,SELLER,00T35@0,0,3,-1,-1,0
1448,T22,T35,4,5,31,1,-1,1,03T22@1,05T35@2,17,4,-1,-1,2
807,OTHER,T35,4,3,10,0,-1,-1,SELLER,00T35@0,0,4,-1,-1,0
768,OTHER,T35,4,1,10,0,-1,-1,SELLER,00T35@0,0,4,-1,-1,0
646,OTHER,T35,4,2,10,0,-1,-1,SELLER,00T35@0,0,4,-1,-1,0
465,OTHER,T35,4,1,10,0,-1,-1,SELLER,00T35@0,0,4,-1,-1,0
717,T06,OTHER,4,2,40,0,-1,-1,07T06@3,BUYER,0,4,-1,-1,4
714,T37,OTHER,4,1,40,0,-1,-1,06T37@3,BUYER,0,4,-1,-1,4
826,T37,OTHER,4,3,40,0,-1,-1,06T37@3,BUYER,0,4,-1,-1,4
512,OTHER,T35,4,1,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
537,T37,OTHER,4,3,40,0,-1,-1,06T37@3,BUYER,0,4,-1,-1,4
539,OTHER,T35,4,1,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
733,T37,OTHER,4,1,40,0,-1,-1,06T37@3,BUYER,0,4,-1,-1,4
1115,OTHER,T35,4,2,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
1545,T35,T22,4,5,9,3,-1,3,00T35@0,03T22@1,17,4,-1,-1,1
354,OTHER,T35,4,2,10,0,-1,-1,SELLER,00T35@0,0,4,-1,-1,0
1549,T35,T22,4,5,8,3,-1,3,00T35@0,03T22@1,17,4,-1,-1,1
1532,T22,T35,4,5,31,3,-1,3,03T22@1,04T35@2,17,4,-1,-1,2
1559,T35,T37,4,10,14,3,-1,3,05T35@2,06T37@3,17,4,-1,-1,3
1517,T22,T35,4,5,31,2,-1,2,03T22@1,04T35@2,17,4,-1,-1,2
1026,OTHER,T35,4,2,10,0,-1,-1,SELLER,00T35@0,0,4,-1,-1,0
1512,T35,T22,4,5,8,2,-1,2,00T35@0,03T22@1,17,4,-1,-1,1
1593,T35,T22,4,5,8,4,-1,4,01T35@0,03T22@1,17,4,-1,-1,1
1605,T35,T06,4,10,21,-1,-1,4,05T35@2,07T06@3,17,-1,-1,-1,3
1510,T35,T37,4,11,16,2,-1,2,04T35@2,06T37@3,17,4,-1,-1,3
1509,T35,T37,4,12,16,2,-1,2,04T35@2,06T37@3,17,4,-1,-1,3
1609,T35,T37,4,11,14,-1,-1,4,05T35@2,06T37@3,17,-1,-1,-1,3
1506,T35,T37,4,12,16,2,-1,2,05T35@2,06T37@3,17,4,-1,-1,3
