index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,11,10.0,18.0,0,,25.0,0,,40.0,0,,0.16666666666666666,111210,0.0,0.0,4,0,0,107,0,0.0,97,204,42,0.0,0.0,0,0,42,110,21.70518748275936,21.70518748275936
1,42,0,0,0,10.0,10,10.0,18.0,0,,25.0,4,25.0,40.0,0,,0.25,110990,0.0,0.0,5,0,0,26,0,0.0,22,48,29,307.0,30.0,32,10,29,200,29.579162249341607,51.284349732100964
2,29,0,0,0,10.0,15,10.0,18.0,0,,25.0,0,,40.0,0,,0.25,110840,0.0,0.0,4,0,0,8,0,0.0,8,16,27,36.0,77.0,2,27,27,150,25.950827356427908,77.23517708852887
3,27,0,0,0,10.0,10,10.0,23.09090909090909,10,46.0,25.0,0,,40.0,10,40.0,0.3333333333333333,110606,0.0,0.0,9,0,0,8,0,0.0,9,17,22,36.0,75.0,2,25,22,960,19.431719556450844,96.66689664497973
4,22,0,0,0,10.0,11,10.0,23.09090909090909,0,,25.0,0,,40.0,8,40.0,0.18333333333333332,110394,0.0,0.0,6,0,0,6,0,0.0,9,15,25,18.0,63.0,1,21,25,430,18.39938642457128,115.06628306955099
5,25,0,0,0,10.0,13,10.0,23.695999999999998,13,26.0,26.221995926680247,5,37.0,40.0,7,40.0,0.4166666666666667,110178,0.0,0.0,10,0,0,4,0,0.0,13,17,26,36.0,69.0,2,23,26,933,17.165308015421033,132.23159108497202
6,26,0,0,0,10.0,15,10.0,24.18105263157895,15,26.0,27.317544216304125,5,37.0,40.0,4,40.0,0.4166666666666667,110188,0.0,0.0,10,0,0,6,0,0.0,10,16,25,36.0,72.0,2,24,25,885,16.766052972525358,148.99764405749735
7,25,0,0,0,10.0,8,10.0,24.447387687188023,11,26.0,27.317544216304125,0,,40.0,6,40.0,0.3333333333333333,110348,0.0,0.0,6,0,0,8,0,0.0,8,16,22,36.0,69.0,2,23,22,606,16.31268440373242,165.31032846122983
8,22,0,0,0,10.0,14,10.0,24.447387687188023,0,,28.401595258874387,5,38.0,40.0,4,40.0,0.5,110170,0.0,0.0,7,0,0,5,0,0.0,11,16,22,18.0,63.0,1,21,22,490,15.74068065173924,181.051009112969
9,22,0,0,0,10.0,13,10.0,24.64743436946368,10,26.0,31.285195958116,25,36.4,40.0,5,40.0,0.5,110240,0.0,0.0,10,0,0,6,0,0.0,8,14,23,18.0,63.0,1,21,23,1500,14.999548690393569,196.05055780336258
10,23,0,0,0,10.0,17,10.0,25.33419963296509,33,26.78787878787879,32.780129340697286,15,39.0,40.0,6,40.0,0.6333333333333333,110310,0.0,0.0,10,0,0,11,0,0.0,10,21,22,51.0,48.0,7,16,22,1879,14.971994431689383,211.022552235052
11,22,0,0,0,10.0,10,10.0,25.33419963296509,0,,32.780129340697286,0,,40.0,5,40.0,0.5,110410,0.0,0.0,5,0,0,6,0,0.0,9,15,25,18.0,63.0,1,21,25,300,15.87170309573412,226.89425533078608
12,25,0,0,0,10.000000000000002,17,10.0,25.442590938228143,18,26.0,32.780129340697286,0,,40.0,4,40.0,0.6,110400,0.0,0.0,7,0,0,8,0,0.0,9,17,22,36.0,69.0,2,23,22,798,20.17148130759597,247.0657366383821
13,22,0,0,0,10.000000000000002,14,10.0,25.442590938228143,0,,33.38149267807808,16,36.0,40.0,2,40.0,0.5499999999999999,110340,0.0,0.0,8,0,0,6,0,0.0,8,14,23,18.0,63.0,1,21,23,796,14.975029261782765,262.04076590016484
14,23,0,0,0,10.000000000000004,11,10.0,25.787911301110025,30,26.93333333333333,33.854331575061934,10,37.5,40.0,7,40.0,0.5333333333333333,110510,0.0,0.0,11,0,0,6,0,0.0,13,19,24,54.0,60.0,3,20,24,1573,12.690812390297651,274.7315782904625
15,24,0,0,0,10.000000000000002,12,10.0,26.040128489927525,15,28.0,33.854331575061934,0,,40.0,7,40.0,0.43333333333333335,110560,0.0,0.0,7,0,0,11,0,0.0,9,20,25,51.0,51.0,7,17,25,820,13.241323012858631,287.9729013033211
16,25,0,0,0,10.000000000000002,20,10.0,26.040128489927525,0,,32.67560465929114,45,30.622222222222227,40.00000000000001,8,40.0,0.6166666666666667,110470,0.0,0.0,13,0,0,7,0,0.0,9,16,24,36.0,69.0,2,23,24,1898,12.564744878560305,300.53764618188137
17,24,0,0,0,10.000000000000002,7,10.0,26.040128489927525,0,,33.074142495573035,10,37.5,40.00000000000001,8,40.0,0.5,110720,0.0,0.0,8,0,0,5,0,0.0,11,16,24,39.0,63.0,3,21,24,765,10.487798262387514,311.02544444426894
18,24,0,0,0,10.000000000000002,7,10.0,26.219215051913533,31,26.903225806451612,33.246409103172105,5,37.0,40.0,11,40.0,0.5,110876,0.0,0.0,10,0,0,8,0,0.0,9,17,23,36.0,66.0,2,22,23,1529,10.477554583922027,321.50299902819097
