index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
222,OTHER,T35,0,3,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
83,OTHER,T35,0,1,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
87,OTHER,T35,0,3,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
388,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
364,OTHER,T35,0,2,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
43,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
203,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
278,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
271,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
235,OTHER,T22,0,4,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
55,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
454,T22,T35,1,10,19,-1,-1,1,01T22@0,03T35@1,18,-1,-1,-1,1
453,T35,T35,1,13,9,-1,-1,1,03T35@1,05T35@2,18,-1,-1,-1,2
452,T35,T37,1,8,9,-1,-1,1,03T35@1,04T37@2,18,-1,-1,-1,2
449,T35,T37,1,8,9,-1,-1,1,03T35@1,04T37@2,18,-1,-1,-1,2
448,T35,T35,1,5,9,1,-1,1,03T35@1,05T35@2,18,1,-1,-1,2
152,OTHER,T22,1,5,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
443,T35,T35,1,7,10,1,-1,1,03T35@1,05T35@2,18,1,-1,-1,2
420,T35,T35,1,5,10,1,-1,1,03T35@1,05T35@2,18,1,-1,-1,2
