index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,37.0,0,,44.0,0,,0.175,404896,0.0,0.0,5,0,0,22,0,0.0,238,260,127,0.0,0.0,0,0,127,200,1.657030550763011,1.657030550763011
1,127,0,0,0,10.0,20,10.0,17.0,0,,25.1875,3,13.0,37.0,0,,44.0,0,,0.2875,404603,0.0,0.0,7,0,0,19,0,0.0,60,79,65,1170.0,516.0,65,62,65,239,4.252557151019573,5.909587701782584
2,65,0,0,0,10.0,20,10.0,18.33333333333333,9,25.0,25.1875,0,,34.43396226415094,8,20.0,44.0,0,,0.4625,404183,0.0,0.0,9,0,0,2,0,0.0,25,27,61,237.0,165.0,14,51,61,585,1.6260387301445007,7.535626431927085
3,61,0,0,0,10.0,20,10.0,19.375,9,25.0,25.1875,0,,35.65088757396449,3,55.0,44.0,0,,0.35,403851,0.0,0.0,9,0,0,7,0,0.0,22,29,51,195.0,157.0,16,45,51,590,1.585552591830492,9.121179023757575
4,51,0,0,0,10.0,20,10.0,19.375,0,,28.661512027491412,15,38.66666666666666,37.89947704822777,6,55.0,44.0,20,44.0,0.375,403579,0.0,0.0,16,0,0,5,0,0.0,25,30,45,175.0,135.0,16,35,45,1990,1.4687829203903675,10.589961944147943
5,45,0,0,0,10.0,20,10.0,20.49554565701559,20,23.4,25.56929798131968,14,14.0,38.936563769785906,3,55.0,44.0,20,44.0,0.725,402741,0.0,0.0,20,0,0,4,0,0.0,20,24,34,141.0,114.0,12,33,34,1909,1.5395577047020197,12.129519648849964
6,34,0,0,0,10.0,20,10.0,20.663373557883567,56,20.857142857142858,28.695753219374676,19,38.526315789473685,40.20528319926397,22,42.77272727272727,43.99999999999999,17,44.0,0.7875,401690,0.0,0.0,27,0,0,2,0,0.0,20,22,36,129.0,93.0,8,26,36,3789,1.382575849071145,13.51209549792111
7,36,0,0,0,10.0,20,10.0,20.75841654635868,51,20.960784313725487,31.22638571032193,25,38.4,41.59849271887662,6,55.5,43.99999999999999,14,44.0,0.7749999999999999,401276,0.0,0.0,24,0,0,3,0,0.0,21,24,25,135.0,78.0,10,26,25,3178,1.3190956376492975,14.831191135570409
8,25,0,0,0,10.0,20,10.0,21.33383483355271,37,23.567567567567572,31.22638571032193,0,,45.04822408520873,31,51.645161290322584,43.99999999999999,16,44.0,0.7125,400729,0.0,0.0,21,0,0,1,0,0.0,16,17,23,90.0,60.0,5,20,23,3377,1.0688289999961853,15.900020135566592
9,23,0,0,0,10.000000000000002,20,10.0,20.961065670619554,113,20.42477876106195,33.89932803962545,36,40.305555555555564,45.4381830334199,3,56.0,43.99999999999999,16,44.0,0.6625,397048,0.0,0.0,24,0,0,3,0,0.0,16,19,20,108.0,51.0,6,17,20,4831,1.0084837023168802,16.908503837883472
10,20,0,0,0,10.000000000000002,20,10.0,21.4230509779708,27,25.66666666666667,34.972277221704566,39,38.0,44.902791048922616,35,43.74285714285714,43.99999999999999,17,44.0,0.7875,394983,0.0,0.0,24,0,0,3,0,0.0,15,18,20,72.0,48.0,4,16,20,4654,0.9191341754049064,17.82763801328838
11,20,0,0,0,10.000000000000002,20,10.0,21.84044019684279,27,25.66666666666667,35.34790650316981,19,38.0,45.2268123749116,3,56.0,43.99999999999999,17,44.0,0.6875,394345,0.0,0.0,18,0,0,2,0,0.0,17,19,21,82.0,42.0,6,14,21,2531,0.9868955668061972,18.814533580094572
12,21,0,0,0,10.000000000000002,20,10.0,22.08895851910864,18,25.5,35.60820001282867,15,38.0,45.883242718683846,6,56.0,44.0,13,44.0,0.6625,393977,0.0,0.0,17,0,0,3,0,0.0,16,19,26,93.0,45.0,6,15,26,2137,1.1631956342607737,19.977729214355353
