index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
104,OTHER,T15,0,2,10,0,-1,-1,SELLER,00T15@0,0,0,-1,-1,0
48,OTHER,T22,0,4,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
254,OTHER,T22,0,3,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
178,OTHER,T22,0,3,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
97,OTHER,T15,0,6,10,0,-1,-1,SELLER,00T15@0,0,0,-1,-1,0
44,OTHER,T15,0,2,10,0,-1,-1,SELLER,00T15@0,0,0,-1,-1,0
100,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
310,T35,T35,1,7,15,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
318,T22,T22,1,5,9,1,-1,1,01T22@0,02T22@1,17,1,-1,-1,1
354,T22,T35,1,5,40,-1,-1,1,02T22@1,05T35@2,17,-1,-1,-1,2
285,OTHER,T22,1,5,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
304,T35,T35,1,1,14,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
205,OTHER,T15,1,4,10,0,-1,-1,SELLER,00T15@0,0,1,-1,-1,0
349,T22,T22,1,5,9,1,-1,1,01T22@0,02T22@1,17,1,-1,-1,1
360,T35,T35,1,11,13,-1,-1,1,03T35@1,05T35@2,17,-1,-1,-1,2
214,OTHER,T15,1,3,10,0,-1,-1,SELLER,00T15@0,0,1,-1,-1,0
305,T35,T35,1,7,15,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
348,T35,T35,1,9,15,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
147,OTHER,T15,1,2,10,0,-1,-1,SELLER,00T15@0,0,1,-1,-1,0
142,OTHER,T22,1,4,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
359,T22,T22,1,5,10,-1,-1,1,01T22@0,02T22@1,17,-1,-1,-1,1
57,OTHER,T22,2,4,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
350,T35,T35,2,10,13,1,-1,1,03T35@1,05T35@2,17,2,-1,-1,2
