,balance,assets,bankrupt,agent_id,step
0,35930.0,120.0,False,00T35@0,0.0
1,34862.0,630.0,False,00T35@0,5.0
2,34137.0,1100.0000000000002,False,00T35@0,10.0
3,32520.0,1540.0000000000002,False,00T35@0,15.0
4,31872.0,2030.0000000000007,False,00T35@0,20.0
5,31219.0,2540.0000000000005,False,00T35@0,25.0
6,30600.0,3010.0000000000005,False,00T35@0,30.0
7,29867.0,3550.0,False,00T35@0,35.0
8,29044.0,4089.9999999999986,False,00T35@0,40.0
9,27572.0,4610.0,False,00T35@0,45.0
10,26697.0,5120.0,False,00T35@0,50.0
11,25660.0,5550.000000000001,False,00T35@0,55.0
12,25087.0,6000.000000000001,False,00T35@0,60.0
13,24395.0,6490.0,False,00T35@0,65.0
14,23815.0,7010.0,False,00T35@0,70.0
15,23148.0,7530.0,False,00T35@0,75.0
16,22533.0,8060.0,False,00T35@0,80.0
17,21958.0,8550.0,False,00T35@0,85.0
18,21751.0,8730.0,False,00T35@0,90.0
19,35970.0,168.0,False,01T22@0,0.0
20,35896.0,627.5397947073399,False,01T22@0,5.0
21,37786.0,301.67433173345006,False,01T22@0,10.0
22,36209.0,378.7695020083195,False,01T22@0,15.0
23,34051.0,404.8378539827022,False,01T22@0,20.0
24,33306.0,392.213886829078,False,01T22@0,25.0
25,34543.0,424.29267623053187,False,01T22@0,30.0
26,35033.0,384.63163956595065,False,01T22@0,35.0
27,35510.0,346.85486121548485,False,01T22@0,40.0
28,36026.0,316.9147601602503,False,01T22@0,45.0
29,34001.0,309.76470504052065,False,01T22@0,50.0
30,35189.0,374.723729307192,False,01T22@0,55.0
31,35617.0,701.6789289696626,False,01T22@0,60.0
32,36641.0,717.8699596620521,False,01T22@0,65.0
33,36534.0,426.4075893082972,False,01T22@0,70.0
34,37598.0,434.61595818099335,False,01T22@0,75.0
35,38240.0,984.2812035956523,False,01T22@0,80.0
36,39576.0,674.6877184034577,False,01T22@0,85.0
37,39771.0,1052.7299537629137,False,01T22@0,90.0
38,54454.0,0.0,False,02T26@1,0.0
39,54387.0,1055.4545454545455,False,02T26@1,5.0
40,55056.0,1698.7179101382926,False,02T26@1,10.0
41,53717.0,5055.430363522166,False,02T26@1,15.0
42,53731.0,7214.330374060073,False,02T26@1,20.0
