index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,trading_price_5,sold_quantity_5,unit_price_5,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,23.0,0,,29.0,0,,31.0,0,,40.0,0,,0.19,433958,0.0,0.0,10,0,0,90,0,0.0,235,325,55,0.0,0.0,0,0,55,200,0.3941737711429596,0.3941737711429596
1,55,0,0,0,10.0,20,10.0,19.0,0,,18.69230769230769,20,9.0,29.0,0,,24.142857142857146,18,7.0,40.0,0,,0.55,432370,0.0,0.0,13,0,0,23,0,0.0,42,65,28,700.0,110.0,47,8,28,506,0.8208030462265015,1.2149768173694608
2,28,0,0,0,10.0,20,10.0,19.0,0,,16.50920245398773,23,10.956521739130435,27.6,5,15.0,22.6836902800659,4,2.0,40.0,0,,0.51,431268,0.0,0.0,14,0,0,13,0,0.0,27,40,22,360.0,23.0,25,3,22,535,0.5784872341901064,1.7934640515595677
3,22,0,0,0,10.0,20,10.0,20.5,9,28.0,13.156264032330489,38,6.684210526315789,27.6,0,,17.43370508054523,18,1.5,40.0,0,,0.5,428967,0.0,0.0,17,0,0,15,0,0.0,15,30,26,180.0,75.0,14,8,26,733,0.6584408655762672,2.4519049171358347
4,26,0,0,0,10.0,20,10.0,21.671875000000004,9,28.0,10.926163245538875,34,4.352941176470588,27.6,0,,17.18608645863155,1,1.0,40.0,0,,0.39,427574,0.0,0.0,16,0,0,11,0,0.0,24,35,27,223.0,71.0,16,10,27,601,0.7365783452987671,3.188483262434602
5,27,0,0,0,10.0,20,10.0,23.302835051546396,18,28.0,10.433314541628297,22,7.727272727272727,27.6,0,,19.566263403691934,5,48.0,40.0,12,40.0,0.35,427206,0.0,0.0,19,0,0,11,0,0.0,23,34,23,197.0,57.0,15,12,23,1594,0.5881519466638565,3.7766352090984574
6,23,0,0,0,10.0,20,10.0,23.891157314629265,9,28.0,10.644295846557382,20,12.0,39.15,35,54.0,17.750900237253166,9,6.0,40.0,10,40.0,0.39,426403,0.0,0.0,22,0,0,13,0,0.0,19,32,24,186.0,43.0,14,9,24,3036,0.5995920244604349,4.376227233558893
7,24,0,0,0,10.0,20,10.0,26.43329816907453,36,31.0,10.159586389656756,30,8.0,39.15,0,,17.311093394896716,2,4.0,40.0,5,40.0,0.32,425379,0.0,0.0,21,0,0,9,0,0.0,26,35,21,207.0,36.0,16,8,21,1764,0.6268388852477074,5.0030661188066015
8,21,0,0,0,10.0,20,10.0,27.642049755491236,21,32.857142857142854,10.065267960582407,29,9.586206896551724,40.835,8,56.0,16.221364489155448,6,6.0,40.0,11,40.0,0.35,424475,0.0,0.0,24,0,0,8,0,0.0,20,28,24,194.0,39.0,12,9,24,2092,0.5304049625992775,5.533471081405878
9,24,0,0,0,10.000000000000002,20,10.0,29.683129551335306,60,33.1,9.578105993643707,23,6.217391304347826,42.14741573033707,17,47.70588235294117,16.221364489155448,0,,40.0,6,40.0,0.3,423624,0.0,0.0,23,0,0,9,0,0.0,24,33,20,201.0,25.0,15,9,20,3380,0.5061770360916853,6.0396481174975625
10,20,0,0,0,10.000000000000002,20,10.0,29.745805545638166,12,30.5,8.957861481457838,14,1.7142857142857142,43.291804767309884,8,54.75,16.221364489155448,0,,39.99999999999999,3,40.0,0.25,423108,0.0,0.0,17,0,0,10,0,0.0,19,29,23,150.0,36.0,11,9,23,1148,0.4937036838382482,6.5333518013358125
11,23,0,0,0,10.000000000000002,20,10.0,31.246441273566475,64,34.546875,8.957861481457838,0,,43.653674498708334,2,58.0,14.749529232495439,6,1.0,39.99999999999999,8,40.0,0.36,422588,0.0,0.0,25,0,0,7,0,0.0,22,29,21,173.0,43.0,12,11,21,2853,0.4960248526185751,7.029376653954388
12,21,0,0,0,10.000000000000002,20,10.0,31.290676196320423,27,31.592592592592588,8.683277208511264,32,7.312500000000001,45.35578933953549,21,51.28571428571429,12.745333033045926,16,5.75,40.0,4,40.0,0.4,420614,0.0,0.0,27,0,0,7,0,0.0,21,28,22,140.0,56.0,10,11,22,2616,0.5765674468129873,7.605944100767374
13,22,0,0,0,10.000000000000002,20,10.0,31.65426421864812,38,33.473684210526315,8.683909816463762,13,8.692307692307693,45.35578933953549,0,,12.745333033045926,0,,40.0,6,40.0,0.36,419773,0.0,0.0,19,0,0,11,0,0.0,22,33,20,222.0,33.0,15,7,20,1825,0.5711552873253822,8.177099388092756
14,20,0,0,0,10.000000000000002,20,10.0,31.365348158936797,31,29.451612903225808,8.436652099353598,19,6.2631578947368425,45.35578933953549,0,,11.310271389762766,9,1.0,40.0,5,40.0,0.39,418678,0.0,0.0,20,0,0,8,0,0.0,24,32,19,164.0,49.0,12,8,19,1441,1.1005814578384159,9.277680845931172
15,19,0,0,0,10.000000000000002,20,10.0,31.141789050922373,18,28.5,8.608819822169245,20,10.05,46.43349539691194,20,51.0,10.48318131468701,10,5.0,40.00000000000001,4,40.0,0.38,417490,0.0,0.0,20,0,0,11,0,0.0,20,31,17,169.0,34.0,13,6,17,2144,0.4975026063621044,9.775183452293275
16,17,0,0,0,10.000000000000002,20,10.0,31.29099003264417,31,32.29032258064516,8.08487246802224,28,4.928571428571429,46.92016159906664,11,51.09090909090909,10.48318131468701,0,,40.0,5,40.0,0.3,416155,0.0,0.0,23,0,0,11,0,0.0,21,32,12,196.0,21.0,13,4,12,2101,0.460508868098259,10.235692320391538
17,12,0,0,0,10.000000000000002,20,10.0,31.42919276053768,52,32.0,8.330197823337816,29,9.827586206896553,48.15554728223323,19,54.31578947368421,10.347056552927947,1,1.0,40.0,6,40.0,0.31,414738,0.0,0.0,27,0,0,10,0,0.0,20,30,9,171.0,0.0,12,0,9,3422,0.4113983865827322,10.647090706974268
18,9,0,0,0,10.000000000000002,20,10.0,31.827138856910466,61,33.39344262295082,8.44408338357573,11,10.363636363636363,48.15554728223323,0,,10.347056552927947,0,,40.0,4,40.0,0.3,413216,0.0,0.0,20,0,0,6,0,0.0,19,25,11,119.0,16.0,8,1,11,2511,0.38578203693032265,11.03287274390459
19,11,0,0,0,10.000000000000002,20,10.0,31.87039483057437,21,32.42857142857143,8.688021148091975,10,13.0,48.586667193763255,10,53.0,9.032058751349997,14,3.1428571428571432,40.0,6,40.0,0.4,412115,0.0,0.0,18,0,0,9,0,0.0,19,28,14,133.0,27.0,9,2,14,1825,0.4366721119731665,11.469544855877755
20,14,0,0,0,10.000000000000002,20,10.0,31.853250628800648,17,31.588235294117645,8.522174646375465,17,6.882352941176472,48.586667193763255,0,,8.780823974282907,3,3.0,39.99999999999999,2,40.0,0.37,411408,0.0,0.0,17,0,0,8,0,0.0,21,29,15,171.0,30.0,12,2,15,943,0.5372969135642052,12.006841769441962
21,15,0,0,0,10.000000000000002,20,10.0,31.83934458366284,28,31.714285714285715,8.412605109800811,20,7.5,48.86916867224171,12,51.25,8.780823974282907,0,,39.99999999999999,7,40.0,0.28,410928,0.0,0.0,19,0,0,11,0,0.0,21,32,12,199.0,3.0,14,1,12,2133,0.5178537517786026,12.524695521220565
22,12,0,0,0,10.000000000000002,20,10.0,32.18191745369179,37,34.513513513513516,8.035526969420713,9,1.0,49.059729572307965,10,51.0,8.509811335010014,7,6.0,39.99999999999999,1,40.0,0.37,409856,0.0,0.0,16,0,0,9,0,0.0,16,25,16,105.0,34.0,8,4,16,2078,0.538660179823637,13.063355701044204
23,16,0,0,0,10.000000000000002,20,10.0,32.19177331601583,44,32.25,7.2648596019171245,48,4.708333333333333,49.482889467164675,5,58.0,8.509811335010014,0,,39.99999999999999,1,40.0,0.3,406978,0.0,0.0,22,0,0,8,0,0.0,18,26,20,116.0,57.0,9,7,20,2175,0.4692418519407511,13.532597552984953
24,20,0,0,0,10.000000000000002,20,10.0,32.497357517619314,35,34.885714285714286,7.0925895022354855,23,5.695652173913044,49.58061212875893,15,50.2,7.78516135125605,24,5.833333333333332,39.99999999999999,5,40.0,0.4,404683,0.0,0.0,24,0,0,9,0,0.0,25,34,15,236.0,27.0,16,4,15,2645,0.4492138754576445,13.981811428442596
25,15,0,0,0,10.000000000000002,20,10.0,32.51597294400411,52,32.615384615384606,6.935203952291932,5,1.0,50.32528089491476,13,56.0,7.78516135125605,0,,39.99999999999999,6,40.0,0.4,403824,0.0,0.0,21,0,0,9,0,0.0,22,31,13,166.0,12.0,11,4,13,2869,0.5384161844849586,14.520227612927554
26,13,0,0,0,10.000000000000002,20,10.0,32.37712597763594,35,31.2,6.9412722425633975,18,7.0,49.94745970548106,17,47.70588235294117,7.78516135125605,0,,39.99999999999999,9,40.0,0.34,403056,0.0,0.0,21,0,0,6,0,0.0,21,27,16,99.0,34.0,8,5,16,2589,0.4983854480087757,15.018613060936332
27,16,0,0,0,10.000000000000002,20,10.0,32.221602237963985,20,29.9,6.901943945261909,53,6.773584905660377,49.94745970548106,0,,7.373354200532213,13,4.846153846153847,39.99999999999999,6,40.0,0.4,400522,0.0,0.0,22,0,0,6,0,0.0,24,30,16,165.0,36.0,12,4,16,1460,0.4632271360605955,15.481840196996927
28,16,0,0,0,10.000000000000002,20,10.0,32.21089880158446,43,32.139534883720934,7.358385868818604,20,12.0,50.03985533481148,5,52.0,7.055352456543193,10,4.4,39.99999999999999,10,40.0,0.37,398963,0.0,0.0,25,0,0,10,0,0.0,20,30,15,184.0,22.0,12,4,15,2526,0.4349603224545717,15.916800519451499
29,15,0,0,0,10.000000000000002,20,10.0,32.26565754220511,48,32.604166666666664,7.62570492734112,10,13.0,50.7637278911616,10,58.0,6.953387209587006,9,6.0,40.0,8,40.0,0.39,397663,0.0,0.0,21,0,0,7,0,0.0,20,27,16,135.0,42.0,9,6,16,2849,0.4436897188425064,16.360490238294005
30,16,0,0,0,10.000000000000002,20,10.0,32.309679272096524,56,32.55357142857143,7.534969068456012,21,6.7142857142857135,51.45118210370549,11,57.63636363636363,6.953387209587006,0,,40.0,3,40.0,0.29000000000000004,395952,0.0,0.0,23,0,0,7,0,0.0,23,30,15,172.0,35.0,12,4,15,2918,0.5143983066082001,16.874888544902205
31,15,0,0,0,10.000000000000002,20,10.0,32.485319995607554,27,34.629629629629626,7.365665204549037,25,6.08,51.71802263488225,5,57.0,6.425509950830383,10,2.0,40.0,6,40.0,0.4,394556,0.0,0.0,23,0,0,10,0,0.0,21,31,15,169.0,28.0,12,3,15,1832,0.5384162720292807,17.413304816931483
32,15,0,0,0,10.000000000000002,20,10.0,32.3194191093756,54,31.33333333333333,7.642725619927597,10,13.0,51.84179514321802,10,53.0,6.425509950830383,0,,40.00000000000001,3,40.0,0.3,393302,0.0,0.0,18,0,0,10,0,0.0,21,31,15,181.0,16.0,12,3,15,2672,0.42000070586800575,17.833305522799492
33,15,0,0,0,10.000000000000002,20,10.0,32.126014412431466,18,28.5,7.666436933849084,28,7.821428571428571,52.15529265629709,5,58.0,6.425509950830383,0,,40.0,9,40.0,0.3,392388,0.0,0.0,22,0,0,9,0,0.0,20,29,16,178.0,9.0,12,3,16,1582,0.4990014638751745,18.332306986674663
34,16,0,0,0,10.000000000000002,20,10.0,32.053663980641716,40,31.475,7.9332183322081535,10,13.0,52.89972611641475,18,56.555555555555564,5.924403449116613,9,1.2222222222222223,40.0,5,40.0,0.39,391353,0.0,0.0,21,0,0,8,0,0.0,20,28,14,138.0,18.0,10,6,14,2818,0.4449091013520956,18.777216088026762
35,14,0,0,0,10.0,20,10.0,32.11096811415879,49,32.48979591836735,7.760608974899024,29,6.689655172413793,53.26608981891414,26,54.615384615384606,5.791637649649728,4,3.0,39.99999999999999,4,40.0,0.34,389581,0.0,0.0,25,0,0,7,0,0.0,20,27,15,126.0,31.0,8,6,15,3578,0.38272311910986895,19.159939207136627
36,15,0,0,0,10.0,20,10.0,31.965771202162895,37,30.64864864864865,7.2489852949011615,45,5.111111111111111,53.62538247002736,9,58.0,5.689872432081147,3,3.0,39.99999999999999,5,40.0,0.31999999999999995,387309,0.0,0.0,21,0,0,8,0,0.0,19,27,16,153.0,25.0,10,5,16,2295,0.4082728438079357,19.568212050944567
37,16,0,0,0,10.0,20,10.0,32.117822541862886,34,33.617647058823536,7.4397350315716375,25,9.04,53.80500653735665,6,57.0,6.2376747437152575,6,13.0,39.99999999999999,6,40.0,0.36,385998,0.0,0.0,21,0,0,9,0,0.0,21,30,14,175.0,12.0,12,4,14,2229,0.3339672144502401,19.90217926539481
38,14,0,0,0,10.0,20,10.0,32.21702497743345,60,32.766666666666666,7.575985184942138,16,9.375,54.111628949737145,8,58.0,5.83508688100089,6,1.0,39.99999999999999,3,40.0,0.36,383957,0.0,0.0,24,0,0,6,0,0.0,18,24,16,101.0,43.0,7,7,16,2906,0.3447206374257803,20.246899902820584
