index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
91,OTHER,T23,0,1,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
187,OTHER,T23,0,3,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
303,OTHER,T23,0,2,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
73,OTHER,T23,0,3,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
53,OTHER,T23,0,3,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
133,OTHER,T23,0,1,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
15,OTHER,T23,0,2,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
48,OTHER,T23,0,1,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
296,OTHER,T23,0,1,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
113,OTHER,T23,0,1,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
13,OTHER,T23,0,2,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
141,OTHER,T23,1,3,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
123,OTHER,T23,1,1,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
258,OTHER,T23,1,3,10,0,-1,-1,SELLER,00T23@0,0,1,-1,-1,0
23,OTHER,T23,1,3,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
381,T23,T40,1,3,3,1,-1,1,01T23@0,03T40@1,13,1,-1,-1,1
227,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
82,OTHER,T23,1,2,10,0,-1,-1,SELLER,00T23@0,0,1,-1,-1,0
373,T23,T40,1,4,5,1,-1,1,00T23@0,03T40@1,14,1,-1,-1,1
404,T23,T40,1,5,2,1,-1,1,01T23@0,03T40@1,11,1,-1,-1,1
200,OTHER,T23,1,1,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
248,OTHER,T23,1,1,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
293,OTHER,T23,1,1,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
411,T23,T12,1,9,5,-1,-1,1,01T23@0,02T12@1,17,-1,-1,-1,1
420,T40,T23,1,4,28,-1,-1,1,03T40@1,04T23@2,11,-1,-1,-1,2
421,T23,T12,1,10,4,-1,-1,1,00T23@0,02T12@1,13,-1,-1,-1,1
422,T23,T12,1,8,4,-1,-1,1,01T23@0,02T12@1,14,-1,-1,-1,1
423,T23,T12,1,10,1,-1,-1,1,01T23@0,02T12@1,6,-1,-1,-1,1
416,T23,T12,1,10,4,-1,-1,1,00T23@0,02T12@1,14,-1,-1,-1,1
330,OTHER,T23,1,3,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
239,OTHER,T23,2,2,10,0,-1,-1,SELLER,00T23@0,0,2,-1,-1,0
374,T23,T40,2,4,1,1,-1,1,01T23@0,03T40@1,14,2,-1,-1,1
375,T23,T40,2,4,1,1,-1,1,01T23@0,03T40@1,9,2,-1,-1,1
384,T23,T12,2,1,1,1,-1,1,00T23@0,02T12@1,8,2,-1,-1,1
45,OTHER,T23,2,1,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
259,OTHER,T23,2,3,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
208,OTHER,T23,2,3,10,0,-1,-1,SELLER,00T23@0,0,2,-1,-1,0
447,T23,T40,2,5,1,2,-1,2,00T23@0,03T40@1,10,2,-1,-1,1
269,OTHER,T23,2,1,10,0,-1,-1,SELLER,00T23@0,0,2,-1,-1,0
150,OTHER,T23,2,2,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
317,OTHER,T23,2,3,10,0,-1,-1,SELLER,00T23@0,0,2,-1,-1,0
158,OTHER,T23,2,1,10,0,-1,-1,SELLER,00T23@0,0,2,-1,-1,0
466,T23,T12,2,7,2,-1,-1,2,00T23@0,02T12@1,14,-1,-1,-1,1
34,OTHER,T23,2,4,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
399,T23,T12,3,5,1,1,-1,1,01T23@0,02T12@1,12,3,-1,-1,1
429,T23,T12,3,9,1,-1,-1,1,00T23@0,02T12@1,10,-1,-1,-1,1
233,OTHER,T23,3,4,10,0,-1,-1,SELLER,00T23@0,0,3,-1,-1,0
418,T12,T23,3,4,57,-1,-1,1,02T12@1,04T23@2,14,-1,-1,-1,2
201,T22,OTHER,3,1,40,0,-1,-1,05T22@2,BUYER,0,3,-1,-1,3
409,T12,T23,3,9,58,-1,-1,1,02T12@1,04T23@2,11,-1,-1,-1,2
210,OTHER,T23,3,4,10,0,-1,-1,SELLER,01T23@0,0,3,-1,-1,0
408,T40,T23,3,3,58,-1,-1,1,03T40@1,04T23@2,8,-1,-1,-1,2
138,T23,OTHER,3,1,40,0,-1,-1,04T23@2,BUYER,0,3,-1,-1,3
163,T22,OTHER,3,2,40,0,-1,-1,05T22@2,BUYER,0,3,-1,-1,3
470,T23,T12,3,10,1,-1,-1,2,01T23@0,02T12@1,7,-1,-1,-1,1
385,T23,T40,3,3,1,1,-1,1,01T23@0,03T40@1,9,3,-1,-1,1
398,T23,T40,3,4,1,1,-1,1,00T23@0,03T40@1,10,3,-1,-1,1
194,T22,OTHER,3,2,40,0,-1,-1,05T22@2,BUYER,0,3,-1,-1,3
168,OTHER,T23,3,1,10,0,-1,-1,SELLER,00T23@0,0,3,-1,-1,0
132,OTHER,T23,3,3,10,0,-1,-1,SELLER,01T23@0,0,3,-1,-1,0
484,T23,T12,3,1,1,3,-1,3,00T23@0,02T12@1,11,3,-1,-1,1
417,T40,T23,3,5,49,-1,-1,1,03T40@1,04T23@2,16,-1,-1,-1,2
314,OTHER,T23,3,3,10,0,-1,-1,SELLER,00T23@0,0,3,-1,-1,0
287,T23,OTHER,3,4,40,0,-1,-1,04T23@2,BUYER,0,3,-1,-1,3
49,OTHER,T23,3,2,10,0,-1,-1,SELLER,00T23@0,0,3,-1,-1,0
275,T22,OTHER,3,2,40,0,-1,-1,05T22@2,BUYER,0,3,-1,-1,3
59,OTHER,T23,3,1,10,0,-1,-1,SELLER,00T23@0,0,3,-1,-1,0
19,T23,OTHER,3,1,40,0,-1,-1,04T23@2,BUYER,0,3,-1,-1,3
41,T22,OTHER,3,1,40,0,-1,-1,05T22@2,BUYER,0,3,-1,-1,3
302,T22,OTHER,3,3,40,0,-1,-1,05T22@2,BUYER,0,3,-1,-1,3
299,OTHER,T23,3,1,10,0,-1,-1,SELLER,00T23@0,0,3,-1,-1,0
43,T23,OTHER,3,1,40,0,-1,-1,04T23@2,BUYER,0,3,-1,-1,3
305,T22,OTHER,3,2,40,0,-1,-1,05T22@2,BUYER,0,3,-1,-1,3
304,OTHER,T23,3,1,10,0,-1,-1,SELLER,00T23@0,0,3,-1,-1,0
400,T23,T40,4,2,1,1,-1,1,00T23@0,03T40@1,11,4,-1,-1,1
520,T23,T12,4,1,2,4,-1,4,01T23@0,02T12@1,10,4,-1,-1,1
289,OTHER,T23,4,1,10,0,-1,-1,SELLER,00T23@0,0,4,-1,-1,0
501,T23,T12,4,2,1,3,-1,3,01T23@0,02T12@1,12,4,-1,-1,1
497,T23,T12,4,2,15,3,-1,3,01T23@0,02T12@1,16,4,-1,-1,1
495,T23,T40,4,15,2,3,-1,3,01T23@0,03T40@1,10,4,-1,-1,1
121,T22,OTHER,4,2,40,0,-1,-1,05T22@2,BUYER,0,4,-1,-1,3
390,T23,T40,4,1,5,1,-1,1,00T23@0,03T40@1,15,4,-1,-1,1
125,T22,OTHER,4,3,40,0,-1,-1,05T22@2,BUYER,0,4,-1,-1,3
264,T22,OTHER,4,1,40,0,-1,-1,05T22@2,BUYER,0,4,-1,-1,3
478,T23,T40,4,5,2,3,-1,3,01T23@0,03T40@1,10,4,-1,-1,1
102,OTHER,T23,4,1,10,0,-1,-1,SELLER,00T23@0,0,4,-1,-1,0
266,OTHER,T23,4,1,10,0,-1,-1,SELLER,01T23@0,0,4,-1,-1,0
134,T23,OTHER,4,2,40,0,-1,-1,04T23@2,BUYER,0,4,-1,-1,3
268,OTHER,T23,4,4,10,0,-1,-1,SELLER,01T23@0,0,4,-1,-1,0
274,OTHER,T23,4,3,10,0,-1,-1,SELLER,00T23@0,0,4,-1,-1,0
461,T23,T12,4,1,1,2,-1,2,00T23@0,02T12@1,11,4,-1,-1,1
460,T40,T23,4,5,53,2,-1,2,03T40@1,04T23@2,13,4,-1,-1,2
283,OTHER,T23,4,3,10,0,-1,-1,SELLER,00T23@0,0,4,-1,-1,0
454,T12,T23,4,2,55,2,-1,2,02T12@1,04T23@2,11,4,-1,-1,2
451,T23,T12,4,2,9,2,-1,2,00T23@0,02T12@1,14,4,-1,-1,1
450,T40,T23,4,4,43,2,-1,2,03T40@1,04T23@2,18,4,-1,-1,2
26,OTHER,T23,4,2,10,0,-1,-1,SELLER,01T23@0,0,4,-1,-1,0
487,T23,T12,4,2,1,3,-1,3,00T23@0,02T12@1,6,4,-1,-1,1
192,OTHER,T23,4,1,10,0,-1,-1,SELLER,00T23@0,0,4,-1,-1,0
38,T23,OTHER,4,2,40,0,-1,-1,04T23@2,BUYER,0,4,-1,-1,3
338,T22,OTHER,4,4,40,-1,-1,-1,05T22@2,BUYER,0,-1,-1,-1,3
353,T22,OTHER,4,1,40,-1,-1,-1,05T22@2,BUYER,0,-1,-1,-1,3
173,T23,OTHER,4,1,40,0,-1,-1,04T23@2,BUYER,0,4,-1,-1,3
