,balance,assets,bankrupt,agent_id,step
0,22859.0,100.0,False,00T35@0,0.0
1,20569.0,580.0,False,00T35@0,5.0
2,11452.0,1110.0000000000002,False,00T35@0,10.0
3,10867.0,1630.0000000000002,False,00T35@0,15.0
4,10077.0,2150.0000000000005,False,00T35@0,20.0
5,7622.0,2620.0000000000005,False,00T35@0,25.0
6,4900.0,3090.0000000000005,False,00T35@0,30.0
7,3409.0,3830.671846086157,False,00T35@0,35.0
8,3045.0,3959.9999999999986,False,00T35@0,40.0
9,1885.0,4420.0,False,00T35@0,45.0
10,1200.0,4900.0,False,00T35@0,50.0
11,360.0,5470.000000000001,False,00T35@0,55.0
12,-28251.05555555556,5750.0,True,00T35@0,60.0
13,-28251.05555555556,5750.0,True,00T35@0,65.0
14,22859.0,180.0,False,01T22@0,0.0
15,23499.0,183.49047748811586,False,01T22@0,5.0
16,22581.0,187.54225108860211,False,01T22@0,10.0
17,23224.0,184.4206837251193,False,01T22@0,15.0
18,23812.0,176.50215137908887,False,01T22@0,20.0
19,24105.0,244.9561883894833,False,01T22@0,25.0
20,24279.0,264.1103801457551,False,01T22@0,30.0
21,24864.0,390.7752070224885,False,01T22@0,35.0
22,25658.0,407.074478246724,False,01T22@0,40.0
23,25828.0,935.2828636105576,False,01T22@0,45.0
24,27042.0,717.9048572258373,False,01T22@0,50.0
25,28332.0,427.5661523947944,False,01T22@0,55.0
26,28198.0,1252.4729117850568,False,01T22@0,60.0
27,28154.0,1975.8505225660172,False,01T22@0,65.0
28,32143.0,0.0,False,02T37@1,0.0
29,31517.0,922.5092075734384,False,02T37@1,5.0
30,30527.0,2877.9125896247133,False,02T37@1,10.0
31,30199.0,3749.2836325712688,False,02T37@1,15.0
32,29656.0,5404.634525101869,False,02T37@1,20.0
33,29502.0,6238.363784530166,False,02T37@1,25.0
34,29841.0,6668.757902943844,False,02T37@1,30.0
35,29445.0,7601.423249590221,False,02T37@1,35.0
36,28645.0,9365.443207117647,False,02T37@1,40.0
37,27367.0,10046.226794025508,False,02T37@1,45.0
38,27722.0,10913.209518453199,False,02T37@1,50.0
39,26926.0,12457.714844364917,False,02T37@1,55.0
40,27388.0,12419.241276027706,False,02T37@1,60.0
41,28167.0,12482.067705750715,False,02T37@1,65.0
42,32143.0,0.0,False,03T22@1,0.0
43,31255.0,1271.4711187637747,False,03T22@1,5.0
44,26715.0,5941.6633504569445,False,03T22@1,10.0
45,23096.0,6863.944068817727,False,03T22@1,15.0
46,18690.0,7867.137081193249,False,03T22@1,20.0
47,2562.0,8629.303369604915,False,03T22@1,25.0
48,437.0,9934.131876427591,False,03T22@1,30.0
49,-42345.333333333336,10757.925025710605,True,03T22@1,35.0
50,-42345.333333333336,11098.456618678903,True,03T22@1,40.0
51,-42345.333333333336,10675.083272005608,True,03T22@1,45.0
52,-42345.333333333336,11172.651021795322,True,03T22@1,50.0
53,-42345.333333333336,11578.56765807925,True,03T22@1,55.0
54,-42345.333333333336,11500.34390728076,True,03T22@1,60.0
55,-42345.333333333336,11665.403965184434,True,03T22@1,65.0
56,50128.0,0.0,False,04T26@2,0.0
57,50135.0,212.28450555261762,False,04T26@2,5.0
58,49586.0,1152.5609320236915,False,04T26@2,10.0
59,42449.0,7851.875035110138,False,04T26@2,15.0
60,41816.0,9183.15633335958,False,04T26@2,20.0
61,37869.0,14044.459957330615,False,04T26@2,25.0
62,36339.0,16534.97804049425,False,04T26@2,30.0
63,37619.0,16327.014768520085,False,04T26@2,35.0
64,39214.0,16263.868062504738,False,04T26@2,40.0
65,37889.0,17465.893759145423,False,04T26@2,45.0
66,38881.0,17832.736976945846,False,04T26@2,50.0
67,39723.0,17701.035416425922,False,04T26@2,55.0
68,40277.0,17954.190193047434,False,04T26@2,60.0
69,43577.0,15568.611154047627,False,04T26@2,65.0
70,50128.0,0.0,False,05T26@2,0.0
71,49860.0,553.4840902739636,False,05T26@2,5.0
72,47562.0,2996.737394871815,False,05T26@2,10.0
73,44265.0,7191.156538436128,False,05T26@2,15.0
74,40471.0,11195.191316202061,False,05T26@2,20.0
75,37526.0,15436.532893864414,False,05T26@2,25.0
76,38039.0,16086.375214098765,False,05T26@2,30.0
77,35341.0,19582.806509604663,False,05T26@2,35.0
78,38066.0,18503.191410389463,False,05T26@2,40.0
79,36661.0,19836.729740357223,False,05T26@2,45.0
80,38668.0,18950.547206794025,False,05T26@2,50.0
81,38713.0,20047.779380284173,False,05T26@2,55.0
82,40759.0,18958.86991081834,False,05T26@2,60.0
83,41836.0,18517.557841507445,False,05T26@2,65.0
84,71863.0,0.0,False,06T37@3,0.0
85,71515.0,1044.7502846420323,False,06T37@3,5.0
86,69316.0,4904.531913584381,False,06T37@3,10.0
87,70433.0,4962.988491604086,False,06T37@3,15.0
88,69453.0,7383.670053023337,False,06T37@3,20.0
89,72108.0,7074.19261680905,False,06T37@3,25.0
90,72701.0,7110.61021756799,False,06T37@3,30.0
91,74798.0,7185.948502105637,False,06T37@3,35.0
92,76886.0,6646.069690300396,False,06T37@3,40.0
93,72366.0,12231.983386801674,False,06T37@3,45.0
94,74723.0,11717.383706426956,False,06T37@3,50.0
95,76296.0,11749.030171528997,False,06T37@3,55.0
96,78229.0,11413.434994304902,False,06T37@3,60.0
97,81365.0,10161.600823647144,False,06T37@3,65.0
