index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,40.0,0,,56.0,0,,0.025,320484,0.0,0.0,10,0,0,69,0,0.0,634,703,16,0,0.0,0,0,16,200,1.4948143456131218,1.4948143456131218
1,16,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,40.0,0,,56.0,0,,0.0125,320284,0.0,0.0,8,0,0,1,0,0.0,15,16,16,0,78.0,0,16,16,200,11.556433716788886,13.05124806240201
2,16,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,40.0,0,,56.0,0,,0.0625,320084,0.0,0.0,9,0,0,3,0,0.0,13,16,16,0,78.0,0,16,16,200,11.432499876245856,24.483747938647863
3,16,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,40.0,0,,56.0,0,,0.075,319884,0.0,0.0,9,0,0,3,0,0.0,14,17,16,0,78.0,0,16,16,200,11.69516626931727,36.17891420796513
4,16,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,40.0,0,,56.0,20,56.0,0.075,319263,0.0,0.0,17,0,0,4,0,0.0,11,15,16,0,78.0,0,16,16,1320,11.36460435949266,47.5435185674578
5,16,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,40.0,0,,56.0,20,56.0,0.0875,318653,0.0,0.0,18,0,0,1,0,0.0,16,17,16,0,78.0,0,16,16,1320,11.094924995675683,58.63844356313348
6,16,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,40.0,0,,55.99999999999999,20,56.0,0.0875,318033,0.0,0.0,18,0,0,0,0,0.0,16,16,16,0,78.0,0,16,16,1320,11.253533942624927,69.8919775057584
7,16,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,40.0,0,,56.0,15,56.0,0.1,317568,0.0,0.0,15,0,0,0,0,0.0,19,19,16,0,78.0,0,16,16,1040,11.501435115933418,81.39341262169181
8,16,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,40.0,0,,56.0,11,56.0,0.1,317203,0.0,0.0,16,0,0,1,0,0.0,15,16,16,0,78.0,0,16,16,816,23.20210749655962,104.59552011825144
9,16,0,0,0,10.000000000000002,20,10.0,17.0,0,,26.0,0,,40.0,0,,56.0,16,56.0,0.1,316711,0.0,0.0,15,0,0,1,0,0.0,16,17,16,0,78.0,0,16,16,1096,13.840206291526554,118.435726409778
