index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,29.0,0,,40.0,0,,52.0,0,,0.125,509990,0.0,0.0,9,0,0,138,0,0.0,777,915,60,0.0,0,0,0,60,200,3.947446698322892,3.947446698322892
1,60,0,0,0,10.0,20,10.0,19.0,0,,29.0,0,,40.0,0,,52.0,0,,0.125,509790,0.0,0.0,12,0,0,35,0,0.0,49,84,5,1080.0,0,60,0,5,200,0.7059640996158123,4.6534107979387045
2,5,0,0,0,10.0,20,10.0,19.0,0,,29.0,0,,40.0,0,,52.0,0,,0.125,509590,0.0,0.0,10,0,0,0,0,0.0,27,27,5,90.0,0,5,0,5,200,0.2294643931090832,4.8828751910477886
3,5,0,0,0,10.0,20,10.0,19.0,0,,29.0,0,,37.307692307692314,7,20.0,52.0,0,,0.1875,509054,0.0,0.0,10,0,0,1,0,0.0,27,28,5,90.0,0,5,0,5,340,0.2610040456056595,5.143879236653447
4,5,0,0,0,10.0,20,10.0,19.0,0,,29.0,0,,34.78102189781021,8,20.0,52.0,20,52.0,0.0875,508576,0.0,0.0,26,0,0,1,0,0.0,26,27,4,90.0,0,5,0,4,1400,0.25356947630643845,5.3974487129598865
5,4,0,0,0,10.0,20,10.0,19.0,0,,29.0,0,,34.78102189781021,0,,52.0,20,52.0,0.0875,507956,0.0,0.0,20,0,0,0,0,0.0,25,25,4,72.0,0,4,0,4,1240,0.2834048289805651,5.680853541940451
6,4,0,0,0,10.0,20,10.0,19.0,0,,29.0,0,,32.9794034090909,7,20.285714285714285,52.0,20,52.0,0.1125,507007,0.0,0.0,22,0,0,0,0,0.0,28,28,5,72.0,0,4,0,5,1382,0.2622061520814896,5.94305969402194
7,5,0,0,0,10.0,20,10.0,19.0,0,,29.0,0,,32.9794034090909,0,,52.0,20,52.0,0.1125,506400,0.0,0.0,21,0,0,0,0,0.0,26,26,4,90.0,0,5,0,4,1240,0.2338137831538916,6.176873477175832
8,4,0,0,0,10.0,20,10.0,19.0,0,,29.0,0,,31.456455415337672,7,20.428571428571427,52.0,15,52.0,0.1125,505590,0.0,0.0,21,0,0,0,0,0.0,27,27,2,72.0,0,4,0,2,1123,0.5899497624486685,6.7668232396245
9,2,0,0,0,10.000000000000002,20,10.0,19.0,0,,29.0,0,,30.095350921261648,7,20.0,52.0,16,52.0,0.1125,505022,0.0,0.0,22,0,0,0,0,0.0,23,23,3,36.0,0,2,0,3,1172,0.1853185705840588,6.952141810208559
10,3,0,0,0,10.000000000000002,20,10.0,19.0,0,,29.0,0,,36.07183610135554,29,47.0,51.99999999999999,14,52.0,0.225,502577,0.0,0.0,22,0,0,0,0,0.0,26,26,4,54.0,0,3,0,4,2291,0.2485019695013761,7.200643779709934
11,4,0,0,0,10.000000000000002,20,10.0,19.0,0,,29.0,0,,39.533893887274594,27,49.0,51.99999999999999,11,52.0,0.25,500824,0.0,0.0,21,0,0,1,0,0.0,27,28,3,72.0,0,4,0,3,2095,0.16357325203716755,7.364217031747103
12,3,0,0,0,10.000000000000002,20,10.0,19.0,0,,29.0,0,,39.533893887274594,0,,51.99999999999999,13,52.0,0.175,500750,0.0,0.0,16,0,0,0,0,0.0,24,24,5,54.0,0,3,0,5,876,0.2497191242873669,7.61393615603447
13,5,0,0,0,10.000000000000002,20,10.0,19.0,0,,29.0,0,,42.05328292510161,26,50.846153846153854,51.99999999999999,16,52.0,0.25,498885,0.0,0.0,26,0,0,3,0,0.0,23,26,5,90.0,0,5,0,5,2354,0.22839309088885784,7.842329246923327
14,5,0,0,0,10.000000000000002,20,10.0,19.0,0,,29.0,0,,43.520374901269605,42,47.19047619047619,51.99999999999999,17,52.0,0.25,495278,0.0,0.0,28,0,0,3,0,0.0,25,28,2,90.0,0,5,0,2,3066,0.2045370265841484,8.046866273507478
15,2,0,0,0,10.000000000000002,20,10.0,19.0,0,,29.0,0,,41.666844711665966,11,19.363636363636363,51.99999999999999,12,52.0,0.25,494635,0.0,0.0,21,0,0,0,0,0.0,26,26,5,36.0,0,2,0,5,1037,0.21653132513165474,8.263397598639129
16,5,0,0,0,10.000000000000002,20,10.0,19.0,0,,29.0,0,,45.564268098698214,41,57.82926829268293,51.99999999999999,15,52.0,0.25,491245,0.0,0.0,26,0,0,5,0,0.0,21,26,5,90.0,0,5,0,5,3351,0.20411879755556586,8.467516396194696
17,5,0,0,0,10.000000000000002,20,10.0,19.0,0,,29.0,0,,43.69652791131607,27,33.111111111111114,51.99999999999999,15,52.0,0.25,489249,0.0,0.0,20,0,0,5,0,0.0,22,27,2,90.0,0,5,0,2,1874,0.12819874845445156,8.595715144649148
18,2,0,0,0,10.000000000000002,20,10.0,19.0,0,,29.0,0,,42.6285831624976,8,21.0,52.0,14,52.0,0.2,488834,0.0,0.0,20,0,0,1,0,0.0,23,24,3,36.0,0,2,0,3,1096,0.10473348014056684,8.700448624789715
19,3,0,0,0,10.000000000000002,20,10.0,19.0,0,,29.0,0,,42.278494805229066,20,39.6,52.0,16,52.0,0.125,487476,0.0,0.0,23,0,0,2,0,0.0,23,25,5,54.0,0,3,0,5,1824,0.1910509876906872,8.891499612480402
20,5,0,0,0,10.000000000000002,20,10.0,19.0,0,,29.0,0,,42.076066932150994,20,40.5,51.99999999999999,14,52.0,0.25,486201,0.0,0.0,23,0,0,4,0,0.0,24,28,5,90.0,0,5,0,5,1738,0.1890586819499731,9.080558294430377
21,5,0,0,0,10.000000000000002,20,10.0,19.0,0,,29.0,0,,41.690918616764634,10,35.6,51.99999999999999,11,52.0,0.225,485637,0.0,0.0,21,0,0,4,0,0.0,21,25,5,90.0,0,5,0,5,1128,0.21632451564073565,9.296882810071109
22,5,0,0,0,10.000000000000002,20,10.0,19.0,0,,29.0,0,,41.29337216716635,21,38.42857142857143,51.99999999999999,14,52.0,0.2,484240,0.0,0.0,22,0,0,5,0,0.0,23,28,5,90.0,0,5,0,5,1735,0.2145800720900297,9.51146288216114
23,5,0,0,0,10.000000000000002,20,10.0,19.0,0,,29.0,0,,40.61538551369537,23,36.04347826086956,51.99999999999999,18,52.0,0.25,482589,0.0,0.0,24,0,0,5,0,0.0,19,24,5,90.0,0,5,0,5,1965,0.2533216830343008,9.76478456519544
24,5,0,0,0,10.000000000000002,20,10.0,19.0,0,,29.0,0,,34.381655073009426,66,19.24242424242424,51.99999999999999,19,52.0,0.125,475412,0.0,0.0,31,0,0,5,0,0.0,21,26,5,90.0,0,5,0,5,2458,0.17930671572685242,9.944091280922292
25,5,0,0,0,10.000000000000002,20,10.0,19.0,0,,29.0,0,,33.7246861323805,8,17.0,51.99999999999999,12,52.0,0.125,474976,0.0,0.0,17,0,0,1,0,0.0,25,26,5,90.0,0,5,0,5,960,0.18480362743139267,10.128894908353685
26,5,0,0,0,10.000000000000002,20,10.0,19.0,0,,29.0,0,,33.23822406440576,7,20.0,51.99999999999999,18,52.0,0.2125,474383,0.0,0.0,21,0,0,2,0,0.0,23,25,3,90.0,0,5,0,3,1276,0.15247921645641327,10.2813741248101
27,3,0,0,0,10.000000000000002,20,10.0,19.0,0,,29.0,0,,32.736623116194075,7,20.0,51.99999999999999,18,52.0,0.2125,473795,0.0,0.0,23,0,0,2,0,0.0,24,26,3,54.0,0,3,0,3,1276,0.12374020367860795,10.405114328488708
28,3,0,0,0,10.000000000000002,20,10.0,19.0,0,,29.0,0,,32.222069242879066,7,20.0,51.99999999999999,15,52.0,0.125,473235,0.0,0.0,20,0,0,1,0,0.0,26,27,5,54.0,0,3,0,5,1120,0.1457955352962017,10.550909863784911
29,5,0,0,0,10.000000000000002,20,10.0,19.0,0,,29.0,0,,31.71542073160766,7,20.428571428571427,51.99999999999999,17,52.0,0.175,472753,0.0,0.0,22,0,0,4,0,0.0,26,30,5,90.0,0,5,0,5,1227,0.13139740005135536,10.682307263836263
30,5,0,0,0,10.000000000000002,20,10.0,19.0,0,,29.0,0,,30.99944733113551,7,16.0,51.99999999999999,19,52.0,0.125,472124,0.0,0.0,22,0,0,5,0,0.0,22,27,3,90.0,0,5,0,3,1300,0.1094969753175974,10.791804239153864
31,3,0,0,0,10.000000000000002,20,10.0,19.0,0,,29.0,0,,30.126125833535085,14,21.5,51.99999999999999,15,52.0,0.125,471129,0.0,0.0,19,0,0,3,0,0.0,22,25,3,54.0,0,3,0,3,1281,0.13019593805074692,10.922000177204607
32,3,0,0,0,10.000000000000002,20,10.0,19.0,0,,29.0,0,,29.67281107578661,21,26.714285714285715,51.99999999999999,18,52.0,0.125,469562,0.0,0.0,24,0,0,3,0,0.0,23,26,3,54.0,0,3,0,3,1697,0.11393874511122705,11.035938922315836
33,3,0,0,0,10.000000000000002,17,10.0,19.0,0,,29.0,0,,29.506471062779394,25,28.56,51.99999999999999,13,52.0,0.1625,467968,0.0,0.0,19,0,0,3,0,0.0,22,25,3,54.0,0,3,0,3,1560,0.11403415538370608,11.149973077699542
