index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,19.0,0,,29.0,0,,0.31666666666666665,262156,0.0,0.0,10,0,0,234,0,0.0,613,847,69,0.0,0.0,0,0,69,200,1.8139597922563555,1.8139597922563555
1,69,0,0,0,10.0,20,10.0,15.0,0,,16.25,23,10.869565217391305,29.0,0,,0.31666666666666665,261274,0.0,0.0,16,0,0,17,0,0.0,66,83,66,1173.0,68.0,62,7,66,450,17.967516096308827,19.781475888565183
2,66,0,0,0,10.0,20,10.0,13.56896551724138,13,8.615384615384615,15.150918635170605,15,10.666666666666666,29.0,0,,0.31666666666666665,260405,0.0,0.0,16,0,0,13,0,0.0,43,56,32,592.0,96.0,33,33,32,472,20.763736359775066,40.54521224834025
3,32,0,0,0,10.0,20,10.0,12.961794019933555,8,9.0,14.247331844130054,12,9.083333333333334,29.0,11,29.0,0.3333333333333333,259646,0.0,0.0,19,0,0,16,0,0.0,24,40,31,275.0,41.0,19,13,31,700,17.4626049362123,58.00781718455254
4,31,0,0,0,10.0,20,10.0,11.354408196279321,20,7.0,13.551331920194052,19,10.894736842105265,29.000000000000004,10,29.0,0.3333333333333333,258436,0.0,0.0,18,0,0,18,0,0.0,23,41,34,258.0,36.0,19,12,34,837,7.67278479039669,65.68060197494924
5,34,0,0,0,10.0,20,10.0,10.42970906774262,18,7.0,13.117213961618488,15,10.733333333333333,29.0,14,29.0,0.3333333333333333,257330,0.0,0.0,23,0,0,15,0,0.0,27,42,29,301.0,113.0,20,14,29,893,1.3214187677949667,67.00202074274421
6,29,0,0,0,10.0,20,10.0,13.5985425678477,94,16.170212765957444,12.733752880232615,9,9.0,29.0,10,29.0,0.5,255998,0.0,0.0,25,0,0,13,0,0.0,25,38,28,241.0,61.0,14,15,28,2091,8.579454522579907,75.58147526532413
7,28,0,0,0,10.0,20,10.0,13.636035090733152,57,13.73684210526316,11.980123122823342,23,9.130434782608695,29.0,12,29.0,0.5,253901,0.0,0.0,24,0,0,10,0,0.0,25,35,29,224.0,41.0,13,15,29,1541,7.323047157377005,82.90452242270112
8,29,0,0,0,10.0,20,10.0,14.133475249983151,14,20.857142857142858,11.5566175678703,25,9.88,28.999999999999996,9,29.0,0.5,252766,0.0,0.0,20,0,0,14,0,0.0,20,34,30,242.0,45.0,14,15,30,1000,11.557366739958525,94.46188916265965
9,30,0,0,0,10.000000000000002,20,10.0,14.130598605224982,27,14.111111111111109,11.266789695072507,35,10.342857142857145,28.999999999999996,13,29.0,0.5,250868,0.0,0.0,24,0,0,14,0,0.0,19,33,32,225.0,62.0,14,16,32,1320,7.9827787205576906,102.44466788321732
10,32,0,0,0,10.000000000000002,20,10.0,14.571453888591046,17,19.47058823529412,11.099317989068988,11,9.090909090909092,29.0,11,29.0,0.5,250150,0.0,0.0,18,0,0,12,0,0.0,24,36,33,226.0,82.0,14,18,33,950,1.8548994418233635,104.2995673250407
