index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,25.0,0,,31.0,0,,0.16666666666666666,331706,0.0,0.0,9,0,0,176,0,0.0,556,732,122,0.0,0.0,0,0,122,200,5.894030574709178,5.894030574709178
1,122,0,0,0,10.0,20,10.0,16.0,0,,23.375,11,16.727272727272727,31.0,0,,0.2333333333333333,331152,0.0,0.0,16,0,0,26,0,0.0,110,136,96,2262.0,57.0,119,3,96,384,25.590300399810076,31.48433097451925
2,96,0,0,0,10.0,20,10.0,14.482142857142858,11,8.272727272727273,19.082964601769916,40,13.675,31.0,0,,0.18333333333333332,329093,0.0,0.0,19,0,0,8,0,0.0,67,75,40,1086.0,149.0,57,39,40,838,32.10397893749177,63.588309912011034
3,40,0,0,0,10.0,20,10.0,13.987364620938628,5,9.0,16.141541933951054,87,13.390804597701152,31.0,12,31.0,0.18333333333333332,324167,0.0,0.0,26,0,0,9,0,0.0,37,46,37,576.0,62.0,30,10,37,1782,18.385618133470413,81.97392804548143
4,37,0,0,0,10.0,20,10.0,11.043859649122805,63,8.714285714285714,15.177525008655088,68,13.029411764705882,31.0,7,31.0,0.16666666666666666,318409,0.0,0.0,26,0,0,16,0,0.0,29,45,35,557.0,40.0,29,8,35,1852,23.875083414837718,105.84901146031916
5,35,0,0,0,10.0,20,10.0,11.691067104188454,38,13.421052631578947,14.933249228225876,56,14.071428571428573,31.0,13,31.0,0.2,315050,0.0,0.0,24,0,0,16,0,0.0,31,47,27,517.0,40.0,27,8,27,1901,17.199151948094368,123.04816340841353
6,27,0,0,0,10.0,20,10.0,12.177619313891736,50,13.4,14.879307402151582,14,14.0,31.000000000000004,13,31.0,0.2,313359,0.0,0.0,22,0,0,16,0,0.0,26,42,31,440.0,28.0,23,4,31,1469,24.150812493637204,147.19897590205073
7,31,0,0,0,10.0,20,10.0,11.489340736088707,67,9.865671641791044,14.56270736980677,80,13.7,31.000000000000004,12,31.0,0.26666666666666666,306761,0.0,0.0,33,0,0,21,0,0.0,23,44,24,497.0,15.0,26,5,24,2329,22.014321966096762,169.21329786814752
8,24,0,0,0,10.0,20,10.0,13.119141322128074,41,21.170731707317074,14.638243654326644,56,15.0,31.000000000000004,11,31.0,0.3,303900,0.0,0.0,26,0,0,9,0,0.0,28,37,25,382.0,12.0,20,4,25,2249,23.312567695975304,192.52586556412282
9,25,0,0,0,10.000000000000002,20,10.0,13.46596181716552,30,16.0,14.848362584964043,35,16.6,31.000000000000004,9,31.0,0.3333333333333333,301949,0.0,0.0,24,0,0,4,0,0.0,34,38,29,401.0,12.0,21,4,29,1540,11.689776038751006,204.2156416028738
10,29,0,0,0,10.000000000000002,20,10.0,13.355991397565491,44,12.795454545454545,15.022029085484938,42,16.238095238095234,31.00000000000001,6,31.0,0.3333333333333333,299357,0.0,0.0,25,0,0,6,0,0.0,36,42,29,458.0,15.0,24,5,29,1631,18.312479352578517,222.5281209554523
11,29,0,0,0,10.000000000000002,20,10.0,13.355991397565491,0,,14.844720610304904,41,13.53658536585366,31.0,12,31.0,0.26666666666666666,297455,0.0,0.0,21,0,0,7,0,0.0,35,42,29,460.0,15.0,24,5,29,1127,17.30201318860054,239.8301341440529
12,29,0,0,0,10.000000000000002,20,10.0,14.700866567152586,96,18.083333333333336,14.990707280915641,14,18.214285714285715,31.0,11,31.0,0.25,294762,0.0,0.0,24,0,0,8,0,0.0,33,41,28,460.0,15.0,24,5,28,2532,33.16526745446026,272.9954015985131
13,28,0,0,0,10.000000000000002,20,10.0,14.213610300362214,28,8.928571428571429,15.268084453341045,46,17.02173913043478,31.0,8,31.0,0.3333333333333333,291997,0.0,0.0,29,0,0,7,0,0.0,35,42,30,439.0,31.0,23,5,30,1481,41.431913420557976,314.4273150190711
14,30,0,0,0,10.000000000000002,20,10.0,14.366881885487292,47,15.340425531914894,15.298033036461025,40,15.525,31.0,9,31.0,0.3333333333333333,289407,0.0,0.0,25,0,0,9,0,0.0,33,42,30,479.0,31.0,25,5,30,1821,44.141357321292155,358.5686723403632
15,30,0,0,0,10.000000000000002,20,10.0,13.315717824688539,63,8.126984126984128,15.37341032585058,18,16.666666666666668,31.000000000000004,11,31.0,0.3333333333333333,285929,0.0,0.0,25,0,0,17,0,0.0,26,43,28,496.0,12.0,26,4,28,1353,33.134396540001035,391.7030688803643
16,28,0,0,0,10.000000000000002,20,10.0,12.448186587267314,58,7.413793103448277,15.638618600916395,36,17.805555555555557,31.000000000000004,8,31.0,0.3333333333333333,282105,0.0,0.0,29,0,0,8,0,0.0,34,42,28,458.0,12.0,24,4,28,1519,33.95747589878738,425.6605447791517
17,28,0,0,0,10.000000000000002,20,10.0,12.295282161685536,106,11.783018867924529,15.920974568501627,24,19.416666666666668,31.0,11,31.0,0.3333333333333333,276919,0.0,0.0,33,0,0,11,0,0.0,31,42,24,458.0,12.0,24,4,24,2256,39.73849211260677,465.3990368917583
18,24,0,0,0,10.000000000000002,20,10.0,12.304301202730965,83,12.349397590361447,15.845956178015195,54,15.444444444444445,31.0,9,31.0,0.3333333333333333,271742,0.0,0.0,32,0,0,15,0,0.0,24,39,28,422.0,6.0,22,2,28,2338,37.094123095273964,502.4931599870324
19,28,0,0,0,10.000000000000002,20,10.0,11.560519227972947,97,8.123711340206189,15.981360619514966,43,16.953488372093023,31.0,8,31.0,0.3333333333333333,264620,0.0,0.0,29,0,0,16,0,0.0,26,42,24,458.0,12.0,24,4,24,1965,30.2640523891896,532.757212376222
20,24,0,0,0,10.000000000000002,20,10.0,12.321723079766596,73,17.438356164383563,15.85114885894242,59,15.152542372881355,31.0,12,31.0,0.3333333333333333,260399,0.0,0.0,31,0,0,7,0,0.0,32,39,26,401.0,25.0,21,3,26,2739,52.02417212724686,584.7813845034689
21,26,0,0,0,10.000000000000002,20,10.0,12.538403348268082,54,14.574074074074074,15.674698184075524,38,14.105263157894735,31.0,10,31.0,0.3333333333333333,257593,0.0,0.0,25,0,0,11,0,0.0,28,39,26,439.0,25.0,23,3,26,1833,54.15526996180415,638.936654465273
22,26,0,0,0,10.000000000000002,20,10.0,12.892072769025779,34,18.147058823529417,15.209571907940207,83,13.313253012048195,31.0,9,31.0,0.3333333333333333,252650,0.0,0.0,28,0,0,6,0,0.0,36,42,26,439.0,25.0,23,3,26,2201,37.12457693554461,676.0612314008176
23,26,0,0,0,10.000000000000002,20,10.0,12.812901851194756,110,12.463636363636365,15.499628468729961,12,24.66666666666667,30.999999999999996,12,31.0,0.3333333333333333,248202,0.0,0.0,29,0,0,9,0,0.0,31,40,26,439.0,25.0,23,3,26,2239,31.28718922100961,707.3484206218272
24,26,0,0,0,10.000000000000002,20,10.0,12.9659172304575,58,14.379310344827585,15.356865249483445,54,14.425925925925926,31.0,8,31.0,0.3333333333333333,243832,0.0,0.0,27,0,0,9,0,0.0,31,40,24,458.0,6.0,24,2,24,2061,33.215845316648476,740.5642659384758
25,24,0,0,0,10.000000000000002,20,10.0,13.280639685009458,35,18.085714285714285,15.326595980189722,40,15.05,31.0,12,31.0,0.3333333333333333,241325,0.0,0.0,28,0,0,6,0,0.0,33,39,24,420.0,6.0,22,2,24,1807,30.045601565390825,770.6098675038666
26,24,0,0,0,10.000000000000002,20,10.0,12.700939666786885,60,7.75,15.19908257351264,68,14.514705882352944,31.0,11,31.0,0.3333333333333333,235305,0.0,0.0,33,0,0,9,0,0.0,29,38,24,418.0,6.0,22,2,24,1993,26.460856772959232,797.0707242768257
27,24,0,0,0,10.000000000000002,20,10.0,12.288094662308024,51,8.117647058823529,15.100020972885668,46,14.26086956521739,31.0,14,31.0,0.3333333333333333,231185,0.0,0.0,27,0,0,8,0,0.0,31,39,26,401.0,25.0,21,3,26,1704,22.124770428985357,819.1954947058111
28,26,0,0,0,10.000000000000002,20,10.0,13.172661740226747,42,23.904761904761905,15.313658777742102,39,17.46153846153846,31.0,9,31.0,0.3333333333333333,229143,0.0,0.0,28,0,0,10,0,0.0,31,41,24,455.0,6.0,24,2,24,2164,23.51991025172174,842.7154049575328
29,24,0,0,0,10.000000000000002,20,10.0,13.018842040165731,19,9.0,14.957611548794254,91,13.43956043956044,31.0,8,31.0,0.3333333333333333,223664,0.0,0.0,26,0,0,9,0,0.0,30,39,24,420.0,6.0,22,2,24,1842,10.115691088140009,852.8310960456729
30,24,0,0,0,10.000000000000002,20,10.0,13.018842040165731,0,,15.231625206120642,34,18.705882352941178,31.0,8,31.0,0.3333333333333333,222093,0.0,0.0,26,0,0,7,0,0.0,32,39,24,419.0,6.0,22,2,24,1084,14.854119988158345,867.6852160338311
31,24,0,0,0,10.000000000000002,20,10.0,12.944231614571713,7,8.0,15.251641653967875,74,15.364864864864865,31.0,8,31.0,0.3333333333333333,218011,0.0,0.0,29,0,0,9,0,0.0,32,41,24,420.0,6.0,22,2,24,1641,27.89214971475303,895.5773657485843
32,24,0,0,0,10.000000000000002,20,10.0,13.753212062207382,52,20.346153846153847,15.095069926535047,99,14.393939393939394,31.0,14,31.0,0.3333333333333333,211853,0.0,0.0,36,0,0,7,0,0.0,31,38,24,420.0,6.0,22,2,24,3117,24.99812914989889,920.5754948984833
33,24,0,0,0,10.000000000000002,20,10.0,13.660675375747184,7,8.0,14.808433352729724,131,13.740458015267176,31.0,9,31.0,0.3333333333333333,202596,0.0,0.0,34,0,0,7,0,0.0,31,38,24,419.0,6.0,22,2,24,2335,43.534116743132465,964.1096116416156
34,24,0,0,0,10.000000000000002,20,10.0,13.549248181308842,74,12.95945945945946,14.601103776242844,109,13.541284403669724,31.000000000000004,9,31.0,0.3333333333333333,194108,0.0,0.0,35,0,0,9,0,0.0,29,38,22,420.0,6.0,22,2,22,2914,47.052593391388655,1011.1622050330043
35,22,0,0,0,10.0,20,10.0,14.851817260405095,67,23.0,14.537281636954296,101,14.15841584158416,31.000000000000004,10,31.0,0.3333333333333333,186082,0.0,0.0,33,0,0,8,0,0.0,30,38,22,401.0,3.0,21,1,22,3481,39.958407267928116,1051.1206123009324
36,22,0,0,0,10.0,20,10.0,14.70829599214027,11,9.0,14.415697271499345,93,13.591397849462366,31.00000000000001,10,31.0,0.3333333333333333,180439,0.0,0.0,31,0,0,8,0,0.0,29,37,22,400.0,3.0,21,1,22,1873,39.711064081639044,1090.8316763825715
37,22,0,0,0,10.0,20,10.0,13.99537570162675,49,8.122448979591837,14.334976673276278,139,13.956834532374101,31.00000000000001,9,31.0,0.3333333333333333,169501,0.0,0.0,40,0,0,7,0,0.0,32,39,24,401.0,3.0,21,1,24,2817,47.192300286144025,1138.0239766687155
38,24,0,0,0,10.0,20,10.0,15.023149354796972,56,22.5,14.4060156721665,80,15.0375,31.00000000000001,9,31.0,0.3333333333333333,164641,0.0,0.0,31,0,0,8,0,0.0,31,39,22,420.0,6.0,22,2,22,2942,57.26052307710052,1195.284499745816
39,22,0,0,0,10.0,20,10.0,15.322208649945154,35,18.88571428571429,14.475756905372178,89,15.033707865168545,31.000000000000004,8,31.0,0.3333333333333333,159048,0.0,0.0,36,0,0,8,0,0.0,31,39,22,401.0,3.0,21,1,22,2447,70.05617053806782,1265.3406702838838
40,22,0,0,0,9.999999999999998,20,10.0,15.626573578925624,29,19.896551724137925,14.494310209157991,66,14.696969696969695,31.00000000000001,8,31.0,0.3333333333333333,155243,0.0,0.0,32,0,0,7,0,0.0,33,40,20,401.0,3.0,21,1,20,1995,68.88130974024534,1334.2219800241292
41,20,0,0,0,9.999999999999998,20,10.0,15.953975268676931,31,20.096774193548384,14.601522942473714,45,16.288888888888884,31.00000000000001,8,31.0,0.3333333333333333,152703,0.0,0.0,24,0,0,6,0,0.0,29,35,20,344.0,6.0,18,2,20,1804,42.65209367685021,1376.8740737009796
