index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,25.0,0,,33.0,0,,0.15,194736,0.0,0.0,7,0,0,57,0,0.0,254,311,38,0.0,0.0,0,0,38,200,0.24975375272333625,0.24975375272333625
1,38,0,0,0,10.0,20,10.0,16.454545454545453,10,9.5,25.0,0,,33.0,0,,0.3333333333333333,194296,0.0,0.0,8,0,0,4,0,0.0,25,29,33,324.0,210.0,18,20,33,295,0.9207922387868166,1.1705459915101528
2,33,0,0,0,10.0,20,10.0,14.087248322147653,25,9.4,23.0,10,14.0,33.0,0,,0.5,193701,0.0,0.0,12,0,0,3,0,0.0,23,26,27,230.0,128.0,14,19,27,575,0.6691735889762641,1.8397195804864168
3,27,0,0,0,10.0,20,10.0,13.218159658744671,15,9.333333333333334,23.0,0,,33.0,20,33.0,0.3333333333333333,193208,0.0,0.0,16,0,0,3,0,0.0,20,23,20,183.0,105.0,11,16,20,1000,0.5569521319121122,2.3966717123985295
4,20,0,0,0,10.0,20,10.0,13.218159658744671,0,,24.28440366972477,5,37.0,33.0,12,33.0,0.4,192990,0.0,0.0,11,0,0,0,0,0.0,21,21,15,147.0,62.0,9,11,15,781,0.4555265866219997,2.852198299020529
5,15,0,0,0,10.0,20,10.0,16.754464059891752,25,27.2,25.460684551341352,5,37.0,33.0,15,33.0,0.35000000000000003,192853,0.0,0.0,15,0,0,0,0,0.0,21,21,13,126.0,53.0,7,8,13,1560,0.6086770426481962,3.460875341668725
6,13,0,0,0,10.0,20,10.0,17.94673757921449,20,23.25,25.460684551341352,0,,33.0,12,33.0,0.2833333333333333,192656,0.0,0.0,13,0,0,0,0,0.0,18,18,7,90.0,24.0,5,8,7,1061,1.2877281345427036,4.748603476211429
7,7,0,0,0,10.0,20,10.0,17.53338700161044,31,16.2258064516129,27.59885753261148,10,38.0,32.99999999999999,7,33.0,0.5,191844,0.0,0.0,15,0,0,0,0,0.0,15,15,9,36.0,15.0,2,5,9,1314,0.18981705978512764,4.938420535996557
8,9,0,0,0,10.0,20,10.0,18.03620902370756,44,19.363636363636367,30.77617392129357,21,38.76190476190476,32.99999999999999,11,33.0,0.4833333333333333,190811,0.0,0.0,17,0,0,0,0,0.0,16,16,8,72.0,30.0,4,5,8,2229,0.37596104480326176,5.314381580799819
9,8,0,0,0,10.000000000000002,20,10.0,18.001147043901547,47,17.893617021276594,32.107305738340806,15,38.0,32.999999999999986,8,33.0,0.6666666666666666,189470,0.0,0.0,18,0,0,0,0,0.0,18,18,7,72.0,12.0,4,4,7,1875,0.19781728461384773,5.512198865413666
10,7,0,0,0,10.000000000000002,20,10.0,17.95147862116184,30,17.666666666666668,34.94600778927822,55,38.72727272727273,32.999999999999986,15,33.0,0.6666666666666666,188020,0.0,0.0,22,0,0,0,0,0.0,17,17,13,54.0,27.0,3,4,13,3355,0.16498145274817946,5.677180318161845
11,13,0,0,0,10.000000000000002,20,10.0,17.862731011617825,50,17.54,36.03921908439193,46,38.78260869565217,32.999999999999986,9,33.0,0.6666666666666666,185408,0.0,0.0,18,0,0,0,0,0.0,18,18,14,108.0,36.0,6,7,14,3158,0.3424551282078028,6.019635446369648
12,14,0,0,0,10.000000000000002,20,10.0,17.986599425330997,63,18.396825396825395,36.03108822179032,38,36.0,32.999999999999986,8,33.0,0.6666666666666666,182697,0.0,0.0,18,0,0,0,0,0.0,18,18,13,90.0,57.0,5,9,13,2991,0.3189693856984377,6.338604832068086
13,13,0,0,0,10.000000000000002,20,10.0,17.806491660251638,5,9.0,36.026037413503616,32,36.0,32.99999999999999,10,33.0,0.6666666666666666,182055,0.0,0.0,14,0,0,1,0,0.0,18,19,8,108.0,51.0,6,7,8,1727,0.3323012534528971,6.670906085520983
