index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,14.0,0,,21.0,0,,26.0,0,,32.0,0,,0.2,228312,0.0,0.0,12,0,0,0,0,0.0,794,794,178,0.0,0.0,0,0,178,200,6.47127783857286,6.47127783857286
1,178,0,0,0,10.0,20,10.0,14.0,0,,21.0,0,,26.0,0,,32.0,0,,0.2375,228112,0.0,0.0,12,0,0,49,0,0.0,33,82,68,1136.0,645.0,63,115,68,200,3.2360636964440346,9.707341535016894
2,68,0,0,0,10.0,20,10.0,14.0,0,,21.0,0,,26.0,0,,32.0,0,,0.2375,227912,0.0,0.0,10,0,0,32,0,0.0,28,60,57,684.0,164.0,38,30,57,200,2.024723740294576,11.73206527531147
3,57,0,0,0,10.0,20,10.0,14.0,0,,22.0,5,31.0,26.0,0,,32.0,0,,0.3125,227587,0.0,0.0,11,0,0,24,0,0.0,32,56,56,648.0,93.0,36,21,56,355,1.8356785010546448,13.567743776366115
4,56,0,0,0,10.0,20,10.0,14.0,0,,22.0,0,,28.54545454545455,10,40.0,32.0,20,32.0,0.25,226976,0.0,0.0,24,0,0,22,0,0.0,32,54,58,651.0,72.0,37,19,58,1240,1.7933855038136244,15.36112928017974
5,58,0,0,0,10.0,20,10.0,16.09090909090909,21,20.571428571428573,22.0,0,,30.470588235294123,10,40.0,32.0,20,32.0,0.425,226187,0.0,0.0,25,0,0,17,0,0.0,39,56,56,631.0,84.0,35,23,56,1672,2.3417587615549564,17.702888041734695
6,56,0,0,0,10.0,20,10.0,16.43152454780362,18,17.555555555555557,21.957446808510642,2,21.0,31.812745869394174,10,39.0,32.0,20,32.0,0.425,225399,0.0,0.0,30,0,0,22,0,0.0,32,54,62,631.0,78.0,35,21,62,1588,1.903470739722252,19.60635878145695
7,62,0,0,0,10.0,20,10.0,16.326635894651098,4,14.5,21.91792656587473,4,21.5,32.049701639096604,9,33.55555555555556,32.0,20,32.0,0.4,224729,0.0,0.0,27,0,0,24,0,0.0,34,58,64,651.0,120.0,37,25,64,1286,2.021658325567841,21.62801710702479
8,64,0,0,0,10.0,20,10.0,17.444519067307493,29,20.0,21.886301657226767,6,21.66666666666667,32.515524210888444,16,34.25,32.0,20,32.0,0.45,223793,0.0,0.0,33,0,0,30,0,0.0,33,63,63,741.0,111.0,42,22,63,2098,1.857063988223672,23.48508109524846
9,63,0,0,0,10.000000000000002,20,10.0,17.444519067307493,0,,22.623836416075164,15,24.73333333333333,32.375726946266425,12,31.58333333333333,32.0,20,32.0,0.5625,222940,0.0,0.0,32,0,0,25,0,0.0,35,60,59,720.0,114.0,40,23,59,1590,1.7135758735239506,25.19865696877241
10,59,0,0,0,10.000000000000002,20,10.0,17.388812801516778,2,15.0,22.474272491503463,8,21.5,31.729170188340827,9,26.555555555555557,32.0,20,32.0,0.4875,222264,0.0,0.0,34,0,0,28,0,0.0,31,59,55,654.0,93.0,38,21,55,1281,1.7016902472823858,26.9003472160548
11,55,0,0,0,10.000000000000002,20,10.0,17.24745120331492,33,16.90909090909091,22.303930901528588,4,20.0,31.45174960952252,16,30.1875,32.0,20,32.0,0.55,221709,0.0,0.0,39,0,0,30,0,0.0,28,58,56,666.0,54.0,37,18,56,1961,1.9813911784440281,28.881738394498825
12,56,0,0,0,10.000000000000002,20,10.0,16.851383742770647,14,14.0,24.7885085214788,28,29.42857142857143,31.701342067826253,20,32.7,32.0,20,32.0,0.6625000000000001,220723,0.0,0.0,40,0,0,28,0,0.0,34,62,59,738.0,60.0,41,15,59,2514,1.6153122950345278,30.497050689533356
13,59,0,0,0,10.000000000000002,20,10.0,16.726460754918822,4,13.5,24.616024102218464,4,21.5,32.78305089875316,34,35.647058823529406,32.0,20,32.0,0.55,219680,0.0,0.0,32,0,0,28,0,0.0,29,57,55,648.0,99.0,36,23,55,2192,1.6329182535409927,32.129968943074346
14,55,0,0,0,10.000000000000002,20,10.0,17.061180478889366,11,20.0,24.15230670670922,12,21.5,33.37645874993496,10,40.0,32.0,20,32.0,0.6,219233,0.0,0.0,32,0,0,37,0,0.0,22,59,63,684.0,81.0,38,17,63,1718,1.5949898287653923,33.72495877183974
15,63,0,0,0,10.000000000000002,20,10.0,17.456941223609952,19,19.473684210526315,25.47033734457047,22,29.818181818181817,30.357583579314863,18,12.0,32.0,20,32.0,0.575,218289,0.0,0.0,29,0,0,25,0,0.0,36,61,63,672.0,119.0,39,24,63,2082,1.687237624078989,35.41219639591873
16,63,0,0,0,10.000000000000002,20,10.0,17.758049483373036,14,20.0,27.01682852737649,22,33.0,30.261296628501345,4,27.5,32.0,20,32.0,0.5,217853,0.0,0.0,26,0,0,32,0,0.0,30,62,54,705.0,99.0,40,23,54,1956,1.463364329189062,36.87556072510779
17,54,0,0,0,10.000000000000002,20,10.0,17.370950221428096,14,14.428571428571427,27.12206857793086,7,28.57142857142857,30.448177881982023,9,32.666666666666664,32.0,20,32.0,0.65,217401,0.0,0.0,35,0,0,27,0,0.0,31,58,56,632.0,54.0,36,18,56,1536,1.3322021830826998,38.207762908190496
18,56,0,0,0,10.000000000000002,20,10.0,17.103074235265847,10,14.2,26.828566385263443,4,20.0,29.28494387319261,15,21.2,32.0,20,32.0,0.6,216953,0.0,0.0,36,0,0,27,0,0.0,26,53,52,630.0,63.0,35,21,52,1380,1.8352469187229872,40.043009826913476
19,52,0,0,0,10.000000000000002,20,10.0,17.489665232702674,18,19.777777777777782,27.05439860877276,5,31.0,27.581064516458515,17,16.823529411764707,32.0,20,32.0,0.525,216507,0.0,0.0,29,0,0,27,0,0.0,25,52,55,593.0,57.0,33,19,55,1637,2.002598306164145,42.045608133077614
20,55,0,0,0,10.000000000000002,20,10.0,17.830514298708863,13,20.76923076923077,26.714116130096844,6,22.0,27.75857375999072,16,29.0,32.0,20,32.0,0.475,216069,0.0,0.0,27,0,0,25,0,0.0,31,56,62,630.0,60.0,35,20,62,1706,1.5595216192305088,43.60512975230813
21,62,0,0,0,10.000000000000002,20,10.0,17.763649264238442,2,14.0,25.971113348406483,14,21.714285714285715,29.570673475464357,20,40.0,32.0,20,32.0,0.5125,215136,0.0,0.0,29,0,0,30,0,0.0,28,58,61,665.0,75.0,37,25,61,1972,1.4730649534612894,45.07819470576943
