index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,trading_price_5,sold_quantity_5,unit_price_5,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,28.0,0,,41.0,0,,59.0,0,,76.0,0,,0.05,386956,0.0,0.0,6,0,0,155,0,0.0,327,482,62,0.0,0.0,0,0,62,200,31.949362868443128,31.949362868443128
1,62,0,0,0,10.0,20,10.0,20.574468085106385,2,11.0,28.0,0,,41.0,0,,56.0,5,29.0,76.0,0,,0.15,386344,0.0,0.0,10,0,0,58,0,0.0,18,76,56,816.0,0.0,62,0,56,367,33.87331899255514,65.82268186099827
2,56,0,0,0,10.0,20,10.0,20.593679458239283,2,21.0,28.0,0,,39.1,5,22.0,55.45652173913044,1,31.0,76.0,0,,0.13,385778,0.0,0.0,12,0,0,42,0,0.0,26,68,56,576.0,12.0,52,4,56,383,38.34714185073972,104.16982371173799
3,56,0,0,0,10.0,20,10.0,20.6221133659902,3,21.0,28.0,0,,39.119565217391305,1,40.0,53.11538461538462,8,41.0,76.0,0,,0.22000000000000006,384892,0.0,0.0,12,0,0,42,0,0.0,26,68,52,652.0,9.0,53,3,52,631,32.31909453868866,136.48891825042662
4,52,0,0,0,10.0,14,10.0,20.640736268881053,2,21.0,28.0,0,,36.895833333333336,9,26.66666666666667,51.289929839042514,4,31.0,76.0,0,,0.19,383941,0.0,0.0,11,0,0,39,0,0.0,23,62,52,546.0,15.0,47,5,52,546,32.736534558236606,169.22545280866325
5,52,0,0,0,10.0,20,10.0,20.640736268881053,0,,28.0,0,,35.20911785216179,12,28.83333333333333,51.289929839042514,0,,76.0,11,76.0,0.15,383903,0.0,0.0,16,0,0,42,0,0.0,21,63,52,546.0,15.0,47,5,52,1382,35.17677827179432,204.40223108045763
6,52,0,0,0,10.0,20,10.0,20.640736268881053,0,,28.085106382978722,2,30.0,35.81208350687214,6,41.0,49.68099759053475,12,43.83333333333334,76.0,8,76.0,0.25999999999999995,382928,0.0,0.0,19,0,0,43,0,0.0,21,64,52,531.0,15.0,47,5,52,1640,34.069305252283804,238.4715363327414
7,52,0,0,0,10.0,20,10.0,20.836368774511946,7,21.857142857142854,28.171557562076746,2,30.0,36.45374393380065,6,42.0,50.92954747022922,7,59.85714285714285,75.99999999999999,11,76.0,0.26,382330,0.0,0.0,24,0,0,36,0,0.0,28,64,51,568.0,30.0,47,5,51,1920,42.281602503731854,280.75313883647317
8,51,0,0,0,10.0,20,10.0,20.904492375611923,7,21.285714285714285,28.171557562076746,0,,36.695859617600895,2,43.0,53.344071826883905,64,55.28125,75.99999999999999,9,76.0,0.32,374939,0.0,0.0,20,0,0,37,0,0.0,24,61,51,553.0,15.0,46,5,51,4657,40.26643531955778,321.019574156031
9,51,0,0,0,10.0,20,10.0,20.956781479585768,4,21.5,28.19182774651333,1,29.0,37.387761905085945,6,43.0,53.603964884362746,5,59.0,75.99999999999999,6,76.0,0.35,374477,0.0,0.0,18,0,0,45,0,0.0,18,63,51,557.0,15.0,46,5,51,1324,39.460439015179865,360.4800131712109
10,51,0,0,0,10.0,20,10.0,21.004751340536185,7,21.285714285714285,28.02468270107285,6,27.0,37.69694630918429,4,41.5,55.77368839609481,64,59.09375,75.99999999999999,5,76.0,0.36,368378,0.0,0.0,20,0,0,40,0,0.0,20,60,51,558.0,15.0,46,5,51,4839,49.70655846223235,410.18657163344324
11,51,0,0,0,10.0,20,10.0,21.13050273383989,35,21.285714285714285,28.02468270107285,0,,37.83273691173139,3,40.0,55.69494233793809,64,55.515625,75.99999999999999,3,76.0,0.48,360940,0.0,0.0,26,0,0,34,0,0.0,26,60,52,559.0,15.0,46,5,52,4846,60.529177879914634,470.7157495133578
12,52,0,0,0,10.0,20,10.0,21.171197436554504,30,21.266666666666666,30.2055180244893,5,47.0,38.16103634625624,6,40.66666666666666,56.52198000159184,63,59.0,75.99999999999999,7,76.0,0.53,354455,0.0,0.0,29,0,0,34,0,0.0,27,61,52,562.0,15.0,47,5,52,5566,57.25064321793615,527.966392731294
