index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,28.0,0,,37.0,0,,53.0,0,,0.0,219398,0.0,0.0,6,0,0,0,0,0.0,157,157,39,0.0,0,0,0,39,200,1.1631889548152683,1.1631889548152683
1,39,0,0,0,10.0,20,10.0,15.0625,3,1.0,28.0,0,,37.0,0,,53.0,0,,0.0375,219139,0.0,0.0,8,0,0,37,0,0.0,14,51,35,670.0,0,39,0,35,203,0.6850139405578375,1.848202895373106
2,35,0,0,0,10.0,20,10.0,15.0625,0,,28.0,0,,37.0,0,,53.0,0,,0.0,218939,0.0,0.0,5,0,0,31,0,0.0,14,45,35,601.0,0,35,0,35,200,0.7630096208304167,2.6112125162035227
3,35,0,0,0,10.0,20,10.0,14.789592760180993,1,3.0,28.0,0,,37.0,0,,53.0,0,,0.0125,218720,0.0,0.0,7,0,0,31,0,0.0,16,47,35,599.0,0,35,0,35,203,0.6828109994530678,3.2940235156565905
4,35,0,0,0,10.0,20,10.0,14.00958391771856,3,3.6666666666666665,28.0,0,,37.0,0,,53.0,20,53.0,0.0375,218094,0.0,0.0,14,0,0,17,0,0.0,30,47,35,602.0,0,35,0,35,1271,0.6689816284924746,3.963005144149065
5,35,0,0,0,10.0,20,10.0,12.34544514853265,6,1.6666666666666667,28.0,0,,37.0,0,,53.0,20,53.0,0.075,217417,0.0,0.0,15,0,0,20,0,0.0,27,47,35,604.0,0,35,0,35,1270,0.6975855343043804,4.660590678453445
6,35,0,0,0,10.0,20,10.0,11.330452945276328,5,3.2,28.0,0,,37.0,0,,53.00000000000001,20,53.0,0.0625,216735,0.0,0.0,15,0,0,23,0,0.0,23,46,35,608.0,0,35,0,35,1276,1.0025970470160246,5.66318772546947
7,35,0,0,0,10.0,20,10.0,9.834084638642196,8,2.25,28.0,0,,37.0,0,,53.00000000000001,20,53.0,0.1,215978,0.0,0.0,16,0,0,22,0,0.0,23,45,35,610.0,0,35,0,35,1278,0.9593738690018654,6.622561594471335
8,35,0,0,0,10.0,20,10.0,8.712830011419168,7,1.7142857142857142,28.0,8,28.0,37.0,0,,53.00000000000001,20,53.0,0.1875,215267,0.0,0.0,16,0,0,17,0,0.0,30,47,35,619.0,0,35,0,35,1496,0.8046126123517752,7.4271742068231115
9,35,0,0,0,10.000000000000002,20,10.0,7.914889950417693,7,2.7142857142857144,27.940915805022158,20,27.8,37.18867924528302,8,38.25,53.00000000000001,20,53.0,0.3375,214378,0.0,0.0,28,0,0,27,0,0.0,19,46,35,608.0,0,35,0,35,2141,0.7584341540932655,8.185608360916376
10,35,0,0,0,10.000000000000002,20,10.0,7.096271421315294,8,2.25,27.940915805022158,0,,37.39861351819757,10,38.4,53.00000000000001,20,53.0,0.1,213639,0.0,0.0,21,0,0,31,0,0.0,15,46,35,607.0,0,35,0,35,1662,0.7524196933954954,8.938028054311873
11,35,0,0,0,10.000000000000002,20,10.0,6.882567029495447,3,3.333333333333333,28.006160480517483,4,29.0,37.599146179891065,16,38.25,53.00000000000001,20,53.0,0.0875,212840,0.0,0.0,22,0,0,15,0,0.0,30,45,35,605.0,0,35,0,35,1998,0.7488261796534061,9.686854233965278
12,35,0,0,0,10.000000000000002,20,10.0,6.503647497337787,4,2.0,28.098701056846213,6,29.0,37.71172526252161,10,38.4,53.00000000000001,20,53.0,0.125,211937,0.0,0.0,21,0,0,28,0,0.0,18,46,35,591.0,0,35,0,35,1826,1.0602074265480042,10.747061660513284
13,35,0,0,0,10.000000000000002,20,10.0,6.5714021570217405,5,7.2,28.18320667944925,6,29.0,37.707864382284185,6,37.66666666666666,53.00000000000001,20,53.0,0.1375,211207,0.0,0.0,20,0,0,26,0,0.0,21,47,35,598.0,0,35,0,35,1696,1.6629392188042402,12.410000879317524
14,35,0,0,0,10.000000000000002,20,10.0,5.700026992367419,9,1.2222222222222223,28.18320667944925,0,,37.624572349505094,2,35.0,53.00000000000001,20,53.0,0.1125,210437,0.0,0.0,17,0,0,10,0,0.0,36,46,35,613.0,0,35,0,35,1341,0.7889727894216776,13.1989736687392
15,35,0,0,0,10.000000000000002,20,10.0,5.320281064281722,9,3.2222222222222223,28.26656907200437,12,28.66666666666667,37.4566504261841,4,35.0,53.00000000000001,20,53.0,0.2625,209704,0.0,0.0,24,0,0,20,0,0.0,26,46,35,609.0,0,35,0,35,1773,0.7370742559432983,13.936047924682498
16,35,0,0,0,10.000000000000002,20,10.0,5.126128634852661,10,4.1,28.202051506940073,20,28.0,37.37232650255322,2,35.0,53.0,20,53.0,0.375,208904,0.0,0.0,29,0,0,25,0,0.0,21,46,35,609.0,0,35,0,35,1931,0.7565074879676104,14.692555412650108
