index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
155,OTHER,T37,0,6,10,0,-1,-1,SELLER,01T37@0,0,0,-1,-1,0
122,OTHER,T37,0,3,10,0,-1,-1,SELLER,01T37@0,0,0,-1,-1,0
51,OTHER,T29,0,2,10,0,-1,-1,SELLER,00T29@0,0,0,-1,-1,0
8,OTHER,T29,0,6,10,0,-1,-1,SELLER,00T29@0,0,0,-1,-1,0
60,OTHER,T37,0,3,10,0,-1,-1,SELLER,01T37@0,0,0,-1,-1,0
247,T35,T23,1,8,48,1,-1,1,05T35@2,07T23@3,9,1,-1,-1,3
188,T35,T23,1,10,48,1,-1,1,05T35@2,07T23@3,16,1,-1,-1,3
252,T23,T23,1,6,9,1,-1,1,04T23@2,07T23@3,13,1,-1,-1,3
219,T35,T23,1,5,34,1,-1,1,05T35@2,07T23@3,16,1,-1,-1,3
196,T35,T23,1,5,41,1,-1,1,05T35@2,07T23@3,14,1,-1,-1,3
21,OTHER,T29,1,3,10,0,-1,-1,SELLER,00T29@0,0,1,-1,-1,0
31,OTHER,T29,1,5,10,0,-1,-1,SELLER,00T29@0,0,1,-1,-1,0
256,T23,T23,1,2,16,1,-1,1,04T23@2,07T23@3,14,1,-1,-1,3
32,OTHER,T29,1,2,10,0,-1,-1,SELLER,00T29@0,0,1,-1,-1,0
200,T23,T23,1,6,2,1,-1,1,04T23@2,07T23@3,12,1,-1,-1,3
199,T35,T23,1,1,48,1,-1,1,05T35@2,07T23@3,10,1,-1,-1,3
191,T35,T22,1,3,24,1,-1,1,05T35@2,06T22@3,17,1,-1,-1,3
13,OTHER,T37,1,3,10,0,-1,-1,SELLER,01T37@0,0,1,-1,-1,0
262,T35,T22,1,6,24,1,-1,1,05T35@2,06T22@3,17,1,-1,-1,3
264,T22,T23,1,1,63,-1,-1,1,02T22@1,04T23@2,15,-1,-1,-1,2
229,T23,T22,1,1,9,1,-1,1,04T23@2,06T22@3,13,1,-1,-1,3
209,T35,T23,1,8,41,1,-1,1,05T35@2,07T23@3,14,1,-1,-1,3
267,T37,T22,1,5,11,-1,-1,1,01T37@0,02T22@1,17,-1,-1,-1,1
246,T35,T22,1,7,24,1,-1,1,05T35@2,06T22@3,17,1,-1,-1,3
93,OTHER,T37,1,4,10,0,-1,-1,SELLER,01T37@0,0,1,-1,-1,0
95,OTHER,T37,1,3,10,0,-1,-1,SELLER,01T37@0,0,1,-1,-1,0
243,T23,T23,1,8,27,1,-1,1,04T23@2,07T23@3,13,1,-1,-1,3
217,T35,T23,1,7,46,1,-1,1,05T35@2,07T23@3,13,1,-1,-1,3
202,T35,T23,1,8,45,1,-1,1,05T35@2,07T23@3,12,1,-1,-1,3
190,T35,T22,1,5,24,1,-1,1,05T35@2,06T22@3,17,1,-1,-1,3
302,T35,T23,2,11,43,-1,-1,2,05T35@2,07T23@3,12,-1,-1,-1,3
162,OTHER,T37,2,4,10,0,-1,-1,SELLER,01T37@0,0,2,-1,-1,0
40,OTHER,T29,2,5,10,0,-1,-1,SELLER,00T29@0,0,2,-1,-1,0
140,OTHER,T29,2,4,10,0,-1,-1,SELLER,00T29@0,0,2,-1,-1,0
281,T35,T22,2,5,24,2,-1,2,05T35@2,06T22@3,17,2,-1,-1,3
291,T22,T35,2,3,55,2,-1,2,02T22@1,05T35@2,17,2,-1,-1,2
251,T23,T23,2,10,46,1,-1,1,04T23@2,07T23@3,13,2,-1,-1,3
39,OTHER,T37,2,5,10,0,-1,-1,SELLER,01T37@0,0,2,-1,-1,0
300,T37,T23,2,3,44,-1,-1,2,01T37@0,03T23@1,11,-1,-1,-1,1
194,T23,T23,2,1,11,1,-1,1,04T23@2,07T23@3,14,2,-1,-1,3
207,T35,T23,2,10,49,1,-1,1,05T35@2,07T23@3,7,2,-1,-1,3
19,OTHER,T29,2,2,10,0,-1,-1,SELLER,00T29@0,0,2,-1,-1,0
197,T23,T23,2,1,18,1,-1,1,04T23@2,07T23@3,14,2,-1,-1,3
210,T23,T23,2,4,34,1,-1,1,04T23@2,07T23@3,12,2,-1,-1,3
192,T35,T23,2,4,36,1,-1,1,05T35@2,07T23@3,18,2,-1,-1,3
206,T23,T23,2,4,25,1,-1,1,04T23@2,07T23@3,15,2,-1,-1,3
230,T23,T22,2,3,1,1,-1,1,04T23@2,06T22@3,13,2,-1,-1,3
266,T22,T23,3,5,71,-1,-1,1,02T22@1,04T23@2,12,-1,-1,-1,2
238,T23,T22,3,10,7,1,-1,1,04T23@2,06T22@3,12,3,-1,-1,3
141,OTHER,T29,3,4,10,0,-1,-1,SELLER,00T29@0,0,3,-1,-1,0
318,T35,T22,3,5,24,3,-1,3,05T35@2,06T22@3,17,3,-1,-1,3
4,OTHER,T37,3,2,10,0,-1,-1,SELLER,01T37@0,0,3,-1,-1,0
316,T23,T22,3,6,4,3,-1,3,04T23@2,06T22@3,11,3,-1,-1,3
212,T35,T23,3,13,46,1,-1,1,05T35@2,07T23@3,10,3,-1,-1,3
121,OTHER,T29,3,2,10,0,-1,-1,SELLER,00T29@0,0,3,-1,-1,0
330,T22,T23,3,1,74,-1,-1,3,02T22@1,04T23@2,9,-1,-1,-1,2
84,OTHER,T37,3,3,10,0,-1,-1,SELLER,01T37@0,0,3,-1,-1,0
284,T23,T23,3,7,35,2,-1,2,03T23@1,04T23@2,15,3,-1,-1,2
275,T23,T35,3,8,1,2,-1,2,03T23@1,05T35@2,9,3,-1,-1,2
328,T37,T23,3,6,42,-1,-1,3,01T37@0,03T23@1,2,-1,-1,-1,1
279,T23,T23,3,12,17,2,-1,2,03T23@1,04T23@2,13,3,-1,-1,2
211,T23,T23,3,3,13,1,-1,1,04T23@2,07T23@3,14,3,-1,-1,3
319,T22,T35,3,3,55,3,-1,3,02T22@1,05T35@2,17,3,-1,-1,2
