index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,trading_price_5,sold_quantity_5,unit_price_5,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,34.0,0,,44.0,0,,58.0,0,,69.0,0,,0.06999999999999999,531058,0.0,0.0,5,0,0,0,0,0.0,120,120,170,0.0,0.0,0,0,170,200,2.0071273241192102,2.0071273241192102
1,170,0,0,0,10.0,20,10.0,16.676470588235293,23,10.173913043478262,31.711538461538463,7,17.0,44.0,0,,54.5,3,2.0,69.0,0,,0.25999999999999995,529918,0.0,0.0,15,0,0,24,0,0.0,86,110,115,1609.0,700.0,100,70,115,559,1.9241298381239176,3.931257162243128
2,115,0,0,0,10.0,20,10.0,14.959619952494064,23,10.391304347826088,31.711538461538463,0,,45.865384615384606,7,57.85714285714285,40.617363344051455,19,9.052631578947368,69.0,0,,0.26,527128,0.0,0.0,15,0,0,10,0,0.0,52,62,108,822.0,460.0,52,63,108,1016,1.6888814307749271,5.620138593018055
3,108,0,0,0,10.0,20,10.0,13.04080724143048,59,10.576271186440678,31.711538461538463,0,,45.865384615384606,0,,24.58028996146082,53,7.641509433962264,69.0,0,,0.22000000000000006,517899,0.0,0.0,24,0,0,5,0,0.0,49,54,100,676.0,411.0,44,64,100,1229,1.3731060922145844,6.993244685232638
4,100,0,0,0,10.0,20,10.0,12.566076172385788,24,10.166666666666666,33.47292993630574,16,38.625,45.459866220735776,13,44.0,19.10960134613682,60,10.166666666666666,69.0,0,,0.45,507668,0.0,0.0,25,0,0,8,0,0.0,42,50,84,593.0,337.0,40,60,84,2244,1.3810948114842176,8.374339496716857
5,84,0,0,0,10.0,20,10.0,14.792082232812,63,19.41269841269841,35.60229618163054,21,41.333333333333336,48.262686113643255,12,60.83333333333334,19.095474234535786,42,19.047619047619047,69.0,20,69.0,0.4800000000000001,501337,0.0,0.0,34,0,0,3,0,0.0,37,40,77,412.0,223.0,30,54,77,5201,1.2358742300421002,9.610213726758957
6,77,0,0,0,10.0,20,10.0,16.754158864400516,78,21.141025641025642,41.031092850375344,40,50.5,52.30323874210941,45,57.62222222222222,20.980594169108,33,30.45454545454545,69.0,20,69.0,0.6,493576,0.0,0.0,42,0,0,9,0,0.0,35,44,77,475.0,159.0,34,43,77,8847,1.4338821321725843,11.04409585893154
7,77,0,0,0,10.0,20,10.0,16.874045473095542,113,17.11504424778761,43.084733809834624,25,51.2,55.13248028791318,27,64.96296296296296,18.36434109103294,39,6.358974358974358,69.0,20,69.0,0.58,480164,0.0,0.0,35,0,0,5,0,0.0,37,42,69,421.0,231.0,30,47,69,6796,0.9420989714562892,11.98619483038783
8,69,0,0,0,10.0,20,10.0,18.31356490988685,170,20.905882352941173,44.6453115442562,25,51.6,56.38268745077433,8,73.375,20.016483102768465,55,25.90909090909091,69.0,20,69.0,0.5,467816,0.0,0.0,43,0,0,5,0,0.0,28,33,74,344.0,211.0,23,46,74,8436,1.2122530974447727,13.198447927832605
9,74,0,0,0,10.000000000000002,20,10.0,18.361241952368776,104,18.55769230769231,44.77757866362946,82,44.97560975609756,62.117768765894354,38,77.97368421052632,22.105409133057133,74,28.486486486486488,69.0,20,69.0,0.5,451264,0.0,0.0,41,0,0,6,0,0.0,35,41,69,452.0,264.0,31,43,69,12269,1.1930429600179195,14.391490887850525
10,69,0,0,0,10.000000000000002,20,10.0,18.757807327450553,120,20.341666666666665,45.44917306163599,25,50.4,68.56390404618577,71,80.25352112676056,20.506731450592035,106,16.43396226415094,69.0,20,69.0,0.5,423055,0.0,0.0,46,0,0,3,0,0.0,36,39,66,445.0,211.0,29,40,66,12721,0.814991032704711,15.206481920555234
11,66,0,0,0,10.000000000000002,20,10.0,19.413614151489718,95,23.136842105263163,45.784838507279645,15,50.0,69.81585823100893,71,72.98591549295773,20.506731450592035,0,,68.99999999999999,20,69.0,0.5,407740,0.0,0.0,29,0,0,2,3,207.48333333333332,33,35,59,413.0,201.0,25,41,59,9610,0.8419678453356028,16.048449765890837
12,59,0,0,1,10.000000000000002,18,10.0,19.413614151489718,0,,47.286829373124505,84,50.55952380952381,72.5224841490598,94,79.02127659574471,22.13304138398886,27,42.518518518518526,69.0,20,69.0,0.5,386200,0.0,0.08333333333333333,18,0,0,1,17,2600.17002322904,34,35,63,385.0,233.0,24,35,63,10797,1.4357605036348104,17.48421026952565
13,63,0,0,0,10.000000000000002,10,10.0,20.162727576873873,45,29.66666666666667,47.153182618932505,53,46.54716981132076,70.47390466886964,79,63.0126582278481,23.831243175507414,15,61.06666666666667,68.99999999999999,20,69.0,0.5,353554,0.0,0.08333333333333333,22,0,0,4,12,4981.949137931035,23,27,50,469.0,165.0,28,35,50,11002,0.8932116385549307,18.377421908080574
14,50,0,0,0,10.0,9,10.0,20.28639912182361,26,22.923076923076927,47.64167405097567,25,52.8,70.47390466886964,0,,29.60956449302009,60,59.41666666666666,68.99999999999999,20,69.0,0.5,344937,0.0,0.08333333333333333,17,0,0,3,12,3970.6975,19,22,47,206.0,209.0,14,36,47,6951,0.9628087487071753,19.340230656787753
15,47,0,0,1,9.999999999999998,11,10.0,21.10348808851412,70,27.2,47.64167405097567,0,,70.32173168763804,38,69.0,30.113717389972233,3,86.0,68.99999999999999,20,69.0,0.5,388321,0.0,0.16666666666666666,15,0,0,4,8,2000.436867816092,23,27,41,305.0,174.0,19,28,41,6274,0.8450154140591621,20.185246070846915
16,41,0,0,0,10.0,15,10.0,22.16431535440104,64,31.0,47.76601348729041,10,51.0,70.32173168763804,0,,37.66761843596833,58,77.0,68.99999999999999,20,69.0,0.5,380409,0.0,0.16666666666666666,18,0,0,3,8,1531.4947926533926,13,16,31,147.0,183.0,9,32,31,8490,0.5790246650576591,20.764270735904574
17,31,0,0,0,9.999999999999998,11,10.0,22.26022124887921,21,24.714285714285715,48.12354935497771,25,51.6,70.10593471793679,14,65.0,39.9214952037448,16,85.5625,68.99999999999999,20,69.0,0.5,378662,0.0,0.16666666666666666,19,0,0,3,4,1879.1725,14,17,34,165.0,123.0,10,21,34,5578,0.6478777509182692,21.412148486822844
18,34,0,0,0,9.999999999999998,9,10.0,22.739520116651754,34,29.823529411764714,48.19822633596922,10,50.0,69.93136005178164,11,65.0,39.9214952037448,0,,69.0,20,69.0,0.5,376959,0.0,0.16666666666666666,12,0,0,3,11,4257.465349711848,16,19,38,190.0,156.0,12,22,38,3699,0.7486477755010128,22.160796262323856
