index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
138,OTHER,T37,0,4,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
147,OTHER,T37,0,6,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
48,OTHER,T37,0,1,10,0,-1,-1,SELLER,00T37@0,0,0,-1,-1,0
28,OTHER,T35,0,4,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
60,OTHER,T35,0,5,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
259,T37,T12,1,8,7,-1,-1,1,00T37@0,03T12@1,17,-1,-1,-1,1
264,T35,T12,1,10,8,-1,-1,1,01T35@0,03T12@1,17,-1,-1,-1,1
263,T37,T12,1,8,7,-1,-1,1,00T37@0,03T12@1,17,-1,-1,-1,1
262,T37,T12,1,10,7,-1,-1,1,00T37@0,03T12@1,17,-1,-1,-1,1
261,T35,T12,1,10,8,-1,-1,1,01T35@0,03T12@1,17,-1,-1,-1,1
260,T35,T12,1,8,7,-1,-1,1,01T35@0,03T12@1,17,-1,-1,-1,1
255,T37,T12,1,10,8,-1,-1,1,00T37@0,03T12@1,17,-1,-1,-1,1
266,T35,T12,1,8,7,-1,-1,1,01T35@0,03T12@1,17,-1,-1,-1,1
68,OTHER,T37,1,7,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
213,OTHER,T37,1,3,10,0,-1,-1,SELLER,00T37@0,0,1,-1,-1,0
265,T35,T12,1,10,7,-1,-1,1,01T35@0,03T12@1,17,-1,-1,-1,1
162,OTHER,T35,1,7,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
98,OTHER,T35,1,3,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
280,T37,T12,2,10,7,-1,-1,2,00T37@0,03T12@1,17,-1,-1,-1,1
253,T12,T23,2,1,40,-1,-1,1,03T12@1,05T23@2,13,-1,-1,-1,2
56,OTHER,T37,2,4,10,0,-1,-1,SELLER,00T37@0,0,2,-1,-1,0
220,OTHER,T37,2,5,10,0,-1,-1,SELLER,00T37@0,0,2,-1,-1,0
14,OTHER,T35,2,4,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
65,OTHER,T37,2,2,10,0,-1,-1,SELLER,00T37@0,0,2,-1,-1,0
67,OTHER,T35,2,5,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
41,T40,OTHER,3,4,32,0,-1,-1,04T40@2,BUYER,0,3,-1,-1,3
40,OTHER,T37,3,3,10,0,-1,-1,SELLER,00T37@0,0,3,-1,-1,0
215,OTHER,T35,3,7,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
117,OTHER,T35,3,3,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
276,T35,T12,3,2,14,2,-1,2,01T35@0,03T12@1,17,3,-1,-1,1
132,T23,OTHER,3,5,32,0,-1,-1,05T23@2,BUYER,0,3,-1,-1,3
161,T40,OTHER,3,4,32,0,-1,-1,04T40@2,BUYER,0,3,-1,-1,3
195,OTHER,T35,3,3,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
286,T35,T12,3,10,8,-1,-1,2,01T35@0,03T12@1,17,-1,-1,-1,1
210,T23,OTHER,3,4,32,0,-1,-1,05T23@2,BUYER,0,3,-1,-1,3
