index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,trading_price_5,sold_quantity_5,unit_price_5,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,28.0,0,,39.0,0,,51.0,0,,60.0,0,,0.12000000000000002,340368,0.0,0.0,9,0,0,47,0,0.0,291,338,24,0.0,0.0,0,0,24,200,0.2953410781919956,0.2953410781919956
1,24,0,0,0,10.0,20,10.0,18.0,0,,28.0,0,,39.0,0,,51.0,0,,60.0,0,,0.12000000000000002,340168,0.0,0.0,11,0,0,6,0,0.0,17,23,16,0.0,72.0,0,24,16,200,1.8145563844591381,2.109897462651133
2,16,0,0,0,10.0,20,10.0,18.0,0,,28.0,0,,39.0,0,,51.0,0,,60.0,0,,0.1,339968,0.0,0.0,11,0,0,12,0,0.0,11,23,17,0.0,48.0,0,16,17,200,0.6130335126072168,2.7229309752583504
3,17,0,0,0,10.0,20,10.0,18.0,0,,28.0,0,,39.0,0,,51.0,0,,60.0,0,,0.14,339768,0.0,0.0,10,0,0,8,0,0.0,10,18,18,0.0,51.0,0,17,18,200,1.3768616076558828,4.099792582914233
4,18,0,0,0,10.0,20,10.0,18.0,0,,28.0,0,,39.0,0,,51.0,0,,60.0,0,,0.12000000000000002,339568,0.0,0.0,9,0,0,10,0,0.0,11,21,19,0.0,54.0,0,18,19,200,1.5347370244562626,5.634529607370496
5,19,0,0,0,10.0,20,10.0,18.0,0,,28.0,0,,39.0,0,,51.0,0,,60.0,20,60.0,0.12000000000000002,338914,0.0,0.0,21,0,0,10,0,0.0,9,19,19,0.0,57.0,0,19,19,1400,1.1422934792935848,6.776823086664081
6,19,0,0,0,10.0,20,10.0,18.0,0,,28.0,0,,39.0,0,,51.0,0,,60.0,20,60.0,0.15,338242,0.0,0.0,27,0,0,0,0,0.0,22,22,19,0.0,57.0,0,19,19,1400,1.966596119105816,8.743419205769898
7,19,0,0,0,10.0,20,10.0,18.0,0,,28.0,0,,39.0,0,,51.0,0,,59.99999999999999,20,60.0,0.16,337570,0.0,0.0,23,0,0,2,0,0.0,19,21,15,0.0,57.0,0,19,15,1400,1.494874343276024,10.23829354904592
8,15,0,0,0,10.0,20,10.0,18.0,0,,28.0,0,,39.0,0,,51.0,0,,60.0,18,60.0,0.16,336977,0.0,0.0,22,0,0,0,0,0.0,19,19,15,0.0,45.0,0,15,15,1280,2.9122559521347284,13.150549501180649
9,15,0,0,0,10.000000000000002,20,10.0,18.0,0,,28.0,0,,39.0,0,,51.0,0,,60.0,10,60.0,0.14,336628,0.0,0.0,15,0,0,6,0,0.0,19,25,14,6.0,39.0,2,13,14,800,2.349897138774395,15.500446639955044
10,14,0,0,0,10.000000000000002,20,10.0,18.0,0,,28.0,0,,39.0,0,,51.0,0,,59.99999999999999,11,60.0,0.16,336256,0.0,0.0,17,0,0,7,0,0.0,19,26,13,6.0,36.0,2,12,13,860,2.3621658328920603,17.862612472847108
11,13,0,0,0,10.000000000000002,20,10.0,18.0,0,,28.0,0,,39.0,0,,51.0,0,,60.0,11,60.0,0.16,335878,0.0,0.0,15,0,0,3,0,0.0,21,24,14,3.0,36.0,1,12,14,860,2.3044837880879636,20.167096260935065
12,14,0,0,0,10.000000000000002,20,10.0,18.0,0,,28.0,0,,39.0,0,,51.0,0,,60.0,10,60.0,0.15999999999999998,335535,0.0,0.0,17,0,0,4,0,0.0,21,25,14,3.0,39.0,1,13,14,800,1.697607068344951,21.86470332928002
13,14,0,0,0,10.000000000000002,20,10.0,18.0,0,,28.0,0,,39.0,0,,51.0,0,,59.99999999999999,10,60.0,0.14,335192,0.0,0.0,16,0,0,6,0,0.0,16,22,14,3.0,39.0,1,13,14,800,2.0271070525050163,23.891810381785035
14,14,0,0,0,10.000000000000002,20,10.0,18.0,0,,28.0,0,,39.0,0,,51.0,0,,59.99999999999999,10,60.0,0.15,334843,0.0,0.0,17,0,0,4,0,0.0,19,23,14,3.0,39.0,1,13,14,800,2.656763467937708,26.548573849722747
15,14,0,0,0,10.000000000000002,20,10.0,18.0,0,,28.0,0,,39.0,0,,51.0,0,,60.0,10,60.0,0.15,334488,0.0,0.0,15,0,0,4,0,0.0,18,22,16,3.0,39.0,1,13,16,800,2.9171056952327485,29.46567954495549
16,16,0,0,0,10.000000000000002,20,10.0,18.0,0,,28.0,0,,39.0,0,,51.0,0,,60.0,10,60.0,0.15999999999999998,334130,0.0,0.0,19,0,0,2,0,0.0,20,22,17,0.0,48.0,0,16,17,800,3.8567510917782784,33.32243063673377
17,17,0,0,0,10.000000000000002,20,10.0,18.0,0,,28.0,0,,39.0,0,,51.0,0,,59.99999999999999,10,60.0,0.12000000000000002,333775,0.0,0.0,17,0,0,5,0,0.0,18,23,18,0.0,51.0,0,17,18,800,3.1859919242560863,36.508422560989864
18,18,0,0,0,10.000000000000002,20,10.0,18.0,0,,28.0,0,,39.0,0,,51.0,0,,60.0,10,60.0,0.11,333429,0.0,0.0,17,0,0,6,0,0.0,16,22,19,0.0,54.0,0,18,19,800,3.465967135503888,39.97438969649375
19,19,0,0,0,10.000000000000002,20,10.0,18.0,0,,28.0,0,,39.0,0,,60.27272727272727,10,102.0,60.0,0,,0.11,332559,0.0,0.0,13,0,0,7,0,0.0,13,20,17,3.0,54.0,1,18,17,1220,3.5048375204205517,43.4792272169143
20,17,0,0,0,10.000000000000002,20,10.0,18.0,0,,28.0,0,,39.0,0,,67.28571428571429,10,102.0,60.0,0,,0.1,331689,0.0,0.0,12,0,0,5,0,0.0,18,23,15,3.0,48.0,1,16,15,1220,4.6955677922815084,48.17479500919581
21,15,0,0,0,10.000000000000002,20,10.0,18.0,0,,28.0,0,,39.0,0,,74.88183807439825,15,102.0,60.0,0,,0.16999999999999998,330389,0.0,0.0,14,0,0,6,0,0.0,17,23,15,0.0,45.0,0,15,15,1730,2.722098940983414,50.89689395017921
22,15,0,0,0,10.000000000000002,20,10.0,18.0,0,,28.0,0,,39.0,0,,81.52071730216045,20,102.0,60.0,0,,0.14,328594,0.0,0.0,13,0,0,6,0,0.0,14,20,15,0.0,45.0,0,15,15,2240,3.809991899877786,54.70688585005701
23,15,0,0,0,10.000000000000002,20,10.0,18.0,0,,28.0,0,,39.0,0,,81.52071730216045,0,,59.99999999999999,20,60.0,0.15,329005,0.0,0.0,22,0,0,9,0,0.0,11,20,16,3.0,42.0,1,14,16,1400,4.178868796676396,58.885754646733396
24,16,0,0,0,10.000000000000002,20,10.0,18.0,0,,28.0,0,,39.0,0,,81.52071730216045,0,,59.99999999999999,18,60.0,0.15,328839,0.0,0.0,19,0,0,8,0,0.0,13,21,15,0.0,48.0,0,16,15,1280,4.305678103119135,63.191432749852545
25,15,0,0,0,10.000000000000002,20,10.0,18.0,0,,28.0,0,,39.0,0,,81.52071730216045,0,,59.99999999999999,20,60.0,0.15,328657,0.0,0.0,19,0,0,1,0,0.0,19,20,15,0.0,45.0,0,15,15,1400,4.632524253800512,67.82395700365305
26,15,0,0,0,10.000000000000002,20,10.0,18.0,0,,28.0,0,,39.0,0,,81.52071730216045,0,,59.99999999999999,10,60.0,0.16,328693,0.0,0.0,17,0,0,3,0,0.0,17,20,17,3.0,42.0,1,14,17,800,4.700094938278198,72.52405194193125
27,17,0,0,0,10.000000000000002,20,10.0,18.0,0,,28.0,0,,39.0,0,,81.52071730216045,0,,59.99999999999999,9,60.0,0.15,328820,0.0,0.0,17,0,0,6,0,0.0,16,22,16,3.0,48.0,1,16,16,740,3.7539072278887033,76.27795916981995
28,16,0,0,0,10.000000000000002,20,10.0,18.0,0,,28.0,0,,39.0,0,,81.52071730216045,0,,60.0,14,60.0,0.12000000000000002,328779,0.0,0.0,20,0,0,2,0,0.0,21,23,16,0.0,48.0,0,16,16,1040,6.164799455553293,82.44275862537323
29,16,0,0,0,10.000000000000002,20,10.0,18.0,0,,28.0,0,,39.0,0,,81.52071730216045,0,,60.0,14,60.0,0.16,328459,0.0,0.0,20,0,0,4,0,0.0,19,23,17,3.0,45.0,1,15,17,1040,3.654809022322297,86.09756764769554
30,17,0,0,0,10.000000000000002,20,10.0,18.0,0,,28.0,0,,39.0,0,,82.82470662396291,5,102.0,60.0,8,60.0,0.15999999999999998,327788,0.0,0.0,16,0,0,5,0,0.0,19,24,14,6.0,45.0,2,15,14,1190,4.996760558336972,91.09432820603253
31,14,0,0,0,10.000000000000002,20,10.0,18.0,0,,28.0,0,,39.0,0,,84.09169128466642,5,102.0,60.0,12,60.0,0.15,327455,0.0,0.0,19,0,0,3,0,0.0,21,24,15,3.0,39.0,1,13,15,1430,6.601639071479441,97.69596727751195
32,15,0,0,0,10.000000000000002,20,10.0,18.0,0,,28.0,0,,39.0,0,,84.09169128466642,0,,59.99999999999999,10,60.0,0.13,327473,0.0,0.0,17,0,0,3,0,0.0,20,23,14,3.0,42.0,1,14,14,800,4.870173262432218,102.56614053994416
33,14,0,0,0,10.000000000000002,20,10.0,18.0,0,,28.0,0,,39.0,0,,84.09169128466642,0,,59.99999999999999,15,60.0,0.16,327065,0.0,0.0,20,0,0,7,0,0.0,18,25,16,3.0,39.0,1,13,16,1100,4.7764708288013935,107.34261136874555
34,16,0,0,0,10.000000000000002,20,10.0,18.0,0,,28.0,0,,39.0,0,,84.09169128466642,0,,59.99999999999999,10,60.0,0.13,326941,0.0,0.0,18,0,0,1,0,0.0,21,22,15,0.0,48.0,0,16,15,800,4.980690443888307,112.32330181263387
35,15,0,0,0,10.0,20,10.0,18.0,0,,28.0,0,,39.0,0,,84.09169128466642,0,,59.99999999999999,10,60.0,0.14,326752,0.0,0.0,16,0,0,3,0,0.0,19,22,17,3.0,42.0,1,14,17,800,6.99458940140903,119.31789121404292
