index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,trading_price_5,sold_quantity_5,unit_price_5,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,24.0,0,,38.0,0,,45.0,0,,62.0,0,,77.0,0,,0.0,665718,0.0,0.0,10,0,0,0,0,0.0,821,821,146,0.0,0.0,0,0,146,200,11.200497303158043,11.200497303158043
1,146,0,0,0,10.0,20,10.0,24.0,0,,38.0,0,,34.91428571428571,25,16.76,62.0,0,,77.0,0,,0.2,663949,0.0,0.0,17,0,0,11,0,0.0,56,67,41,781.0,909.0,46,100,41,619,3.0488821603357787,14.249379463493824
2,41,0,0,0,10.0,20,10.0,24.0,0,,38.0,0,,28.95217391304348,29,16.0,59.63265306122449,4,33.0,77.0,0,,0.2,661836,0.0,0.0,20,0,0,5,0,0.0,31,36,37,241.0,93.0,15,26,37,796,1.05553961917758,15.304919082671404
3,37,0,0,0,10.0,20,10.0,24.0,0,,38.0,0,,27.45082644628099,14,18.571428571428573,57.16839916839917,4,30.0,77.0,0,,0.2,660817,0.0,0.0,13,0,0,4,0,0.0,23,27,42,131.0,116.0,8,29,42,580,1.1847454290837052,16.48966451175511
4,42,0,0,0,10.0,20,10.0,24.0,0,,38.0,0,,24.08638726445744,36,15.944444444444445,58.706557739015246,2,92.0,77.0,0,,0.22000000000000006,658128,0.0,0.0,19,0,0,5,0,0.0,26,31,40,196.0,90.0,12,30,40,958,1.211282128468156,17.700946640223265
5,40,0,0,0,10.0,20,10.0,24.0,0,,38.0,0,,22.69643369604209,23,16.0,58.706557739015246,0,,77.0,20,77.0,0.2,656082,0.0,0.0,27,0,0,5,0,0.0,21,26,44,110.0,106.0,7,33,44,2108,1.2306626588106155,18.931609299033877
6,44,0,0,0,10.0,20,10.0,24.0,0,,38.0,0,,20.752794210508824,24,11.0,59.91680907665474,16,63.0,77.0,20,77.0,0.24,653639,0.0,0.0,31,0,0,6,0,0.0,21,27,44,129.0,131.0,8,36,44,3012,1.058871865272522,19.9904811643064
7,44,0,0,0,10.0,20,10.0,24.0,0,,38.0,0,,19.99207890389372,15,13.4,66.20988857872484,12,93.0,77.0,20,77.0,0.26,652455,0.0,0.0,32,0,0,7,0,0.0,24,31,42,180.0,107.0,11,33,42,3057,1.0603942759335039,21.050875440239906
8,42,0,0,0,10.0,20,10.0,24.0,0,,38.0,0,,20.143129056837317,16,21.375,69.51851422454564,8,93.0,77.0,20,77.0,0.26,651260,0.0,0.0,27,0,0,5,0,0.0,22,27,37,147.0,109.0,9,33,37,2826,1.0409361012279987,22.091811541467905
9,37,0,0,0,10.000000000000002,20,10.0,24.0,0,,38.0,0,,20.146937279260506,17,20.176470588235293,72.98585135553469,10,93.2,77.00000000000001,20,77.0,0.24,650015,0.0,0.0,31,0,0,3,0,0.0,27,30,37,147.0,94.0,9,28,37,3015,1.0605487935245037,23.15236033499241
10,37,0,0,0,10.000000000000002,20,10.0,24.0,0,,38.0,0,,18.413047350026066,20,6.8,76.30929583324965,12,93.33333333333331,77.00000000000003,20,77.0,0.26,648471,0.0,0.0,34,0,0,4,0,0.0,25,29,33,165.0,81.0,10,27,33,2996,1.853067798539996,25.005428133532405
11,33,0,0,0,10.000000000000002,20,10.0,24.0,0,,38.0,0,,17.684463087805856,16,11.375,77.31843438820519,4,94.0,77.00000000000001,20,77.0,0.21,647399,0.0,0.0,27,0,0,4,0,0.0,21,25,34,114.0,91.0,7,26,34,2298,0.9193330146372318,25.92476114816964
12,34,0,0,0,10.000000000000002,20,10.0,24.0,0,,38.0,0,,17.428720623419462,20,15.65,78.650942805317,6,92.66666666666669,77.00000000000001,20,77.0,0.22000000000000006,645659,0.0,0.0,26,0,0,4,0,0.0,26,30,33,172.0,72.0,10,24,33,2609,1.0470485240221024,26.97180967219174
13,33,0,0,0,10.000000000000002,20,10.0,24.0,0,,38.0,0,,17.41075787581343,16,17.25,80.61067798325045,10,92.8,77.00000000000001,20,77.0,0.22000000000000006,644169,0.0,0.0,31,0,0,5,0,0.0,18,23,34,110.0,83.0,7,26,34,2944,0.9889397993683816,27.96074947156012
14,34,0,0,0,10.000000000000002,20,10.0,24.0,0,,38.0,0,,17.456852177594907,14,17.928571428571427,81.3871075425343,4,94.0,77.00000000000003,20,77.0,0.22000000000000006,642838,0.0,0.0,25,0,0,7,0,0.0,27,34,35,163.0,72.0,10,24,35,2367,0.9491508472710848,28.909900318831205
15,35,0,0,0,10.000000000000002,20,10.0,24.0,0,,38.0,0,,18.143115867768593,20,23.0,82.71276040924937,8,93.0,77.00000000000003,20,77.0,0.24,640892,0.0,0.0,26,0,0,5,0,0.0,18,23,36,116.0,94.0,7,28,36,2944,0.8868176955729723,29.796718014404178
16,36,0,0,0,10.000000000000002,20,10.0,24.0,0,,38.0,0,,17.167490171856052,17,8.823529411764708,84.60734690684731,14,93.14285714285714,77.00000000000001,20,77.0,0.24000000000000005,639540,0.0,0.0,31,0,0,3,0,0.0,29,32,39,144.0,90.0,9,27,39,3194,1.0875709392130375,30.88428895361721
17,39,0,0,0,10.000000000000002,20,10.0,24.0,0,,38.0,0,,17.530051816157822,17,20.647058823529417,85.63961380921077,10,92.8,77.00000000000001,20,77.0,0.22000000000000006,638551,0.0,0.0,27,0,0,6,0,0.0,24,30,33,171.0,87.0,10,29,33,3019,0.8489049524068832,31.733193906024102
18,33,0,0,0,10.000000000000002,20,10.0,24.0,0,,38.0,0,,16.95570306833972,15,11.333333333333336,86.3305835110753,8,92.5,77.00000000000001,20,77.0,0.17,637590,0.0,0.0,30,0,0,4,0,0.0,24,28,35,134.0,75.0,8,25,35,2650,0.9309654925018548,32.664159398525946
19,35,0,0,0,10.000000000000002,20,10.0,24.0,0,,38.0,0,,16.012823268831404,26,10.73076923076923,87.33713338029287,12,93.33333333333331,77.00000000000001,20,77.0,0.23,635846,0.0,0.0,34,0,0,4,0,0.0,21,25,36,118.0,94.0,7,28,36,3139,0.986360227689147,33.6505196262151
20,36,0,0,0,10.000000000000002,20,10.0,24.0,0,,38.0,0,,16.166071575387534,14,17.857142857142858,87.78054332617602,6,93.33333333333331,77.00000000000001,20,77.0,0.16999999999999998,634908,0.0,0.0,25,0,0,0,0,0.0,30,30,37,167.0,78.0,10,26,37,2550,0.9006469156593084,34.55116654187441
21,37,0,0,0,10.000000000000002,20,10.0,24.0,0,,38.0,0,,16.549301224825488,18,19.777777777777782,88.24652557858644,8,92.5,77.00000000000001,20,77.0,0.22000000000000006,633200,0.0,0.0,32,0,0,0,0,0.0,28,28,34,130.0,87.0,8,29,34,2836,0.8926559872925282,35.44382252916694
22,34,0,0,0,10.000000000000002,20,10.0,24.0,0,,38.0,0,,16.799538899664302,11,20.272727272727273,88.66702975300909,8,92.5,77.00000000000001,20,77.0,0.22000000000000006,632025,0.0,0.0,26,0,0,0,0,0.0,26,26,32,135.0,78.0,8,26,32,2703,0.8326725270599127,36.27649505622685
23,32,0,0,0,10.000000000000002,20,10.0,24.0,0,,38.0,0,,16.990803495444624,19,18.473684210526315,89.1177122040277,10,92.4,77.00000000000003,20,77.0,0.24,630540,0.0,0.0,29,0,0,0,0,0.0,27,27,35,116.0,83.0,7,25,35,3015,0.8070920985192059,37.083587154746056
24,35,0,0,0,10.000000000000002,20,10.0,24.0,0,,38.0,0,,16.92200183645835,9,15.777777777777779,89.60978902778965,12,92.66666666666669,77.00000000000003,20,77.0,0.18,629738,0.0,0.0,30,0,0,0,0,0.0,29,29,38,149.0,86.0,9,26,38,2994,1.7575794477015734,38.841166602447636
25,38,0,0,0,10.000000000000002,20,10.0,24.0,0,,38.0,0,,16.73465731456751,16,15.0625,89.97212534186626,8,93.5,77.00000000000001,20,77.0,0.24,628725,0.0,0.0,29,0,0,0,0,0.0,30,30,32,170.0,84.0,10,28,32,2729,0.9234629813581704,39.76462958380579
26,32,0,0,0,10.000000000000002,20,10.0,24.0,0,,38.0,0,,16.52525608399349,17,14.764705882352944,90.07370782423305,2,94.0,77.00000000000001,20,77.0,0.21,627421,0.0,0.0,25,0,0,0,0,0.0,29,29,33,138.0,72.0,8,24,33,2179,0.8249397017061709,40.58956928551197
